board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 3,Chapter3_Double_Century,History of number systems and counting,Describe how ancient counting methods evolved into modern number systems,[],"[""Identify early tools and methods used for counting objects""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter3_Double_Century,History of number systems and counting,Identify early tools and methods used for counting objects,[],[],[],[],[],[]
CBSE,Maths,Grade 3,Chapter3_Double_Century,The ten symbols (0–9) and the Indian numeral system,Identify the ten symbols (0-9) used to write numbers,[],[],[],[],[],[]
CBSE,Maths,Grade 3,Chapter3_Double_Century,The ten symbols (0–9) and the Indian numeral system,Describe the Indian numeral system and its use of ten symbols,[],"[""Identify the ten symbols (0-9) used to write numbers""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter3_Double_Century,The ten symbols (0–9) and the Indian numeral system,Write numbers using the ten symbols in the Indian numeral system,[],"[""Identify the ten symbols (0-9) used to write numbers""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter3_Double_Century,Role and significance of zero,Explain the role of zero as a placeholder in a number,"[""The ten symbols (0–9) and the Indian numeral system""]","[""Identify the ten symbols (0-9) used to write numbers""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 4"", ""concept"": ""The concept of zero as a number"", ""reason"": ""Understanding zero as a distinct number and quantity is needed before understanding its special placeholder role in multi-digit numbers.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Derived from skill prerequisite: 'Explain the role of zero as a placeholder in a two-digit number' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Explain the role of zero as a placeholder in a two-digit number"", ""reason"": ""Understanding zero as a placeholder in two-digit numbers is the direct basis for explaining its placeholder role in any multi-digit number.""}]"
CBSE,Maths,Grade 3,Chapter3_Double_Century,Role and significance of zero,Identify the significance of zero in forming multi-digit numbers,"[""The ten symbols (0–9) and the Indian numeral system""]","[""Explain the role of zero as a placeholder in a number""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 4"", ""concept"": ""The concept of zero as a number"", ""reason"": ""Understanding zero as a distinct number and quantity is needed before understanding its special placeholder role in multi-digit numbers.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Derived from skill prerequisite: 'Explain the role of zero as a placeholder in a two-digit number' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Explain the role of zero as a placeholder in a two-digit number"", ""reason"": ""Recognising zero's placeholder function in two-digit numbers is required before generalising its significance across multi-digit numbers.""}]"
CBSE,Maths,Grade 3,Chapter3_Double_Century,Numbers up to 100 using bundles and loose sticks,Represent numbers up to 100 using bundles of ten sticks and loose sticks,[],"[""Count the total value of bundles and loose sticks to determine a number""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Representing numbers using ten strips and unit blocks"", ""reason"": ""Representing 3-digit numbers with bundles and sticks builds directly on the earlier ten-strip/unit-block representation of two-digit numbers.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Grouping objects in tens and ones"", ""reason"": ""Grouping into tens and ones is the same grouping technique extended to represent numbers up to 100 with bundles and sticks.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Place value of two-digit numbers (tens and ones)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the total value of a two-digit number from its tens and ones' (in Grade 2/Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Represent a two-digit number using ten strips and unit blocks"", ""reason"": ""This target skill reuses the same tens-strip and unit representation technique already practiced for two-digit numbers.""}]"
CBSE,Maths,Grade 3,Chapter3_Double_Century,Numbers up to 100 using bundles and loose sticks,Count the total value of bundles and loose sticks to determine a number,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Representing numbers using ten strips and unit blocks"", ""reason"": ""Representing 3-digit numbers with bundles and sticks builds directly on the earlier ten-strip/unit-block representation of two-digit numbers.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Grouping objects in tens and ones"", ""reason"": ""Grouping into tens and ones is the same grouping technique extended to represent numbers up to 100 with bundles and sticks.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Place value of two-digit numbers (tens and ones)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the total value of a two-digit number from its tens and ones' (in Grade 2/Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Calculate the total value of a two-digit number from its tens and ones"", ""reason"": ""Determining a number's value from bundles and sticks relies on the same tens-and-ones total calculation already learned.""}]"
CBSE,Maths,Grade 3,Chapter3_Double_Century,Numbers up to 100 using bundles and loose sticks,Match a numeral up to 100 with its bundle and stick representation,[],"[""Represent numbers up to 100 using bundles of ten sticks and loose sticks""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Representing numbers using ten strips and unit blocks"", ""reason"": ""Representing 3-digit numbers with bundles and sticks builds directly on the earlier ten-strip/unit-block representation of two-digit numbers.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Grouping objects in tens and ones"", ""reason"": ""Grouping into tens and ones is the same grouping technique extended to represent numbers up to 100 with bundles and sticks.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Place value of two-digit numbers (tens and ones)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the total value of a two-digit number from its tens and ones' (in Grade 2/Chapter1_A_Day_at_the_Beach) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Identify the number represented by a given arrangement of ten strips and unit blocks"", ""reason"": ""Matching numerals to bundle/stick pictures is the same matching skill already practiced with ten strips and unit blocks.""}]"
CBSE,Maths,Grade 3,Chapter3_Double_Century,Number 100 as 10 bundles of 10,Describe 100 as a group of 10 bundles of 10 sticks,"[""Numbers up to 100 using bundles and loose sticks""]","[""Represent numbers up to 100 using bundles of ten sticks and loose sticks""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""concept"": ""Making 100 using ten strips"", ""reason"": ""The idea that 10 tens make 100 was already built using ten strips, forming the direct basis for describing 100 as 10 bundles of 10.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter1_A_Day_at_the_Beach"", ""skill"": ""Count ten strips required to make 100"", ""reason"": ""Counting the ten strips needed to reach 100 is the direct basis for describing 100 as 10 bundles of 10.""}]"
