board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 6,Chapter02_Lines_And_Angles,Basic Geometrical Shapes - Point,Give example(s) of a point,[],[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter02_Lines_And_Angles,Basic Geometrical Shapes - Point,Explain the importance of a point,[],[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter02_Lines_And_Angles,A Line Segment,Give example(s) of a line segment,"[""Basic Geometrical Shapes - Point""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter02_Lines_And_Angles,A Line Segment,Describe a line segment,"[""Basic Geometrical Shapes - Point""]","[""Give example(s) of a line segment""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter02_Lines_And_Angles,A Line,Give example(s) of a line,"[""Basic Geometrical Shapes - Point""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter02_Lines_And_Angles,A Line,Describe a line,"[""Basic Geometrical Shapes - Point""]","[""Give example(s) of a line""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter02_Lines_And_Angles,Intersecting Lines,Examine the given lines and identify intersecting lines among them,"[""A Line""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter02_Lines_And_Angles,Parallel Lines,Examine the given lines and identify parallel lines among them,"[""A Line""]",[],[],[],[],[]
CBSE,Maths,Grade 6,Chapter02_Lines_And_Angles,Ray,Describe a ray and identify it from the given figures,"[""Basic Geometrical Shapes - Point"", ""A Line Segment"", ""A Line""]","[""Describe a line"", ""Describe a line segment""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter02_Lines_And_Angles,Ray,"Compare the given figures and identify a ray, line, line segment among them","[""Basic Geometrical Shapes - Point"", ""A Line Segment"", ""A Line""]","[""Describe a ray and identify it from the given figures""]",[],[],[],[]
CBSE,Maths,Grade 6,Chapter02_Lines_And_Angles,Curves,Demonstrate an understanding of a simple curve and a curve that is not simple,"[""Basic Geometrical Shapes - Point""]",[],[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter02_Shapes_And_Angles"", ""concept"": ""Open and Closed Shapes"", ""reason"": ""Distinguishing open and closed curves in Grade 6 builds directly on the open-versus-closed shape distinction already taught.""}]",[]
CBSE,Maths,Grade 6,Chapter02_Lines_And_Angles,Curves,Describe an open curve and a closed curve,"[""Basic Geometrical Shapes - Point""]","[""Demonstrate an understanding of a simple curve and a curve that is not simple""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter02_Shapes_And_Angles"", ""concept"": ""Open and Closed Shapes"", ""reason"": ""Distinguishing open and closed curves in Grade 6 builds directly on the open-versus-closed shape distinction already taught.""}]",[]
CBSE,Maths,Grade 6,Chapter02_Lines_And_Angles,Curves,Distinguish between an open curve and a closed curve,"[""Basic Geometrical Shapes - Point""]","[""Describe an open curve and a closed curve""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter02_Shapes_And_Angles"", ""concept"": ""Open and Closed Shapes"", ""reason"": ""Distinguishing open and closed curves in Grade 6 builds directly on the open-versus-closed shape distinction already taught.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter02_Shapes_And_Angles"", ""skill"": ""Distinguish between open shapes and closed shapes using examples"", ""reason"": ""The open-versus-closed distinction for curves directly reuses the open/closed shape distinction already practiced in Grade 5.""}]"
CBSE,Maths,Grade 6,Chapter02_Lines_And_Angles,Curves,Discuss the parts of a closed curve,"[""Basic Geometrical Shapes - Point""]","[""Describe an open curve and a closed curve""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter02_Shapes_And_Angles"", ""concept"": ""Open and Closed Shapes"", ""reason"": ""Distinguishing open and closed curves in Grade 6 builds directly on the open-versus-closed shape distinction already taught.""}]",[]
