board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 7,Chapter10_Algebraic_Expressions,Algebraic vs Arithmetic Expressions,Describe algebraic expressions in terms of variables and constants,"[""Introduction to algebraic expressions""]",[],[],[],[],[]
CBSE,Maths,Grade 7,Chapter10_Algebraic_Expressions,Algebraic vs Arithmetic Expressions,Distinguish algebraic expressions from arithmetic expressions,"[""Introduction to algebraic expressions""]","[""Describe algebraic expressions in terms of variables and constants""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter10_Algebraic_Expressions,Introduction to algebraic expressions,Identify examples of algebraic expressions from daily life contexts,[],[],[],[],[],[]
CBSE,Maths,Grade 7,Chapter10_Algebraic_Expressions,Introduction to algebraic expressions,Explain the purpose of using algebraic expressions to represent general situations,[],"[""Identify examples of algebraic expressions from daily life contexts""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter10_Algebraic_Expressions,Variables and constants,Identify the variables in a given algebraic expression,"[""Algebraic vs Arithmetic Expressions""]","[""Describe algebraic expressions in terms of variables and constants""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter10_Algebraic_Expressions,Variables and constants,Identify the constants in a given algebraic expression,"[""Algebraic vs Arithmetic Expressions""]","[""Describe algebraic expressions in terms of variables and constants""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter10_Algebraic_Expressions,Variables and constants,Distinguish between a variable and a constant in an expression,"[""Algebraic vs Arithmetic Expressions""]","[""Identify the variables in a given algebraic expression"", ""Identify the constants in a given algebraic expression""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter10_Algebraic_Expressions,Formation of expressions,Identify variables and constants needed to represent a given statement,"[""Variables and constants""]","[""Distinguish between a variable and a constant in an expression""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter10_Algebraic_Expressions,Formation of expressions,Construct an algebraic expression from a given statement using variables and constants,"[""Variables and constants""]","[""Identify variables and constants needed to represent a given statement""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter10_Algebraic_Expressions,Terms of an expression,Identify the terms of a given algebraic expression,"[""Formation of expressions""]","[""Construct an algebraic expression from a given statement using variables and constants""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter10_Algebraic_Expressions,Terms of an expression,Distinguish between terms that are constants and those that are not,"[""Formation of expressions""]","[""Identify the terms of a given algebraic expression""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter10_Algebraic_Expressions,Terms of an expression,Calculate the numerical coefficient of a given variable in an expression,"[""Formation of expressions""]","[""Identify the terms of a given algebraic expression""]",[],[],[],[]
