board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 3,Chapter14_The_Surajkund_Fair,Addition and Subtraction of Money,Identify the amounts of money involved in a given real-life buying/selling situation,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""The Grade 3 chapter's money arithmetic directly extends the addition and subtraction of money amounts already introduced in this earlier chapter.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtracting 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the difference of two 2-digit numbers using the vertical algorithm with regrouping' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Word problems involving addition and subtraction of money"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving addition of money amounts' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 3,Chapter14_The_Surajkund_Fair,Addition and Subtraction of Money,Calculate the total cost by adding 2-digit amounts of money,[],"[""Identify the amounts of money involved in a given real-life buying/selling situation""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""The Grade 3 chapter's money arithmetic directly extends the addition and subtraction of money amounts already introduced in this earlier chapter.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtracting 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the difference of two 2-digit numbers using the vertical algorithm with regrouping' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Word problems involving addition and subtraction of money"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving addition of money amounts' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping"", ""reason"": ""Adding 2-digit money amounts to find a total requires the vertical addition-with-regrouping procedure taught in this chapter.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""skill"": ""Calculate the total money spent using addition of given amounts"", ""reason"": ""This skill directly practiced summing money amounts, which is the exact operation the target skill extends.""}]"
CBSE,Maths,Grade 3,Chapter14_The_Surajkund_Fair,Addition and Subtraction of Money,Calculate the change or remaining amount by subtracting 2-digit amounts of money,[],"[""Calculate the total cost by adding 2-digit amounts of money""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""The Grade 3 chapter's money arithmetic directly extends the addition and subtraction of money amounts already introduced in this earlier chapter.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtracting 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the difference of two 2-digit numbers using the vertical algorithm with regrouping' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Word problems involving addition and subtraction of money"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving addition of money amounts' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Calculate the difference of two 2-digit numbers using the vertical algorithm with regrouping"", ""reason"": ""Finding change from 2-digit money amounts requires the vertical subtraction-with-regrouping procedure established here.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""skill"": ""Calculate the money left after spending from a given amount using subtraction"", ""reason"": ""This is the same money-context subtraction operation directly extended by the target skill.""}]"
CBSE,Maths,Grade 3,Chapter14_The_Surajkund_Fair,Addition and Subtraction of Money,Solve simple real-life word problems involving addition and subtraction of money,[],"[""Identify the amounts of money involved in a given real-life buying/selling situation"", ""Calculate the total cost by adding 2-digit amounts of money"", ""Calculate the change or remaining amount by subtracting 2-digit amounts of money""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""The Grade 3 chapter's money arithmetic directly extends the addition and subtraction of money amounts already introduced in this earlier chapter.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtracting 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the difference of two 2-digit numbers using the vertical algorithm with regrouping' (in Grade 2/Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Word problems involving addition and subtraction of money"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving addition of money amounts' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""skill"": ""Solve word problems involving addition of money amounts"", ""reason"": ""This earlier skill built the exact ability to translate a money situation into an addition problem, needed for the target.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""skill"": ""Solve word problems involving subtraction of money amounts"", ""reason"": ""This earlier skill built the exact ability to translate a money situation into a subtraction problem, needed for the target.""}]"
CBSE,Maths,Grade 3,Chapter14_The_Surajkund_Fair,Rate Charts and Bills,Determine the price of multiple items using a given rate chart,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Word problems involving addition and subtraction of money"", ""reason"": ""Derived from skill prerequisite: 'Calculate the total cost of items by multiplying ticket price by number of tickets' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""Derived from skill prerequisite: 'Calculate the total money spent using addition of given amounts' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""skill"": ""Calculate the total cost of items by multiplying ticket price by number of tickets"", ""reason"": ""Finding the price of multiple items from a rate uses the same reasoning of multiplying a unit price by a quantity practiced here.""}]"
CBSE,Maths,Grade 3,Chapter14_The_Surajkund_Fair,Rate Charts and Bills,"Construct a simple bill showing item names, quantities, rates and total amount",[],"[""Determine the price of multiple items using a given rate chart"", ""Calculate the total bill amount for a set of purchased items""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Word problems involving addition and subtraction of money"", ""reason"": ""Derived from skill prerequisite: 'Calculate the total cost of items by multiplying ticket price by number of tickets' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""Derived from skill prerequisite: 'Calculate the total money spent using addition of given amounts' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 3,Chapter14_The_Surajkund_Fair,Rate Charts and Bills,Calculate the total bill amount for a set of purchased items,[],"[""Determine the price of multiple items using a given rate chart""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Word problems involving addition and subtraction of money"", ""reason"": ""Derived from skill prerequisite: 'Calculate the total cost of items by multiplying ticket price by number of tickets' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Addition and subtraction of money amounts"", ""reason"": ""Derived from skill prerequisite: 'Calculate the total money spent using addition of given amounts' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""skill"": ""Calculate the total money spent using addition of given amounts"", ""reason"": ""Totalling a bill requires the earlier-practiced skill of summing several money amounts together.""}]"
CBSE,Maths,Grade 3,Chapter14_The_Surajkund_Fair,2-Step Money Problems Including Giving Change,Calculate the combined cost of two or more purchases before finding change,"[""Addition and Subtraction of Money"", ""Rate Charts and Bills""]","[""Calculate the total cost by adding 2-digit amounts of money""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 6"", ""concept"": ""Multi-step word problems involving addition and subtraction"", ""reason"": ""Solving a 2-step money problem requires the prior general skill of sequencing two arithmetic operations to solve a single word problem.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Finding money spent and money left over"", ""reason"": ""Derived from skill prerequisite: 'Compare the money available with the cost of items to find money left or additional money needed' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 6"", ""skill"": ""Solve multi-step word problems involving both addition and subtraction"", ""reason"": ""Combining costs before subtracting for change is a two-operation process that was first practiced generically in this chapter.""}]"
CBSE,Maths,Grade 3,Chapter14_The_Surajkund_Fair,2-Step Money Problems Including Giving Change,Calculate the change to be returned after a purchase involving two operations,"[""Addition and Subtraction of Money"", ""Rate Charts and Bills""]","[""Calculate the combined cost of two or more purchases before finding change"", ""Calculate the change or remaining amount by subtracting 2-digit amounts of money""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 6"", ""concept"": ""Multi-step word problems involving addition and subtraction"", ""reason"": ""Solving a 2-step money problem requires the prior general skill of sequencing two arithmetic operations to solve a single word problem.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Finding money spent and money left over"", ""reason"": ""Derived from skill prerequisite: 'Compare the money available with the cost of items to find money left or additional money needed' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 6"", ""skill"": ""Solve multi-step word problems involving both addition and subtraction"", ""reason"": ""This two-operation money task builds on the earlier established ability to sequence addition and subtraction to solve one problem.""}]"
CBSE,Maths,Grade 3,Chapter14_The_Surajkund_Fair,2-Step Money Problems Including Giving Change,"Solve practical context problems involving buying, paying and receiving change","[""Addition and Subtraction of Money"", ""Rate Charts and Bills""]","[""Calculate the combined cost of two or more purchases before finding change"", ""Calculate the change to be returned after a purchase involving two operations""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 6"", ""concept"": ""Multi-step word problems involving addition and subtraction"", ""reason"": ""Solving a 2-step money problem requires the prior general skill of sequencing two arithmetic operations to solve a single word problem.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""concept"": ""Finding money spent and money left over"", ""reason"": ""Derived from skill prerequisite: 'Compare the money available with the cost of items to find money left or additional money needed' (in Grade 2/Chapter10_Fun_at_the_Fair) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter10_Fun_at_the_Fair"", ""skill"": ""Compare the money available with the cost of items to find money left or additional money needed"", ""reason"": ""This earlier skill directly practiced the buying/paying/change reasoning that the target problem-solving skill builds on.""}]"
