board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 8,"Chapter06_Pressure,_Winds,_Storms,_and_Cyclones",Pressure,Calculate pressure using force and area,[],[],"[{""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure and area relationship"", ""reason"": ""Students must already know that pressure depends inversely on the area over which a force acts before this chapter applies pressure to air and weather phenomena.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure exerted by liquids"", ""reason"": ""Derived from skill prerequisite: 'Describe how liquid pressure acts on the walls of a container' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Atmospheric pressure"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the atmospheric pressure exerted by the air column above a given area' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Weight and its measurement"", ""reason"": ""Derived from skill prerequisite: 'Define weight and state its SI unit' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Calculate pressure for a given force applied on a given area"", ""reason"": ""This is the same computational procedure (P = F/A) that must already be mastered before applying it to air and weather contexts.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Derive the formula for pressure in terms of force and area"", ""reason"": ""Students need the derived pressure formula already established before they can use it to calculate pressure in this chapter's contexts.""}]",[],[]
CBSE,Science,Grade 8,"Chapter06_Pressure,_Winds,_Storms,_and_Cyclones",Pressure,Explain why broad straps reduce pressure compared to narrow straps,[],"[{""item"": ""Calculate pressure using force and area"", ""reason"": ""Explaining the strap effect requires knowing that pressure decreases as area increases for a given force.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure and area relationship"", ""reason"": ""Students must already know that pressure depends inversely on the area over which a force acts before this chapter applies pressure to air and weather phenomena.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure exerted by liquids"", ""reason"": ""Derived from skill prerequisite: 'Describe how liquid pressure acts on the walls of a container' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Atmospheric pressure"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the atmospheric pressure exerted by the air column above a given area' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Weight and its measurement"", ""reason"": ""Derived from skill prerequisite: 'Define weight and state its SI unit' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Derive the formula for pressure in terms of force and area"", ""reason"": ""Explaining reduced pressure with a wider strap requires already understanding the inverse relationship between area and pressure from the pressure formula.""}]",[],[]
CBSE,Science,Grade 8,"Chapter06_Pressure,_Winds,_Storms,_and_Cyclones",Pressure,Explain why it is easier to drive a nail using its pointed end,[],"[{""item"": ""Calculate pressure using force and area"", ""reason"": ""The explanation relies on knowing that a smaller area produces greater pressure for the same force.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure and area relationship"", ""reason"": ""Students must already know that pressure depends inversely on the area over which a force acts before this chapter applies pressure to air and weather phenomena.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure exerted by liquids"", ""reason"": ""Derived from skill prerequisite: 'Describe how liquid pressure acts on the walls of a container' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Atmospheric pressure"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the atmospheric pressure exerted by the air column above a given area' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Weight and its measurement"", ""reason"": ""Derived from skill prerequisite: 'Define weight and state its SI unit' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Derive the formula for pressure in terms of force and area"", ""reason"": ""The reasoning that a smaller area increases pressure for the same force depends on already knowing the force-area-pressure relationship.""}]",[],[]
CBSE,Science,Grade 8,"Chapter06_Pressure,_Winds,_Storms,_and_Cyclones",Pressure,Explain why it is easier to cut with the sharp edge of a knife,[],"[{""item"": ""Calculate pressure using force and area"", ""reason"": ""The reasoning depends on the same force-area-pressure relationship used to calculate pressure.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure and area relationship"", ""reason"": ""Students must already know that pressure depends inversely on the area over which a force acts before this chapter applies pressure to air and weather phenomena.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure exerted by liquids"", ""reason"": ""Derived from skill prerequisite: 'Describe how liquid pressure acts on the walls of a container' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Atmospheric pressure"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the atmospheric pressure exerted by the air column above a given area' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Weight and its measurement"", ""reason"": ""Derived from skill prerequisite: 'Define weight and state its SI unit' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Derive the formula for pressure in terms of force and area"", ""reason"": ""This explanation relies on the previously learned fact that reducing area increases pressure for a given force.""}]",[],[]
CBSE,Science,Grade 8,"Chapter06_Pressure,_Winds,_Storms,_and_Cyclones",Pressure,Explain why overhead water tanks are placed at a height,[],"[{""item"": ""Explain how increasing the height of a water column increases balloon bulge in Activity 6.1"", ""reason"": ""Justifying tank placement requires knowing that greater height of water increases the pressure it exerts.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure and area relationship"", ""reason"": ""Students must already know that pressure depends inversely on the area over which a force acts before this chapter applies pressure to air and weather phenomena.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure exerted by liquids"", ""reason"": ""Derived from skill prerequisite: 'Describe how liquid pressure acts on the walls of a container' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Atmospheric pressure"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the atmospheric pressure exerted by the air column above a given area' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Weight and its measurement"", ""reason"": ""Derived from skill prerequisite: 'Define weight and state its SI unit' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Describe how liquid pressure acts on the walls of a container"", ""reason"": ""Explaining the benefit of height requires prior knowledge that liquid pressure increases with the height of the liquid column.""}]",[],[]
CBSE,Science,Grade 8,"Chapter06_Pressure,_Winds,_Storms,_and_Cyclones",Pressure,Describe how equal water column heights produce equal balloon bulges in Activity 6.1,[],[],"[{""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure and area relationship"", ""reason"": ""Students must already know that pressure depends inversely on the area over which a force acts before this chapter applies pressure to air and weather phenomena.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure exerted by liquids"", ""reason"": ""Derived from skill prerequisite: 'Describe how liquid pressure acts on the walls of a container' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Atmospheric pressure"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the atmospheric pressure exerted by the air column above a given area' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Weight and its measurement"", ""reason"": ""Derived from skill prerequisite: 'Define weight and state its SI unit' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Describe how liquid pressure acts on the walls of a container"", ""reason"": ""Interpreting equal bulges from equal water heights requires already understanding how liquid pressure acts on container walls.""}]",[],[]
CBSE,Science,Grade 8,"Chapter06_Pressure,_Winds,_Storms,_and_Cyclones",Pressure,Explain how increasing the height of a water column increases balloon bulge in Activity 6.1,[],"[{""item"": ""Describe how equal water column heights produce equal balloon bulges in Activity 6.1"", ""reason"": ""Recognizing that increasing height changes the bulge requires first establishing the baseline that equal heights give equal bulges.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure and area relationship"", ""reason"": ""Students must already know that pressure depends inversely on the area over which a force acts before this chapter applies pressure to air and weather phenomena.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure exerted by liquids"", ""reason"": ""Derived from skill prerequisite: 'Describe how liquid pressure acts on the walls of a container' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Atmospheric pressure"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the atmospheric pressure exerted by the air column above a given area' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Weight and its measurement"", ""reason"": ""Derived from skill prerequisite: 'Define weight and state its SI unit' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Describe how liquid pressure acts on the walls of a container"", ""reason"": ""This explanation depends on the prior concept that liquid pressure on container walls increases with the height of the liquid column.""}]",[],[]
CBSE,Science,Grade 8,"Chapter06_Pressure,_Winds,_Storms,_and_Cyclones",Pressure,Explain why water spurts out of holes made at the same height on a bottle in Activity 6.2,[],"[{""item"": ""Describe how equal water column heights produce equal balloon bulges in Activity 6.1"", ""reason"": ""This explanation relies on the established idea that equal heights of water produce equal pressure effects.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure and area relationship"", ""reason"": ""Students must already know that pressure depends inversely on the area over which a force acts before this chapter applies pressure to air and weather phenomena.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure exerted by liquids"", ""reason"": ""Derived from skill prerequisite: 'Describe how liquid pressure acts on the walls of a container' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Atmospheric pressure"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the atmospheric pressure exerted by the air column above a given area' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Weight and its measurement"", ""reason"": ""Derived from skill prerequisite: 'Define weight and state its SI unit' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Explain the direction in which pressure is applied by a liquid inside a container"", ""reason"": ""Understanding equal spurting at equal heights requires knowing that liquids exert pressure outward in all directions within a container.""}]",[],[]
CBSE,Science,Grade 8,"Chapter06_Pressure,_Winds,_Storms,_and_Cyclones",Pressure,Explain why the base of a dam is broader than its top,[],"[{""item"": ""Explain how increasing the height of a water column increases balloon bulge in Activity 6.1"", ""reason"": ""Explaining the dam's shape depends on understanding that water pressure increases with depth/height.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure and area relationship"", ""reason"": ""Students must already know that pressure depends inversely on the area over which a force acts before this chapter applies pressure to air and weather phenomena.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure exerted by liquids"", ""reason"": ""Derived from skill prerequisite: 'Describe how liquid pressure acts on the walls of a container' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Atmospheric pressure"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the atmospheric pressure exerted by the air column above a given area' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Weight and its measurement"", ""reason"": ""Derived from skill prerequisite: 'Define weight and state its SI unit' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Describe how liquid pressure acts on the walls of a container"", ""reason"": ""This design reasoning depends on already knowing that liquid pressure on container walls increases with depth.""}]",[],[]
CBSE,Science,Grade 8,"Chapter06_Pressure,_Winds,_Storms,_and_Cyclones",Pressure,Explain why more effort is needed to lift a paper plate covered with unfolded chart paper in Activity 6.3,[],[],"[{""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure and area relationship"", ""reason"": ""Students must already know that pressure depends inversely on the area over which a force acts before this chapter applies pressure to air and weather phenomena.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Pressure exerted by liquids"", ""reason"": ""Derived from skill prerequisite: 'Describe how liquid pressure acts on the walls of a container' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Atmospheric pressure"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the atmospheric pressure exerted by the air column above a given area' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Weight and its measurement"", ""reason"": ""Derived from skill prerequisite: 'Define weight and state its SI unit' (in Chapter05_Exploring_Forces) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter05_Exploring_Forces"", ""skill"": ""Demonstrate the atmospheric pressure exerted by the air column above a given area"", ""reason"": ""Explaining the extra force needed requires the prior demonstration that the air column above a surface exerts measurable atmospheric pressure.""}]",[],[]
