board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives",Changing Nature of Family,"Explain reasons for changes in a family such as birth of a new baby, transfer of a working member, or a wedding",[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter01_Family_and_Friends"", ""concept"": ""Types of Families"", ""reason"": ""Understanding the distinction between joint and nuclear family structures is needed before a student can grasp how a family's type or structure changes over time.""}]",[]
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives",Changing Nature of Family,Describe how family members adjust and adapt to changes occurring in the family,[],"[""Explain reasons for changes in a family such as birth of a new baby, transfer of a working member, or a wedding""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter01_Family_and_Friends"", ""concept"": ""Types of Families"", ""reason"": ""Understanding the distinction between joint and nuclear family structures is needed before a student can grasp how a family's type or structure changes over time.""}]",[]
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives",Changing Nature of Family,"Identify special food, clothes, songs and dances performed during a wedding in different families",[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter01_Family_and_Friends"", ""concept"": ""Types of Families"", ""reason"": ""Understanding the distinction between joint and nuclear family structures is needed before a student can grasp how a family's type or structure changes over time.""}]",[]
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives",Changing Nature of Family,"Sequence examples of family changes from their own experience such as a birth, wedding or move",[],"[""Explain reasons for changes in a family such as birth of a new baby, transfer of a working member, or a wedding""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter01_Family_and_Friends"", ""concept"": ""Types of Families"", ""reason"": ""Understanding the distinction between joint and nuclear family structures is needed before a student can grasp how a family's type or structure changes over time.""}]",[]
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives","Family: Past, Present and Future",Compare their own family today with how it was in the past in terms of education and use of technology,"[""Changing Nature of Family""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter01_Family_and_Friends"", ""concept"": ""Types of Families"", ""reason"": ""Knowing what joint and nuclear families are provides the structural categories needed to trace how families evolve from past to present to future.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter01_Family_and_Friends"", ""skill"": ""Recall and describe the different types of families such as joint and nuclear families"", ""reason"": ""Recognising joint versus nuclear family types gives the structural basis needed to compare how family arrangements have changed from the past to the present.""}]"
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives","Family: Past, Present and Future",Describe reasons why some children drop out of school,"[""Changing Nature of Family""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter01_Family_and_Friends"", ""concept"": ""Types of Families"", ""reason"": ""Knowing what joint and nuclear families are provides the structural categories needed to trace how families evolve from past to present to future.""}]",[]
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives","Family: Past, Present and Future",Relate the legal age of marriage as per the Law on Child Marriage to real-life situations,"[""Changing Nature of Family""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter01_Family_and_Friends"", ""concept"": ""Types of Families"", ""reason"": ""Knowing what joint and nuclear families are provides the structural categories needed to trace how families evolve from past to present to future.""}]",[]
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives","Diverse landforms (plains, deserts, coastal regions, mountains)","Identify types of regions such as mountains, plains, deserts and coastal areas","[""Relationship between land, climate and lifestyle""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives","Diverse landforms (plains, deserts, coastal regions, mountains)","Describe how landforms influence people's food, clothing, housing and festivals","[""Relationship between land, climate and lifestyle""]","[""Identify types of regions such as mountains, plains, deserts and coastal areas""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives","Diverse landforms (plains, deserts, coastal regions, mountains)","Compare life in different landforms based on trees, animals, houses, clothes, food and festivals","[""Relationship between land, climate and lifestyle""]","[""Identify types of regions such as mountains, plains, deserts and coastal areas"", ""Describe how landforms influence people's food, clothing, housing and festivals""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives","Plains and agriculture (Amritsar, Punjab)","Describe the life, food and farming practices of people living in the plains of Amritsar, Punjab","[""Diverse landforms (plains, deserts, coastal regions, mountains)""]","[""Identify types of regions such as mountains, plains, deserts and coastal areas""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives",Desert life (Rajasthan),"Describe the life, climate and lifestyle of people living in the deserts of Rajasthan","[""Diverse landforms (plains, deserts, coastal regions, mountains)""]","[""Identify types of regions such as mountains, plains, deserts and coastal areas""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives",Desert plants and animals,Explain how desert plants and animals adapt to survive with little water,"[""Desert life (Rajasthan)""]","[""Identify plants and animals such as cactus, camel and desert fox found in the desert""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives",Desert plants and animals,"Identify plants and animals such as cactus, camel and desert fox found in the desert","[""Desert life (Rajasthan)""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives",Traditional desert housing and food,Describe traditional desert houses made of mud and their suitability to the hot dry climate,"[""Desert life (Rajasthan)""]","[""Describe the life, climate and lifestyle of people living in the deserts of Rajasthan""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Making_Things"", ""concept"": ""Traditional mud houses"", ""reason"": ""The reasoning about desert mud houses builds directly on the prior understanding of how mud construction is used and why it keeps interiors cool.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Making_Things"", ""skill"": ""Explain why mud houses help keep the environment cool"", ""reason"": ""This target skill directly reuses the earlier-established explanation of how mud walls keep interiors cool to justify desert house suitability.""}]"
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives",Traditional desert housing and food,Describe traditional desert clothing such as turbans and its relation to the hot dry climate,"[""Desert life (Rajasthan)""]","[""Describe the life, climate and lifestyle of people living in the deserts of Rajasthan""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Making_Things"", ""concept"": ""Traditional mud houses"", ""reason"": ""The reasoning about desert mud houses builds directly on the prior understanding of how mud construction is used and why it keeps interiors cool.""}]",[]
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives",Jaisalmer Fort,Describe the location and features of Jaisalmer Fort built of yellow sandstone in the Thar desert,"[""Desert life (Rajasthan)""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives",The Golden Temple and langar sewa,Describe the significance of the Golden Temple and the tradition of langar sewa,"[""Plains and agriculture (Amritsar, Punjab)""]","[""Describe the life, food and farming practices of people living in the plains of Amritsar, Punjab""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives","Coastal life (Puri, Odisha)","Describe the life, climate and lifestyle of people living in the coastal region of Puri, Odisha","[""Diverse landforms (plains, deserts, coastal regions, mountains)""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 4,"Chapter09_Different_Lands,_Different_Lives","Coastal flora, fauna and sea creatures","Distinguish between plants and trees found in deserts, plains, coasts and mountains","[""Coastal life (Puri, Odisha)"", ""Diverse landforms (plains, deserts, coastal regions, mountains)""]","[""Identify types of regions such as mountains, plains, deserts and coastal areas""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""concept"": ""Plant Classification"", ""reason"": ""Derived from skill prerequisite: 'Classify plants seen in surroundings as tree, shrub, herb, grass, climber or creeper' (in Grade 3/Chapter04_Getting_to_Know_Plants) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter07_Water_–_A_Precious_Gift"", ""concept"": ""Water Pollution and Cleanliness"", ""reason"": ""Derived from skill prerequisite: 'Explain the importance of keeping water clean and unpolluted' (in Grade 3/Chapter07_Water_–_A_Precious_Gift) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""skill"": ""Classify plants seen in surroundings as tree, shrub, herb, grass, climber or creeper"", ""reason"": ""Students must already be able to sort plants into categories like tree, shrub or herb before they can distinguish region-specific plant types across landforms.""}]"
