board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 7,Chapter08_Measurement_of_Time_and_Motion,Motion,Recall change in position of a body with respect to surroundings as motion,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Measurement_Of_Length_And_Motion"", ""concept"": ""Describing position with respect to a reference point"", ""reason"": ""Motion is defined as a change in position, which itself relies on the prior concept of locating an object relative to a reference point.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Measurement_Of_Length_And_Motion"", ""skill"": ""Explain how the position of an object is described with respect to a reference point"", ""reason"": ""Recalling that motion is a change in position requires already understanding how position itself is described relative to a reference point.""}]"
CBSE,Science,Grade 7,Chapter08_Measurement_of_Time_and_Motion,Oscillatory motion,Identify the to-and-fro motion of a simple pendulum as oscillatory motion,"[""Motion""]",[],[],[],[],[]
CBSE,Science,Grade 7,Chapter08_Measurement_of_Time_and_Motion,Periodic events,Describe periodicity as repetition of natural events at regular intervals of time,"[""Motion""]",[],[],[],[],[]
CBSE,Science,Grade 7,Chapter08_Measurement_of_Time_and_Motion,Time period of a pendulum,Infer the time period of a simple pendulum from given oscillation data,"[""Oscillatory motion"", ""Periodic events""]","[""Identify the to-and-fro motion of a simple pendulum as oscillatory motion"", ""Describe periodicity as repetition of natural events at regular intervals of time"", ""Define time period of a pendulum""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter08_Measurement_of_Time_and_Motion,Time period of a pendulum,Define time period of a pendulum,"[""Oscillatory motion"", ""Periodic events""]",[],[],[],[],[]
CBSE,Science,Grade 7,Chapter08_Measurement_of_Time_and_Motion,Time period of a pendulum,Explain the relationship between the length of a pendulum and its time period,"[""Oscillatory motion"", ""Periodic events""]","[""Define time period of a pendulum""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter08_Measurement_of_Time_and_Motion,Simple pendulum experiment,Measure the time period of a simple pendulum using an experimental setup,"[""Oscillatory motion"", ""Time period of a pendulum"", ""Simple pendulum construction""]","[""Construct a simple pendulum using a bob and string for measuring time period"", ""Define time period of a pendulum""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter08_Measurement_of_Time_and_Motion,Speed,Recall the definition of speed as distance covered in unit time,"[""Motion"", ""Units of time measurement""]",[],[],[],[],[]
CBSE,Science,Grade 7,Chapter08_Measurement_of_Time_and_Motion,Instruments to measure speed,Recall the instrument used to measure the speed of a moving object,[],[],[],[],[],[]
CBSE,Science,Grade 7,Chapter08_Measurement_of_Time_and_Motion,Speed formula,Derive the mathematical formula for calculating speed,"[""Speed""]","[""Recall the definition of speed as distance covered in unit time""]",[],[],[],[]
