board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Modes of Transport,Name different modes of transport people use to reach places like a grandmother's house,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Modes of Transport,Describe the uses of different modes of transport for various journeys,[],"[""Name different modes of transport people use to reach places like a grandmother's house""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Reading a Railway Ticket,"Identify key details on a train ticket such as train number, date of journey, and coach number","[""Modes of Transport""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Reading a Railway Ticket,Explain the purpose of the different fields printed on a railway ticket,"[""Modes of Transport""]","[""Identify key details on a train ticket such as train number, date of journey, and coach number""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Railway Time-Table,Read a specific entry in a railway time table to identify the arrival and departure times of a given train at a station,"[""Reading a Railway Ticket""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Railway Time-Table,Calculate the distance and travel time between two places using a railway time table,"[""Reading a Railway Ticket""]","[""Read a specific entry in a railway time table to identify the arrival and departure times of a given train at a station""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Paper is made from trees,Explain how paper is made from trees,"[""Traditional writing materials before paper""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Process of making recycled paper,Describe the steps involved in making recycled paper,"[""Paper is made from trees""]","[""Identify materials required to make recycled paper"", ""Demonstrate the process of preparing paper pulp""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Taking_Charge_of_Waste"", ""concept"": ""Recycling"", ""reason"": ""Understanding what recycling generally means and why waste materials are converted into new products is needed before learning the specific paper-recycling process.""}]",[]
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Process of making recycled paper,Identify materials required to make recycled paper,"[""Paper is made from trees""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Taking_Charge_of_Waste"", ""concept"": ""Recycling"", ""reason"": ""Understanding what recycling generally means and why waste materials are converted into new products is needed before learning the specific paper-recycling process.""}]",[]
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Process of making recycled paper,Demonstrate the process of preparing paper pulp,"[""Paper is made from trees""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Taking_Charge_of_Waste"", ""concept"": ""Recycling"", ""reason"": ""Understanding what recycling generally means and why waste materials are converted into new products is needed before learning the specific paper-recycling process.""}]",[]
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Natural dyes and colouring paper,"Prepare natural dyes using ingredients like turmeric, spinach, beetroot and henna",[],[],"[{""chapter"": ""Chapter04_Growing_up_with_Nature"", ""concept"": ""Natural paints and dyes from plants"", ""reason"": ""Understanding that dyes can be extracted from plant materials is foundational before learning to prepare and use specific natural dyes for colouring paper.""}]","[{""chapter"": ""Chapter04_Growing_up_with_Nature"", ""skill"": ""Explain the process of preparing natural dyes from plant parts"", ""reason"": ""Knowing the general process of extracting dye from plant parts is needed before a student can carry out the specific procedure of making dyes from turmeric, spinach, beetroot and henna.""}]",[],[]
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Natural dyes and colouring paper,Compare natural dyes with artificial dyes,[],"[""Prepare natural dyes using ingredients like turmeric, spinach, beetroot and henna""]","[{""chapter"": ""Chapter04_Growing_up_with_Nature"", ""concept"": ""Natural paints and dyes from plants"", ""reason"": ""Understanding that dyes can be extracted from plant materials is foundational before learning to prepare and use specific natural dyes for colouring paper.""}]",[],[],[]
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Paper making from wood pulp,Distinguish between recycled paper and paper made from wood pulp,"[""Process of making recycled paper"", ""Paper is made from trees""]","[""Describe the steps involved in making recycled paper"", ""Explain how paper is made from trees""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Paper making from wood pulp,Explain why it is important to use paper responsibly,"[""Process of making recycled paper"", ""Paper is made from trees""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Traditional writing materials before paper,List materials used for writing before paper was invented,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Environment-friendly alternatives to paper,Identify environment-friendly alternatives to paper such as banana fibre,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Taking_Charge_of_Waste"", ""concept"": ""Reducing Waste"", ""reason"": ""Derived from skill prerequisite: 'Identify plastic items at home and school that could be replaced with safer materials' (in Grade 3/Chapter12_Taking_Charge_of_Waste) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Taking_Charge_of_Waste"", ""skill"": ""Identify plastic items at home and school that could be replaced with safer materials"", ""reason"": ""Finding safer alternatives to paper builds on the earlier practice of identifying safer material substitutes for everyday items.""}]"
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Different types of paper and their uses,Classify different types of paper based on their uses,"[""Paper making from wood pulp""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Properties of materials"", ""reason"": ""Derived from skill prerequisite: 'Compare properties of different materials such as hardness, flexibility, texture and sound' (in Grade 3/Chapter10_This_World_of_Things) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Compare properties of different materials such as hardness, flexibility, texture and sound"", ""reason"": ""Classifying paper types by their suitability for different uses relies on the earlier-learned skill of comparing material properties to judge suitability.""}]"
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,Braille system,Explain the working of the Braille system for visually challenged people,"[""Different types of paper and their uses""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,5Rs of waste management,Define the 5Rs of waste management,"[""Paper making from wood pulp""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Taking_Charge_of_Waste"", ""concept"": ""Reducing, Reusing and Recycling Waste"", ""reason"": ""The 5Rs framework in Grade 4 extends the 3Rs (reduce, reuse, recycle) that students must already understand as distinct waste-management ideas.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Taking_Charge_of_Waste"", ""concept"": ""Reducing Waste"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate ways to reduce waste in daily life' (in Grade 3/Chapter12_Taking_Charge_of_Waste) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Taking_Charge_of_Waste"", ""skill"": ""Distinguish between reducing, reusing and recycling waste"", ""reason"": ""Defining the 5Rs requires first being able to distinguish the core reduce/reuse/recycle actions that the 5Rs framework builds upon.""}]"
CBSE,Environmental Science,Grade 4,Chapter08_How_Things_are_Made,5Rs of waste management,Classify daily life examples according to the 5Rs of waste management,"[""Paper making from wood pulp""]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Taking_Charge_of_Waste"", ""concept"": ""Reducing, Reusing and Recycling Waste"", ""reason"": ""The 5Rs framework in Grade 4 extends the 3Rs (reduce, reuse, recycle) that students must already understand as distinct waste-management ideas.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Taking_Charge_of_Waste"", ""concept"": ""Reducing Waste"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate ways to reduce waste in daily life' (in Grade 3/Chapter12_Taking_Charge_of_Waste) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Taking_Charge_of_Waste"", ""skill"": ""Distinguish between reducing, reusing and recycling waste"", ""reason"": ""Sorting examples into the 5R categories depends on already being able to tell apart reduce, reuse and recycle actions taught earlier.""}]"
