board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Tissue as a level of biological organisation,Explain why tissues represent a distinct level of organisation between cells and organs,[],[],"[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Cell as the basic unit of life"", ""reason"": ""Understanding that the cell is the basic structural unit of life is needed before grasping that tissues are a higher level of organisation formed by groups of cells.""}]","[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""skill"": ""Explain why the cell is considered the fundamental structural and functional unit of life"", ""reason"": ""Explaining tissues as a level between cells and organs requires first understanding the cell as the fundamental unit that tissues are built from.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Levels of organisation: cell, tissue, organ, organ system, organism"", ""reason"": ""The target concept builds directly on the earlier established hierarchy of cell-tissue-organ-organism, which must already be known before tissue can be positioned as a distinct organisational level.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Describe the levels of organisation in a living organism from cell to organism"", ""reason"": ""Explaining tissue's place between cells and organs requires already knowing the sequence of biological organisation from cell to organism.""}]"
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Differences between plant and animal tissues,Compare structural and functional differences between plant and animal cells in relation to tissues,"[""Tissue as a level of biological organisation""]",[],"[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Plant cell vs animal cell"", ""reason"": ""Recognising differences between plant and animal tissues builds on already knowing the structural differences between plant and animal cells that make up those tissues.""}]","[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""skill"": ""Differentiate between plant cells and animal cells based on their structural features"", ""reason"": ""Comparing plant and animal cells in the context of tissues requires already knowing the basic structural differences between the two cell types.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Differences between plant and animal cells"", ""reason"": ""Recognising structural differences between plant and animal cells is the basis for later distinguishing the tissues built from those cells.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Distinguish between plant and animal cells based on structure"", ""reason"": ""Comparing plant and animal tissues requires the prior ability to distinguish plant and animal cells structurally, since tissue differences stem from cell differences.""}]"
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Differences between plant and animal tissues,Identify different types of plant and animal tissues based on structure,"[""Tissue as a level of biological organisation""]",[],"[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Plant cell vs animal cell"", ""reason"": ""Recognising differences between plant and animal tissues builds on already knowing the structural differences between plant and animal cells that make up those tissues.""}]",[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Differences between plant and animal cells"", ""reason"": ""Recognising structural differences between plant and animal cells is the basis for later distinguishing the tissues built from those cells.""}]",[]
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Meristematic tissue,Classify meristematic tissue based on its location in the plant body,"[""Differences between plant and animal tissues""]","[""Describe the function of meristematic tissue in plants""]","[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Mitosis"", ""reason"": ""Meristematic tissue's defining feature is continuous cell division, which relies on prior understanding of mitosis as the mechanism producing new identical cells.""}]",[],[],[]
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Meristematic tissue,Describe the function of meristematic tissue in plants,"[""Differences between plant and animal tissues""]",[],"[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Mitosis"", ""reason"": ""Meristematic tissue's defining feature is continuous cell division, which relies on prior understanding of mitosis as the mechanism producing new identical cells.""}]","[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""skill"": ""Describe the stages and outcome of mitosis in producing two genetically identical daughter cells"", ""reason"": ""The function of meristematic tissue is active cell division, which is explained by the mitotic process producing new identical cells.""}]",[],[]
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Apical meristem,Explain the role of apical meristem in increasing plant length,"[""Meristematic tissue""]","[""Describe the function of meristematic tissue in plants""]","[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Mitosis"", ""reason"": ""Derived from skill prerequisite: 'Describe the stages and outcome of mitosis in producing two genetically identical daughter cells' (in Chapter02_Cell:_The_Building_Block_of_Life) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""skill"": ""Describe the stages and outcome of mitosis in producing two genetically identical daughter cells"", ""reason"": ""Apical meristem increases plant length through repeated mitotic division, so understanding mitosis is needed to explain this growth mechanism.""}]",[],[]
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Lateral meristem,Explain the role of lateral meristem in increasing plant girth,"[""Meristematic tissue""]","[""Describe the function of meristematic tissue in plants""]","[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Mitosis"", ""reason"": ""Derived from skill prerequisite: 'Describe the stages and outcome of mitosis in producing two genetically identical daughter cells' (in Chapter02_Cell:_The_Building_Block_of_Life) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""skill"": ""Describe the stages and outcome of mitosis in producing two genetically identical daughter cells"", ""reason"": ""Lateral meristem increases plant girth through mitotic cell division, so this process must be understood first.""}]",[],[]
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Intercalary meristem,Locate intercalary meristem at the base of leaves and internodes,"[""Meristematic tissue""]","[""Describe the function of meristematic tissue in plants""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Differentiation of meristematic tissue into permanent tissue,Describe the process of differentiation of meristematic cells into permanent tissue,"[""Meristematic tissue""]","[""Describe the function of meristematic tissue in plants""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Differentiation of meristematic tissue into permanent tissue,Distinguish between meristematic and permanent tissues,"[""Meristematic tissue""]","[""Describe the process of differentiation of meristematic cells into permanent tissue""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Simple permanent tissue,Identify the types of simple permanent tissue in a plant,"[""Differentiation of meristematic tissue into permanent tissue""]","[""Describe the process of differentiation of meristematic cells into permanent tissue""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Simple permanent tissue,Describe the functions of simple permanent tissue in a plant,"[""Differentiation of meristematic tissue into permanent tissue""]","[""Identify the types of simple permanent tissue in a plant""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Epidermis and protective tissue,Explain how epidermal tissue protects plant parts from water loss and infection,"[""Simple permanent tissue""]","[""Identify the types of simple permanent tissue in a plant""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter09_Life_Processes_in_Animals"", ""concept"": ""Transpiration"", ""reason"": ""Understanding that plants lose water through transpiration explains why the epidermis must function as a protective barrier against water loss.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter09_Life_Processes_in_Animals"", ""skill"": ""Explain the process of transpiration"", ""reason"": ""Understanding transpiration as the process by which plants lose water is necessary to explain why the epidermis must minimise water loss.""}]"
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,"Supporting tissues - parenchyma, collenchyma, sclerenchyma","Distinguish between parenchyma, collenchyma and sclerenchyma based on cell wall structure","[""Simple permanent tissue""]","[""Identify the types of simple permanent tissue in a plant""]","[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Cell wall"", ""reason"": ""Distinguishing these supporting tissues depends on knowing what a cell wall is, since they are classified by differences in cell wall thickness and composition.""}]","[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""skill"": ""Describe the structure and composition of the cell wall in plant cells"", ""reason"": ""Distinguishing these tissue types by cell wall structure requires already knowing what a plant cell wall is and how it is composed.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Cell wall and its importance in plant cells"", ""reason"": ""Differentiating these tissues depends on already knowing that plant cells have a wall whose thickness and rigidity vary, which is the basis for classifying the three tissue types.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Explain the role of the cell wall in providing structural support to plant cells"", ""reason"": ""Distinguishing these tissues by wall thickness and rigidity requires prior understanding of what the cell wall is and its structural role.""}]"
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Complex permanent tissue,Identify the types of complex permanent tissue in a plant,"[""Simple permanent tissue""]","[""Identify the types of simple permanent tissue in a plant""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Complex permanent tissue,Describe the role of complex permanent tissue in a plant,"[""Simple permanent tissue""]","[""Identify the types of complex permanent tissue in a plant""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Conducting tissues - xylem and phloem,Differentiate xylem and phloem based on their transport function and cell structure,"[""Complex permanent tissue""]","[""Identify the types of complex permanent tissue in a plant""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter09_Life_Processes_in_Animals"", ""concept"": ""Xylem and Phloem"", ""reason"": ""Students must already recognise xylem and phloem as distinct plant conducting tissues before studying their detailed tissue-level structure and function.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter09_Life_Processes_in_Animals"", ""skill"": ""Differentiate between xylem and phloem"", ""reason"": ""The target skill extends an already-learned basic differentiation between xylem and phloem to include their cell structure.""}]"
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,"Plant tissue systems - dermal, ground, vascular",Describe the organisation of plant tissues into tissue systems,"[""Simple permanent tissue"", ""Complex permanent tissue""]","[""Identify the types of simple permanent tissue in a plant"", ""Identify the types of complex permanent tissue in a plant""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Totipotency and plant tissue culture,Apply the concept of totipotency to explain plant regeneration,"[""Differentiation of meristematic tissue into permanent tissue""]","[""Describe the process of differentiation of meristematic cells into permanent tissue""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Applications of tissue culture and genetic engineering (Agrobacterium),Explain the significance of tissue culture and genetic engineering applications in agriculture,"[""Totipotency and plant tissue culture""]","[""Apply the concept of totipotency to explain plant regeneration""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Epithelial tissue,Correlate the structure of epithelial tissue with its function in an organism,"[""Differences between plant and animal tissues""]","[""Identify different types of plant and animal tissues based on structure""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Relationship between cell shape/structure and function"", ""reason"": ""Derived from skill prerequisite: 'Explain how the shape and structure of a cell relate to its function' (in Grade 8/Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Explain how the shape and structure of a cell relate to its function"", ""reason"": ""This target skill extends the previously learned principle that a cell's structure suits its function to the tissue level for epithelial tissue.""}]"
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Epithelial tissue,Distinguish between different types of epithelial tissues based on location and function,"[""Differences between plant and animal tissues""]","[""Correlate the structure of epithelial tissue with its function in an organism""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Relationship between cell shape/structure and function"", ""reason"": ""Derived from skill prerequisite: 'Explain how the shape and structure of a cell relate to its function' (in Grade 8/Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Connective tissue,Describe the different types of connective tissue,"[""Epithelial tissue""]","[""Correlate the structure of epithelial tissue with its function in an organism""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Relationship between cell shape/structure and function"", ""reason"": ""Derived from skill prerequisite: 'Explain how the shape and structure of a cell relate to its function' (in Grade 8/Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Connective tissue,Relate the structure of connective tissue to its specific function,"[""Epithelial tissue""]","[""Describe the different types of connective tissue""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Relationship between cell shape/structure and function"", ""reason"": ""Derived from skill prerequisite: 'Explain how the shape and structure of a cell relate to its function' (in Grade 8/Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Explain how the shape and structure of a cell relate to its function"", ""reason"": ""This target skill extends the previously learned principle that a cell's structure suits its function to the tissue level for connective tissue.""}]"
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Muscular tissue,Compare the structure of different types of muscular tissue,"[""Epithelial tissue""]","[""Correlate the structure of epithelial tissue with its function in an organism""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Variation in shape and structure of cells (muscle cell, nerve cell)"", ""reason"": ""Prior exposure to the distinctive elongated shape of muscle cells provides the foundation for classifying and comparing different muscular tissue types.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Relationship between cell shape/structure and function"", ""reason"": ""Derived from skill prerequisite: 'Explain how the shape and structure of a cell relate to its function' (in Grade 8/Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Compare the shape and structure of different types of cells such as muscle cell, nerve cell and cheek cell"", ""reason"": ""Prior comparison of muscle cell shape with other cell types establishes the basic recognition needed to further differentiate types of muscular tissue.""}]"
CBSE,Science,Grade 9,Chapter03_Tissues_in_Action,Muscular tissue,Relate the structure of muscular tissue to its function,"[""Epithelial tissue""]","[""Compare the structure of different types of muscular tissue""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Variation in shape and structure of cells (muscle cell, nerve cell)"", ""reason"": ""Prior exposure to the distinctive elongated shape of muscle cells provides the foundation for classifying and comparing different muscular tissue types.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Relationship between cell shape/structure and function"", ""reason"": ""Derived from skill prerequisite: 'Explain how the shape and structure of a cell relate to its function' (in Grade 8/Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Explain how the shape and structure of a cell relate to its function"", ""reason"": ""This target skill extends the previously learned principle that a cell's structure suits its function to the tissue level for muscular tissue.""}]"
