board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Habitat and its components,Identify biotic and abiotic components of a habitat,[],[],[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Types of habitats,Describe the characteristics of different habitats,"[""Habitat and its components""]","[""Identify biotic and abiotic components of a habitat""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Population and community,Explain the concept of population and community in an ecosystem,"[""Habitat and its components""]","[""Identify biotic and abiotic components of a habitat""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Interactions between biotic and abiotic components,Explain how biotic and abiotic components interact within a habitat,"[""Habitat and its components""]","[""Identify biotic and abiotic components of a habitat""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Ecosystem and its types (terrestrial and aquatic),Classify ecosystems as terrestrial or aquatic based on their characteristics,"[""Habitat and its components"", ""Types of habitats""]","[""Describe the characteristics of different habitats""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,"Producers, consumers and decomposers","Distinguish between producers, consumers, and decomposers",[],[],"[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Microorganisms: definition, types, and diversity (bacteria, protozoa, algae, fungi, viruses)"", ""reason"": ""Identifying decomposers as bacteria and fungi requires already knowing what microorganisms are and their major groups.""}]","[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Classify microorganisms into groups such as bacteria, protozoa, algae, and fungi"", ""reason"": ""Recognizing which organisms act as decomposers depends on already being able to classify microorganisms such as bacteria and fungi.""}]",[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,"Herbivores, carnivores and omnivores","Classify organisms as herbivores, carnivores, and omnivores",[],[],[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Food chain,Construct and interpret a food chain,"[""Producers, consumers and decomposers"", ""Herbivores, carnivores and omnivores""]","[""Distinguish between producers, consumers, and decomposers"", ""Classify organisms as herbivores, carnivores, and omnivores""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Trophic levels,Explain the concept of trophic levels in a food chain,"[""Food chain""]","[""Construct and interpret a food chain""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Food web,Interpret a food web and identify interconnections among food chains,"[""Food chain"", ""Trophic levels""]","[""Construct and interpret a food chain"", ""Explain the concept of trophic levels in a food chain""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Decomposition and nutrient recycling,Explain the process of decomposition and its role in nutrient recycling,"[""Producers, consumers and decomposers""]","[""Distinguish between producers, consumers, and decomposers""]","[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Role of microorganisms in decomposition and manure formation"", ""reason"": ""Understanding that microorganisms are the agents that break down organic matter is needed before explaining how decomposition recycles nutrients back into an ecosystem.""}]","[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Explain the role of microorganisms in decomposing organic matter"", ""reason"": ""Explaining decomposition's role in nutrient recycling in an ecosystem builds directly on already knowing that microorganisms break down organic matter.""}]",[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Cascading effects of ecological change,Analyse how one ecological change can lead to cascading effects in an ecosystem,"[""Food chain"", ""Food web"", ""Ecological balance and disruption""]","[""Construct and interpret a food chain"", ""Interpret a food web and identify interconnections among food chains"", ""Predict the impact of removal of a species on other organisms in a food chain""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Ecological balance and disruption,Predict the impact of removal of a species on other organisms in a food chain,"[""Food chain"", ""Food web""]","[""Construct and interpret a food chain"", ""Interpret a food web and identify interconnections among food chains""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Competition among organisms,Describe the role of competition in maintaining ecological balance,"[""Population and community"", ""Ecological balance and disruption""]","[""Explain the concept of population and community in an ecosystem"", ""Predict the impact of removal of a species on other organisms in a food chain""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,"Mutualism, commensalism and parasitism","Distinguish between mutualism, commensalism, and parasitism with examples","[""Interactions between biotic and abiotic components""]","[""Explain how biotic and abiotic components interact within a habitat""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Benefits of ecosystems to humans,Explain the benefits of ecosystems for human survival and well-being,"[""Ecosystem and its types (terrestrial and aquatic)""]","[""Classify ecosystems as terrestrial or aquatic based on their characteristics""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Threatened ecosystems (Sundarbans example),Describe the threats faced by ecosystems such as the Sundarbans,"[""Benefits of ecosystems to humans""]","[""Explain the benefits of ecosystems for human survival and well-being""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Protected areas and conservation,Explain the importance of protected areas in conservation,"[""Threatened ecosystems (Sundarbans example)""]","[""Describe the threats faced by ecosystems such as the Sundarbans""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Human-made ecosystems,Identify examples of human-made ecosystems,"[""Ecosystem and its types (terrestrial and aquatic)""]","[""Classify ecosystems as terrestrial or aquatic based on their characteristics""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Comparison of natural and human-made ecosystems,Compare natural and human-made ecosystems,"[""Human-made ecosystems"", ""Ecosystem and its types (terrestrial and aquatic)""]","[""Identify examples of human-made ecosystems"", ""Classify ecosystems as terrestrial or aquatic based on their characteristics""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Sustainable farming practices,"Suggest sustainable practices to protect soil, farms, and ecosystems","[""Green Revolution and its impact"", ""Effects of synthetic fertilisers and pesticides"", ""Monoculture and biodiversity loss""]","[""Discuss the impact of the Green Revolution on agricultural productivity and the environment"", ""Explain the impact of synthetic fertilisers and pesticides on soil and environment"", ""Describe the effects of monoculture farming on biodiversity""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Green Revolution and its impact,Discuss the impact of the Green Revolution on agricultural productivity and the environment,"[""Ecosystem and its types (terrestrial and aquatic)""]","[""Classify ecosystems as terrestrial or aquatic based on their characteristics""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Effects of synthetic fertilisers and pesticides,Explain the impact of synthetic fertilisers and pesticides on soil and environment,"[""Sustainable farming practices""]","[""Suggest sustainable practices to protect soil, farms, and ecosystems""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Monoculture and biodiversity loss,Describe the effects of monoculture farming on biodiversity,"[""Competition among organisms""]","[""Describe the role of competition in maintaining ecological balance""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Pollination,Explain the role of pollinators in plant reproduction and food production,"[""Mutualism, commensalism and parasitism""]","[""Distinguish between mutualism, commensalism, and parasitism with examples""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter12_How_Nature_Works_in_Harmony,Human impact on natural ecosystems,Analyse the effect of human activities on natural ecosystems,"[""Benefits of ecosystems to humans"", ""Threatened ecosystems (Sundarbans example)"", ""Protected areas and conservation""]","[""Explain the benefits of ecosystems for human survival and well-being"", ""Describe the threats faced by ecosystems such as the Sundarbans"", ""Explain the importance of protected areas in conservation""]",[],[],[],[]
