board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Stars and the Sun,Identify the Sun as a star based on its characteristics,[],[],"[{""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Light and Shadows - Source of Light"", ""reason"": ""Recognising the Sun and stars as sources of light (as opposed to objects that merely reflect it) requires first understanding what makes something a light source.""}]",[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Stars and the Sun,Distinguish between stars and planets based on their observable features,[],"[""Identify the Sun as a star based on its characteristics""]","[{""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Light and Shadows - Source of Light"", ""reason"": ""Recognising the Sun and stars as sources of light (as opposed to objects that merely reflect it) requires first understanding what makes something a light source.""}]","[{""chapter"": ""Chapter11_Natures_Treasures"", ""skill"": ""Distinguish between objects that emit light and objects visible only through reflected light"", ""reason"": ""Telling stars apart from planets depends on knowing that stars emit their own light while planets are only visible because they reflect sunlight.""}]",[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Stars and the Sun,Explain why the Sun appears bigger than other stars despite being smaller,[],"[""Identify the Sun as a star based on its characteristics""]","[{""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Light and Shadows - Source of Light"", ""reason"": ""Recognising the Sun and stars as sources of light (as opposed to objects that merely reflect it) requires first understanding what makes something a light source.""}]",[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Constellations,Recognize patterns of stars to identify common constellations,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Night sky and star patterns"", ""reason"": ""Recognizing constellations builds on the earlier established awareness that stars form visible patterns in the night sky.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""skill"": ""Identify patterns of stars in the night sky"", ""reason"": ""The target skill directly builds on the earlier-acquired ability to spot star patterns before naming them as constellations.""}]"
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Constellations,Explain the historical and navigational significance of constellations,[],"[""Recognize patterns of stars to identify common constellations"", ""Identify the Big Dipper, Little Dipper, Pole Star, Orion, and Sirius in the night sky""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Night sky and star patterns"", ""reason"": ""Recognizing constellations builds on the earlier established awareness that stars form visible patterns in the night sky.""}]",[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Constellations,Describe the difference between constellations as star patterns and as sky regions,[],"[""Recognize patterns of stars to identify common constellations""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Night sky and star patterns"", ""reason"": ""Recognizing constellations builds on the earlier established awareness that stars form visible patterns in the night sky.""}]",[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Constellations,"Identify the Big Dipper, Little Dipper, Pole Star, Orion, and Sirius in the night sky",[],"[""Recognize patterns of stars to identify common constellations""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Night sky and star patterns"", ""reason"": ""Recognizing constellations builds on the earlier established awareness that stars form visible patterns in the night sky.""}]",[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Pole Star and its significance,Locate the Pole Star using nearby constellations,"[""Constellations""]","[""Recognize patterns of stars to identify common constellations"", ""Identify the Big Dipper, Little Dipper, Pole Star, Orion, and Sirius in the night sky""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Pole Star and its significance,Explain why the Pole Star appears stationary in the North direction,"[""Constellations""]","[""Locate the Pole Star using nearby constellations""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Light pollution and night sky visibility,Describe the causes and effects of light pollution on night sky visibility,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Night sky watching techniques,List the preparations needed for safe night sky watching,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,The Solar System,Sequence the planets of the solar system based on their distance from the Sun,"[""Natural satellites""]","[""Identify the components that together form the Solar System""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,The Solar System,"Compare planets based on their size, composition and distance from the Sun","[""Natural satellites""]","[""Sequence the planets of the solar system based on their distance from the Sun""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,The Solar System,Differentiate between planets and their satellites based on their features,"[""Natural satellites""]","[""Identify the components that together form the Solar System"", ""Describe the characteristics of natural satellites of different planets""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,The Solar System,Describe the Sun's role as the source of heat and energy for the Solar System,"[""Natural satellites""]","[""Identify the components that together form the Solar System""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,The Solar System,Identify the components that together form the Solar System,"[""Natural satellites""]",[],[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,The Solar System,Explain why Mars is called the Red Planet and Earth is called the Blue Planet,"[""Natural satellites""]","[""Compare planets based on their size, composition and distance from the Sun""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,The Solar System,Explain why Venus is hotter than Mercury despite being farther from the Sun,"[""Natural satellites""]","[""Compare planets based on their size, composition and distance from the Sun"", ""Describe the Sun's role as the source of heat and energy for the Solar System""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Astronomical unit,Define astronomical unit and explain its use in measuring distances,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Planets and their revolution,Explain the process of revolution and rotation of planets,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Rotation of Earth and day-night cycle,Explain how the rotation of Earth causes the day-night cycle,[],[],[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter09_Rhythms_of_Nature"", ""concept"": ""Rotation of the Earth"", ""reason"": ""The target concept extends the basic mechanism of Earth's rotation already introduced to explain planetary motion in an astronomical context.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter09_Rhythms_of_Nature"", ""concept"": ""Day and night cycle"", ""reason"": ""Understanding day and night as a natural phenomenon is the basis on which the target explains its causal link to Earth's rotation.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter09_Rhythms_of_Nature"", ""skill"": ""Explain the cause of day and night using the concept of Earth's rotation"", ""reason"": ""The target skill is a direct extension of the earlier explicitly taught causal link between Earth's rotation and the day-night cycle.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter09_Rhythms_of_Nature"", ""skill"": ""Demonstrate Earth's rotation using a globe and torch model"", ""reason"": ""The hands-on modeling of rotation gives the physical intuition needed to explain how rotation produces the observed day-night cycle.""}]"
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Inner and outer planets,Classify planets into inner and outer planets based on their position from the Sun,"[""The Solar System""]","[""Sequence the planets of the solar system based on their distance from the Sun""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Dwarf planets,Describe the features that distinguish dwarf planets from regular planets,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Natural satellites,Describe the characteristics of natural satellites of different planets,"[""The Solar System""]","[""Identify the components that together form the Solar System""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Asteroids and asteroid belt,Describe the nature and location of asteroids and the asteroid belt,"[""The Solar System""]","[""Identify the components that together form the Solar System""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Comets,Explain the formation and behaviour of comets as they approach the Sun,"[""The Solar System""]","[""Identify the components that together form the Solar System"", ""Describe the Sun's role as the source of heat and energy for the Solar System""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Milky Way Galaxy,Describe the Milky Way Galaxy and its relation to the Solar System,"[""The Universe and galaxies"", ""The Solar System""]","[""Explain the concept of a galaxy and the scale of the Universe"", ""Identify the components that together form the Solar System""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,The Universe and galaxies,Explain the concept of a galaxy and the scale of the Universe,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,Exoplanets and search for life,Describe the significance of exoplanets in the search for life beyond Earth,"[""The Universe and galaxies"", ""The Solar System""]","[""Explain the concept of a galaxy and the scale of the Universe"", ""Identify the components that together form the Solar System""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter12_Beyond_Earth,The Moon,Describe the surface features of the Moon based on observations,"[""The Solar System"", ""Planets and their revolution""]","[""Identify the components that together form the Solar System""]","[{""chapter"": ""Chapter11_Natures_Treasures"", ""concept"": ""Light and Shadows - Source of Light"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between objects that emit light and objects visible only through reflected light' (in Chapter11_Natures_Treasures) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Phases of the Moon"", ""reason"": ""Prior familiarity with how the Moon's appearance changes is needed before learning about its surface features, craters and phase mechanics in depth.""}]",[]
