board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Uses of Water,Identify the importance and uses of water in daily life activities,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Uses of Water,Describe how water is used differently at home and in surroundings,[],"[""Identify the importance and uses of water in daily life activities""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Sources of Water,"Recognize different sources of water such as rivers, wells, and rain",[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Sources of Water,Name the source of water supply used in their own homes,[],"[""Recognize different sources of water such as rivers, wells, and rain""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Storage of Water,Identify different containers and methods used to store water at home,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Storage of Water,Compare the size and shape of storage containers to judge which holds more water,[],"[""Identify different containers and methods used to store water at home""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Conservation of Water,List ways to conserve water in daily living,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Conservation of Water,Suggest simple practices to avoid wastage of water at home and school,[],"[""List ways to conserve water in daily living""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Reuse and Conservation of Water,Explain why water needs to be stored and conserved,"[""Storage of Water"", ""Conservation of Water""]","[""Identify different containers and methods used to store water at home"", ""List ways to conserve water in daily living""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Observing and Predicting Rain,Identify clues that help predict rainfall,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Characteristics of Rain,"Describe the characteristics of rain such as intensity, direction, and drop size","[""Observing and Predicting Rain""]","[""Identify clues that help predict rainfall""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Journey of Rainwater,Explain what happens to rainwater after it falls on different surfaces,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Groundwater and Underground Storage,"Describe how rainwater contributes to groundwater, streams, and rivers","[""Journey of Rainwater""]","[""Explain what happens to rainwater after it falls on different surfaces""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Water Supply to Homes,Explain how water travels from its source to homes through pipes and tanks,"[""Sources of Water""]","[""Recognize different sources of water such as rivers, wells, and rain""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Methods of Drawing Water,"Describe different methods used to draw water from wells or borewells, such as pulley, hand pump, and electric pump","[""Sources of Water""]","[""Recognize different sources of water such as rivers, wells, and rain""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Traditional and Modern Water Storage Containers,Compare traditional and modern methods of storing water,"[""Storage of Water""]","[""Identify different containers and methods used to store water at home""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Reuse of Water,Describe ways to reuse wastewater for other purposes,"[""Reuse and Conservation of Water""]","[""Explain why water needs to be stored and conserved""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Water Pollution and Cleanliness,Explain the importance of keeping water clean and unpolluted,"[""Conservation of Water""]","[""Discuss activities that cause water wastage or pollution""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Water Pollution and Cleanliness,Discuss activities that cause water wastage or pollution,"[""Conservation of Water""]","[""List ways to conserve water in daily living""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Water Scarcity,Describe the challenges and difficulties people face in getting water,"[""Sources of Water""]","[""Recognize different sources of water such as rivers, wells, and rain""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Water as a Precious and Sacred Resource,Explain why water is considered precious and sacred in daily life and culture,"[""Uses of Water"", ""Water Scarcity""]","[""Identify the importance and uses of water in daily life activities"", ""Describe the challenges and difficulties people face in getting water""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Providing Water to People and Animals,Demonstrate care and responsibility by providing water to people and animals through birdbaths and water pots,"[""Water Pollution and Cleanliness"", ""Conservation of Water""]","[""Explain the importance of keeping water clean and unpolluted"", ""List ways to conserve water in daily living""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Providing Water to People and Animals,Construct a birdbath to provide water for birds and insects,"[""Water Pollution and Cleanliness"", ""Conservation of Water""]","[""Demonstrate care and responsibility by providing water to people and animals through birdbaths and water pots""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter07_Water_–_A_Precious_Gift,Observing and Recording Rain and Water Sources,Draw and describe personal observations of rain and water sources,"[""Observing and Predicting Rain"", ""Sources of Water""]","[""Identify clues that help predict rainfall"", ""Recognize different sources of water such as rivers, wells, and rain""]",[],[]
