board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 9,Chapter3_Coordinate_Geometry,Need for two references to locate a point in a plane,Describe the position of a point in a plane using two perpendicular reference lines,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter02_Hide_and_Seek"", ""concept"": ""Rows and columns in a grid"", ""reason"": ""Locating a position using a row number and a column number already demonstrates that two independent references are needed to fix a point, which is the exact idea generalised into the Cartesian plane.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter02_Hide_and_Seek"", ""skill"": ""Describe the position of an object using rows and columns"", ""reason"": ""Describing a position via a row and a column is a concrete precursor to describing a point's position using two perpendicular reference lines (axes).""}]"
CBSE,Maths,Grade 9,Chapter3_Coordinate_Geometry,Cartesian system and its historical development,Read and interpret coordinates of points marked on a graph,"[""Need for two references to locate a point in a plane"", ""Coordinate axes: x-axis and y-axis"", ""Origin and its coordinates"", ""x-coordinate (abscissa) and y-coordinate (ordinate)"", ""Coordinates of points on the axes""]","[""Identify the x-axis and y-axis in the Cartesian plane"", ""Identify the origin as the point of intersection of the x-axis and y-axis"", ""Determine the abscissa and ordinate of a given point"", ""State the coordinates of points lying on the x-axis"", ""State the coordinates of points lying on the y-axis""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Introduction_To_Graphs"", ""concept"": ""Linear Graph and Location of a Point/Coordinates"", ""reason"": ""Derived from skill prerequisite: 'Determine the coordinates of a point marked on a graph' (in Grade 8/Chapter13_Introduction_To_Graphs) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Introduction_To_Graphs"", ""skill"": ""Determine the coordinates of a point marked on a graph"", ""reason"": ""Reading off the coordinates of a marked point is the same specific procedure already practised in Grade 8 graphing, which Grade 9 extends to all four quadrants.""}]"
CBSE,Maths,Grade 9,Chapter3_Coordinate_Geometry,Coordinate axes: x-axis and y-axis,Identify the x-axis and y-axis in the Cartesian plane,"[""Need for two references to locate a point in a plane""]",[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Introduction_To_Graphs"", ""concept"": ""Independent variable and dependent variable"", ""reason"": ""Derived from skill prerequisite: 'Identify which variable to place on the x-axis and which on the y-axis' (in Grade 8/Chapter13_Introduction_To_Graphs) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Introduction_To_Graphs"", ""skill"": ""Identify which variable to place on the x-axis and which on the y-axis"", ""reason"": ""Recognising the x-axis and y-axis as the horizontal and vertical reference lines for plotting was already required when deciding which variable goes on which axis in Grade 8 graphs.""}]"
CBSE,Maths,Grade 9,Chapter3_Coordinate_Geometry,Coordinate axes: x-axis and y-axis,Describe the relationship between the x-axis and y-axis as perpendicular lines,"[""Need for two references to locate a point in a plane""]","[""Identify the x-axis and y-axis in the Cartesian plane""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Introduction_To_Graphs"", ""concept"": ""Independent variable and dependent variable"", ""reason"": ""Derived from skill prerequisite: 'Identify which variable to place on the x-axis and which on the y-axis' (in Grade 8/Chapter13_Introduction_To_Graphs) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 9,Chapter3_Coordinate_Geometry,Origin and its coordinates,Identify the origin as the point of intersection of the x-axis and y-axis,"[""Coordinate axes: x-axis and y-axis""]","[""Identify the x-axis and y-axis in the Cartesian plane""]",[],[],[],[]
CBSE,Maths,Grade 9,Chapter3_Coordinate_Geometry,Origin and its coordinates,State the coordinates of the origin,"[""Coordinate axes: x-axis and y-axis""]","[""Identify the origin as the point of intersection of the x-axis and y-axis""]",[],[],[],[]
CBSE,Maths,Grade 9,Chapter3_Coordinate_Geometry,Quadrants of the Cartesian plane,Identify the four quadrants formed by the x-axis and y-axis,"[""Coordinate axes: x-axis and y-axis"", ""Origin and its coordinates"", ""Sign conventions for coordinates in each quadrant"", ""x-coordinate (abscissa) and y-coordinate (ordinate)""]",[],[],[],[],[]
CBSE,Maths,Grade 9,Chapter3_Coordinate_Geometry,Quadrants of the Cartesian plane,Determine the quadrant in which a plotted point lies,"[""Coordinate axes: x-axis and y-axis"", ""Origin and its coordinates"", ""Sign conventions for coordinates in each quadrant"", ""x-coordinate (abscissa) and y-coordinate (ordinate)""]","[""Identify the four quadrants formed by the x-axis and y-axis"", ""State the sign of the abscissa and ordinate in each of the four quadrants"", ""Determine the abscissa and ordinate of a given point""]",[],[],[],[]
CBSE,Maths,Grade 9,Chapter3_Coordinate_Geometry,x-coordinate (abscissa) and y-coordinate (ordinate),Distinguish between the abscissa and ordinate of a point,"[""Coordinate axes: x-axis and y-axis"", ""Origin and its coordinates""]","[""Identify the x-axis and y-axis in the Cartesian plane""]",[],[],[],[]
CBSE,Maths,Grade 9,Chapter3_Coordinate_Geometry,x-coordinate (abscissa) and y-coordinate (ordinate),Determine the abscissa and ordinate of a given point,"[""Coordinate axes: x-axis and y-axis"", ""Origin and its coordinates""]","[""Identify the x-axis and y-axis in the Cartesian plane"", ""Identify the origin as the point of intersection of the x-axis and y-axis""]",[],[],[],[]
