board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Cell as the basic unit of life,Explain why the cell is considered the fundamental structural and functional unit of life,"[""Discovery of the cell"", ""Cell theory""]","[""Describe the discovery of the cell through the invention of the microscope"", ""State the postulates of the cell theory""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Cell as the basic unit of life"", ""reason"": ""Grade 8 introduces the foundational idea that all living things are made of cells, which this chapter deepens through the cell theory.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Explain why the cell is considered the basic unit of life"", ""reason"": ""This skill directly extends the Grade 8 justification of cells as life's basic unit into a fuller structural-and-functional argument.""}]"
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Discovery of the cell,Describe the discovery of the cell through the invention of the microscope,"[""Light microscope and its structure""]","[""Describe the structure and working parts of a light microscope""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""History of discovery of cells and microorganisms (Robert Hooke, Antonie van Leeuwenhoek)"", ""reason"": ""Knowing that Hooke first observed cork cells and Leeuwenhoek observed microorganisms provides the factual basis needed for a fuller account of the discovery of the cell.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Describe the historical discovery of cells by Robert Hooke and microorganisms by Antonie van Leeuwenhoek"", ""reason"": ""Knowing the Hooke/Leeuwenhoek discovery narrative from Grade 8 is the specific factual basis needed to describe the discovery of the cell here.""}]"
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Cell theory,State the postulates of the cell theory,"[""Discovery of the cell"", ""Cell as the basic unit of life""]","[""Describe the discovery of the cell through the invention of the microscope"", ""Explain why the cell is considered the fundamental structural and functional unit of life""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Origin of life and thermophiles,Explain how thermophiles near volcanic vents support hypotheses about the origin of life,"[""Cell as the basic unit of life""]","[""Explain why the cell is considered the fundamental structural and functional unit of life""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Limit of resolution of human eye,Explain why structures smaller than the limit of resolution of the human eye require magnification to be seen,"[""Light microscope and its structure""]","[""Describe the structure and working parts of a light microscope""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Light microscope and its structure,Describe the structure and working parts of a light microscope,"[""Limit of resolution of human eye""]","[""Explain why structures smaller than the limit of resolution of the human eye require magnification to be seen""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Magnification and lenses"", ""reason"": ""Understanding how lenses magnify objects is needed before learning the detailed parts and working of a light microscope.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Explain how lenses and microscopes help in observing tiny organisms"", ""reason"": ""The basic understanding of how lenses magnify to reveal tiny organisms is needed before learning the detailed working parts of a light microscope.""}]"
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Electron microscope,Explain how an electron microscope achieves higher resolution than a light microscope,"[""Light microscope and its structure"", ""Limit of resolution of human eye""]","[""Describe the structure and working parts of a light microscope""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Magnification and estimation of cell size,Calculate the actual size of a cell using magnification data,"[""Limit of resolution of human eye"", ""Light microscope and its structure""]","[""Explain why structures smaller than the limit of resolution of the human eye require magnification to be seen"", ""Describe the structure and working parts of a light microscope""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Prokaryotic cell,Explain how the absence of a membrane-bound nucleus distinguishes a prokaryotic cell,"[""Nucleus"", ""Nucleus structure"", ""Nucleoid in prokaryotes""]","[""Describe the organization of genetic material in a prokaryotic cell as a nucleoid"", ""Describe the components of the nucleus including the nuclear membrane, nucleoplasm, and nucleolus""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Bacterial cell structure (nucleoid)"", ""reason"": ""Recognizing that bacterial cells lack a defined nucleus is the basis for understanding prokaryotic cell organisation.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Identify the differences between bacterial cells and other microbial or eukaryotic cells"", ""reason"": ""Recognizing that bacterial cells differ from eukaryotic cells in lacking a defined nucleus is the specific basis for explaining prokaryotic cell structure.""}]"
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Eukaryotic cell,Explain how the presence of a membrane-bound nucleus and organelles distinguishes a eukaryotic cell,"[""Nucleus"", ""Nucleus structure"", ""Cell organelles overview""]","[""Describe the components of the nucleus including the nuclear membrane, nucleoplasm, and nucleolus"", ""Name the various cell organelles found in a eukaryotic cell""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Prokaryotic vs eukaryotic cell,Differentiate between prokaryotic and eukaryotic cells based on their structural features,"[""Prokaryotic cell"", ""Eukaryotic cell""]","[""Explain how the absence of a membrane-bound nucleus distinguishes a prokaryotic cell"", ""Explain how the presence of a membrane-bound nucleus and organelles distinguishes a eukaryotic cell""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Plant cell vs animal cell,Differentiate between plant cells and animal cells based on their structural features,"[""Cell wall"", ""Cell membrane"", ""Cell organelles overview""]","[""Describe the structure and composition of the cell wall in plant cells"", ""Explain the function of the cell membrane in regulating movement of substances""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Differences between plant and animal cells"", ""reason"": ""The basic structural distinctions between plant and animal cells taught earlier underlie the more detailed comparison in this chapter.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Distinguish between plant and animal cells based on structure"", ""reason"": ""The basic structural distinctions identified in Grade 8 are directly extended into the more detailed comparison required here.""}]"
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Plant vs animal cell experiment,Demonstrate the difference between plant and animal cells through a microscopic observation experiment,"[""Plant cell vs animal cell"", ""Light microscope and its structure""]","[""Differentiate between plant cells and animal cells based on their structural features"", ""Describe the structure and working parts of a light microscope""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Slide preparation for microscopy"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the preparation of a slide to observe onion peel and cheek cells under a microscope' (in Grade 8/Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Demonstrate the preparation of a slide to observe onion peel and cheek cells under a microscope"", ""reason"": ""The specific slide-preparation technique for onion peel and cheek cells taught earlier is the direct procedural basis for this microscopic comparison experiment.""}]"
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Cell shape and size diversity,Describe the variety in shape and size of cells found in different organisms,[],[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Variation in shape and structure of cells (muscle cell, nerve cell)"", ""reason"": ""Recognizing that different cells like muscle and nerve cells have different shapes is the basis for understanding the broader diversity of cell shapes and sizes covered here.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Compare the shape and structure of different types of cells such as muscle cell, nerve cell and cheek cell"", ""reason"": ""The earlier comparison of specific cell types by shape is directly built upon to describe the broader diversity of cell shapes and sizes.""}]"
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Functional similarity of cells,Infer that cells are functionally similar despite differences in their structure,"[""Cell organelles overview"", ""Cell organelle functions summary"", ""Ribosomes"", ""Endoplasmic reticulum functions""]","[""Describe the role of ribosomes in protein synthesis"", ""Explain the functions of the endoplasmic reticulum in synthesis and transport of materials""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Relationship between cell shape/structure and function"", ""reason"": ""The earlier idea that cell shape relates to function underlies the inference that structurally diverse cells still perform functionally similar roles.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Explain how the shape and structure of a cell relate to its function"", ""reason"": ""Understanding that a cell's shape correlates with its specific function is needed before inferring that structurally diverse cells still share functional similarities.""}]"
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Cell membrane,Explain the function of the cell membrane in regulating movement of substances,"[""Fluid-mosaic model of cell membrane""]","[""Describe the fluid-mosaic model of the cell membrane""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Structure of a cell (cell membrane, cytoplasm, nucleus)"", ""reason"": ""The basic identification of the cell membrane as a cell part is required before studying its detailed structure and fluid-mosaic model.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Describe the functions of the cell membrane, cytoplasm, and nucleus"", ""reason"": ""The elementary function of the cell membrane introduced in Grade 8 is the base on which the detailed regulatory role in substance movement is built.""}]"
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Fluid-mosaic model of cell membrane,Describe the fluid-mosaic model of the cell membrane,"[""Cell membrane""]","[""Explain the function of the cell membrane in regulating movement of substances""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Selective permeability,Explain how the selective permeability of the cell membrane controls entry and exit of substances,"[""Cell membrane"", ""Diffusion"", ""Osmosis""]","[""Explain the function of the cell membrane in regulating movement of substances"", ""Explain the process of diffusion in cells with examples"", ""Explain the process of osmosis across a selectively permeable membrane""]",[],[],[],[]
CBSE,Science,Grade 9,Chapter02_Cell:_The_Building_Block_of_Life,Diffusion,Explain the process of diffusion in cells with examples,"[""Cell membrane""]","[""Explain the function of the cell membrane in regulating movement of substances""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""Diffusion"", ""reason"": ""The basic particle-level explanation of diffusion as movement of particles from higher to lower concentration is required before applying it specifically to movement of substances into and out of cells.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""skill"": ""Demonstrate the process of diffusion through everyday examples like spreading of smell"", ""reason"": ""The foundational particle-level demonstration of diffusion is required before applying the concept specifically to movement of substances across cells.""}]"
