board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 3,Chapter8_Fair_Share,Equal Sharing,Identify when objects are shared equally among a group,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Equal sharing (introduction to division)"", ""reason"": ""The target concept extends the earlier introduction of dividing a quantity equally among people to the specific contexts of halves and quarters.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Concept of groups and grouping"", ""reason"": ""Derived from skill prerequisite: 'Identify and describe equal groups of objects in everyday situations' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Grouping objects into equal groups"", ""reason"": ""Derived from skill prerequisite: 'Determine whether objects can be grouped equally and identify any leftovers' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Relationship between grouping and sharing"", ""reason"": ""Derived from skill prerequisite: 'Explain the connection between making equal groups and sharing equally' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""skill"": ""Identify and describe equal groups of objects in everyday situations"", ""reason"": ""Recognising equal sharing among people builds directly on the earlier skill of spotting when objects form equal-sized groups.""}]"
CBSE,Maths,Grade 3,Chapter8_Fair_Share,Equal Sharing,Divide a set of objects into equal parts among a given number of groups,[],"[""Identify when objects are shared equally among a group""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Equal sharing (introduction to division)"", ""reason"": ""The target concept extends the earlier introduction of dividing a quantity equally among people to the specific contexts of halves and quarters.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Concept of groups and grouping"", ""reason"": ""Derived from skill prerequisite: 'Identify and describe equal groups of objects in everyday situations' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Grouping objects into equal groups"", ""reason"": ""Derived from skill prerequisite: 'Determine whether objects can be grouped equally and identify any leftovers' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Relationship between grouping and sharing"", ""reason"": ""Derived from skill prerequisite: 'Explain the connection between making equal groups and sharing equally' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""skill"": ""Distribute a given number of objects equally among a fixed number of groups"", ""reason"": ""This target skill is the same distribution procedure already learned, now applied specifically to halves and quarters.""}]"
CBSE,Maths,Grade 3,Chapter8_Fair_Share,Equal Sharing,Check whether shares are equal by comparing the number of objects in each group,[],"[""Divide a set of objects into equal parts among a given number of groups""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Equal sharing (introduction to division)"", ""reason"": ""The target concept extends the earlier introduction of dividing a quantity equally among people to the specific contexts of halves and quarters.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Concept of groups and grouping"", ""reason"": ""Derived from skill prerequisite: 'Identify and describe equal groups of objects in everyday situations' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Grouping objects into equal groups"", ""reason"": ""Derived from skill prerequisite: 'Determine whether objects can be grouped equally and identify any leftovers' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Relationship between grouping and sharing"", ""reason"": ""Derived from skill prerequisite: 'Explain the connection between making equal groups and sharing equally' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""skill"": ""Determine whether objects can be grouped equally and identify any leftovers"", ""reason"": ""Verifying that shares are equal depends on the earlier ability to judge whether a grouping of objects came out even or left a remainder.""}]"
CBSE,Maths,Grade 3,Chapter8_Fair_Share,Equal Sharing,Explain the meaning of equal sharing using concrete objects in a real-life context,[],"[""Identify when objects are shared equally among a group""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Equal sharing (introduction to division)"", ""reason"": ""The target concept extends the earlier introduction of dividing a quantity equally among people to the specific contexts of halves and quarters.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Concept of groups and grouping"", ""reason"": ""Derived from skill prerequisite: 'Identify and describe equal groups of objects in everyday situations' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Grouping objects into equal groups"", ""reason"": ""Derived from skill prerequisite: 'Determine whether objects can be grouped equally and identify any leftovers' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Relationship between grouping and sharing"", ""reason"": ""Derived from skill prerequisite: 'Explain the connection between making equal groups and sharing equally' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""skill"": ""Explain the connection between making equal groups and sharing equally"", ""reason"": ""Articulating what equal sharing means with real objects builds on the earlier explanation of how grouping relates to sharing equally.""}]"
CBSE,Maths,Grade 3,Chapter8_Fair_Share,Half,Identify halves in shapes and objects,[],[],[],[],[],[]
CBSE,Maths,Grade 3,Chapter8_Fair_Share,Half,Draw a line on a shape to show one-half,[],"[""Identify halves in shapes and objects""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter8_Fair_Share,Half,Identify the coloured region that represents half of a whole,[],"[""Identify halves in shapes and objects""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter8_Fair_Share,Half,Fold a shape to make two equal halves,[],"[""Identify halves in shapes and objects""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter8_Fair_Share,Half,Complete the other half of a picture or shape,[],"[""Identify halves in shapes and objects""]",[],[],[],[]
CBSE,Maths,Grade 3,Chapter8_Fair_Share,Half and Double Relationship,Identify the relationship between half and double for a given number,"[""Equal Sharing""]",[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Multiplication as equal groups"", ""reason"": ""Understanding that a number can be doubled by combining two equal groups of that size relies on the earlier idea of forming a total from equal groups.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Multiplication tables of 2, 3, 5, and 10"", ""reason"": ""Derived from skill prerequisite: 'Complete multiplication tables of 2, 3, 5, and 10' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Equal sharing (introduction to division)"", ""reason"": ""Derived from skill prerequisite: 'Distribute a given number of objects equally among a fixed number of groups' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 3,Chapter8_Fair_Share,Half and Double Relationship,Calculate the double of a given number,"[""Equal Sharing""]","[""Identify the relationship between half and double for a given number""]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Multiplication as equal groups"", ""reason"": ""Understanding that a number can be doubled by combining two equal groups of that size relies on the earlier idea of forming a total from equal groups.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Multiplication tables of 2, 3, 5, and 10"", ""reason"": ""Derived from skill prerequisite: 'Complete multiplication tables of 2, 3, 5, and 10' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Equal sharing (introduction to division)"", ""reason"": ""Derived from skill prerequisite: 'Distribute a given number of objects equally among a fixed number of groups' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""skill"": ""Complete multiplication tables of 2, 3, 5, and 10"", ""reason"": ""Doubling a number is the same as finding its value in the table of 2, which the student learned to construct earlier.""}]"
