board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Health as a state of well-being,"Define health as a state of complete physical, mental, and social well-being",[],[],[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Health as a state of well-being,"Distinguish between physical, mental, and social well-being",[],"[""Define health as a state of complete physical, mental, and social well-being""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Community health and personal health,Differentiate between community health and personal health,"[""Health as a state of well-being""]","[""Define health as a state of complete physical, mental, and social well-being""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Factors affecting health,List factors that affect the health of an individual,"[""Health as a state of well-being""]",[],[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Balanced diet and nutrition,Explain the importance of a balanced diet in maintaining health,"[""Health as a state of well-being""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter03_To_A_Healthy_Body"", ""concept"": ""Balanced diet"", ""reason"": ""The target assumes prior knowledge of what constitutes a balanced diet and the nutrient groups it must contain.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter03_To_A_Healthy_Body"", ""skill"": ""Explain the meaning and importance of a balanced diet"", ""reason"": ""The target skill directly builds on the prior establishment of what a balanced diet is and why it matters for health.""}]"
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Personal hygiene,Describe personal hygiene practices that prevent disease,"[""Health as a state of well-being""]",[],[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Clean surroundings and sanitation,Explain how clean surroundings help in preventing disease spread,"[""Health as a state of well-being""]",[],[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Exercise and rest,Explain the role of exercise and rest in maintaining good health,"[""Health as a state of well-being""]",[],[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Disease and its causes,Classify diseases based on their causes,"[""Health as a state of well-being"", ""Pathogens (bacteria, viruses, fungi, worms, protozoa)""]","[""Identify pathogens responsible for various diseases""]","[{""chapter"": ""Chapter01_Exploring_the_Investigative_World_of_Science"", ""concept"": ""Microorganisms and health"", ""reason"": ""Recognising that microorganisms are linked to human health is the basic idea needed before classifying and explaining the various causes of disease.""}]","[{""chapter"": ""Chapter01_Exploring_the_Investigative_World_of_Science"", ""skill"": ""Explain the role of microorganisms in health and disease"", ""reason"": ""Recognising that microorganisms can cause disease is a prerequisite idea for classifying diseases by their underlying causes.""}]",[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Symptoms and signs of illness,Distinguish between a symptom and a sign of illness,"[""Disease and its causes""]","[""Classify diseases based on their causes""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Communicable diseases,Identify communicable diseases and explain how they spread,"[""Disease and its causes"", ""Pathogens (bacteria, viruses, fungi, worms, protozoa)"", ""Modes of disease transmission (air, water, food, vectors, direct/indirect contact)""]","[""Identify pathogens responsible for various diseases"", ""Classify diseases based on their mode of transmission""]","[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Beneficial and harmful roles of microorganisms"", ""reason"": ""Derived from skill prerequisite: 'List diseases in humans, plants and animals caused by microorganisms' (in Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""List diseases in humans, plants and animals caused by microorganisms"", ""reason"": ""Knowing which diseases are caused by microorganisms is a foundation for identifying communicable diseases and their spread.""}, {""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Describe how mosquitoes act as carriers in spreading malaria and dengue"", ""reason"": ""This prior example of vector-mediated spread underlies the general explanation of how communicable diseases spread.""}]",[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Non-communicable diseases,Differentiate between communicable and non-communicable diseases,"[""Disease and its causes""]","[""Classify diseases based on their causes""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Non-communicable diseases,Explain the causes and risk factors of non-communicable diseases,"[""Disease and its causes""]","[""Differentiate between communicable and non-communicable diseases""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,"Pathogens (bacteria, viruses, fungi, worms, protozoa)",Identify pathogens responsible for various diseases,"[""Disease and its causes""]",[],"[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Microorganisms: definition, types, and diversity (bacteria, protozoa, algae, fungi, viruses)"", ""reason"": ""Students must first know the major categories of microorganisms before they can learn which of these groups act as disease-causing pathogens.""}, {""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Beneficial and harmful roles of microorganisms"", ""reason"": ""Derived from skill prerequisite: 'Define pathogens as disease-causing microorganisms' (in Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Define pathogens as disease-causing microorganisms"", ""reason"": ""A student needs the basic definition of a pathogen before being able to identify specific pathogens for particular diseases.""}, {""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Classify microorganisms into groups such as bacteria, protozoa, algae, and fungi"", ""reason"": ""Knowing how microorganisms are grouped is needed to correctly assign a pathogen to its microbial category for a given disease.""}]",[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,"Modes of disease transmission (air, water, food, vectors, direct/indirect contact)",Classify diseases based on their mode of transmission,"[""Communicable diseases"", ""Pathogens (bacteria, viruses, fungi, worms, protozoa)"", ""Vectors of disease""]","[""Identify pathogens responsible for various diseases"", ""Explain the role of vectors in transmitting disease""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Vectors of disease,Explain the role of vectors in transmitting disease,"[""Communicable diseases"", ""Pathogens (bacteria, viruses, fungi, worms, protozoa)""]",[],"[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Beneficial and harmful roles of microorganisms"", ""reason"": ""Derived from skill prerequisite: 'Describe how mosquitoes act as carriers in spreading malaria and dengue' (in Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Describe how mosquitoes act as carriers in spreading malaria and dengue"", ""reason"": ""The concrete example of mosquitoes carrying malaria and dengue provides the basis for generalising the concept of a disease vector.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""concept"": ""Life cycle of a mosquito"", ""reason"": ""Understanding the mosquito's life-cycle stages is needed to explain how a vector transmits disease-causing organisms to humans.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""concept"": ""Comparison of life cycles of plants and animals"", ""reason"": ""Derived from skill prerequisite: 'Explain measures to prevent mosquito breeding based on their life cycle' (in Grade 6/Chapter10_Living_Creatures_Exploring_Their_Characteristics) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""skill"": ""Describe the life cycle of a mosquito through its four stages"", ""reason"": ""Explaining vector-borne transmission of diseases like malaria and dengue requires knowing the mosquito's developmental stages that make it a vector.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""skill"": ""Explain measures to prevent mosquito breeding based on their life cycle"", ""reason"": ""Understanding how mosquito breeding is linked to its life cycle underlies the target's explanation of preventing vector-transmitted diseases.""}]"
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,"Common communicable diseases (cold, chickenpox, measles, TB, hepatitis A, cholera, typhoid, ascariasis, malaria, dengue)",List common communicable diseases along with their causative agents,"[""Communicable diseases"", ""Pathogens (bacteria, viruses, fungi, worms, protozoa)"", ""Modes of disease transmission (air, water, food, vectors, direct/indirect contact)""]","[""Identify pathogens responsible for various diseases"", ""Classify diseases based on their mode of transmission""]","[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Beneficial and harmful roles of microorganisms"", ""reason"": ""Derived from skill prerequisite: 'List diseases in humans, plants and animals caused by microorganisms' (in Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""List diseases in humans, plants and animals caused by microorganisms"", ""reason"": ""Students need prior awareness that specific microorganisms cause specific diseases before they can list causative agents for communicable diseases.""}]",[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Deficiency diseases,Identify deficiency diseases caused by lack of nutrients,"[""Balanced diet and nutrition""]","[""Explain the importance of a balanced diet in maintaining health""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter03_To_A_Healthy_Body"", ""concept"": ""Deficiency diseases and disorders (scurvy, goitre, rickets, beriberi, anaemia, night blindness)"", ""reason"": ""The target's coverage of deficiency diseases builds on the earlier identification of specific nutrient-deficiency disorders and their causes.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter03_To_A_Healthy_Body"", ""skill"": ""Correlate symptoms of deficiency diseases with lack of specific nutrients"", ""reason"": ""Identifying deficiency diseases in the target relies on the earlier skill of linking specific nutrient deficits to their resulting symptoms.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter03_To_A_Healthy_Body"", ""skill"": ""Predict the effects of nutrient deficiency on the human body"", ""reason"": ""Predicting nutrient-deficiency effects is a foundational step for identifying which disease results from which missing nutrient.""}]"
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,"Chronic diseases (cancer, diabetes, asthma)",Differentiate between chronic and deficiency diseases,"[""Disease and its causes""]",[],[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Prevention of communicable diseases,List measures to prevent the spread of communicable diseases,"[""Communicable diseases"", ""Modes of disease transmission (air, water, food, vectors, direct/indirect contact)"", ""Personal hygiene"", ""Clean surroundings and sanitation"", ""Safe drinking water"", ""Immunization and vaccination""]",[],[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Immunization and vaccination,Explain the role of immunization in preventing disease,"[""Communicable diseases"", ""Disease and its causes""]","[""Identify communicable diseases and explain how they spread""]","[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Beneficial and harmful roles of microorganisms"", ""reason"": ""Derived from skill prerequisite: 'Explain the role of vaccination in providing immunity against diseases' (in Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Explain the role of vaccination in providing immunity against diseases"", ""reason"": ""Understanding how vaccination builds immunity is the basic mechanism needed before explaining immunization's broader role in disease prevention.""}]",[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,"History of vaccination (Edward Jenner, smallpox, variolation)",Explain the historical development of the smallpox vaccine,"[""Immunization and vaccination""]","[""Explain the role of immunization in preventing disease""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Antibiotics and their function,Describe the function and limitations of antibiotics,"[""Communicable diseases"", ""Disease and its causes""]","[""Identify communicable diseases and explain how they spread""]","[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Beneficial and harmful roles of microorganisms"", ""reason"": ""Derived from skill prerequisite: 'Explain the role of antibiotics in treating microbial diseases' (in Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Explain the role of antibiotics in treating microbial diseases"", ""reason"": ""Knowing the basic function of antibiotics in treating microbial disease is required before discussing their limitations.""}]",[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Antibiotic resistance,Explain the causes and consequences of antibiotic resistance,"[""Antibiotics and their function""]","[""Describe the function and limitations of antibiotics""]","[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Beneficial and harmful roles of microorganisms"", ""reason"": ""Derived from skill prerequisite: 'Explain the role of antibiotics in treating microbial diseases' (in Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Explain the role of antibiotics in treating microbial diseases"", ""reason"": ""Understanding how antibiotics normally act on microbes is necessary before understanding how resistance to their action develops.""}]",[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Antibiotic resistance,Suggest measures to prevent antibiotic resistance,"[""Antibiotics and their function""]","[""Explain the causes and consequences of antibiotic resistance""]","[{""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Beneficial and harmful roles of microorganisms"", ""reason"": ""Derived from skill prerequisite: 'Explain the role of antibiotics in treating microbial diseases' (in Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye) is a prerequisite of a skill under this concept.""}]",[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,"Traditional medicine systems (Ayurveda, Siddha, Unani)",Compare traditional and modern medicine systems for disease management,"[""Disease and its causes""]",[],[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Safe drinking water,Describe methods to ensure safe drinking water for health,"[""Clean surroundings and sanitation""]","[""Explain how clean surroundings help in preventing disease spread""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""concept"": ""Purification of Water"", ""reason"": ""Knowing how water is purified is a specific precursor to understanding how to ensure safe drinking water for health.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""concept"": ""Keeping Water Clean and Safe"", ""reason"": ""Derived from skill prerequisite: 'Describe methods of making water safe for drinking' (in Grade 4/Chapter01_Living_Together) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""skill"": ""Explain methods used to purify water for drinking"", ""reason"": ""The target skill of ensuring safe drinking water builds directly on earlier knowledge of specific water purification methods.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""skill"": ""Describe methods of making water safe for drinking"", ""reason"": ""This earlier skill of describing water-safety methods is the concrete technique the target skill assumes and extends.""}]"
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Immune system,Explain how the immune system protects the body from disease,"[""Disease and its causes"", ""Communicable diseases""]","[""Identify communicable diseases and explain how they spread""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Mental health and well-being,Explain the importance of mental well-being as part of overall health,"[""Health as a state of well-being""]",[],[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Effects of screen time and digital habits,Explain the effects of excessive screen time on health,"[""Mental health and well-being""]",[],[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Air Quality Index (AQI) and air pollution,Interpret the Air Quality Index to assess the level of air pollution,"[""Health as a state of well-being"", ""Effects of screen time and digital habits""]","[""Explain the effects of excessive screen time on health""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Substance abuse and its harmful effects,Identify the harmful effects of substance abuse on health,"[""Health as a state of well-being"", ""Mental health and well-being""]",[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter06_Adolescence:_A_Stage_of_Growth_and_Change"", ""concept"": ""Harmful effects of substance abuse"", ""reason"": ""The target extends the earlier introduction of substance abuse's harmful effects on adolescents to a broader public-health context.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter06_Adolescence:_A_Stage_of_Growth_and_Change"", ""skill"": ""Explain the harmful effects of substance abuse during adolescence"", ""reason"": ""The target skill extends the earlier specific knowledge of how substance abuse harms adolescent health to a wider health context.""}]"
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Public health measures,Describe measures taken by government to improve public health,"[""Community health and personal health"", ""Prevention of communicable diseases""]",[],[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,"Contributions of Indian scientists in health (Kamal Ranadive, Maharaj Kishan Bhan)",Describe the contribution of Indian scientists to health research,[],[],[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Prevention versus cure in disease management,Explain the importance of prevention over cure in disease management,"[""Disease and its causes"", ""Prevention of communicable diseases""]","[""List measures to prevent the spread of communicable diseases""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Sanitation and disease prevention case studies,Analyse case studies to infer the impact of sanitation on disease prevention,"[""Clean surroundings and sanitation"", ""Prevention of communicable diseases""]","[""Explain how clean surroundings help in preventing disease spread""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter03_Health:_The_Ultimate_Treasure,Data interpretation of disease outbreaks,Interpret data and graphs related to disease outbreaks such as dengue cases,"[""Communicable diseases""]","[""Identify communicable diseases and explain how they spread""]","[{""chapter"": ""Chapter01_Exploring_the_Investigative_World_of_Science"", ""concept"": ""Scientific inquiry and exploration"", ""reason"": ""Derived from skill prerequisite: 'Analyze recorded data to draw inferences and generalisations' (in Chapter01_Exploring_the_Investigative_World_of_Science) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter01_Exploring_the_Investigative_World_of_Science"", ""skill"": ""Analyze recorded data to draw inferences and generalisations"", ""reason"": ""General competence in analysing recorded data is needed before a student can interpret specific graphs of disease outbreak trends.""}]",[],[]
