board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Maths,Grade 1,Chapter 4,Subitization — recognising dot patterns without counting,Identify the number of dots in an arrangement without counting,[],[],"[{""chapter"": ""Chapter 3"", ""concept"": ""Counting numbers 1 to 9"", ""reason"": ""A student must already know what quantities 1–9 represent in order to recognise a dot arrangement as that quantity without counting.""}]","[{""chapter"": ""Chapter 3"", ""skill"": ""Count objects up to 9 and write the corresponding numeral"", ""reason"": ""Recognising a dot pattern as a specific number requires already knowing the numeral-quantity correspondence for numbers 1–9.""}]"
CBSE,Maths,Grade 1,Chapter 4,The concept of zero as a number,Write the numeral zero to represent the absence of objects,[],[],[],[]
CBSE,Maths,Grade 1,Chapter 4,The concept of zero as a number,List real-life situations where the quantity is zero,[],[],[],[]
CBSE,Maths,Grade 1,Chapter 4,Counting up to 20 using groups of ten,Count and write the number of objects in a given picture,"[""The concept of zero as a number""]",[],"[{""chapter"": ""Chapter 3"", ""concept"": ""Counting numbers 1 to 9"", ""reason"": ""Fluent counting of 1–9 is the basis needed before extending counting into the teens using groups.""}, {""chapter"": ""Chapter 3"", ""concept"": ""Grouping and making sets of objects"", ""reason"": ""Forming groups of ten builds directly on the earlier ability to group objects into sets.""}]",[]
CBSE,Maths,Grade 1,Chapter 4,Counting up to 20 using groups of ten,Draw objects to complete a group of 10,"[""The concept of zero as a number""]","[""Count and write the number of objects in a given picture""]","[{""chapter"": ""Chapter 3"", ""concept"": ""Counting numbers 1 to 9"", ""reason"": ""Fluent counting of 1–9 is the basis needed before extending counting into the teens using groups.""}, {""chapter"": ""Chapter 3"", ""concept"": ""Grouping and making sets of objects"", ""reason"": ""Forming groups of ten builds directly on the earlier ability to group objects into sets.""}]",[]
CBSE,Maths,Grade 1,Chapter 4,Number pairs that make 5,Identify number pairs that add up to 5,[],[],"[{""chapter"": ""Chapter 3"", ""concept"": ""Composing numbers up to 9 by addition of smaller numbers"", ""reason"": ""Finding pairs that add to 5 relies on the earlier skill of composing a number from two smaller addends.""}]","[{""chapter"": ""Chapter 3"", ""skill"": ""Identify different pairs of smaller numbers that combine to form a given number up to 9"", ""reason"": ""This is the same pair-finding skill practiced earlier, now applied to the target number 5.""}]"
CBSE,Maths,Grade 1,Chapter 4,Number pairs that make 10,Identify number pairs that add up to 10,[],[],"[{""chapter"": ""Chapter 3"", ""concept"": ""Composing numbers up to 9 by addition of smaller numbers"", ""reason"": ""Finding pairs that add to 10 is an extension of the earlier skill of composing numbers from two smaller addends.""}]","[{""chapter"": ""Chapter 3"", ""skill"": ""Identify different pairs of smaller numbers that combine to form a given number up to 9"", ""reason"": ""This is the same pair-finding skill practiced earlier, extended from numbers up to 9 to the number 10.""}]"
CBSE,Maths,Grade 1,Chapter 4,Counting up to 20 using groups of ten,Count objects beyond 10 by grouping into tens and units,"[""The concept of zero as a number""]","[""Count and write the number of objects in a given picture""]","[{""chapter"": ""Chapter 3"", ""concept"": ""Counting numbers 1 to 9"", ""reason"": ""Fluent counting of 1–9 is the basis needed before extending counting into the teens using groups.""}, {""chapter"": ""Chapter 3"", ""concept"": ""Grouping and making sets of objects"", ""reason"": ""Forming groups of ten builds directly on the earlier ability to group objects into sets.""}]","[{""chapter"": ""Chapter 3"", ""skill"": ""Count objects up to 9 and write the corresponding numeral"", ""reason"": ""Counting beyond 10 by grouping builds on the earlier ability to count and record quantities up to 9.""}]"
CBSE,Maths,Grade 1,Chapter 4,Number names from eleven to twenty,Write the numbers 11 to 20 in sequence,"[""Counting up to 20 using groups of ten""]","[""Count and write the number of objects in a given picture""]","[{""chapter"": ""Chapter 3"", ""concept"": ""Number names (one to nine)"", ""reason"": ""Knowing the number names for 1–9 is needed before learning the related teen number names from eleven to twenty.""}, {""chapter"": ""Chapter 3"", ""concept"": ""Writing numerals 1 to 9"", ""reason"": ""Derived from skill prerequisite: 'Write numerals 1 to 9 in correct sequence' (in Chapter 3) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter 3"", ""concept"": ""Matching numbers to quantities"", ""reason"": ""Derived from skill prerequisite: 'Match a given number to the correct quantity of objects' (in Chapter 3) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 3"", ""skill"": ""Write numerals 1 to 9 in correct sequence"", ""reason"": ""Writing numerals 11 to 20 in sequence builds on the earlier skill of writing numerals 1 to 9 in correct order.""}]"
CBSE,Maths,Grade 1,Chapter 4,Number names from eleven to twenty,Match a group of objects to its numeral (11–20),"[""Counting up to 20 using groups of ten""]","[""Count and write the number of objects in a given picture""]","[{""chapter"": ""Chapter 3"", ""concept"": ""Number names (one to nine)"", ""reason"": ""Knowing the number names for 1–9 is needed before learning the related teen number names from eleven to twenty.""}, {""chapter"": ""Chapter 3"", ""concept"": ""Writing numerals 1 to 9"", ""reason"": ""Derived from skill prerequisite: 'Write numerals 1 to 9 in correct sequence' (in Chapter 3) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter 3"", ""concept"": ""Matching numbers to quantities"", ""reason"": ""Derived from skill prerequisite: 'Match a given number to the correct quantity of objects' (in Chapter 3) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter 3"", ""skill"": ""Match a given number to the correct quantity of objects"", ""reason"": ""Matching numerals 11–20 to groups of objects extends the earlier matching skill used for numbers 1–9.""}]"
