board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 4,Chapter07_The_Cleanest_Village,Cost Comparison and Total Amount Calculation,Identify the cost of individual items given in a real-life scenario,"[{""item"": ""Addition of 2-digit and 3-digit numbers with regrouping"", ""reason"": ""Derived from skill prerequisite: 'Add two or more numbers using regrouping of ones, tens, and hundreds' is a prerequisite of a skill under this concept.""}]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_Fun_at_the_Class_Party"", ""concept"": ""Rate Charts"", ""reason"": ""Derived from skill prerequisite: 'Identify the price of individual items to prepare a rate chart' (in Grade 3/Chapter10_Fun_at_the_Class_Party) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_Fun_at_the_Class_Party"", ""skill"": ""Identify the price of individual items to prepare a rate chart"", ""reason"": ""Reading individual item costs extends the earlier rate-chart reading skill.""}]"
CBSE,Maths,Grade 4,Chapter07_The_Cleanest_Village,Cost Comparison and Total Amount Calculation,Compare the costs of different items to determine which is cheaper or costlier,"[{""item"": ""Addition of 2-digit and 3-digit numbers with regrouping"", ""reason"": ""Derived from skill prerequisite: 'Add two or more numbers using regrouping of ones, tens, and hundreds' is a prerequisite of a skill under this concept.""}]",[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_Fun_at_the_Class_Party"", ""concept"": ""Rate Charts"", ""reason"": ""Derived from skill prerequisite: 'Identify the price of individual items to prepare a rate chart' (in Grade 3/Chapter10_Fun_at_the_Class_Party) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 4,Chapter07_The_Cleanest_Village,Cost Comparison and Total Amount Calculation,Calculate the total amount paid for a combination of items in a real-life situation,"[{""item"": ""Addition of 2-digit and 3-digit numbers with regrouping"", ""reason"": ""Derived from skill prerequisite: 'Add two or more numbers using regrouping of ones, tens, and hundreds' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Add two or more numbers using regrouping of ones, tens, and hundreds"", ""reason"": ""Finding a combined total of item costs requires the addition-with-regrouping skill.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_Fun_at_the_Class_Party"", ""concept"": ""Rate Charts"", ""reason"": ""Derived from skill prerequisite: 'Identify the price of individual items to prepare a rate chart' (in Grade 3/Chapter10_Fun_at_the_Class_Party) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_Fun_at_the_Class_Party"", ""skill"": ""Calculate the total cost of multiple items using a rate chart"", ""reason"": ""This target skill is a direct continuation of calculating combined item costs using a rate chart taught in this chapter.""}]"
CBSE,Maths,Grade 4,Chapter07_The_Cleanest_Village,Cost Comparison and Total Amount Calculation,Solve word problems involving buying and selling of junk items,"[{""item"": ""Addition of 2-digit and 3-digit numbers with regrouping"", ""reason"": ""Derived from skill prerequisite: 'Add two or more numbers using regrouping of ones, tens, and hundreds' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Calculate the total amount paid for a combination of items in a real-life situation"", ""reason"": ""Solving buying/selling word problems builds on being able to total item costs first.""}, {""item"": ""Compare the costs of different items to determine which is cheaper or costlier"", ""reason"": ""Deciding profit or loss in buying/selling problems requires comparing item costs first.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_Fun_at_the_Class_Party"", ""concept"": ""Rate Charts"", ""reason"": ""Derived from skill prerequisite: 'Identify the price of individual items to prepare a rate chart' (in Grade 3/Chapter10_Fun_at_the_Class_Party) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 4,Chapter07_The_Cleanest_Village,Mental Arithmetic,Solve addition and subtraction sums mentally without written steps,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Give_and_Take"", ""concept"": ""Mental Addition and Subtraction"", ""reason"": ""Derived from skill prerequisite: 'Apply mental strategies to add or subtract 3-digit numbers without written calculation' (in Grade 3/Chapter12_Give_and_Take) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Complements of numbers (making 9, 10, 20, 100)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the complement of a number to make 9, 10, 20 or 100' (in Grade 3/Chapter4_Vacation_with_My_Nani_Maa) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Give_and_Take"", ""skill"": ""Apply mental strategies to add or subtract 3-digit numbers without written calculation"", ""reason"": ""This target skill directly extends the mental addition/subtraction strategy already introduced in this chapter.""}]"
CBSE,Maths,Grade 4,Chapter07_The_Cleanest_Village,Mental Arithmetic,Solve multiplication and division sums mentally using known facts,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Give_and_Take"", ""concept"": ""Mental Addition and Subtraction"", ""reason"": ""Derived from skill prerequisite: 'Apply mental strategies to add or subtract 3-digit numbers without written calculation' (in Grade 3/Chapter12_Give_and_Take) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Complements of numbers (making 9, 10, 20, 100)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the complement of a number to make 9, 10, 20 or 100' (in Grade 3/Chapter4_Vacation_with_My_Nani_Maa) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 4,Chapter07_The_Cleanest_Village,Mental Arithmetic,Apply mental math strategies to simplify daily life calculations,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter12_Give_and_Take"", ""concept"": ""Mental Addition and Subtraction"", ""reason"": ""Derived from skill prerequisite: 'Apply mental strategies to add or subtract 3-digit numbers without written calculation' (in Grade 3/Chapter12_Give_and_Take) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Complements of numbers (making 9, 10, 20, 100)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the complement of a number to make 9, 10, 20 or 100' (in Grade 3/Chapter4_Vacation_with_My_Nani_Maa) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""skill"": ""Calculate the complement of a number to make 9, 10, 20 or 100"", ""reason"": ""Simplifying calculations mentally relies on knowing number complements to round numbers, taught in this chapter.""}]"
CBSE,Maths,Grade 4,Chapter07_The_Cleanest_Village,Alternative Methods for Multiplication,Describe an alternative method to multiply two numbers apart from the standard algorithm,"[{""item"": ""Place value and regrouping (ones, tens, hundreds)"", ""reason"": ""Breaking a number into tens and ones for expansion-based multiplication requires understanding place value first.""}]",[],"[{""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Multiplication of 2- and 3-digit numbers by 1-digit numbers"", ""reason"": ""Students must already be able to multiply multi-digit numbers by a single digit before they can devise and evaluate an alternative way of doing the same multiplication.""}, {""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Multiplication as equal groups"", ""reason"": ""Derived from skill prerequisite: 'Solve multiplication problems using equal groups strategy' (in Chapter09_Equal_Groups) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Composing and decomposing 2-digit numbers into 10s and 1s (numerical)"", ""reason"": ""Derived from skill prerequisite: 'Apply decomposition into tens and ones to rewrite a 2-digit number in expanded form' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Apply decomposition into tens and ones to rewrite a 2-digit number in expanded form"", ""reason"": ""Devising an alternative multiplication approach based on expansion requires the ability to decompose numbers into tens and ones.""}]"
CBSE,Maths,Grade 4,Chapter07_The_Cleanest_Village,Alternative Methods for Multiplication,"Construct a multiplication solution using expansion of numbers (e.g., breaking into tens and ones)","[{""item"": ""Place value and regrouping (ones, tens, hundreds)"", ""reason"": ""Breaking a number into tens and ones for expansion-based multiplication requires understanding place value first.""}]","[{""item"": ""Identify the place value of digits in ones, tens, and hundreds positions"", ""reason"": ""Breaking a number into tens and ones for expansion multiplication requires knowing digit place values.""}]","[{""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Multiplication of 2- and 3-digit numbers by 1-digit numbers"", ""reason"": ""Students must already be able to multiply multi-digit numbers by a single digit before they can devise and evaluate an alternative way of doing the same multiplication.""}, {""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Multiplication as equal groups"", ""reason"": ""Derived from skill prerequisite: 'Solve multiplication problems using equal groups strategy' (in Chapter09_Equal_Groups) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Composing and decomposing 2-digit numbers into 10s and 1s (numerical)"", ""reason"": ""Derived from skill prerequisite: 'Apply decomposition into tens and ones to rewrite a 2-digit number in expanded form' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Apply decomposition into tens and ones to rewrite a 2-digit number in expanded form"", ""reason"": ""Constructing this multiplication method requires directly decomposing numbers into tens and ones, a skill taught in this chapter.""}]"
CBSE,Maths,Grade 4,Chapter07_The_Cleanest_Village,Alternative Methods for Multiplication,Apply the devised alternative multiplication method to solve a given problem,"[{""item"": ""Place value and regrouping (ones, tens, hundreds)"", ""reason"": ""Breaking a number into tens and ones for expansion-based multiplication requires understanding place value first.""}]","[{""item"": ""Describe an alternative method to multiply two numbers apart from the standard algorithm"", ""reason"": ""Applying the method requires first having described/understood the alternative method.""}, {""item"": ""Construct a multiplication solution using expansion of numbers (e.g., breaking into tens and ones)"", ""reason"": ""Applying the alternative method requires being able to construct the expansion-based solution.""}]","[{""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Multiplication of 2- and 3-digit numbers by 1-digit numbers"", ""reason"": ""Students must already be able to multiply multi-digit numbers by a single digit before they can devise and evaluate an alternative way of doing the same multiplication.""}, {""chapter"": ""Chapter09_Equal_Groups"", ""concept"": ""Multiplication as equal groups"", ""reason"": ""Derived from skill prerequisite: 'Solve multiplication problems using equal groups strategy' (in Chapter09_Equal_Groups) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter09_Equal_Groups"", ""skill"": ""Solve multiplication problems using equal groups strategy"", ""reason"": ""Using any alternative multiplication method to solve a real problem requires basic multiplication competence first built through the equal-groups strategy.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Composing and decomposing 2-digit numbers into 10s and 1s (numerical)"", ""reason"": ""Derived from skill prerequisite: 'Apply decomposition into tens and ones to rewrite a 2-digit number in expanded form' (in Grade 2/Chapter3_Fun_with_Numbers) is a prerequisite of a skill under this concept.""}]",[]
