board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 9,Chapter10_Herons_Formula,Area of a triangle using the basic formula (half base times height),State the standard area formula for a triangle using base and height,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of triangle"", ""reason"": ""The chapter's opening review of the base-height formula assumes the student already learned this formula and its derivation in the earlier grade.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""skill"": ""Develop and apply a formula to determine the area of a triangle as half of the area of a rectangle"", ""reason"": ""The target skill restates the same base-height triangle area formula that was derived and applied in this earlier chapter.""}]"
CBSE,Maths,Grade 9,Chapter10_Herons_Formula,Area of a triangle using the basic formula (half base times height),Calculate the area of a triangle using the formula Area = ½ × base × height,[],"[""State the standard area formula for a triangle using base and height""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of triangle"", ""reason"": ""The chapter's opening review of the base-height formula assumes the student already learned this formula and its derivation in the earlier grade.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""skill"": ""Calculate the area of a triangle using the derived formula"", ""reason"": ""The computational procedure of multiplying base and height and halving it was already practiced in this earlier chapter.""}]"
CBSE,Maths,Grade 9,Chapter10_Herons_Formula,Area of a triangle using the basic formula (half base times height),Explain the limitation of the base-height area formula when the height is not known,[],"[""State the standard area formula for a triangle using base and height""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of triangle"", ""reason"": ""The chapter's opening review of the base-height formula assumes the student already learned this formula and its derivation in the earlier grade.""}]",[]
CBSE,Maths,Grade 9,Chapter10_Herons_Formula,Semi-perimeter of a Triangle,Define the semi-perimeter of a triangle,"[""Area of a triangle using the basic formula (half base times height)""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Perimeter of a Triangle"", ""reason"": ""Semi-perimeter is defined as half the perimeter, so the student must already understand perimeter as the sum of the three sides.""}]",[]
CBSE,Maths,Grade 9,Chapter10_Herons_Formula,Semi-perimeter of a Triangle,Calculate the semi-perimeter of a triangle given its three side lengths,"[""Area of a triangle using the basic formula (half base times height)""]","[""Define the semi-perimeter of a triangle""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Perimeter of a Triangle"", ""reason"": ""Semi-perimeter is defined as half the perimeter, so the student must already understand perimeter as the sum of the three sides.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""skill"": ""Calculate the perimeter of a triangle by summing the lengths of its three sides"", ""reason"": ""Finding the semi-perimeter requires first summing the three sides to get the perimeter, a skill taught in this earlier chapter.""}]"
CBSE,Maths,Grade 9,Chapter10_Herons_Formula,Semi-perimeter of a Triangle,Use the semi-perimeter value as an input when applying Heron's Formula,"[""Area of a triangle using the basic formula (half base times height)""]","[""Calculate the semi-perimeter of a triangle given its three side lengths""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Perimeter of a Triangle"", ""reason"": ""Semi-perimeter is defined as half the perimeter, so the student must already understand perimeter as the sum of the three sides.""}]",[]
CBSE,Maths,Grade 9,Chapter10_Herons_Formula,Heron's Formula,State Heron's Formula for the area of a triangle in terms of its three sides and semi-perimeter,"[""Semi-perimeter of a Triangle""]","[""Define the semi-perimeter of a triangle""]",[],[],[],[]
CBSE,Maths,Grade 9,Chapter10_Herons_Formula,Heron's Formula,Identify the values of the three sides and semi-perimeter required to apply Heron's Formula,"[""Semi-perimeter of a Triangle""]","[""State Heron's Formula for the area of a triangle in terms of its three sides and semi-perimeter""]",[],[],[],[]
CBSE,Maths,Grade 9,Chapter10_Herons_Formula,Heron's Formula,Apply Heron's Formula to calculate the area of a triangle given its three side lengths,"[""Semi-perimeter of a Triangle""]","[""State Heron's Formula for the area of a triangle in terms of its three sides and semi-perimeter"", ""Calculate the semi-perimeter of a triangle given its three side lengths""]",[],[],[],[]
CBSE,Maths,Grade 9,Chapter10_Herons_Formula,Application of Heron's Formula to Scalene Triangles,Identify a scalene triangle from given side lengths,"[""Heron's Formula""]",[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter6_The_Triangle_And_Its_Properties"", ""concept"": ""Types of triangles"", ""reason"": ""Recognising a triangle as scalene from its side lengths, taught in this earlier chapter, is needed before applying Heron's Formula specifically to scalene cases.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter6_The_Triangle_And_Its_Properties"", ""skill"": ""Classify a triangle as equilateral, isosceles, or scalene from its side lengths."", ""reason"": ""This exact classification skill, learned earlier, is directly reused to identify scalene triangles before applying Heron's Formula to them.""}]"
