board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,Preparing for a trip/outing,Describe how to prepare for a trip or outing,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,Caring for elders,Explain the importance of caring for elders during travel,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,"Modes of public transport (bus, autorickshaw, train)",Identify different modes of public transport used within a city or town,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,Safety rules while travelling,List safety rules to be followed while travelling in a bus,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,Bus etiquette and ticket buying,Explain the process of buying tickets and boarding a bus safely,"[""Safety rules while travelling""]","[""List safety rules to be followed while travelling in a bus""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,"Facilities at a mela (map, ambulance, police jeep, fire engine, Lost and Found booth)","Identify the facilities available at a mela ground such as map, ambulance, police jeep and fire engine","[""Reading and interpreting a map/sketch""]",[],[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,"Facilities at a mela (map, ambulance, police jeep, fire engine, Lost and Found booth)",Explain the purpose of the 'Lost and Found' booth,"[""Reading and interpreting a map/sketch""]",[],[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,"Stalls and activities at a mela (games, toys, sweets, rides)","Identify the stalls and activities found at a mela such as games, toys, sweets and rides",[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,Hygiene practices (washing hands before eating),Explain the importance of washing hands before eating,"[""Waste disposal practices""]","[""Describe proper waste disposal practices after eating""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,Waste disposal practices,Describe proper waste disposal practices after eating,"[""Hygiene practices (washing hands before eating)""]","[""Explain the importance of washing hands before eating""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,Role of police dog and police officer,Describe the role of a police dog and police officer at a public event,"[""Community helpers and their functions""]",[],[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,Kumbh Mela as a cultural festival,State facts about the Kumbh Mela and its significance,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,Reading and interpreting a map/sketch,Read and interpret a simple map or sketch to identify locations,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,Reading and interpreting a map/sketch,Sketch a route from home to school,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,Occupations and roles of people at a mela,"Identify various occupations and roles of people seen at a mela (e.g., toy seller, puppeteer, mehendi artist, halwai)","[""Community helpers and their functions""]",[],[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,Community helpers and their functions,Match pictures of community helpers with their correct names,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,"Modes of public transport (bus, autorickshaw, train)",Draw and label different vehicles seen around home and school,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,Role play and organising a mock mela,"Discuss and plan roles, stalls, and games to organise a mock mela","[""Stalls and activities at a mela (games, toys, sweets, rides)"", ""Facilities at a mela (map, ambulance, police jeep, fire engine, Lost and Found booth)"", ""Occupations and roles of people at a mela""]","[""Identify the stalls and activities found at a mela such as games, toys, sweets and rides"", ""Identify the facilities available at a mela ground such as map, ambulance, police jeep and fire engine"", ""Identify various occupations and roles of people seen at a mela (e.g., toy seller, puppeteer, mehendi artist, halwai)""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter02_Going_to_the_Mela,Preparing for a trip/outing,"Describe a personal experience of travelling with family, friends or neighbours",[],"[""Describe how to prepare for a trip or outing""]",[],[]
