board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 10,Chapter11_Electricity,Electric Current and Charge,Calculate the charge flowing through a conductor in a given time,"[""SI Units of Charge and Current""]",[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Electrostatic force and static charges"", ""reason"": ""Students must already understand electric charge as a physical property of matter before the target chapter quantifies it in coulombs and relates it to current.""}]",[]
CBSE,Science,Grade 10,Chapter11_Electricity,Electric Current and Charge,Calculate the current flowing through a conductor given the charge and time,"[""SI Units of Charge and Current""]","[""Calculate the charge flowing through a conductor in a given time""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Electrostatic force and static charges"", ""reason"": ""Students must already understand electric charge as a physical property of matter before the target chapter quantifies it in coulombs and relates it to current.""}]",[]
CBSE,Science,Grade 10,Chapter11_Electricity,Electric Current and Charge,Define electric current and explain its direction of flow,"[""SI Units of Charge and Current""]",[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Electrostatic force and static charges"", ""reason"": ""Students must already understand electric charge as a physical property of matter before the target chapter quantifies it in coulombs and relates it to current.""}]",[]
CBSE,Science,Grade 10,Chapter11_Electricity,Electric Current and Charge,Calculate the number of electrons constituting a given charge,"[""SI Units of Charge and Current""]","[""State the SI unit of electric charge as coulomb and its relation to electron charge""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter05_Exploring_Forces"", ""concept"": ""Electrostatic force and static charges"", ""reason"": ""Students must already understand electric charge as a physical property of matter before the target chapter quantifies it in coulombs and relates it to current.""}]",[]
CBSE,Science,Grade 10,Chapter11_Electricity,Direction of Conventional Current and Electron Flow,Distinguish between the direction of conventional current and the direction of electron flow in a conductor,"[""Electric Current and Charge""]",[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter03_Electricity:_Circuits_and_their_Components"", ""concept"": ""Electrical circuit and direction of current"", ""reason"": ""The target concept contrasts electron flow with the pre-established convention of current direction, which must already be known.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter03_Electricity:_Circuits_and_their_Components"", ""skill"": ""State the direction of conventional electric current in a circuit"", ""reason"": ""A student must already know the convention for current direction before being able to contrast it with the actual direction of electron flow.""}]"
CBSE,Science,Grade 10,Chapter11_Electricity,SI Units of Charge and Current,State the SI unit of electric charge as coulomb and its relation to electron charge,"[""Electric Current and Charge""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,SI Units of Charge and Current,State the SI unit of electric current as ampere and define it in terms of charge and time,"[""Electric Current and Charge""]","[""Define electric current and explain its direction of flow""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Potential Difference,Calculate the work done in moving a charge between two points,"[""Electric Current and Charge""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Potential Difference,Calculate the potential difference between two points using work done and charge,"[""Electric Current and Charge""]","[""Calculate the work done in moving a charge between two points""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Potential Difference,Explain the concept of potential difference between two points in a circuit,"[""Electric Current and Charge""]","[""Calculate the work done in moving a charge between two points""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,SI Unit of Potential Difference,State the SI unit of potential difference as volt,"[""Potential Difference""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Resistance and its SI Unit,Define electrical resistance of a conductor,"[""Potential Difference""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Resistance and its SI Unit,State the SI unit of resistance as ohm,"[""Potential Difference""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Ohm's Law,Plot a graph between voltage and current for a conductor,"[""Potential Difference"", ""Electric Current and Charge""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Ohm's Law,Determine the resistance of a conductor from a V-I graph,"[""Potential Difference"", ""Electric Current and Charge""]","[""Plot a graph between voltage and current for a conductor"", ""State Ohm's law relating potential difference and current""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Ohm's Law,State Ohm's law relating potential difference and current,"[""Potential Difference"", ""Electric Current and Charge""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Ohm's Law,"Calculate resistance, current, or voltage using Ohm's Law","[""Potential Difference"", ""Electric Current and Charge""]","[""State Ohm's law relating potential difference and current""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Factors Affecting Resistance,Explain how the resistance of a conductor depends on its length,"[""Resistance and its SI Unit""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Factors Affecting Resistance,Explain how the resistance of a conductor depends on its area of cross-section,"[""Resistance and its SI Unit""]","[""Explain how the resistance of a conductor depends on its length""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Factors Affecting Resistance,"Explain how resistance depends on length, area of cross-section, and material of a conductor","[""Resistance and its SI Unit""]","[""Explain how the resistance of a conductor depends on its length"", ""Explain how the resistance of a conductor depends on its area of cross-section""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Resistivity,Define resistivity of a material,"[""Resistance and its SI Unit"", ""Factors Affecting Resistance""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Resistivity,"Classify substances as conductors, alloys, or insulators based on their resistivity values","[""Resistance and its SI Unit"", ""Factors Affecting Resistance""]","[""Define resistivity of a material""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Resistivity,Calculate resistivity of a conductor using given dimensions and resistance,"[""Resistance and its SI Unit"", ""Factors Affecting Resistance""]","[""Define resistivity of a material""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,"Conductors, Insulators and Resistors","Distinguish between conductors, insulators, and resistors based on their electrical behaviour","[""Resistance and its SI Unit"", ""Resistivity""]","[""Define electrical resistance of a conductor""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Conductors and Insulators"", ""reason"": ""The target concept extends the earlier distinction between conductors and insulators by introducing resistors as an intermediate category based on resistance.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""skill"": ""Distinguish between good and poor conductors of electricity"", ""reason"": ""Classifying resistors as an intermediate category depends on already being able to distinguish good conductors from poor ones.""}]"
CBSE,Science,Grade 10,Chapter11_Electricity,Variable Resistance and Rheostat,Explain the function of a rheostat in controlling current in a circuit,"[""Ohm's Law"", ""Resistance and its SI Unit""]","[""State Ohm's law relating potential difference and current""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Resistors in Series,Derive the formula for equivalent resistance of resistors connected in series,"[""Resistance and its SI Unit"", ""Ohm's Law""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Resistors in Series,Calculate the equivalent resistance of resistors connected in series,"[""Resistance and its SI Unit"", ""Ohm's Law""]","[""Derive the formula for equivalent resistance of resistors connected in series""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Resistors in Parallel,Derive the formula for equivalent resistance of resistors connected in parallel,"[""Resistance and its SI Unit"", ""Ohm's Law"", ""Resistors in Series""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Resistors in Parallel,Calculate the equivalent resistance of resistors connected in parallel,"[""Resistance and its SI Unit"", ""Ohm's Law"", ""Resistors in Series""]","[""Derive the formula for equivalent resistance of resistors connected in parallel""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Resistors in Parallel,Identify the suitable combination of resistors for a given application such as domestic wiring,"[""Resistance and its SI Unit"", ""Ohm's Law"", ""Resistors in Series""]","[""Calculate the equivalent resistance of resistors connected in parallel"", ""Calculate the equivalent resistance of resistors connected in series""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Series and Parallel Circuit Comparison,Compare series and parallel circuits in terms of current and voltage distribution,"[""Resistors in Series"", ""Resistors in Parallel""]","[""Calculate the equivalent resistance of resistors connected in series"", ""Calculate the equivalent resistance of resistors connected in parallel""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Series and Parallel Circuit Comparison,Explain advantages of parallel circuits over series circuits in domestic wiring,"[""Resistors in Series"", ""Resistors in Parallel""]","[""Compare series and parallel circuits in terms of current and voltage distribution""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Series and Parallel Resistor Combinations,Solve numerical problems involving combinations of series and parallel resistors,"[""Resistors in Series"", ""Resistors in Parallel""]","[""Calculate the equivalent resistance of resistors connected in series"", ""Calculate the equivalent resistance of resistors connected in parallel""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Heating Effect of Electric Current,Explain the heating effect of electric current in a conductor,"[""Joule's Law of Heating"", ""Resistance and its SI Unit""]",[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Heating Effect of Electric Current"", ""reason"": ""The qualitative understanding of heat generation by current established here is required before the target chapter quantifies it through Joule's law.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Household electric heating appliances"", ""reason"": ""Derived from skill prerequisite: 'Describe the structure and working of common household heating appliances such as electric iron and toaster' (in Grade 8/Chapter04_Electricity:_Magnetic_and_Heating_Effects) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Nichrome wire and heating elements"", ""reason"": ""Derived from skill prerequisite: 'Explain why nichrome wire is used in heating appliances' (in Grade 8/Chapter04_Electricity:_Magnetic_and_Heating_Effects) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""skill"": ""Explain why a conductor heats up when electric current passes through it"", ""reason"": ""This is the same qualitative explanation of resistive heating that the target chapter now formalises quantitatively through Joule's law.""}]"
CBSE,Science,Grade 10,Chapter11_Electricity,Joule's Law of Heating,"State Joule's law of heating in terms of current, resistance, and time","[""Ohm's Law""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter11_Electricity,Heating Effect of Electric Current,Calculate the heat produced by an electric current using given data,"[""Joule's Law of Heating"", ""Resistance and its SI Unit""]","[""State Joule's law of heating in terms of current, resistance, and time""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Heating Effect of Electric Current"", ""reason"": ""The qualitative understanding of heat generation by current established here is required before the target chapter quantifies it through Joule's law.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Household electric heating appliances"", ""reason"": ""Derived from skill prerequisite: 'Describe the structure and working of common household heating appliances such as electric iron and toaster' (in Grade 8/Chapter04_Electricity:_Magnetic_and_Heating_Effects) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter04_Electricity:_Magnetic_and_Heating_Effects"", ""concept"": ""Nichrome wire and heating elements"", ""reason"": ""Derived from skill prerequisite: 'Explain why nichrome wire is used in heating appliances' (in Grade 8/Chapter04_Electricity:_Magnetic_and_Heating_Effects) is a prerequisite of a skill under this concept.""}]",[]
