board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 6,Chapter02_Diversity_In_The_Living_World,Diversity in plants and animals around us,"Identify similarities and differences among plants based on stem, leaves, and flowers","[""Features of plants (stem, leaves, flowers)"", ""Habitat"", ""Movement in animals and body parts used""]","[""Describe the functions of stem, leaves, and flowers in plants""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""concept"": ""Parts of a plant (roots, stem, leaves, flowers, fruits, seeds)"", ""reason"": ""Derived from skill prerequisite: 'Identify the parts of a plant such as root, stem, leaf, flower, fruit and seed' (in Grade 3/Chapter04_Getting_to_Know_Plants) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""skill"": ""Identify the parts of a plant such as root, stem, leaf, flower, fruit and seed"", ""reason"": ""Students must be able to identify these plant parts before comparing plants based on them.""}]"
CBSE,Science,Grade 6,Chapter02_Diversity_In_The_Living_World,Diversity in plants and animals around us,"Identify similarities and differences among animals based on habitat, food, and movement","[""Features of plants (stem, leaves, flowers)"", ""Habitat"", ""Movement in animals and body parts used""]","[""Explain the concept of habitat with examples"", ""Classify animals based on their type of movement and body parts used""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""concept"": ""Parts of a plant (roots, stem, leaves, flowers, fruits, seeds)"", ""reason"": ""Derived from skill prerequisite: 'Identify the parts of a plant such as root, stem, leaf, flower, fruit and seed' (in Grade 3/Chapter04_Getting_to_Know_Plants) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 6,Chapter02_Diversity_In_The_Living_World,Biodiversity,Compare features of the same species living in different regions,"[""Diversity in plants and animals around us"", ""Habitat""]","[""Explain the concept of habitat with examples""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter02_Diversity_In_The_Living_World,Biodiversity,Analyse reasons behind variation in biodiversity across regions,"[""Diversity in plants and animals around us"", ""Habitat""]","[""Compare features of the same species living in different regions""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter02_Diversity_In_The_Living_World,Grouping of plants and animals,Explain the importance of grouping in studying diversity,"[""Diversity in plants and animals around us""]","[""Identify similarities and differences among plants based on stem, leaves, and flowers"", ""Identify similarities and differences among animals based on habitat, food, and movement""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""concept"": ""Plant Classification"", ""reason"": ""Students first learned to sort plants into basic categories, which is the foundation for the more systematic grouping criteria introduced in Grade 6.""}]",[]
CBSE,Science,Grade 6,Chapter02_Diversity_In_The_Living_World,"Features of plants (stem, leaves, flowers)","Describe the functions of stem, leaves, and flowers in plants",[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""concept"": ""Parts of a plant (roots, stem, leaves, flowers, fruits, seeds)"", ""reason"": ""Recognising the basic parts of a plant is required before students can study specific features and functions of the stem, leaves and flowers.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""skill"": ""Explain the role of roots and stems in plant growth"", ""reason"": ""Understanding the basic role of the stem in plant growth is a direct precursor to describing its function alongside leaves and flowers.""}]"
CBSE,Science,Grade 6,Chapter02_Diversity_In_The_Living_World,"Herbs, shrubs, and trees","Classify plants into herbs, shrubs, and trees based on height and stem type","[""Features of plants (stem, leaves, flowers)""]","[""Describe the functions of stem, leaves, and flowers in plants""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""concept"": ""Herbs and grasses"", ""reason"": ""Students already learned the observable features of herbs before classifying them formally by stem type and height in Grade 6.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""concept"": ""Shrubs and their features"", ""reason"": ""Students already learned the observable features of shrubs before classifying them formally by stem type and height in Grade 6.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""concept"": ""Trees and their features"", ""reason"": ""Students already learned the observable features of trees before classifying them formally by stem type and height in Grade 6.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""concept"": ""Plant Classification"", ""reason"": ""Derived from skill prerequisite: 'Classify plants seen in surroundings as tree, shrub, herb, grass, climber or creeper' (in Grade 3/Chapter04_Getting_to_Know_Plants) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""skill"": ""Distinguish between herbs and shrubs based on stem type"", ""reason"": ""This skill already taught differentiating herbs and shrubs by stem type, which is directly extended to include trees in Grade 6.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""skill"": ""Classify plants seen in surroundings as tree, shrub, herb, grass, climber or creeper"", ""reason"": ""Students already practised sorting plants into these very categories, forming the basis for the more formal classification in Grade 6.""}]"
CBSE,Science,Grade 6,Chapter02_Diversity_In_The_Living_World,Climbers and creepers,Distinguish climbers and creepers based on the characteristics of their weak stems,"[""Features of plants (stem, leaves, flowers)""]","[""Describe the functions of stem, leaves, and flowers in plants""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""concept"": ""Climbers and creepers"", ""reason"": ""Students first observed how climbers and creepers grow before analysing the weak-stem characteristics that distinguish them in Grade 6.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""skill"": ""Distinguish between climbers and creepers based on stem structure"", ""reason"": ""This is the same distinction taught earlier at a simpler level, which Grade 6 builds on by focusing specifically on weak stems.""}]"
CBSE,Science,Grade 6,Chapter02_Diversity_In_The_Living_World,Leaf venation (reticulate and parallel),Distinguish between reticulate and parallel venation in leaves,"[""Features of plants (stem, leaves, flowers)""]","[""Describe the functions of stem, leaves, and flowers in plants""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Nature_Trail"", ""concept"": ""Leaves: colour, shape, texture and venation patterns"", ""reason"": ""Students already observed vein patterns on leaves, which is the direct precursor to distinguishing reticulate from parallel venation.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter03_Nature_Trail"", ""skill"": ""Observe and describe leaf colour, shape, texture, and vein patterns"", ""reason"": ""Students already practised observing vein patterns on leaves, a necessary skill before classifying venation as reticulate or parallel.""}]"
CBSE,Science,Grade 6,Chapter02_Diversity_In_The_Living_World,Root systems (taproot and fibrous root),Distinguish between taproot and fibrous root systems,"[""Features of plants (stem, leaves, flowers)""]","[""Describe the functions of stem, leaves, and flowers in plants""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""concept"": ""Roots and Their Functions"", ""reason"": ""Understanding that roots have specific structures and functions is required before differentiating taproot and fibrous root systems.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter01_Living_Together"", ""skill"": ""Recognize different kinds of roots and explain the importance of water for plants"", ""reason"": ""Recognising that roots come in different kinds is the direct precursor to distinguishing taproot from fibrous root systems.""}]"
