board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Environmental Science,Grade 3,Chapter08_Food_We_Eat,Variety in Food Items,Identify different food items eaten by people,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter08_Food_We_Eat,Variety in Food Items,List food items commonly consumed at home and in the neighbourhood,[],"[{""item"": ""Identify different food items eaten by people"", ""reason"": ""Listing commonly consumed food items at home requires first being able to identify different food items eaten by people in general.""}]",[],[]
CBSE,Environmental Science,Grade 3,Chapter08_Food_We_Eat,Nature of Foods for Different Age Groups,"Infer the reasons for different foods consumed by children, young and old people","[{""item"": ""Variety in Food Items"", ""reason"": ""Understanding why different age groups eat different foods requires first recognizing that a variety of food items exist.""}]","[{""item"": ""Describe the need of food for people of different age groups"", ""reason"": ""Inferring reasons for different food consumption patterns builds on first being able to describe the basic food needs of different age groups.""}]",[],[]
CBSE,Environmental Science,Grade 3,Chapter08_Food_We_Eat,Nature of Foods for Different Age Groups,Describe the need of food for people of different age groups,"[{""item"": ""Variety in Food Items"", ""reason"": ""Understanding why different age groups eat different foods requires first recognizing that a variety of food items exist.""}]",[],[],[]
CBSE,Environmental Science,Grade 3,Chapter08_Food_We_Eat,Food Habits in Different Regions,State reasons for people's choice of foods they eat in different parts of India and other countries like Hong Kong,"[{""item"": ""Variety in Food Items"", ""reason"": ""Comparing food habits across regions requires first recognizing that there is a variety of food items to compare.""}]",[],[],[]
CBSE,Environmental Science,Grade 3,Chapter08_Food_We_Eat,Food Habits in Different Regions,Compare food habits across different regions and countries,"[{""item"": ""Variety in Food Items"", ""reason"": ""Comparing food habits across regions requires first recognizing that there is a variety of food items to compare.""}]","[{""item"": ""State reasons for people's choice of foods they eat in different parts of India and other countries like Hong Kong"", ""reason"": ""Comparing food habits across regions requires first knowing the reasons behind each region's food choices.""}]",[],[]
CBSE,Environmental Science,Grade 3,Chapter08_Food_We_Eat,Expressions and Mudras Related to Food,Describe different expressions and mudras used while eating and their meanings,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter08_Food_We_Eat,Expressions and Mudras Related to Food,Demonstrate simple mudras or expressions associated with food and share their meaning,[],"[{""item"": ""Describe different expressions and mudras used while eating and their meanings"", ""reason"": ""Physically demonstrating mudras and their meanings requires first being able to describe what those mudras and expressions are.""}]",[],[]
CBSE,Environmental Science,Grade 3,Chapter08_Food_We_Eat,Favourite Homemade Food Dishes,Describe how to prepare a simple dish like fruit chaat or salad,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter08_Food_We_Eat,Favourite Homemade Food Dishes,Write a recipe for a favourite food dish,[],"[{""item"": ""Describe how to prepare a simple dish like fruit chaat or salad"", ""reason"": ""Writing a full recipe builds on first being able to describe the preparation steps of a simple dish.""}]",[],[]
