board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Environmental Science,Grade 3,Chapter03_Celebrating_Festivals,Travelling to the Himalayas,Describe a journey to the Himalayas including the experiences and sights along the way,"[""Modes of transport and travel experiences"", ""Geography of the Himalayas and Mount Everest""]","[""Compare different modes of transport used during a journey and describe how they affect travel experiences"", ""Identify the Himalayas and Mount Everest on a map""]","[{""chapter"": ""Chapter02_Going_to_the_Mela"", ""concept"": ""Preparing for a trip/outing"", ""reason"": ""Knowing how to prepare for an outing is a foundation for describing the more elaborate journey to the Himalayas.""}]","[{""chapter"": ""Chapter02_Going_to_the_Mela"", ""skill"": ""Describe a personal experience of travelling with family, friends or neighbours"", ""reason"": ""The ability to narrate a travel experience with sights and events is first developed through describing simpler personal travel experiences.""}]"
CBSE,Environmental Science,Grade 3,Chapter03_Celebrating_Festivals,Modes of transport and travel experiences,Compare different modes of transport used during a journey and describe how they affect travel experiences,[],[],"[{""chapter"": ""Chapter11_Making_Things"", ""concept"": ""Modes of Transport"", ""reason"": ""Students need to already know what different modes of transport exist before they can compare how these modes affect the experience of travelling to the Himalayas.""}, {""chapter"": ""Chapter02_Going_to_the_Mela"", ""concept"": ""Modes of public transport (bus, autorickshaw, train)"", ""reason"": ""Familiarity with everyday public transport options is needed before discussing the transport experiences of a longer journey.""}]","[{""chapter"": ""Chapter11_Making_Things"", ""skill"": ""List different modes of transport used for travel and the reasons for choosing them"", ""reason"": ""A student must first be able to list and reason about different transport modes before comparing their effects on a specific journey.""}, {""chapter"": ""Chapter02_Going_to_the_Mela"", ""skill"": ""Identify different modes of public transport used within a city or town"", ""reason"": ""Recognising common public transport modes is a basic step needed before comparing transport choices for a mountain journey.""}]"
CBSE,Environmental Science,Grade 3,Chapter03_Celebrating_Festivals,Road safety measures and traffic signboards,"Explain the safety measures to be taken while travelling by bus, bicycle, or walking","[""Modes of transport and travel experiences""]","[""Compare different modes of transport used during a journey and describe how they affect travel experiences""]","[{""chapter"": ""Chapter02_Going_to_the_Mela"", ""concept"": ""Safety rules while travelling"", ""reason"": ""General travel safety rules learned earlier form the basis for understanding the specific road safety measures and signboards discussed here.""}]","[{""chapter"": ""Chapter02_Going_to_the_Mela"", ""skill"": ""List safety rules to be followed while travelling in a bus"", ""reason"": ""Basic bus travel safety rules learned earlier are extended here to cover bicycle and walking safety.""}]"
CBSE,Environmental Science,Grade 3,Chapter03_Celebrating_Festivals,Road safety measures and traffic signboards,Identify common road signboards and their meanings,"[""Modes of transport and travel experiences""]","[""Explain the safety measures to be taken while travelling by bus, bicycle, or walking""]","[{""chapter"": ""Chapter02_Going_to_the_Mela"", ""concept"": ""Safety rules while travelling"", ""reason"": ""General travel safety rules learned earlier form the basis for understanding the specific road safety measures and signboards discussed here.""}]",[]
CBSE,Environmental Science,Grade 3,Chapter03_Celebrating_Festivals,Signboards for public places,Draw and design signboards for various locations,"[""Road safety measures and traffic signboards""]","[""Identify common road signboards and their meanings""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter03_Celebrating_Festivals,Flowers and plants of different regions,Describe the flowers and trees seen during a journey to the mountains,"[""Travelling to the Himalayas""]","[""Describe a journey to the Himalayas including the experiences and sights along the way""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter03_Celebrating_Festivals,Geography of the Himalayas and Mount Everest,Identify the Himalayas and Mount Everest on a map,[],[],"[{""chapter"": ""Chapter02_Going_to_the_Mela"", ""concept"": ""Reading and interpreting a map/sketch"", ""reason"": ""Derived from skill prerequisite: 'Read and interpret a simple map or sketch to identify locations' (in Chapter02_Going_to_the_Mela) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter02_Going_to_the_Mela"", ""skill"": ""Read and interpret a simple map or sketch to identify locations"", ""reason"": ""Locating the Himalayas and Mount Everest on a map requires the prior skill of reading and interpreting maps.""}]"
CBSE,Environmental Science,Grade 3,Chapter03_Celebrating_Festivals,Kashmiri culture and food (haakh),Describe the traditional Kashmiri food haakh and its cultural significance,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter03_Celebrating_Festivals,"Spring festivals across India (Kashmir Tulip Festival, Vishu, Sarhul)",Explain how spring is celebrated through different regional festivals,"[""Festivals and seasons"", ""Nature and seasonal changes in spring""]","[""List festivals celebrated in different seasons"", ""Identify seasonal changes in spring that support festival celebrations""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter03_Celebrating_Festivals,Festivals and seasons,List festivals celebrated in different seasons,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter03_Celebrating_Festivals,Nature and seasonal changes in spring,Identify seasonal changes in spring that support festival celebrations,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter03_Celebrating_Festivals,Special foods prepared during festivals,Match festival names with their traditional foods,"[""Festivals and seasons""]","[""List festivals celebrated in different seasons""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter03_Celebrating_Festivals,Special dresses worn during festivals,Identify the special dresses worn by people during different festivals,"[""Festivals and seasons""]","[""List festivals celebrated in different seasons""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter03_Celebrating_Festivals,Comparing festivals across regions or states,Compare festivals celebrated in different states of India,"[""Spring festivals across India (Kashmir Tulip Festival, Vishu, Sarhul)"", ""Festivals and seasons""]","[""Explain how spring is celebrated through different regional festivals"", ""List festivals celebrated in different seasons""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter03_Celebrating_Festivals,Comparing festivals across regions or states,Explain the cultural importance of festivals in bringing people together,"[""Spring festivals across India (Kashmir Tulip Festival, Vishu, Sarhul)"", ""Festivals and seasons""]","[""Compare festivals celebrated in different states of India""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter03_Celebrating_Festivals,Family relationships and visiting relatives,State the names of relatives visited and describe shared activities,"[""Festivals and seasons""]","[""List festivals celebrated in different seasons""]","[{""chapter"": ""Chapter01_Family_and_Friends"", ""concept"": ""Family Members and Relationships"", ""reason"": ""Understanding who counts as a family member and how relationships are structured is needed before discussing visiting and naming relatives.""}]","[{""chapter"": ""Chapter01_Family_and_Friends"", ""skill"": ""Classify family members based on their relationship to oneself, such as parents, siblings, and grandparents"", ""reason"": ""Naming relatives visited requires already knowing how to classify and name family members by their relationship.""}]"
