board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,Non-standard units of measurement (body parts),Compare the measurement of length using a scientific instrument versus a non-scientific instrument,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,Need for standard units,Explain why standard units of measurement are needed,"[""Non-standard units of measurement (body parts)""]","[""Compare the measurement of length using a scientific instrument versus a non-scientific instrument""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,SI units of length,Identify the SI unit of length and its symbol,"[""Need for standard units""]",[],[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,SI units of length,Select the appropriate unit for measuring a given length,"[""Need for standard units""]","[""Identify the SI unit of length and its symbol""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,"Metre scale and its subdivisions (cm, mm)",Measure the length of an object using a scale correctly,"[""SI units of length"", ""Correct way of measuring length using a scale""]","[""Identify the correct position of the eye while reading a scale"", ""Describe the correct way to place a scale while measuring an object""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,"Metre scale and its subdivisions (cm, mm)",Identify the correct position of the eye while reading a scale,"[""SI units of length"", ""Correct way of measuring length using a scale""]",[],[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,"Relationship between units of length (km, m, cm, mm)","Convert between kilometre, metre, centimetre and millimetre","[""SI units of length""]","[""Identify the SI unit of length and its symbol""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,"Relationship between units of length (km, m, cm, mm)",Estimate and verify measurements using appropriate units,"[""SI units of length""]","[""Select the appropriate unit for measuring a given length"", ""Convert between kilometre, metre, centimetre and millimetre""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,Correct way of measuring length using a scale,Describe the correct way to place a scale while measuring an object,"[""Metre scale and its subdivisions (cm, mm)""]","[""Identify the correct position of the eye while reading a scale""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,Correct way of measuring length using a scale,Demonstrate how to measure the length of an object using a scale from the zero mark,"[""Metre scale and its subdivisions (cm, mm)""]","[""Measure the length of an object using a scale correctly""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,Measuring length using a broken scale,Calculate the length of an object using a scale with a broken end,"[""Correct way of measuring length using a scale""]","[""Demonstrate how to measure the length of an object using a scale from the zero mark""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,Measuring the length of a curved line,Measure the length of a curved line using a thread or flexible tape,"[""Correct way of measuring length using a scale""]","[""Demonstrate how to measure the length of an object using a scale from the zero mark""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,Reference point,Define reference point with an example,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,Describing position with respect to a reference point,Explain how the position of an object is described with respect to a reference point,"[""Reference point""]","[""Define reference point with an example""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,Motion and rest,Distinguish between an object in motion and an object at rest,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,Linear motion,Identify examples of linear motion in daily life,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,Circular motion,Identify examples of circular motion in daily life,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,Oscillatory motion,Identify examples of oscillatory motion in daily life,[],[],[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,Periodic motion,Classify different types of motion observed around us,"[""Linear motion"", ""Circular motion"", ""Oscillatory motion"", ""Motion and rest""]","[""Distinguish between an object in motion and an object at rest"", ""Identify examples of linear motion in daily life"", ""Identify examples of circular motion in daily life"", ""Identify examples of oscillatory motion in daily life""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,Periodic motion,Explain periodic motion with examples,"[""Linear motion"", ""Circular motion"", ""Oscillatory motion"", ""Motion and rest""]","[""Identify examples of linear motion in daily life"", ""Identify examples of circular motion in daily life"", ""Identify examples of oscillatory motion in daily life""]",[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,History of measurement units in India,Describe the evolution of measurement units used in India,"[""Non-standard units of measurement (body parts)"", ""Need for standard units""]",[],[],[],[],[]
CBSE,Science,Grade 6,Chapter05_Measurement_Of_Length_And_Motion,History of measurement units in India,Compare traditional Indian measurement units with standard units,"[""Non-standard units of measurement (body parts)"", ""Need for standard units""]","[""Describe the evolution of measurement units used in India"", ""Explain why standard units of measurement are needed""]",[],[],[],[]
