board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 10,Chapter03_Pair_Of_Linear_Equations_In_Two_Variables,Introduction to linear and non-linear equations,State the properties of a linear equation in two variables,[],[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""concept"": ""Definition of a linear equation in two variables"", ""reason"": ""Recognising whether an equation is linear in two variables builds directly on already knowing what defines a linear equation in two variables.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter2_Linear_Equations_In_One_Variable"", ""concept"": ""Linear expressions in one variable"", ""reason"": ""Derived from skill prerequisite: 'Identify whether an expression is linear or non-linear based on the highest power of the variable' (in Grade 8/Chapter2_Linear_Equations_In_One_Variable) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""skill"": ""Define a linear equation in two variables in the form ax + by + c = 0"", ""reason"": ""Stating properties of such equations assumes the student already knows the defining form ax + by + c = 0.""}]"
CBSE,Maths,Grade 10,Chapter03_Pair_Of_Linear_Equations_In_Two_Variables,Introduction to linear and non-linear equations,Classify given equations as linear or non-linear,[],"[""State the properties of a linear equation in two variables""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""concept"": ""Definition of a linear equation in two variables"", ""reason"": ""Recognising whether an equation is linear in two variables builds directly on already knowing what defines a linear equation in two variables.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter2_Linear_Equations_In_One_Variable"", ""concept"": ""Linear expressions in one variable"", ""reason"": ""Derived from skill prerequisite: 'Identify whether an expression is linear or non-linear based on the highest power of the variable' (in Grade 8/Chapter2_Linear_Equations_In_One_Variable) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter2_Linear_Equations_In_One_Variable"", ""skill"": ""Identify whether an expression is linear or non-linear based on the highest power of the variable"", ""reason"": ""Classifying equations as linear or non-linear reuses the earlier rule of checking the highest power of the variable.""}]"
CBSE,Maths,Grade 10,Chapter03_Pair_Of_Linear_Equations_In_Two_Variables,Introduction to linear and non-linear equations,Distinguish linear equations in two variables from other equation forms,[],"[""Classify given equations as linear or non-linear""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""concept"": ""Definition of a linear equation in two variables"", ""reason"": ""Recognising whether an equation is linear in two variables builds directly on already knowing what defines a linear equation in two variables.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter2_Linear_Equations_In_One_Variable"", ""concept"": ""Linear expressions in one variable"", ""reason"": ""Derived from skill prerequisite: 'Identify whether an expression is linear or non-linear based on the highest power of the variable' (in Grade 8/Chapter2_Linear_Equations_In_One_Variable) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 10,Chapter03_Pair_Of_Linear_Equations_In_Two_Variables,Pair of linear equations in two variables,Identify the general form of a pair of linear equations in two variables,"[""Introduction to linear and non-linear equations"", ""Graphical Method of Solution of a Pair of Linear Equations""]",[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""concept"": ""Definition of a linear equation in two variables"", ""reason"": ""A pair of linear equations is built from two individual linear equations in two variables, so the single-equation definition must already be understood.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""concept"": ""Standard form of a linear equation: ax + by + c = 0"", ""reason"": ""The pair of equations is expressed and manipulated using the same ax + by + c = 0 form learned earlier for a single equation.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""concept"": ""Expressing real-life situations as linear equations in two variables"", ""reason"": ""Derived from skill prerequisite: 'Translate a real-life statement into a linear equation in two variables' (in Grade 9/Chapter4_Linear_Equations_In_Two_Variables) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""skill"": ""Rewrite given linear equations in the standard form ax + by + c = 0"", ""reason"": ""Recognising the general form of a pair of equations depends on the earlier ability to write a single equation in standard form.""}]"
CBSE,Maths,Grade 10,Chapter03_Pair_Of_Linear_Equations_In_Two_Variables,Pair of linear equations in two variables,Represent a given real-life situation as a pair of linear equations in two variables,"[""Introduction to linear and non-linear equations"", ""Graphical Method of Solution of a Pair of Linear Equations""]","[""Identify the general form of a pair of linear equations in two variables""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""concept"": ""Definition of a linear equation in two variables"", ""reason"": ""A pair of linear equations is built from two individual linear equations in two variables, so the single-equation definition must already be understood.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""concept"": ""Standard form of a linear equation: ax + by + c = 0"", ""reason"": ""The pair of equations is expressed and manipulated using the same ax + by + c = 0 form learned earlier for a single equation.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""concept"": ""Expressing real-life situations as linear equations in two variables"", ""reason"": ""Derived from skill prerequisite: 'Translate a real-life statement into a linear equation in two variables' (in Grade 9/Chapter4_Linear_Equations_In_Two_Variables) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""skill"": ""Translate a real-life statement into a linear equation in two variables"", ""reason"": ""Forming a pair of equations from a situation extends the earlier skill of forming one such equation from a real-life statement.""}]"
CBSE,Maths,Grade 10,Chapter03_Pair_Of_Linear_Equations_In_Two_Variables,Pair of linear equations in two variables,Find the solutions of a pair of linear equations in two variables using graphical and algebraic methods,"[""Introduction to linear and non-linear equations"", ""Graphical Method of Solution of a Pair of Linear Equations""]",[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""concept"": ""Definition of a linear equation in two variables"", ""reason"": ""A pair of linear equations is built from two individual linear equations in two variables, so the single-equation definition must already be understood.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""concept"": ""Standard form of a linear equation: ax + by + c = 0"", ""reason"": ""The pair of equations is expressed and manipulated using the same ax + by + c = 0 form learned earlier for a single equation.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""concept"": ""Expressing real-life situations as linear equations in two variables"", ""reason"": ""Derived from skill prerequisite: 'Translate a real-life statement into a linear equation in two variables' (in Grade 9/Chapter4_Linear_Equations_In_Two_Variables) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 10,Chapter03_Pair_Of_Linear_Equations_In_Two_Variables,Pair of linear equations in two variables,Interpret solutions of a pair of linear equations in terms of the graphs of the two lines,"[""Introduction to linear and non-linear equations"", ""Graphical Method of Solution of a Pair of Linear Equations""]","[""Solve a pair of linear equations using the graphical method""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""concept"": ""Definition of a linear equation in two variables"", ""reason"": ""A pair of linear equations is built from two individual linear equations in two variables, so the single-equation definition must already be understood.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""concept"": ""Standard form of a linear equation: ax + by + c = 0"", ""reason"": ""The pair of equations is expressed and manipulated using the same ax + by + c = 0 form learned earlier for a single equation.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter4_Linear_Equations_In_Two_Variables"", ""concept"": ""Expressing real-life situations as linear equations in two variables"", ""reason"": ""Derived from skill prerequisite: 'Translate a real-life statement into a linear equation in two variables' (in Grade 9/Chapter4_Linear_Equations_In_Two_Variables) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 10,Chapter03_Pair_Of_Linear_Equations_In_Two_Variables,Graphical Method of Solution of a Pair of Linear Equations,Solve a pair of linear equations using the graphical method,"[""Pair of linear equations in two variables""]",[],"[{""chapter"": ""Chapter07_Coordinate_Geometry"", ""concept"": ""Coordinate axes and coordinates of a point"", ""reason"": ""Plotting and reading lines on a graph requires knowing how coordinate axes work and how points are located by their coordinates.""}]","[{""chapter"": ""Chapter07_Coordinate_Geometry"", ""skill"": ""Plot given points on a coordinate graph"", ""reason"": ""Finding the solution graphically requires plotting points for each equation to draw the lines before locating their intersection.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter3_Coordinate_Geometry"", ""concept"": ""Plotting a Point in the Plane if its Coordinates are given"", ""reason"": ""Drawing the two lines that represent the equations requires the prior skill of plotting points from coordinates on a Cartesian plane.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Introduction_To_Graphs"", ""concept"": ""Graphing tables of values"", ""reason"": ""Derived from skill prerequisite: 'Join plotted points to form a line graph from a table of values' (in Grade 8/Chapter13_Introduction_To_Graphs) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter3_Coordinate_Geometry"", ""concept"": ""Cartesian system and its historical development"", ""reason"": ""Derived from skill prerequisite: 'Read and interpret coordinates of points marked on a graph' (in Grade 9/Chapter3_Coordinate_Geometry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Parallel Lines"", ""reason"": ""Derived from skill prerequisite: 'Examine the given lines and identify parallel lines among them' (in Grade 6/Chapter02_Lines_And_Angles) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Intersecting Lines"", ""reason"": ""Derived from skill prerequisite: 'Examine the given lines and identify intersecting lines among them' (in Grade 6/Chapter02_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Introduction_To_Graphs"", ""skill"": ""Plot points on a graph from a table of values"", ""reason"": ""The graphical method requires generating a table of values for each equation and plotting the resulting points, a skill built earlier.""}]"
CBSE,Maths,Grade 10,Chapter03_Pair_Of_Linear_Equations_In_Two_Variables,Graphical Method of Solution of a Pair of Linear Equations,Represent a pair of linear equations graphically by plotting lines,"[""Pair of linear equations in two variables""]","[""Plot the lines corresponding to two given linear equations""]","[{""chapter"": ""Chapter07_Coordinate_Geometry"", ""concept"": ""Coordinate axes and coordinates of a point"", ""reason"": ""Plotting and reading lines on a graph requires knowing how coordinate axes work and how points are located by their coordinates.""}]","[{""chapter"": ""Chapter07_Coordinate_Geometry"", ""skill"": ""Plot given points on a coordinate graph"", ""reason"": ""Representing both equations as lines depends on the basic ability to plot points on a coordinate graph.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter3_Coordinate_Geometry"", ""concept"": ""Plotting a Point in the Plane if its Coordinates are given"", ""reason"": ""Drawing the two lines that represent the equations requires the prior skill of plotting points from coordinates on a Cartesian plane.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Introduction_To_Graphs"", ""concept"": ""Graphing tables of values"", ""reason"": ""Derived from skill prerequisite: 'Join plotted points to form a line graph from a table of values' (in Grade 8/Chapter13_Introduction_To_Graphs) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter3_Coordinate_Geometry"", ""concept"": ""Cartesian system and its historical development"", ""reason"": ""Derived from skill prerequisite: 'Read and interpret coordinates of points marked on a graph' (in Grade 9/Chapter3_Coordinate_Geometry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Parallel Lines"", ""reason"": ""Derived from skill prerequisite: 'Examine the given lines and identify parallel lines among them' (in Grade 6/Chapter02_Lines_And_Angles) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Intersecting Lines"", ""reason"": ""Derived from skill prerequisite: 'Examine the given lines and identify intersecting lines among them' (in Grade 6/Chapter02_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter3_Coordinate_Geometry"", ""skill"": ""Locate a point in the Cartesian plane using given coordinate values"", ""reason"": ""Representing equations graphically requires the prior ability to locate points from coordinate values in the Cartesian plane.""}]"
CBSE,Maths,Grade 10,Chapter03_Pair_Of_Linear_Equations_In_Two_Variables,Graphical Method of Solution of a Pair of Linear Equations,Plot the lines corresponding to two given linear equations,"[""Pair of linear equations in two variables""]",[],"[{""chapter"": ""Chapter07_Coordinate_Geometry"", ""concept"": ""Coordinate axes and coordinates of a point"", ""reason"": ""Plotting and reading lines on a graph requires knowing how coordinate axes work and how points are located by their coordinates.""}]","[{""chapter"": ""Chapter07_Coordinate_Geometry"", ""skill"": ""Plot given points on a coordinate graph"", ""reason"": ""Drawing a line for an equation requires first being able to plot individual points satisfying the equation on a coordinate graph.""}, {""chapter"": ""Chapter07_Coordinate_Geometry"", ""skill"": ""Identify the x-coordinate and y-coordinate of a given point"", ""reason"": ""Determining which point to plot for a given equation requires reading off the x- and y-coordinates correctly.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter3_Coordinate_Geometry"", ""concept"": ""Plotting a Point in the Plane if its Coordinates are given"", ""reason"": ""Drawing the two lines that represent the equations requires the prior skill of plotting points from coordinates on a Cartesian plane.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Introduction_To_Graphs"", ""concept"": ""Graphing tables of values"", ""reason"": ""Derived from skill prerequisite: 'Join plotted points to form a line graph from a table of values' (in Grade 8/Chapter13_Introduction_To_Graphs) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter3_Coordinate_Geometry"", ""concept"": ""Cartesian system and its historical development"", ""reason"": ""Derived from skill prerequisite: 'Read and interpret coordinates of points marked on a graph' (in Grade 9/Chapter3_Coordinate_Geometry) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Parallel Lines"", ""reason"": ""Derived from skill prerequisite: 'Examine the given lines and identify parallel lines among them' (in Grade 6/Chapter02_Lines_And_Angles) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Intersecting Lines"", ""reason"": ""Derived from skill prerequisite: 'Examine the given lines and identify intersecting lines among them' (in Grade 6/Chapter02_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter3_Coordinate_Geometry"", ""skill"": ""Plot a point on graph paper corresponding to a given ordered pair"", ""reason"": ""Plotting a line requires first being able to plot the individual ordered-pair solutions on graph paper.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Introduction_To_Graphs"", ""skill"": ""Join plotted points to form a line graph from a table of values"", ""reason"": ""Drawing the line for an equation requires the earlier skill of joining plotted points into a graph line.""}]"
