board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 4,Chapter06_Happy_and_Healthy_Living,Sources of happiness in daily life,Identify situations that make one feel happy,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter06_Happy_and_Healthy_Living,Food items and their ingredients,Connect food items with their ingredients,"[""Journey of grains from farm to plate""]","[""Describe the journey of grains from farm to plate""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Non-Plant, Non-Animal Food Ingredients"", ""reason"": ""Derived from skill prerequisite: 'Identify food ingredients that are neither plant-based nor animal-based' (in Grade 3/Chapter08_Food_We_Eat) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""skill"": ""Identify food ingredients that are neither plant-based nor animal-based"", ""reason"": ""Recognising that food items are made of distinct ingredients, including non-plant/non-animal ones, is needed before connecting whole food items to their component ingredients.""}]"
CBSE,Environmental Science,Grade 4,Chapter06_Happy_and_Healthy_Living,Journey of grains from farm to plate,Describe the journey of grains from farm to plate,[],[],"[{""chapter"": ""Chapter01_Living_Together"", ""concept"": ""Growing Crops"", ""reason"": ""Tracing how grain travels from farm to plate requires first understanding the process by which crops are grown.""}]","[{""chapter"": ""Chapter01_Living_Together"", ""skill"": ""Describe the different steps involved in cultivating a crop"", ""reason"": ""Describing the farm-to-plate journey of grains requires already knowing the sequence of steps involved in cultivating a crop.""}]",[],[]
CBSE,Environmental Science,Grade 4,Chapter06_Happy_and_Healthy_Living,"Role of farmers, animals, and natural elements in food production","Explain the role of soil, water, sunlight, farmers, and animals in food production","[""Journey of grains from farm to plate""]","[""Describe the journey of grains from farm to plate""]","[{""chapter"": ""Chapter01_Living_Together"", ""concept"": ""Growing Crops"", ""reason"": ""Explaining how farmers and natural elements contribute to food production builds on prior knowledge of the steps involved in growing a crop.""}]","[{""chapter"": ""Chapter01_Living_Together"", ""skill"": ""Describe the different steps involved in cultivating a crop"", ""reason"": ""Explaining the roles of soil, water, sunlight, farmers and animals in food production relies on prior knowledge of the crop cultivation process in which these elements act.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Source of Food (Plants and Animals)"", ""reason"": ""Knowing that food ultimately comes from plants and animals is needed before understanding how farmers, natural elements, and animals combine to produce that food.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""skill"": ""Classify food items based on their plant or animal origin"", ""reason"": ""Knowing whether a food item originates from a plant or an animal is a necessary base fact before explaining the fuller production process involving soil, water, sunlight, farmers and animals.""}]"
CBSE,Environmental Science,Grade 4,Chapter06_Happy_and_Healthy_Living,Gratitude towards contributors of food,List the contributors involved in bringing food to the plate,"[""Journey of grains from farm to plate"", ""Role of farmers, animals, and natural elements in food production""]","[""Describe the journey of grains from farm to plate"", ""Explain the role of soil, water, sunlight, farmers, and animals in food production""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter06_Happy_and_Healthy_Living,Gratitude towards contributors of food,Express gratitude towards people and nature for food,"[""Journey of grains from farm to plate"", ""Role of farmers, animals, and natural elements in food production""]","[""List the contributors involved in bringing food to the plate""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter06_Happy_and_Healthy_Living,Cultural festivals showing gratitude for food,Describe cultural practices that show gratitude for food,"[""Gratitude towards contributors of food""]","[""Express gratitude towards people and nature for food""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter03_Celebrating_Festivals"", ""concept"": ""Special foods prepared during festivals"", ""reason"": ""Recognising that festivals involve special foods is the specific groundwork needed to understand festivals as expressions of gratitude for food.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter03_Celebrating_Festivals"", ""skill"": ""Match festival names with their traditional foods"", ""reason"": ""Associating specific festivals with their traditional foods is the concrete fact base needed to then describe cultural practices expressing gratitude for that food.""}]"
CBSE,Environmental Science,Grade 4,Chapter06_Happy_and_Healthy_Living,Mindful eating,"Practice mindful eating by focusing on taste, texture, and chewing","[""Role of tongue and teeth in eating""]","[""Explain the role of tongue and teeth during eating""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter06_Happy_and_Healthy_Living,Role of tongue and teeth in eating,Explain the role of tongue and teeth during eating,"[""Mindful eating""]","[""Practice mindful eating by focusing on taste, texture, and chewing""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter06_Happy_and_Healthy_Living,Valuing food and avoiding food wastage,Explain the importance of not wasting food,"[""Food items and their ingredients""]","[""Connect food items with their ingredients""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""concept"": ""Sharing Food and Food Waste"", ""reason"": ""Understanding that food can be wasted and shared is the basic notion the Grade 4 idea of valuing food and avoiding waste builds directly upon.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter08_Food_We_Eat"", ""skill"": ""Explain the importance of avoiding food wastage"", ""reason"": ""This is the same reasoning skill introduced earlier and reused as the basis for the Grade 4 explanation of food wastage.""}]"
