board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 8,Chapter11_Keeping_Time_with_the_Skies,Celestial objects,"Classify commonly seen sky objects as stars, planets, or satellites based on their properties",[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""concept"": ""Stars and the Sun"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between stars and planets based on their observable features' (in Grade 6/Chapter12_Beyond_Earth) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""concept"": ""The Solar System"", ""reason"": ""Derived from skill prerequisite: 'Differentiate between planets and their satellites based on their features' (in Grade 6/Chapter12_Beyond_Earth) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""skill"": ""Distinguish between stars and planets based on their observable features"", ""reason"": ""Classifying sky objects into stars, planets or satellites requires already being able to tell stars apart from planets by their observable properties.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""skill"": ""Differentiate between planets and their satellites based on their features"", ""reason"": ""Correctly placing an object into the 'satellite' category requires the prior ability to tell a planet apart from its satellite.""}]"
CBSE,Science,Grade 8,Chapter11_Keeping_Time_with_the_Skies,"Asteroids, comets and meteors","Differentiate between asteroids, comets and meteors to identify a celestial body","[{""item"": ""Celestial objects"", ""reason"": ""Students must first know the basic categories of sky objects (stars, planets, satellites) before they can distinguish the smaller, less common bodies like asteroids, comets and meteors.""}]","[{""item"": ""Classify commonly seen sky objects as stars, planets, or satellites based on their properties"", ""reason"": ""Basic classification of sky objects must be mastered before distinguishing finer categories like asteroids, comets and meteors.""}]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""concept"": ""Comparing celestial bodies"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between planets, satellites, asteroids, comets, and stars' (in Grade 6/Chapter12_Beyond_Earth) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""skill"": ""Distinguish between planets, satellites, asteroids, comets, and stars"", ""reason"": ""This target skill narrows the same basic categorisation of small solar-system bodies to asteroids, comets and meteors, and assumes that broader classification is already secure.""}]"
CBSE,Science,Grade 8,Chapter11_Keeping_Time_with_the_Skies,Constellations,Categorize commonly known groups of stars to explain that constellations have a recognisable shape,"[{""item"": ""Celestial objects"", ""reason"": ""Recognising that stars are a category of celestial object is needed before grouping them into shapes called constellations.""}]","[{""item"": ""Classify commonly seen sky objects as stars, planets, or satellites based on their properties"", ""reason"": ""Identifying stars as a category is needed before grouping them into constellations.""}]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""concept"": ""Constellations"", ""reason"": ""Derived from skill prerequisite: 'Recognize patterns of stars to identify common constellations' (in Grade 6/Chapter12_Beyond_Earth) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""skill"": ""Recognize patterns of stars to identify common constellations"", ""reason"": ""Explaining that constellations have a recognisable shape depends on the prior ability to spot star patterns in the sky.""}]"
CBSE,Science,Grade 8,Chapter11_Keeping_Time_with_the_Skies,Phases of the moon,Explain with a diagram the different phases of the moon,[],[],[],[],[],[]
CBSE,Science,Grade 8,Chapter11_Keeping_Time_with_the_Skies,Moon's revolution around Earth,Explain how the moon's period of revolution around the earth relates to its phase cycle,"[{""item"": ""Phases of the moon"", ""reason"": ""Relating the period of revolution to the phase cycle requires already knowing what the different phases look like.""}]","[{""item"": ""Explain with a diagram the different phases of the moon"", ""reason"": ""Relating revolution period to phase cycle requires already knowing what the phase cycle looks like.""}]",[],[],[],[]
CBSE,Science,Grade 8,Chapter11_Keeping_Time_with_the_Skies,Planets of the solar system,Outline the planets of the solar system to correctly identify them,"[{""item"": ""Celestial objects"", ""reason"": ""Identifying planets specifically requires already knowing the general classification of sky objects into stars, planets and satellites.""}]","[{""item"": ""Classify commonly seen sky objects as stars, planets, or satellites based on their properties"", ""reason"": ""General classification skill is a prerequisite for correctly picking out planets specifically.""}]",[],[],[],[]
CBSE,Science,Grade 8,Chapter11_Keeping_Time_with_the_Skies,Constituents of the solar system,Compare the different types of celestial bodies that constitute the solar system,"[{""item"": ""Planets of the solar system"", ""reason"": ""Comparing the types of bodies in the solar system requires already knowing what the planets are.""}, {""item"": ""Asteroids, comets and meteors"", ""reason"": ""Comparing the constituents of the solar system requires already knowing asteroids, comets and meteors as distinct body types.""}]","[{""item"": ""Outline the planets of the solar system to correctly identify them"", ""reason"": ""Comparing solar system bodies requires already being able to identify the planets.""}, {""item"": ""Differentiate between asteroids, comets and meteors to identify a celestial body"", ""reason"": ""Comparing solar system bodies requires already being able to distinguish asteroids, comets and meteors.""}]",[],[],[],[]
CBSE,Science,Grade 8,Chapter11_Keeping_Time_with_the_Skies,Artificial satellites,Describe artificial satellites to classify them as man-made celestial bodies,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""concept"": ""Artificial satellites"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between natural and artificial satellites based on their origin' (in Grade 6/Chapter12_Beyond_Earth) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter12_Beyond_Earth"", ""skill"": ""Distinguish between natural and artificial satellites based on their origin"", ""reason"": ""Classifying an object as a man-made satellite requires already knowing how artificial satellites differ in origin from natural ones.""}]"
CBSE,Science,Grade 8,Chapter11_Keeping_Time_with_the_Skies,Waxing and waning of the moon,Distinguish between the waxing (Shukla Paksha) and waning (Krishna Paksha) periods of the Moon,"[{""item"": ""Phases of the moon"", ""reason"": ""Distinguishing Shukla and Krishna Paksha requires already understanding the sequence of moon phases they are built from.""}]","[{""item"": ""Explain with a diagram the different phases of the moon"", ""reason"": ""Distinguishing waxing and waning periods requires already knowing the sequence of moon phases.""}]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""concept"": ""Poornima (full Moon) and Amavasya (new Moon)"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between Poornima and Amavasya' (in Grade 4/Chapter10_Our_Sky) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter10_Our_Sky"", ""skill"": ""Distinguish between Poornima and Amavasya"", ""reason"": ""Waxing and waning are defined as the periods between new moon and full moon, so the student must already recognise Poornima and Amavasya as the two reference points.""}]"
CBSE,Science,Grade 8,Chapter11_Keeping_Time_with_the_Skies,Causes of moon phases,Explain how sunlight falling on the Moon and its revolution around the Earth cause its phases,"[{""item"": ""Phases of the moon"", ""reason"": ""Explaining what causes the phases requires already knowing what the phases themselves are.""}, {""item"": ""Moon's revolution around Earth"", ""reason"": ""The explanation of phase causes depends on understanding the Moon's revolution around the Earth as the underlying motion.""}]","[{""item"": ""Explain with a diagram the different phases of the moon"", ""reason"": ""Explaining the cause of phases requires already knowing what the phases are.""}, {""item"": ""Explain how the moon's period of revolution around the earth relates to its phase cycle"", ""reason"": ""This explanation builds on already knowing how revolution links to the phase cycle.""}]",[],[],[],[]
CBSE,Science,Grade 8,Chapter11_Keeping_Time_with_the_Skies,Predicting moon phases,Predict the phase of the Moon based on its position relative to the Sun in the sky,"[{""item"": ""Causes of moon phases"", ""reason"": ""Predicting a phase from Sun-Moon position requires already understanding how sunlight and revolution cause the phases.""}]","[{""item"": ""Explain how sunlight falling on the Moon and its revolution around the Earth cause its phases"", ""reason"": ""Predicting the phase from Sun-Moon geometry requires already understanding how sunlight and revolution cause the phases.""}]",[],[],[],[]
