board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 8,Chapter01_Exploring_the_Investigative_World_of_Science,Scientific inquiry and exploration,Pose questions about natural phenomena to investigate through observation,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Steps of the scientific method"", ""reason"": ""The target chapter's broader treatment of inquiry assumes students already know the sequence of observation, question, hypothesis, experiment and conclusion taught here.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Nature and process of science"", ""reason"": ""Derived from skill prerequisite: 'Pose questions about natural phenomena for scientific investigation' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Investigative procedures in science"", ""reason"": ""Derived from skill prerequisite: 'Design a simple investigation using available materials to seek an answer to a science question' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""skill"": ""Pose questions about natural phenomena for scientific investigation"", ""reason"": ""This skill already establishes the practice of turning observations into investigable questions, which the target skill extends.""}]"
CBSE,Science,Grade 8,Chapter01_Exploring_the_Investigative_World_of_Science,Scientific inquiry and exploration,"Record observations during activities, experiments, or field trips",[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Steps of the scientific method"", ""reason"": ""The target chapter's broader treatment of inquiry assumes students already know the sequence of observation, question, hypothesis, experiment and conclusion taught here.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Nature and process of science"", ""reason"": ""Derived from skill prerequisite: 'Pose questions about natural phenomena for scientific investigation' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Investigative procedures in science"", ""reason"": ""Derived from skill prerequisite: 'Design a simple investigation using available materials to seek an answer to a science question' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""skill"": ""Record observations during an experiment or activity"", ""reason"": ""Basic recording of observations during activities was established here and is directly extended to field trips at this grade.""}]"
CBSE,Science,Grade 8,Chapter01_Exploring_the_Investigative_World_of_Science,Scientific inquiry and exploration,Analyze recorded data to draw inferences and generalisations,[],"[{""item"": ""Record observations during activities, experiments, or field trips"", ""reason"": ""There must be recorded observational data available before it can be analyzed to draw inferences.""}]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Steps of the scientific method"", ""reason"": ""The target chapter's broader treatment of inquiry assumes students already know the sequence of observation, question, hypothesis, experiment and conclusion taught here.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Nature and process of science"", ""reason"": ""Derived from skill prerequisite: 'Pose questions about natural phenomena for scientific investigation' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Investigative procedures in science"", ""reason"": ""Derived from skill prerequisite: 'Design a simple investigation using available materials to seek an answer to a science question' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""skill"": ""Analyze recorded data to draw inferences"", ""reason"": ""Drawing inferences from data was already introduced and is a direct precursor to also forming generalisations from data.""}]"
CBSE,Science,Grade 8,Chapter01_Exploring_the_Investigative_World_of_Science,Scientific inquiry and exploration,Design simple investigations to seek answers to scientific queries,[],"[{""item"": ""Pose questions about natural phenomena to investigate through observation"", ""reason"": ""A scientific question must first be formulated before an investigation can be designed to answer it.""}]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Steps of the scientific method"", ""reason"": ""The target chapter's broader treatment of inquiry assumes students already know the sequence of observation, question, hypothesis, experiment and conclusion taught here.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Nature and process of science"", ""reason"": ""Derived from skill prerequisite: 'Pose questions about natural phenomena for scientific investigation' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Investigative procedures in science"", ""reason"": ""Derived from skill prerequisite: 'Design a simple investigation using available materials to seek an answer to a science question' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""skill"": ""Design a simple investigation using available materials to seek an answer to a science question"", ""reason"": ""This is the identical investigative design skill first developed here, which the target chapter builds upon.""}]"
CBSE,Science,Grade 8,Chapter01_Exploring_the_Investigative_World_of_Science,Variables in an experiment (controlled and observed),Identify variables that can be controlled and observed in an experiment,"[{""item"": ""Scientific inquiry and exploration"", ""reason"": ""Identifying and controlling variables only makes sense once a student can design an investigation, a skill introduced under scientific inquiry.""}]","[{""item"": ""Design simple investigations to seek answers to scientific queries"", ""reason"": ""Variables can only be identified within the context of an investigation that has already been designed to test a scientific query.""}]",[],[],[],[]
CBSE,Science,Grade 8,Chapter01_Exploring_the_Investigative_World_of_Science,Variables in an experiment (controlled and observed),Explain the importance of changing one variable at a time during experimentation,"[{""item"": ""Scientific inquiry and exploration"", ""reason"": ""Identifying and controlling variables only makes sense once a student can design an investigation, a skill introduced under scientific inquiry.""}]","[{""item"": ""Identify variables that can be controlled and observed in an experiment"", ""reason"": ""A student must first be able to identify the variables present in an experiment before they can explain why only one should be changed at a time.""}]",[],[],[],[]
CBSE,Science,Grade 8,Chapter01_Exploring_the_Investigative_World_of_Science,Reflection and refraction of light,Describe reflection and refraction of light using mirrors and lenses,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Reflection of Light"", ""reason"": ""The mechanics of how light changes direction on striking a surface, taught here, underlies the discussion of reflection at this level.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Convex and Concave Lenses"", ""reason"": ""Knowledge of how lenses bend light and form images is a direct basis for describing refraction using lenses.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""concept"": ""Image Formation by Plane Mirror"", ""reason"": ""Derived from skill prerequisite: 'Describe the characteristics of an image formed by a plane mirror in terms of erect/inverted, virtual/real and distance from mirror' (in Grade 7/Chapter11_Light:_Shadows_and_Reflections) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""skill"": ""Describe the characteristics of an image formed by a plane mirror in terms of erect/inverted, virtual/real and distance from mirror"", ""reason"": ""Describing mirror images by their properties is a necessary skill before generalising to reflection behaviour discussed in the target.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Light:_Shadows_and_Reflections"", ""skill"": ""Differentiate between convex and concave lenses based on the image formed at different object positions"", ""reason"": ""Understanding how lenses form images is directly required to describe refraction effects produced by lenses.""}]"
CBSE,Science,Grade 8,Chapter01_Exploring_the_Investigative_World_of_Science,Nature of scientific investigation,Formulate scientific questions about everyday phenomena,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Nature and process of science"", ""reason"": ""Understanding what science is and how it proceeds as a process is foundational to grasping the nature of investigation revisited at this grade.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Curiosity as the foundation of science"", ""reason"": ""Derived from skill prerequisite: 'Formulate a curiosity-driven question about an everyday observation' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Scientific method through senses"", ""reason"": ""Derived from skill prerequisite: 'Explore surroundings using senses to gather observations' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""skill"": ""Formulate a curiosity-driven question about an everyday observation"", ""reason"": ""This is the same question-formulation skill applied to everyday observations, established a grade earlier.""}]"
CBSE,Science,Grade 8,Chapter01_Exploring_the_Investigative_World_of_Science,Nature of scientific investigation,Apply systematic investigation methods to everyday observations,[],"[{""item"": ""Formulate scientific questions about everyday phenomena"", ""reason"": ""A systematic investigation method can only be applied once a specific scientific question about the observation has been formulated.""}]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Nature and process of science"", ""reason"": ""Understanding what science is and how it proceeds as a process is foundational to grasping the nature of investigation revisited at this grade.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Curiosity as the foundation of science"", ""reason"": ""Derived from skill prerequisite: 'Formulate a curiosity-driven question about an everyday observation' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Scientific method through senses"", ""reason"": ""Derived from skill prerequisite: 'Explore surroundings using senses to gather observations' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""skill"": ""Identify examples of the scientific method in everyday situations"", ""reason"": ""Recognising the scientific method in everyday situations is required before actively applying systematic investigation to them.""}]"
CBSE,Science,Grade 8,Chapter01_Exploring_the_Investigative_World_of_Science,Nature of scientific investigation,Describe how careful observation leads to scientific understanding,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Nature and process of science"", ""reason"": ""Understanding what science is and how it proceeds as a process is foundational to grasping the nature of investigation revisited at this grade.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Curiosity as the foundation of science"", ""reason"": ""Derived from skill prerequisite: 'Formulate a curiosity-driven question about an everyday observation' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""concept"": ""Scientific method through senses"", ""reason"": ""Derived from skill prerequisite: 'Explore surroundings using senses to gather observations' (in Grade 6/Chapter01_The_Wonderful_World_Of_Science) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_The_Wonderful_World_Of_Science"", ""skill"": ""Explore surroundings using senses to gather observations"", ""reason"": ""Using the senses to gather observations is the foundational practice on which the link between observation and scientific understanding is built.""}]"
