board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 8,Chapter04_Electricity:_Magnetic_and_Heating_Effects,Conductors and Insulators,Distinguish between good and poor conductors of electricity,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter03_Electricity:_Circuits_and_their_Components"", ""concept"": ""Electrical conductors and insulators"", ""reason"": ""The target chapter's deeper explanation of why materials conduct under certain conditions builds on the earlier classification of materials as conductors or insulators.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Conduction of electricity"", ""reason"": ""Derived from skill prerequisite: 'Explain why metals are good conductors of electricity' (in Grade 7/Chapter04_The_World_of_Metals_and_Non-metals) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter03_Electricity:_Circuits_and_their_Components"", ""skill"": ""Classify materials as conductors or insulators based on experimental observation"", ""reason"": ""Distinguishing good from poor conductors builds directly on the earlier experimental skill of sorting materials into conductors and insulators.""}]"
CBSE,Science,Grade 8,Chapter04_Electricity:_Magnetic_and_Heating_Effects,Conductors and Insulators,Explain why materials conduct electricity under certain conditions,[],"[""Distinguish between good and poor conductors of electricity""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter03_Electricity:_Circuits_and_their_Components"", ""concept"": ""Electrical conductors and insulators"", ""reason"": ""The target chapter's deeper explanation of why materials conduct under certain conditions builds on the earlier classification of materials as conductors or insulators.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""concept"": ""Conduction of electricity"", ""reason"": ""Derived from skill prerequisite: 'Explain why metals are good conductors of electricity' (in Grade 7/Chapter04_The_World_of_Metals_and_Non-metals) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter04_The_World_of_Metals_and_Non-metals"", ""skill"": ""Explain why metals are good conductors of electricity"", ""reason"": ""Explaining conduction requires the earlier-learned explanation of why metals conduct electricity, which is extended to explain conduction under varying conditions.""}]"
CBSE,Science,Grade 8,Chapter04_Electricity:_Magnetic_and_Heating_Effects,Chemical Effects of Electric Current,List the chemical effects produced by passing electric current through a liquid,"[""Conductors and Insulators""]",[],"[{""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Physical vs Chemical changes"", ""reason"": ""Understanding that passing current through a liquid produces new substances requires prior knowledge of what distinguishes a chemical change from a physical one.""}]",[],[],[]
CBSE,Science,Grade 8,Chapter04_Electricity:_Magnetic_and_Heating_Effects,Chemical Effects of Electric Current,Explain that electricity causes chemical reactions in certain solutions,"[""Conductors and Insulators""]","[""List the chemical effects produced by passing electric current through a liquid""]","[{""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Physical vs Chemical changes"", ""reason"": ""Understanding that passing current through a liquid produces new substances requires prior knowledge of what distinguishes a chemical change from a physical one.""}]","[{""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""skill"": ""Differentiate between physical and chemical changes based on whether a new substance is formed"", ""reason"": ""Recognising that electric current triggers a chemical reaction in a solution requires the prior skill of distinguishing chemical change (new substance formed) from physical change.""}]",[],[]
CBSE,Science,Grade 8,Chapter04_Electricity:_Magnetic_and_Heating_Effects,Electroplating,Describe the process of electroplating,"[""Chemical Effects of Electric Current""]",[],[],[],[],[]
CBSE,Science,Grade 8,Chapter04_Electricity:_Magnetic_and_Heating_Effects,Electroplating,Explain the application of electroplating in coating metals,"[""Chemical Effects of Electric Current""]","[""Describe the process of electroplating""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter04_Electricity:_Magnetic_and_Heating_Effects,Magnetic Effect of Electric Current,Explain how a current-carrying conductor produces a magnetic effect,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Exploring_Magnets"", ""concept"": ""Interaction between compass needle and a magnet"", ""reason"": ""Derived from skill prerequisite: 'Explain the deflection of a compass needle near a magnet' (in Grade 6/Chapter04_Exploring_Magnets) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Exploring_Magnets"", ""skill"": ""Explain the deflection of a compass needle near a magnet"", ""reason"": ""Demonstrating that current produces a magnetic effect relies on interpreting compass needle deflection, a skill first learned with permanent magnets.""}]"
CBSE,Science,Grade 8,Chapter04_Electricity:_Magnetic_and_Heating_Effects,Magnetic field around a current carrying conductor,Predict changes in compass deflection when circuit conditions are altered,"[""Magnetic Effect of Electric Current""]","[""Explain how a current-carrying conductor produces a magnetic effect""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Exploring_Magnets"", ""concept"": ""Interaction between compass needle and a magnet"", ""reason"": ""Derived from skill prerequisite: 'Explain the deflection of a compass needle near a magnet' (in Grade 6/Chapter04_Exploring_Magnets) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Exploring_Magnets"", ""skill"": ""Explain the deflection of a compass needle near a magnet"", ""reason"": ""Predicting how a compass needle behaves when the circuit changes depends on already understanding what causes a compass needle to deflect near a magnetic source.""}]"
CBSE,Science,Grade 8,Chapter04_Electricity:_Magnetic_and_Heating_Effects,Electromagnet,Construct a simple electromagnet using available materials,"[""Magnetic Effect of Electric Current"", ""Magnetic field around a current carrying conductor""]","[""Explain how a current-carrying conductor produces a magnetic effect""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Exploring_Magnets"", ""concept"": ""Making artificial magnets"", ""reason"": ""Understanding that magnets can be created artificially is the conceptual foundation for grasping that a current-carrying coil can also be turned into a magnet (an electromagnet).""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Exploring_Magnets"", ""concept"": ""Magnetic and non-magnetic materials"", ""reason"": ""Knowing which materials (like iron) can be magnetised is needed to understand why a soft-iron core is used inside an electromagnet.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Exploring_Magnets"", ""skill"": ""Demonstrate a method to create an artificial magnet"", ""reason"": ""Constructing an electromagnet extends the earlier hands-on skill of creating an artificial magnet from available materials.""}]"
CBSE,Science,Grade 8,Chapter04_Electricity:_Magnetic_and_Heating_Effects,Electromagnet,Explain the working of an electromagnet,"[""Magnetic Effect of Electric Current"", ""Magnetic field around a current carrying conductor""]","[""Construct a simple electromagnet using available materials""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Exploring_Magnets"", ""concept"": ""Making artificial magnets"", ""reason"": ""Understanding that magnets can be created artificially is the conceptual foundation for grasping that a current-carrying coil can also be turned into a magnet (an electromagnet).""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Exploring_Magnets"", ""concept"": ""Magnetic and non-magnetic materials"", ""reason"": ""Knowing which materials (like iron) can be magnetised is needed to understand why a soft-iron core is used inside an electromagnet.""}]",[]
