board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 10,Chapter13_Statistics,Class Mark (mid-point of class interval),Calculate the class mark (mid-point) for each class interval in a grouped frequency distribution,[],[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""concept"": ""Frequency Polygon"", ""reason"": ""Derived from skill prerequisite: 'Calculate the class-mark of each class interval in a grouped frequency distribution' (in Grade 9/Chapter12_Statistics) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""skill"": ""Calculate the class-mark of each class interval in a grouped frequency distribution"", ""reason"": ""This is the identical class-mark computation skill already introduced in Grade 9, which the Grade 10 chapter directly reuses.""}]"
CBSE,Maths,Grade 10,Chapter13_Statistics,Class Mark (mid-point of class interval),Explain the significance of the class mark in computing measures of central tendency for grouped data,[],"[""Calculate the class mark (mid-point) for each class interval in a grouped frequency distribution""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""concept"": ""Frequency Polygon"", ""reason"": ""Derived from skill prerequisite: 'Calculate the class-mark of each class interval in a grouped frequency distribution' (in Grade 9/Chapter12_Statistics) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""skill"": ""Calculate the class-mark of each class interval in a grouped frequency distribution"", ""reason"": ""A student must first know how to compute a class mark before they can explain its role in central tendency calculations.""}]"
CBSE,Maths,Grade 10,Chapter13_Statistics,Mean of grouped data using Direct Method,Calculate the mean of grouped data using the Direct Method,"[""Class Mark (mid-point of class interval)"", ""Mean of Grouped Data""]","[""Calculate the class mark (mid-point) for each class interval in a grouped frequency distribution""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""concept"": ""Mean, Median and Mode"", ""reason"": ""Derived from skill prerequisite: 'Calculate the mean of a given ungrouped data set using the appropriate formula' (in Grade 9/Chapter12_Statistics) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""skill"": ""Calculate the mean of a given ungrouped data set using the appropriate formula"", ""reason"": ""The Direct Method formula for grouped mean is a direct extension of the ungrouped mean formula (sum divided by number of observations) already mastered in Grade 9.""}]"
CBSE,Maths,Grade 10,Chapter13_Statistics,Mean of grouped data using Assumed Mean Method,Calculate the mean of grouped data using the Assumed Mean Method,"[""Class Mark (mid-point of class interval)"", ""Mean of Grouped Data"", ""Mean of grouped data using Direct Method""]","[""Calculate the class mark (mid-point) for each class interval in a grouped frequency distribution"", ""Calculate the mean of grouped data using the Direct Method""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""concept"": ""Mean, Median and Mode"", ""reason"": ""Derived from skill prerequisite: 'Calculate the mean of a given ungrouped data set using the appropriate formula' (in Grade 9/Chapter12_Statistics) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""skill"": ""Calculate the mean of a given ungrouped data set using the appropriate formula"", ""reason"": ""Assumed mean is a shortcut variant of the basic mean formula, so the underlying meaning of the mean must already be understood from Grade 9.""}]"
CBSE,Maths,Grade 10,Chapter13_Statistics,Mean of grouped data using Step-Deviation Method,Calculate the mean of grouped data using the Step-Deviation Method,"[""Class Mark (mid-point of class interval)"", ""Mean of Grouped Data"", ""Mean of grouped data using Assumed Mean Method""]","[""Calculate the mean of grouped data using the Assumed Mean Method""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""concept"": ""Mean, Median and Mode"", ""reason"": ""Derived from skill prerequisite: 'Calculate the mean of a given ungrouped data set using the appropriate formula' (in Grade 9/Chapter12_Statistics) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""skill"": ""Calculate the mean of a given ungrouped data set using the appropriate formula"", ""reason"": ""The step-deviation shortcut is built on the same underlying mean concept established with the ungrouped mean formula in Grade 9.""}]"
CBSE,Maths,Grade 10,Chapter13_Statistics,Mean of Grouped Data,Identify the appropriate method for calculating mean based on the nature of the data,"[""Class Mark (mid-point of class interval)"", ""Mean of grouped data using Direct Method"", ""Mean of grouped data using Assumed Mean Method"", ""Mean of grouped data using Step-Deviation Method""]","[""Calculate the mean of grouped data using the Direct Method"", ""Calculate the mean of grouped data using the Assumed Mean Method"", ""Calculate the mean of grouped data using the Step-Deviation Method""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""concept"": ""Mean, Median and Mode"", ""reason"": ""The grouped-data mean formulas are extensions of the basic arithmetic mean concept already established for ungrouped data in Grade 9.""}]",[]
CBSE,Maths,Grade 10,Chapter13_Statistics,Modal class and Mode of grouped data,Identify the modal class from a grouped frequency distribution,[],[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""concept"": ""Mean, Median and Mode"", ""reason"": ""Understanding mode as the most frequently occurring value (taught in Grade 9) is needed before extending the idea to identifying a modal class in grouped data.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""skill"": ""Determine the mode of a given data set"", ""reason"": ""Recognising the class with the highest frequency depends on already understanding mode as the most frequently occurring value from Grade 9.""}]"
CBSE,Maths,Grade 10,Chapter13_Statistics,Mode formula for grouped data,Calculate the mode of grouped data using the mode formula,"[""Modal class and Mode of grouped data""]","[""Identify the modal class from a grouped frequency distribution""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""concept"": ""Mean, Median and Mode"", ""reason"": ""Derived from skill prerequisite: 'Determine the mode of a given data set' (in Grade 9/Chapter12_Statistics) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""skill"": ""Determine the mode of a given data set"", ""reason"": ""The grouped mode formula builds on the prior understanding of what mode represents, established for ungrouped data in Grade 9.""}]"
CBSE,Maths,Grade 10,Chapter13_Statistics,Median of grouped data,Identify the median class from a cumulative frequency distribution,"[""Cumulative frequency"", ""Mean of grouped data using Direct Method""]",[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""concept"": ""Mean, Median and Mode"", ""reason"": ""The concept of median as the middle value, introduced for ungrouped data in Grade 9, underlies its extension to grouped data via cumulative frequency.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""skill"": ""Calculate the median of a given data set for both even and odd numbers of observations"", ""reason"": ""Locating the median class using n/2 requires already understanding median as the middle-ranked value, taught for ungrouped data in Grade 9.""}]"
CBSE,Maths,Grade 10,Chapter13_Statistics,Median of grouped data,Calculate the median of grouped data using the median formula,"[""Cumulative frequency"", ""Mean of grouped data using Direct Method""]","[""Identify the median class from a cumulative frequency distribution""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""concept"": ""Mean, Median and Mode"", ""reason"": ""The concept of median as the middle value, introduced for ungrouped data in Grade 9, underlies its extension to grouped data via cumulative frequency.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""skill"": ""Calculate the median of a given data set for both even and odd numbers of observations"", ""reason"": ""The grouped median formula extends the basic notion of median as the middle value, which students first master with ungrouped data in Grade 9.""}]"
CBSE,Maths,Grade 10,Chapter13_Statistics,Median of grouped data,Determine missing frequencies in a grouped frequency distribution given the mean or median,"[""Cumulative frequency"", ""Mean of grouped data using Direct Method""]","[""Calculate the mean of grouped data using the Direct Method"", ""Calculate the median of grouped data using the median formula""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""concept"": ""Mean, Median and Mode"", ""reason"": ""The concept of median as the middle value, introduced for ungrouped data in Grade 9, underlies its extension to grouped data via cumulative frequency.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""skill"": ""Find the value of a missing observation using the formula for mean"", ""reason"": ""Solving for an unknown frequency by rearranging the mean formula directly builds on the same technique used to find a missing observation in Grade 9.""}]"
CBSE,Maths,Grade 10,Chapter13_Statistics,Cumulative frequency,Construct a cumulative frequency distribution of the less than type,"[""Median of grouped data""]","[""Identify the median class from a cumulative frequency distribution""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""concept"": ""Frequency Table"", ""reason"": ""Derived from skill prerequisite: 'Record a given data set and create a frequency table with appropriate labels' (in Grade 9/Chapter12_Statistics) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""skill"": ""Record a given data set and create a frequency table with appropriate labels"", ""reason"": ""Building a cumulative frequency table requires first being able to construct a properly labelled frequency table, a skill introduced in Grade 9.""}]"
CBSE,Maths,Grade 10,Chapter13_Statistics,Cumulative frequency,Construct a cumulative frequency distribution of the more than type,"[""Median of grouped data""]","[""Construct a cumulative frequency distribution of the less than type""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""concept"": ""Frequency Table"", ""reason"": ""Derived from skill prerequisite: 'Record a given data set and create a frequency table with appropriate labels' (in Grade 9/Chapter12_Statistics) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Statistics"", ""skill"": ""Record a given data set and create a frequency table with appropriate labels"", ""reason"": ""Constructing this cumulative table depends on the prior ability to organise raw data into a labelled frequency table, taught in Grade 9.""}]"
CBSE,Maths,Grade 10,Chapter13_Statistics,Graphical Representation of Cumulative Frequency Distribution,Derive the coordinates required to plot the less than and more than ogives,"[""Cumulative frequency"", ""Median of grouped data""]","[""Construct a cumulative frequency distribution of the less than type"", ""Construct a cumulative frequency distribution of the more than type""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Introduction_To_Graphs"", ""concept"": ""Graphing tables of values"", ""reason"": ""Derived from skill prerequisite: 'Plot points on a graph from a table of values' (in Grade 8/Chapter13_Introduction_To_Graphs) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Introduction_To_Graphs"", ""concept"": ""Interpreting graphs"", ""reason"": ""Derived from skill prerequisite: 'Read specific values of variables from a given graph' (in Grade 8/Chapter13_Introduction_To_Graphs) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Introduction_To_Graphs"", ""skill"": ""Plot points on a graph from a table of values"", ""reason"": ""Turning cumulative frequency values into plottable coordinate pairs relies on the table-of-values-to-point technique introduced in Grade 8 graphing.""}]"
CBSE,Maths,Grade 10,Chapter13_Statistics,Graphical Representation of Cumulative Frequency Distribution,Construct both ogives for the given data,"[""Cumulative frequency"", ""Median of grouped data""]","[""Derive the coordinates required to plot the less than and more than ogives""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Introduction_To_Graphs"", ""concept"": ""Graphing tables of values"", ""reason"": ""Derived from skill prerequisite: 'Plot points on a graph from a table of values' (in Grade 8/Chapter13_Introduction_To_Graphs) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Introduction_To_Graphs"", ""concept"": ""Interpreting graphs"", ""reason"": ""Derived from skill prerequisite: 'Read specific values of variables from a given graph' (in Grade 8/Chapter13_Introduction_To_Graphs) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Introduction_To_Graphs"", ""skill"": ""Join plotted points to form a line graph from a table of values"", ""reason"": ""Drawing an ogive curve is essentially joining plotted coordinate points, a skill first developed while constructing line graphs in Grade 8.""}]"
