board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 10,Chapter14_Probability,Empirical vs Theoretical Probability,Differentiate between Empirical Probability and Theoretical Probability,[],[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""concept"": ""Probability of an event"", ""reason"": ""Derived from skill prerequisite: 'Calculate the probability of a given event using the number of favourable and total outcomes' (in Grade 8/Chapter4_Data_Handling) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 10,Chapter14_Probability,Empirical vs Theoretical Probability,Calculate the empirical probability of an event from experimental data,[],[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""concept"": ""Probability of an event"", ""reason"": ""Derived from skill prerequisite: 'Calculate the probability of a given event using the number of favourable and total outcomes' (in Grade 8/Chapter4_Data_Handling) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 10,Chapter14_Probability,Empirical vs Theoretical Probability,Calculate the theoretical probability of an event using the classical definition,[],"[""Differentiate between Empirical Probability and Theoretical Probability""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""concept"": ""Probability of an event"", ""reason"": ""Derived from skill prerequisite: 'Calculate the probability of a given event using the number of favourable and total outcomes' (in Grade 8/Chapter4_Data_Handling) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""skill"": ""Calculate the probability of a given event using the number of favourable and total outcomes"", ""reason"": ""The classical/theoretical probability formula used in Grade 10 is the exact favourable-over-total-outcomes procedure first taught in this Grade 8 skill.""}]"
CBSE,Maths,Grade 10,Chapter14_Probability,Equally Likely Outcomes and Elementary Events,Identify whether outcomes of a given experiment are equally likely,[],[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""concept"": ""Equally likely outcomes"", ""reason"": ""Grade 10 requires students to already understand what makes outcomes equally likely, a concept first defined in this Grade 8 chapter, before they can identify elementary events built on that idea.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""skill"": ""Define equally likely outcomes for an experiment"", ""reason"": ""Judging whether outcomes of a new experiment are equally likely requires already knowing the definition and criteria for equally likely outcomes from Grade 8.""}]"
CBSE,Maths,Grade 10,Chapter14_Probability,Equally Likely Outcomes and Elementary Events,Identify the elementary events of a given experiment,[],"[""Identify whether outcomes of a given experiment are equally likely""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""concept"": ""Equally likely outcomes"", ""reason"": ""Grade 10 requires students to already understand what makes outcomes equally likely, a concept first defined in this Grade 8 chapter, before they can identify elementary events built on that idea.""}]",[]
CBSE,Maths,Grade 10,Chapter14_Probability,Sum of Probabilities of All Elementary Events,Identify all elementary events associated with a given random experiment,"[""Equally Likely Outcomes and Elementary Events""]","[""Identify the elementary events of a given experiment""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""concept"": ""Random experiments and outcomes"", ""reason"": ""Derived from skill prerequisite: 'List all possible outcomes of an experiment' (in Grade 8/Chapter4_Data_Handling) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""concept"": ""Probability of an event"", ""reason"": ""Derived from skill prerequisite: 'Calculate the probability of a given event using the number of favourable and total outcomes' (in Grade 8/Chapter4_Data_Handling) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""skill"": ""List all possible outcomes of an experiment"", ""reason"": ""Listing elementary events for a random experiment builds directly on the Grade 8 skill of systematically listing all possible outcomes of an experiment.""}]"
CBSE,Maths,Grade 10,Chapter14_Probability,Sum of Probabilities of All Elementary Events,Calculate the probability of each elementary event in a given experiment,"[""Equally Likely Outcomes and Elementary Events""]","[""Identify all elementary events associated with a given random experiment""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""concept"": ""Random experiments and outcomes"", ""reason"": ""Derived from skill prerequisite: 'List all possible outcomes of an experiment' (in Grade 8/Chapter4_Data_Handling) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""concept"": ""Probability of an event"", ""reason"": ""Derived from skill prerequisite: 'Calculate the probability of a given event using the number of favourable and total outcomes' (in Grade 8/Chapter4_Data_Handling) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""skill"": ""Calculate the probability of a given event using the number of favourable and total outcomes"", ""reason"": ""Finding the probability of each elementary event uses the same favourable-over-total-outcomes calculation introduced in Grade 8.""}]"
CBSE,Maths,Grade 10,Chapter14_Probability,Sum of Probabilities of All Elementary Events,Verify that the sum of the probabilities of all elementary events of an experiment equals 1,"[""Equally Likely Outcomes and Elementary Events""]","[""Calculate the probability of each elementary event in a given experiment""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""concept"": ""Random experiments and outcomes"", ""reason"": ""Derived from skill prerequisite: 'List all possible outcomes of an experiment' (in Grade 8/Chapter4_Data_Handling) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""concept"": ""Probability of an event"", ""reason"": ""Derived from skill prerequisite: 'Calculate the probability of a given event using the number of favourable and total outcomes' (in Grade 8/Chapter4_Data_Handling) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 10,Chapter14_Probability,"Classification of Events (Complementary, Sure, Impossible)","Classify events as Complementary, Sure, or Impossible events based on calculated probability","[""Range of Probability""]","[""Apply the complement rule to find the probability of 'not E' given P(E)"", ""Distinguish between a sure event and an impossible event using their probability values""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter3_Data_Handling"", ""concept"": ""Chance and Probability"", ""reason"": ""Derived from skill prerequisite: 'Determine the probability of an event not occurring' (in Grade 7/Chapter3_Data_Handling) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 10,Chapter14_Probability,"Classification of Events (Complementary, Sure, Impossible)",Apply the complement rule to find the probability of 'not E' given P(E),"[""Range of Probability""]","[""State that the probability of any event E satisfies 0 ≤ P(E) ≤ 1""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter3_Data_Handling"", ""concept"": ""Chance and Probability"", ""reason"": ""Derived from skill prerequisite: 'Determine the probability of an event not occurring' (in Grade 7/Chapter3_Data_Handling) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter3_Data_Handling"", ""skill"": ""Determine the probability of an event not occurring"", ""reason"": ""The Grade 10 complement rule formalises the same idea of computing the probability an event does not occur that was already practiced in this Grade 7 skill.""}]"
CBSE,Maths,Grade 10,Chapter14_Probability,"Classification of Events (Complementary, Sure, Impossible)",Distinguish between a sure event and an impossible event using their probability values,"[""Range of Probability""]","[""State that the probability of any event E satisfies 0 ≤ P(E) ≤ 1""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter3_Data_Handling"", ""concept"": ""Chance and Probability"", ""reason"": ""Derived from skill prerequisite: 'Determine the probability of an event not occurring' (in Grade 7/Chapter3_Data_Handling) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 10,Chapter14_Probability,Range of Probability,State that the probability of any event E satisfies 0 ≤ P(E) ≤ 1,[],[],[],[],[],[]
CBSE,Maths,Grade 10,Chapter14_Probability,Range of Probability,Identify and justify which given values cannot represent a probability,[],"[""State that the probability of any event E satisfies 0 ≤ P(E) ≤ 1""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter14_Probability,Sample Space of Compound Events,"Construct organized lists, tables, or tree diagrams to represent the sample space for compound events",[],[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""concept"": ""Random experiments and outcomes"", ""reason"": ""Derived from skill prerequisite: 'List all possible outcomes of an experiment' (in Grade 8/Chapter4_Data_Handling) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""skill"": ""List all possible outcomes of an experiment"", ""reason"": ""Building an organized sample space for compound events extends the Grade 8 skill of listing all possible outcomes to more complex, multi-step experiments.""}]"
CBSE,Maths,Grade 10,Chapter14_Probability,Sample Space of Compound Events,Determine the total number of possible outcomes of a compound experiment from its sample space,[],"[""Construct organized lists, tables, or tree diagrams to represent the sample space for compound events""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""concept"": ""Random experiments and outcomes"", ""reason"": ""Derived from skill prerequisite: 'List all possible outcomes of an experiment' (in Grade 8/Chapter4_Data_Handling) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter4_Data_Handling"", ""skill"": ""List all possible outcomes of an experiment"", ""reason"": ""Counting total outcomes of a compound experiment depends on first being able to list all outcomes, a skill established in Grade 8.""}]"
CBSE,Maths,Grade 10,Chapter14_Probability,Probability of Coin Tossing Experiments,Calculate the probability of an event in a single coin toss,[],[],[],[],[],[]
CBSE,Maths,Grade 10,Chapter14_Probability,Probability of Coin Tossing Experiments,Calculate the probability of events involving two coins tossed simultaneously,[],"[""Calculate the probability of an event in a single coin toss""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter14_Probability,Probability of Die Throwing Experiments,Calculate the probability of an event in a single die throw,[],[],[],[],[],[]
CBSE,Maths,Grade 10,Chapter14_Probability,Probability of Die Throwing Experiments,Calculate the probability of events based on the sum of numbers shown on two dice thrown simultaneously,[],"[""Calculate the probability of an event in a single die throw""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter14_Probability,Probability using Playing Cards,Calculate the probability of events involving drawing cards from a well-shuffled deck of 52 cards,[],"[""Identify favourable outcomes for a specified card-drawing event from a deck of 52 cards""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter14_Probability,Probability using Playing Cards,Identify favourable outcomes for a specified card-drawing event from a deck of 52 cards,[],[],[],[],[],[]
CBSE,Maths,Grade 10,Chapter14_Probability,Probability of Drawing Balls/Marbles from a Bag,Calculate the probability of events involving drawing balls or marbles from a bag,[],[],[],[],[],[]
CBSE,Maths,Grade 10,Chapter14_Probability,Probability of Drawing Balls/Marbles from a Bag,Determine the number of balls of a particular colour in a bag given a probability condition,[],"[""Calculate the probability of events involving drawing balls or marbles from a bag""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter14_Probability,Geometric Probability,Calculate geometric probability as the ratio of a favourable length to total length,[],"[""Calculate geometric probability as the ratio of a favourable area to total area""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of a circle"", ""reason"": ""Derived from skill prerequisite: 'Develop and apply the formula to find the area of a circle' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Squares and rectangles"", ""reason"": ""Derived from skill prerequisite: 'Calculate the area of squares and rectangles by identifying their side, length, and breadth' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of triangle"", ""reason"": ""Derived from skill prerequisite: 'Calculate the area of a triangle using the derived formula' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}]",[]
