board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 10,Chapter08_Heredity,Sex determination in human beings,Explain the combination of sex chromosomes that determines sex in humans,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter06_Adolescence:_A_Stage_of_Growth_and_Change"", ""concept"": ""Sex determination"", ""reason"": ""Grade 7 already introduces the X/Y chromosome mechanism of sex determination, which Grade 10 assumes as the basis for the more detailed genetic treatment.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter06_Adolescence:_A_Stage_of_Growth_and_Change"", ""skill"": ""Relate the presence of X and Y chromosomes to determination of sex in offspring"", ""reason"": ""The Grade 7 skill already establishes how X and Y chromosome combinations determine sex, which Grade 10 requires as a starting point for its explanation.""}]"
CBSE,Science,Grade 10,Chapter08_Heredity,Mendel's laws of inheritance,State Mendel's laws of inheritance,"[""Dominant and recessive traits""]",[],[],[],[],[]
CBSE,Science,Grade 10,Chapter08_Heredity,Mendel's laws of inheritance,Explain how traits are inherited from one generation to the next using Mendel's laws,"[""Dominant and recessive traits""]","[""State Mendel's laws of inheritance""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter08_Heredity,Monohybrid cross,Predict the ratio of traits in offspring using a monohybrid cross,"[""Mendel's laws of inheritance"", ""Dominant and recessive traits""]","[""Classify a given trait as dominant or recessive based on its expression in offspring""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter08_Heredity,Dihybrid cross,Predict the ratio of traits in offspring using a dihybrid cross,"[""Monohybrid cross""]","[""Predict the ratio of traits in offspring using a monohybrid cross""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter08_Heredity,Dominant and recessive traits,Classify a given trait as dominant or recessive based on its expression in offspring,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter08_Heredity,Inherited versus acquired traits,Classify a given trait as inherited or acquired,[],[],[],[],[],[]
CBSE,Science,Grade 10,Chapter08_Heredity,Genetic variation,Explain how variations arise during DNA copying in reproduction,"[""Molecular basis of trait expression (genes, DNA, chromosomes)""]","[""Describe how chromosomes carry genetic information""]","[{""chapter"": ""Chapter07_How_Do_Organisms_Reproduce"", ""concept"": ""DNA copying and variation"", ""reason"": ""Genetic variation is caused by imperfections in DNA copying during reproduction, a mechanism first explained in the reproduction chapter.""}]","[{""chapter"": ""Chapter07_How_Do_Organisms_Reproduce"", ""skill"": ""Describe the process of DNA copying during reproduction"", ""reason"": ""Explaining how variations arise during DNA copying requires first understanding the basic mechanics of how DNA is copied during reproduction.""}, {""chapter"": ""Chapter07_How_Do_Organisms_Reproduce"", ""skill"": ""Explain the reasons for variations arising during DNA copying"", ""reason"": ""This skill already establishes why copying errors occur, which is the direct basis for explaining variation generation in reproduction.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter11_Reproduction:_How_Life_Continues"", ""concept"": ""Variation due to sexual reproduction"", ""reason"": ""Grade 9 already establishes that sexual reproduction generates variation, which Grade 10 extends into the context of DNA copying and evolution.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter11_Reproduction:_How_Life_Continues"", ""concept"": ""Meiosis and gamete formation"", ""reason"": ""Derived from skill prerequisite: 'Explain how meiosis creates genetic variation among offspring' (in Grade 9/Chapter11_Reproduction:_How_Life_Continues) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter11_Reproduction:_How_Life_Continues"", ""skill"": ""Explain how meiosis creates genetic variation among offspring"", ""reason"": ""Prior understanding that meiotic processes generate genetic variation is foundational for explaining how variations arise during reproduction and DNA replication.""}]"
CBSE,Science,Grade 10,Chapter08_Heredity,Genetic variation,Describe the importance of variation for survival of a species,"[""Molecular basis of trait expression (genes, DNA, chromosomes)""]","[""Explain how variations arise during DNA copying in reproduction""]","[{""chapter"": ""Chapter07_How_Do_Organisms_Reproduce"", ""concept"": ""DNA copying and variation"", ""reason"": ""Genetic variation is caused by imperfections in DNA copying during reproduction, a mechanism first explained in the reproduction chapter.""}]","[{""chapter"": ""Chapter07_How_Do_Organisms_Reproduce"", ""skill"": ""Relate variations produced during reproduction to their importance for a species' survival"", ""reason"": ""The link between reproductive variation and species survival is first established in the reproduction chapter before being applied to evolutionary reasoning here.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter11_Reproduction:_How_Life_Continues"", ""concept"": ""Variation due to sexual reproduction"", ""reason"": ""Grade 9 already establishes that sexual reproduction generates variation, which Grade 10 extends into the context of DNA copying and evolution.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter11_Reproduction:_How_Life_Continues"", ""concept"": ""Meiosis and gamete formation"", ""reason"": ""Derived from skill prerequisite: 'Explain how meiosis creates genetic variation among offspring' (in Grade 9/Chapter11_Reproduction:_How_Life_Continues) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter11_Reproduction:_How_Life_Continues"", ""skill"": ""Explain how variation produced during reproduction contributes to species survival"", ""reason"": ""This Grade 9 skill directly states the link between reproductive variation and species survival that Grade 10 extends into evolutionary reasoning.""}]"
CBSE,Science,Grade 10,Chapter08_Heredity,Natural selection,Explain how natural selection leads to the survival of better-adapted organisms,"[""Genetic variation""]","[""Describe the importance of variation for survival of a species""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Patterns_in_Life:_Diversity_and_Classification"", ""concept"": ""Adaptations as outcomes of structural change"", ""reason"": ""Derived from skill prerequisite: 'Explain how structural adaptations help animals survive in different environments' (in Grade 9/Chapter12_Patterns_in_Life:_Diversity_and_Classification) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Patterns_in_Life:_Diversity_and_Classification"", ""skill"": ""Explain how structural adaptations help animals survive in different environments"", ""reason"": ""Understanding how adaptations aid survival in specific environments is a prerequisite for explaining how natural selection favours better-adapted organisms.""}]"
CBSE,Science,Grade 10,Chapter08_Heredity,Speciation,Explain how accumulation of variations leads to formation of a new species,"[""Natural selection""]","[""Explain how natural selection leads to the survival of better-adapted organisms""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter08_Heredity,Evidence for evolution: homologous organs,Identify a given pair of organs as homologous based on common structural origin,"[""Evolution and classification""]","[""Relate the degree of similarity between organisms to their evolutionary closeness""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter08_Heredity,Evidence for evolution: analogous organs,Identify a given pair of organs as analogous based on similar function but different origin,"[""Evolution and classification""]","[""Relate the degree of similarity between organisms to their evolutionary closeness""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter08_Heredity,Evidence for evolution: fossils,Compare fossils to identify similarities and differences indicating evolutionary relationships,"[""Evolution and classification""]","[""Relate the degree of similarity between organisms to their evolutionary closeness""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Patterns_in_Life:_Diversity_and_Classification"", ""concept"": ""Fossils as evidence of evolution"", ""reason"": ""The idea that fossils serve as evidence for evolutionary history is introduced in Grade 9 and is directly built upon in Grade 10's detailed treatment.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Patterns_in_Life:_Diversity_and_Classification"", ""skill"": ""Interpret fossils as evidence for the history and evolution of life"", ""reason"": ""This Grade 9 skill establishes the basic ability to read fossils as evolutionary evidence, which Grade 10 extends into comparative analysis.""}]"
CBSE,Science,Grade 10,Chapter08_Heredity,Evidence for evolution: fossils,Sequence fossils to construct a timeline of evolution,"[""Evolution and classification""]","[""Compare fossils to identify similarities and differences indicating evolutionary relationships""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Patterns_in_Life:_Diversity_and_Classification"", ""concept"": ""Fossils as evidence of evolution"", ""reason"": ""The idea that fossils serve as evidence for evolutionary history is introduced in Grade 9 and is directly built upon in Grade 10's detailed treatment.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Patterns_in_Life:_Diversity_and_Classification"", ""skill"": ""Interpret fossils as evidence for the history and evolution of life"", ""reason"": ""Constructing an evolutionary timeline from fossils depends on the prior skill of interpreting fossils as evidence of evolutionary history.""}]"
CBSE,Science,Grade 10,Chapter08_Heredity,Evolution and classification,Relate the degree of similarity between organisms to their evolutionary closeness,[],[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Patterns_in_Life:_Diversity_and_Classification"", ""concept"": ""Classification and evolutionary relationships among organisms"", ""reason"": ""Grade 9 already links classification schemes to evolutionary relatedness, which is the specific idea Grade 10 revisits and deepens.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Patterns_in_Life:_Diversity_and_Classification"", ""concept"": ""Characteristic differences between earlier and later evolved organisms"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between earlier evolved and later evolved organisms based on their characteristics' (in Grade 9/Chapter12_Patterns_in_Life:_Diversity_and_Classification) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Patterns_in_Life:_Diversity_and_Classification"", ""skill"": ""Distinguish between earlier evolved and later evolved organisms based on their characteristics"", ""reason"": ""Judging evolutionary closeness from similarity builds on the prior skill of comparing characteristics of organisms that evolved at different times.""}]"
CBSE,Science,Grade 10,Chapter08_Heredity,Human evolution,Trace the migration and evolutionary history of modern humans using fossil evidence,"[""Evidence for evolution: fossils""]","[""Sequence fossils to construct a timeline of evolution""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Patterns_in_Life:_Diversity_and_Classification"", ""concept"": ""Fossils as evidence of evolution"", ""reason"": ""Derived from skill prerequisite: 'Interpret fossils as evidence for the history and evolution of life' (in Grade 9/Chapter12_Patterns_in_Life:_Diversity_and_Classification) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter12_Patterns_in_Life:_Diversity_and_Classification"", ""skill"": ""Interpret fossils as evidence for the history and evolution of life"", ""reason"": ""Tracing human evolutionary history from fossils requires the previously established skill of interpreting fossils as evidence of evolutionary change.""}]"
CBSE,Science,Grade 10,Chapter08_Heredity,History of genetics,Describe Mendel's contribution to the understanding of inheritance,"[""Mendel's laws of inheritance""]","[""State Mendel's laws of inheritance""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter08_Heredity,"Molecular basis of trait expression (genes, DNA, chromosomes)",Explain how genes control characteristics through proteins and enzymes,"[""Mendel's laws of inheritance"", ""Chromosomes and gene sets in germ cells""]","[""Describe how chromosomes carry genetic information""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Chromosomes"", ""reason"": ""Understanding chromosomes as the physical carriers of hereditary information is required before learning how genes on them control traits.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""DNA and cell control"", ""reason"": ""Knowing that DNA directs cellular activity is the basis for explaining how genes and DNA govern the expression of traits.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Ribosomes"", ""reason"": ""Derived from skill prerequisite: 'Describe the role of ribosomes in protein synthesis' (in Grade 9/Chapter02_Cell:_The_Building_Block_of_Life) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""skill"": ""Describe the role of ribosomes in protein synthesis"", ""reason"": ""Explaining gene control of traits via proteins requires prior knowledge that ribosomes synthesize proteins from genetic instructions.""}]"
CBSE,Science,Grade 10,Chapter08_Heredity,"Molecular basis of trait expression (genes, DNA, chromosomes)",Describe how chromosomes carry genetic information,"[""Mendel's laws of inheritance"", ""Chromosomes and gene sets in germ cells""]","[""Explain why germ cells contain only one set of chromosomes""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Chromosomes"", ""reason"": ""Understanding chromosomes as the physical carriers of hereditary information is required before learning how genes on them control traits.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""DNA and cell control"", ""reason"": ""Knowing that DNA directs cellular activity is the basis for explaining how genes and DNA govern the expression of traits.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Ribosomes"", ""reason"": ""Derived from skill prerequisite: 'Describe the role of ribosomes in protein synthesis' (in Grade 9/Chapter02_Cell:_The_Building_Block_of_Life) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""skill"": ""Explain the role of chromosomes in the transfer of characters from parents to offspring"", ""reason"": ""This Grade 9 skill already establishes that chromosomes transmit hereditary characters, which Grade 10 builds on for a fuller molecular explanation.""}]"
CBSE,Science,Grade 10,Chapter08_Heredity,Chromosomes and gene sets in germ cells,Explain why germ cells contain only one set of chromosomes,"[""Molecular basis of trait expression (genes, DNA, chromosomes)""]","[""Describe how chromosomes carry genetic information""]","[{""chapter"": ""Chapter07_How_Do_Organisms_Reproduce"", ""concept"": ""Sexual reproduction and its significance"", ""reason"": ""Understanding why germ cells carry only one set of chromosomes requires first knowing that sexual reproduction combines gametes from two parents to restore the full chromosome number.""}, {""chapter"": ""Chapter07_How_Do_Organisms_Reproduce"", ""concept"": ""Fertilization and post-fertilization changes"", ""reason"": ""Derived from skill prerequisite: 'Explain the process of fertilisation and embryo development in humans' (in Chapter07_How_Do_Organisms_Reproduce) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter07_How_Do_Organisms_Reproduce"", ""skill"": ""Explain the process of fertilisation and embryo development in humans"", ""reason"": ""Explaining why germ cells have a single chromosome set depends on understanding that fertilisation fuses two gametes to restore the full chromosome number.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Meiosis"", ""reason"": ""The concept of a single chromosome set in germ cells directly depends on prior understanding of meiosis, which halves the chromosome number.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""skill"": ""Describe the stages and outcome of meiosis in producing four genetically variable gametes"", ""reason"": ""Understanding that meiosis halves the chromosome number to produce gametes is required to explain why germ cells carry only one chromosome set.""}]"
CBSE,Science,Grade 10,Chapter08_Heredity,Sex determination strategies in other species,Compare sex determination strategies across different species,"[""Sex determination in human beings""]","[""Explain the combination of sex chromosomes that determines sex in humans""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter08_Heredity,Independent inheritance of traits,Predict the trait ratio in F1 and F2 generations using Mendelian crosses,"[""Monohybrid cross"", ""Dihybrid cross"", ""Mendel's laws of inheritance"", ""Dominant and recessive traits""]","[""State Mendel's laws of inheritance"", ""Classify a given trait as dominant or recessive based on its expression in offspring""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter08_Heredity,Independent inheritance of traits,Interpret monohybrid and dihybrid cross results,"[""Monohybrid cross"", ""Dihybrid cross"", ""Mendel's laws of inheritance"", ""Dominant and recessive traits""]","[""Predict the ratio of traits in offspring using a monohybrid cross"", ""Predict the ratio of traits in offspring using a dihybrid cross""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter08_Heredity,Independent inheritance of traits,Calculate expected ratios of traits in offspring from a genetic cross,"[""Monohybrid cross"", ""Dihybrid cross"", ""Mendel's laws of inheritance"", ""Dominant and recessive traits""]","[""Predict the ratio of traits in offspring using a monohybrid cross""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter08_Heredity,Independent inheritance of traits,Identify possible genetic make-up (genotype) of parents based on offspring traits,"[""Monohybrid cross"", ""Dihybrid cross"", ""Mendel's laws of inheritance"", ""Dominant and recessive traits""]","[""Interpret monohybrid and dihybrid cross results""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter08_Heredity,Independent inheritance of traits,Design a simple project to investigate inheritance of a trait such as coat colour in dogs,"[""Monohybrid cross"", ""Dihybrid cross"", ""Mendel's laws of inheritance"", ""Dominant and recessive traits""]","[""Predict the ratio of traits in offspring using a monohybrid cross"", ""Predict the ratio of traits in offspring using a dihybrid cross""]",[],[],[],[]
