board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 2,Chapter4_Shadow_Story,Counting up to 100 by grouping in 10s,Identify groups of ten objects within a collection up to 100,[],[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Grouping objects in tens"", ""reason"": ""Extends the earlier technique of bundling objects into groups of ten so larger collections up to 100 can be counted efficiently.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Grouping objects into 10s"", ""reason"": ""Derived from skill prerequisite: 'Identify a group of ten objects from a collection' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Identify a group of ten objects from a collection"", ""reason"": ""Directly extends the same skill of spotting a ten-object group to larger collections up to 100.""}]"
CBSE,Maths,Grade 2,Chapter4_Shadow_Story,Counting up to 100 by grouping in 10s,Count total objects by grouping them in tens and ones,[],"[""Identify groups of ten objects within a collection up to 100""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""concept"": ""Grouping objects in tens"", ""reason"": ""Extends the earlier technique of bundling objects into groups of ten so larger collections up to 100 can be counted efficiently.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Grouping objects into 10s"", ""reason"": ""Derived from skill prerequisite: 'Identify a group of ten objects from a collection' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 8"", ""skill"": ""Group objects into tens to count larger quantities"", ""reason"": ""Builds directly on the technique of grouping objects into tens to count larger totals.""}]"
CBSE,Maths,Grade 2,Chapter4_Shadow_Story,"Composing and decomposing 2-digit numbers into 10s and 1s (concrete, pictorial)",Identify the tens and ones in a 2-digit number using concrete or pictorial representation,[],[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Introduces the concrete/pictorial tens-and-ones splitting technique for teen numbers that Grade 2 extends to all 2-digit numbers.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Represent tens and ones of a number using pictures or concrete objects' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Represent tens and ones of a number using pictures or concrete objects"", ""reason"": ""Gives the foundational concrete/pictorial method for showing tens and ones that this skill applies to 2-digit numbers.""}]"
CBSE,Maths,Grade 2,Chapter4_Shadow_Story,"Composing and decomposing 2-digit numbers into 10s and 1s (concrete, pictorial)",Construct a 2-digit number by combining given tens and ones blocks or pictures,[],[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Introduces the concrete/pictorial tens-and-ones splitting technique for teen numbers that Grade 2 extends to all 2-digit numbers.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Represent tens and ones of a number using pictures or concrete objects' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Compose a two-digit number from given tens and ones"", ""reason"": ""Is the same composing technique first practiced with teen numbers, now applied to any 2-digit number.""}]"
CBSE,Maths,Grade 2,Chapter4_Shadow_Story,"Composing and decomposing 2-digit numbers into 10s and 1s (concrete, pictorial)",Decompose a given 2-digit number into its tens and ones using pictures or objects,[],[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Introduces the concrete/pictorial tens-and-ones splitting technique for teen numbers that Grade 2 extends to all 2-digit numbers.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Represent tens and ones of a number using pictures or concrete objects' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Decompose a two-digit number into tens and ones (e.g., 17=10+7)"", ""reason"": ""Provides the same decomposition technique first practiced with teen numbers, now extended pictorially to any 2-digit number.""}]"
CBSE,Maths,Grade 2,Chapter4_Shadow_Story,Composing and decomposing 2-digit numbers into 10s and 1s (numerical),Determine the number of tens and ones in a given 2-digit numeral,"[""Counting up to 100 by grouping in 10s""]",[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Provides the foundational numerical composing/decomposing method (e.g. 17=10+7) that is generalized to any 2-digit number.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a two-digit number' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Identify the tens digit and ones digit in a two-digit number"", ""reason"": ""Directly builds on the earlier skill of separating a two-digit number's tens and ones digits.""}]"
CBSE,Maths,Grade 2,Chapter4_Shadow_Story,Composing and decomposing 2-digit numbers into 10s and 1s (numerical),Construct a 2-digit number numerically from given tens and ones values,"[""Counting up to 100 by grouping in 10s""]","[""Determine the number of tens and ones in a given 2-digit numeral""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Provides the foundational numerical composing/decomposing method (e.g. 17=10+7) that is generalized to any 2-digit number.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a two-digit number' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Compose a two-digit number from given tens and ones"", ""reason"": ""Applies the same composing technique numerically, first learned with teen numbers.""}]"
CBSE,Maths,Grade 2,Chapter4_Shadow_Story,Composing and decomposing 2-digit numbers into 10s and 1s (numerical),Decompose a 2-digit number numerically into its tens and ones values,"[""Counting up to 100 by grouping in 10s""]","[""Determine the number of tens and ones in a given 2-digit numeral""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Composing and decomposing numbers"", ""reason"": ""Provides the foundational numerical composing/decomposing method (e.g. 17=10+7) that is generalized to any 2-digit number.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Derived from skill prerequisite: 'Identify the tens digit and ones digit in a two-digit number' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Decompose a two-digit number into tens and ones (e.g., 17=10+7)"", ""reason"": ""Extends the same numerical decomposition method learned with teen numbers to all 2-digit numbers.""}]"
CBSE,Maths,Grade 2,Chapter4_Shadow_Story,Comparison of 2-digit numbers using place value,Identify the tens digit and ones digit of two given numbers,"[""Composing and decomposing 2-digit numbers into 10s and 1s (numerical)""]",[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Establishes that a digit's position determines its value, which is the basis for comparing 2-digit numbers by place value.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Comparing groups"", ""reason"": ""Derived from skill prerequisite: 'Compare numbers up to 20 using more than, less than, or equal to' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Identify the tens digit and ones digit in a two-digit number"", ""reason"": ""Builds directly on the earlier skill of separating a two-digit number's tens and ones digits.""}]"
CBSE,Maths,Grade 2,Chapter4_Shadow_Story,Comparison of 2-digit numbers using place value,Compare two 2-digit numbers by examining their place values,"[""Composing and decomposing 2-digit numbers into 10s and 1s (numerical)""]","[""Identify the tens digit and ones digit of two given numbers""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Place value of tens and ones"", ""reason"": ""Establishes that a digit's position determines its value, which is the basis for comparing 2-digit numbers by place value.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""concept"": ""Numerals 10-20: Comparing groups"", ""reason"": ""Derived from skill prerequisite: 'Compare numbers up to 20 using more than, less than, or equal to' (in Grade 1/Chapter 5) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 5"", ""skill"": ""Explain how each digit of a two-digit number represents an amount of tens or ones"", ""reason"": ""Understanding what each digit represents is required before a student can compare numbers by examining their place values.""}]"
