board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 5,Chapter06_Be_My_Multiple_Ill_Be_Your_Factor,Multiples of a Number,Identify multiples of a given number using multiplication facts or skip counting,[],[],[],[],[],[]
CBSE,Maths,Grade 5,Chapter06_Be_My_Multiple_Ill_Be_Your_Factor,Multiples of a Number,Define what a multiple of a number is in your own words,[],[],[],[],[],[]
CBSE,Maths,Grade 5,Chapter06_Be_My_Multiple_Ill_Be_Your_Factor,Multiples of a Number,Solve simple problems based on multiples of given numbers,[],[],[],[],[],[]
CBSE,Maths,Grade 5,Chapter06_Be_My_Multiple_Ill_Be_Your_Factor,Common Multiples,Identify the multiples of two given numbers separately,"[""Multiples of a Number""]","[""Identify multiples of a given number using multiplication facts or skip counting""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter06_Be_My_Multiple_Ill_Be_Your_Factor,Common Multiples,Determine the common multiple(s) of two given numbers,"[""Multiples of a Number""]","[""Identify the multiples of two given numbers separately""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter06_Be_My_Multiple_Ill_Be_Your_Factor,Common Multiples,Apply common multiples to solve contextual problems,"[""Multiples of a Number""]","[""Determine the common multiple(s) of two given numbers""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter06_Be_My_Multiple_Ill_Be_Your_Factor,Factors of a Number,Identify the factors of a given number using division,[],[],"[{""chapter"": ""Chapter13_Ways_To_Multiply_And_Divide"", ""concept"": ""Remainders in division"", ""reason"": ""Understanding a factor as a number that divides another exactly requires first understanding what a remainder is and recognising when division leaves no remainder.""}, {""chapter"": ""Chapter13_Ways_To_Multiply_And_Divide"", ""concept"": ""Division using standard algorithms"", ""reason"": ""Derived from skill prerequisite: 'Apply the standard division algorithm to divide large numbers' (in Chapter13_Ways_To_Multiply_And_Divide) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter13_Ways_To_Multiply_And_Divide"", ""skill"": ""Identify the remainder obtained when a division does not divide exactly"", ""reason"": ""Testing whether a number is a factor requires dividing and checking whether the remainder is zero, a skill built in the division chapter.""}]",[],[]
CBSE,Maths,Grade 5,Chapter06_Be_My_Multiple_Ill_Be_Your_Factor,Factors of a Number,Find factors of a number using a factor tree,[],"[""Identify the factors of a given number using division""]","[{""chapter"": ""Chapter13_Ways_To_Multiply_And_Divide"", ""concept"": ""Remainders in division"", ""reason"": ""Understanding a factor as a number that divides another exactly requires first understanding what a remainder is and recognising when division leaves no remainder.""}, {""chapter"": ""Chapter13_Ways_To_Multiply_And_Divide"", ""concept"": ""Division using standard algorithms"", ""reason"": ""Derived from skill prerequisite: 'Apply the standard division algorithm to divide large numbers' (in Chapter13_Ways_To_Multiply_And_Divide) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter13_Ways_To_Multiply_And_Divide"", ""skill"": ""Apply the standard division algorithm to divide large numbers"", ""reason"": ""Building a factor tree requires repeatedly dividing a number by smaller numbers using the division algorithm to break it into factors.""}]",[],[]
CBSE,Maths,Grade 5,Chapter06_Be_My_Multiple_Ill_Be_Your_Factor,Factors of a Number,Solve contextual problems related to factors of a number,[],[],"[{""chapter"": ""Chapter13_Ways_To_Multiply_And_Divide"", ""concept"": ""Remainders in division"", ""reason"": ""Understanding a factor as a number that divides another exactly requires first understanding what a remainder is and recognising when division leaves no remainder.""}, {""chapter"": ""Chapter13_Ways_To_Multiply_And_Divide"", ""concept"": ""Division using standard algorithms"", ""reason"": ""Derived from skill prerequisite: 'Apply the standard division algorithm to divide large numbers' (in Chapter13_Ways_To_Multiply_And_Divide) is a prerequisite of a skill under this concept.""}]",[],[],[]
CBSE,Maths,Grade 5,Chapter06_Be_My_Multiple_Ill_Be_Your_Factor,Common Factors,List the factors of two given numbers separately,"[""Factors of a Number""]","[""Identify the factors of a given number using division""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter06_Be_My_Multiple_Ill_Be_Your_Factor,Common Factors,Determine the common factor(s) of two given numbers,"[""Factors of a Number""]","[""List the factors of two given numbers separately""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter06_Be_My_Multiple_Ill_Be_Your_Factor,Common Factors,Solve contextual problems using common factors of given numbers,"[""Factors of a Number""]","[""Determine the common factor(s) of two given numbers""]",[],[],[],[]
CBSE,Maths,Grade 5,Chapter06_Be_My_Multiple_Ill_Be_Your_Factor,LCM and HCF in Real-Life Contexts,Identify real-life situations that require finding the LCM or HCF,"[""Common Multiples"", ""Common Factors""]",[],[],[],[],[]
CBSE,Maths,Grade 5,Chapter06_Be_My_Multiple_Ill_Be_Your_Factor,LCM and HCF in Real-Life Contexts,Connect the concept of LCM to problems involving common multiples in daily life,"[""Common Multiples"", ""Common Factors""]","[""Apply common multiples to solve contextual problems""]",[],[],[],[]
