board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 7,Chapter6_The_Triangle_And_Its_Properties,Types of triangles,"Classify a triangle as equilateral, isosceles, or scalene from its side lengths.",[],[],"[{""chapter"": ""Chapter5_Lines_And_Angles"", ""concept"": ""Types of Angles"", ""reason"": ""Classifying a triangle as acute-angled, right-angled, or obtuse-angled requires already knowing the definitions of acute, right, and obtuse angles.""}]",[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Acute, Obtuse and Right Angles"", ""reason"": ""Classifying a triangle as acute, right, or obtuse-angled requires already knowing how to distinguish acute, right, and obtuse angles.""}]",[]
CBSE,Maths,Grade 7,Chapter6_The_Triangle_And_Its_Properties,Types of triangles,"Classify a triangle as acute-angled, right-angled, or obtuse-angled from its angles.",[],"[""Classify a triangle as equilateral, isosceles, or scalene from its side lengths.""]","[{""chapter"": ""Chapter5_Lines_And_Angles"", ""concept"": ""Types of Angles"", ""reason"": ""Classifying a triangle as acute-angled, right-angled, or obtuse-angled requires already knowing the definitions of acute, right, and obtuse angles.""}]","[{""chapter"": ""Chapter5_Lines_And_Angles"", ""skill"": ""Classify a given angle as acute"", ""reason"": ""Determining whether a triangle is acute, right, or obtuse-angled depends on being able to classify individual angles by their measure first.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Acute, Obtuse and Right Angles"", ""reason"": ""Classifying a triangle as acute, right, or obtuse-angled requires already knowing how to distinguish acute, right, and obtuse angles.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""skill"": ""Classify angles as acute, right or obtuse"", ""reason"": ""Determining the type of a triangle from its angles requires already being able to classify individual angles as acute, right, or obtuse.""}]"
CBSE,Maths,Grade 7,Chapter6_The_Triangle_And_Its_Properties,Parts of a triangle,Identify the side opposite a given vertex and the angle opposite a given side in a triangle.,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""concept"": ""Triangles"", ""reason"": ""Derived from skill prerequisite: 'Describe the elements of a triangle' (in Grade 6/Chapter02_Lines_And_Angles) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter02_Lines_And_Angles"", ""skill"": ""Describe the elements of a triangle"", ""reason"": ""Recognising which side is opposite which vertex requires already knowing the labelled elements (vertices, sides, angles) of a triangle.""}]"
CBSE,Maths,Grade 7,Chapter6_The_Triangle_And_Its_Properties,Medians of a triangle,Identify the median of a triangle in a diagram.,"[""Parts of a triangle""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_Playing_With_Constructions"", ""concept"": ""Points equidistant from two given points"", ""reason"": ""Locating the midpoint of a side to define a median relies on the technique of finding a point equidistant from the two endpoints of the side.""}]",[]
CBSE,Maths,Grade 7,Chapter6_The_Triangle_And_Its_Properties,Medians of a triangle,Construct or sketch a median for a given triangle.,"[""Parts of a triangle""]","[""Identify the median of a triangle in a diagram.""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_Playing_With_Constructions"", ""concept"": ""Points equidistant from two given points"", ""reason"": ""Locating the midpoint of a side to define a median relies on the technique of finding a point equidistant from the two endpoints of the side.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_Playing_With_Constructions"", ""skill"": ""Locate a point equidistant from two given points using intersecting arcs drawn with a compass"", ""reason"": ""Constructing a median requires finding the midpoint of a side, which uses the arc-intersection technique for locating a point equidistant from two given points.""}]"
CBSE,Maths,Grade 7,Chapter6_The_Triangle_And_Its_Properties,Altitudes of a triangle,Identify the altitude of a triangle in a diagram.,"[""Parts of a triangle""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_Playing_With_Constructions"", ""concept"": ""Perpendiculars"", ""reason"": ""An altitude is defined as the perpendicular segment from a vertex to the opposite side, so the notion of a perpendicular must already be understood.""}]",[]
CBSE,Maths,Grade 7,Chapter6_The_Triangle_And_Its_Properties,Altitudes of a triangle,Construct or sketch an altitude for a given triangle.,"[""Parts of a triangle""]","[""Identify the altitude of a triangle in a diagram.""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_Playing_With_Constructions"", ""concept"": ""Perpendiculars"", ""reason"": ""An altitude is defined as the perpendicular segment from a vertex to the opposite side, so the notion of a perpendicular must already be understood.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_Playing_With_Constructions"", ""skill"": ""Construct a perpendicular to a line through a point not on it"", ""reason"": ""Drawing an altitude requires the specific compass-and-ruler technique for constructing a perpendicular from a point to a line.""}]"
CBSE,Maths,Grade 7,Chapter6_The_Triangle_And_Its_Properties,Median and altitude,Distinguish between a median and an altitude in a triangle.,"[""Medians of a triangle"", ""Altitudes of a triangle""]","[""Identify the median of a triangle in a diagram."", ""Identify the altitude of a triangle in a diagram.""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter6_The_Triangle_And_Its_Properties,Exterior angle of a triangle,Explain how an exterior angle is formed in a triangle.,"[""Parts of a triangle"", ""Angle sum property of a triangle""]",[],"[{""chapter"": ""Chapter5_Lines_And_Angles"", ""concept"": ""Linear Pair of Angles"", ""reason"": ""An exterior angle is formed by extending a side of the triangle, which creates a linear pair with the adjacent interior angle, so understanding linear pairs is needed to grasp how the exterior angle arises.""}]","[{""chapter"": ""Chapter5_Lines_And_Angles"", ""skill"": ""Define a linear pair of angles and state the property that the angles in a linear pair are supplementary."", ""reason"": ""Extending a side of a triangle to form the exterior angle produces a linear pair with the interior angle, so the concept of a linear pair must already be understood.""}]",[],[]
CBSE,Maths,Grade 7,Chapter6_The_Triangle_And_Its_Properties,Exterior angle of a triangle,Determine the measure of an exterior angle using the triangle angle relationship.,"[""Parts of a triangle"", ""Angle sum property of a triangle""]","[""Explain how an exterior angle is formed in a triangle."", ""Calculate the unknown angle of a triangle when the other two angles are given.""]","[{""chapter"": ""Chapter5_Lines_And_Angles"", ""concept"": ""Linear Pair of Angles"", ""reason"": ""An exterior angle is formed by extending a side of the triangle, which creates a linear pair with the adjacent interior angle, so understanding linear pairs is needed to grasp how the exterior angle arises.""}]",[],[],[]
