board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 4,Chapter13_The_Transport_Museum,Estimating and Measuring Volume of Liquids (litres and millilitres),Identify litres and millilitres as units of measuring liquid volume,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Standard measure of 'litre'"", ""reason"": ""The target extends measuring liquid volume in litres and millilitres, which requires already knowing the litre as a fixed standard unit of capacity.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Estimating, verifying and comparing capacities using 1 litre as standard"", ""reason"": ""Estimating then measuring volume builds directly on the estimate-verify process already practised with 1-litre capacities.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Identify the 1-litre unit as a standard measure of capacity"", ""reason"": ""Recognising litres and millilitres builds on the earlier established recognition of the litre as a standard capacity unit.""}]"
CBSE,Maths,Grade 4,Chapter13_The_Transport_Museum,Estimating and Measuring Volume of Liquids (litres and millilitres),Estimate the volume of a given liquid before measuring it,[],"[{""item"": ""Identify litres and millilitres as units of measuring liquid volume"", ""reason"": ""One must know the units of volume before making a sensible estimate in those units.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Standard measure of 'litre'"", ""reason"": ""The target extends measuring liquid volume in litres and millilitres, which requires already knowing the litre as a fixed standard unit of capacity.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Estimating, verifying and comparing capacities using 1 litre as standard"", ""reason"": ""Estimating then measuring volume builds directly on the estimate-verify process already practised with 1-litre capacities.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Estimate the capacity of an everyday object in litres before measuring"", ""reason"": ""Estimating liquid volume is a direct extension of the earlier practice of estimating capacity in litres before measuring.""}]"
CBSE,Maths,Grade 4,Chapter13_The_Transport_Museum,Estimating and Measuring Volume of Liquids (litres and millilitres),Measure the volume of liquids using standard containers marked in litres and millilitres,[],"[{""item"": ""Identify litres and millilitres as units of measuring liquid volume"", ""reason"": ""Reading a container's markings requires already knowing what litres and millilitres represent.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Standard measure of 'litre'"", ""reason"": ""The target extends measuring liquid volume in litres and millilitres, which requires already knowing the litre as a fixed standard unit of capacity.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Estimating, verifying and comparing capacities using 1 litre as standard"", ""reason"": ""Estimating then measuring volume builds directly on the estimate-verify process already practised with 1-litre capacities.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Measure the capacity of familiar objects using a 1-litre unit"", ""reason"": ""Measuring volume with graduated containers builds on the earlier skill of measuring capacity using a 1-litre unit.""}]"
CBSE,Maths,Grade 4,Chapter13_The_Transport_Museum,Estimating and Measuring Volume of Liquids (litres and millilitres),Verify an estimated volume by comparing it with the actual measured volume,[],"[{""item"": ""Estimate the volume of a given liquid before measuring it"", ""reason"": ""Verification requires having made an estimate first to compare against.""}, {""item"": ""Measure the volume of liquids using standard containers marked in litres and millilitres"", ""reason"": ""Verification requires an actual measured value to compare the estimate with.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Standard measure of 'litre'"", ""reason"": ""The target extends measuring liquid volume in litres and millilitres, which requires already knowing the litre as a fixed standard unit of capacity.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Estimating, verifying and comparing capacities using 1 litre as standard"", ""reason"": ""Estimating then measuring volume builds directly on the estimate-verify process already practised with 1-litre capacities.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Verify an estimated capacity by measuring with a 1-litre container"", ""reason"": ""Verifying estimated volume against actual measurement is a direct continuation of the earlier estimate-verify process for capacity.""}]"
CBSE,Maths,Grade 4,Chapter13_The_Transport_Museum,Comparing Volume of Different Liquids,Compare the volumes of two or more liquids using their measured quantities,"[{""item"": ""Estimating and Measuring Volume of Liquids (litres and millilitres)"", ""reason"": ""Students must be able to measure liquid volumes accurately before they can compare measured quantities between containers.""}]","[{""item"": ""Measure the volume of liquids using standard containers marked in litres and millilitres"", ""reason"": ""Comparing volumes requires having measured quantities to compare in the first place.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Estimating, verifying and comparing capacities using 1 litre as standard"", ""reason"": ""Comparing volumes of liquids depends on the earlier-established skill of comparing capacities using a standard litre unit.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Volume conservation of liquids"", ""reason"": ""Correctly comparing volumes in different containers requires understanding that liquid volume does not change with container shape.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Comparing Quantities of Liquids Using a Glass as a Unit"", ""reason"": ""Derived from skill prerequisite: 'Identify which container holds more or less liquid based on glass counts' (in Grade 2/Chapter7_Ranis_Gift) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Compare the capacities of two or more everyday objects using 1 litre as the standard"", ""reason"": ""Comparing measured liquid volumes builds directly on the earlier skill of comparing capacities using a standard litre unit.""}]"
CBSE,Maths,Grade 4,Chapter13_The_Transport_Museum,Comparing Volume of Different Liquids,Determine which container holds more or less liquid based on measured volume,"[{""item"": ""Estimating and Measuring Volume of Liquids (litres and millilitres)"", ""reason"": ""Students must be able to measure liquid volumes accurately before they can compare measured quantities between containers.""}]","[{""item"": ""Compare the volumes of two or more liquids using their measured quantities"", ""reason"": ""Deciding which container holds more/less depends on first being able to compare the measured volumes.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Estimating, verifying and comparing capacities using 1 litre as standard"", ""reason"": ""Comparing volumes of liquids depends on the earlier-established skill of comparing capacities using a standard litre unit.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Volume conservation of liquids"", ""reason"": ""Correctly comparing volumes in different containers requires understanding that liquid volume does not change with container shape.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Comparing Quantities of Liquids Using a Glass as a Unit"", ""reason"": ""Derived from skill prerequisite: 'Identify which container holds more or less liquid based on glass counts' (in Grade 2/Chapter7_Ranis_Gift) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""skill"": ""Identify which container holds more or less liquid based on glass counts"", ""reason"": ""Judging which container holds more or less liquid builds on the earlier informal-unit comparison of container capacity.""}]"
CBSE,Maths,Grade 4,Chapter13_The_Transport_Museum,Comparing Volume of Different Liquids,Explain the difference in volume between two liquids using measured values,"[{""item"": ""Estimating and Measuring Volume of Liquids (litres and millilitres)"", ""reason"": ""Students must be able to measure liquid volumes accurately before they can compare measured quantities between containers.""}]","[{""item"": ""Compare the volumes of two or more liquids using their measured quantities"", ""reason"": ""Explaining the difference numerically requires having already compared the two measured volumes.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Estimating, verifying and comparing capacities using 1 litre as standard"", ""reason"": ""Comparing volumes of liquids depends on the earlier-established skill of comparing capacities using a standard litre unit.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Volume conservation of liquids"", ""reason"": ""Correctly comparing volumes in different containers requires understanding that liquid volume does not change with container shape.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Comparing Quantities of Liquids Using a Glass as a Unit"", ""reason"": ""Derived from skill prerequisite: 'Identify which container holds more or less liquid based on glass counts' (in Grade 2/Chapter7_Ranis_Gift) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 4,Chapter13_The_Transport_Museum,Solving Real-Life Problems Based on Volume of Liquids,Convert a daily-life volume situation into a mathematical addition or subtraction problem,"[{""item"": ""Estimating and Measuring Volume of Liquids (litres and millilitres)"", ""reason"": ""Real-life addition/subtraction problems about volume require first knowing how to measure and express liquid volumes in litres and millilitres.""}]","[{""item"": ""Measure the volume of liquids using standard containers marked in litres and millilitres"", ""reason"": ""Turning a real situation into a numeric problem requires knowing how to measure the volumes involved.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Addition and subtraction word problems involving capacity (litres)"", ""reason"": ""Real-life volume problems in the target build directly on the earlier practice of solving capacity word problems with addition and subtraction.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Identify the addition or subtraction operation needed in a real-life capacity problem"", ""reason"": ""Translating a volume situation into an operation is a direct continuation of the earlier skill of identifying the required operation in capacity problems.""}]"
CBSE,Maths,Grade 4,Chapter13_The_Transport_Museum,Solving Real-Life Problems Based on Volume of Liquids,Calculate the total volume of liquid from multiple containers using addition,"[{""item"": ""Estimating and Measuring Volume of Liquids (litres and millilitres)"", ""reason"": ""Real-life addition/subtraction problems about volume require first knowing how to measure and express liquid volumes in litres and millilitres.""}]","[{""item"": ""Convert a daily-life volume situation into a mathematical addition or subtraction problem"", ""reason"": ""Performing the addition calculation depends on first having framed the situation as an addition problem.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Addition and subtraction word problems involving capacity (litres)"", ""reason"": ""Real-life volume problems in the target build directly on the earlier practice of solving capacity word problems with addition and subtraction.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Calculate the total or remaining capacity by adding or subtracting litre measures"", ""reason"": ""Adding litre quantities from multiple containers builds directly on the earlier practice of adding and subtracting litre measures.""}]"
CBSE,Maths,Grade 4,Chapter13_The_Transport_Museum,Solving Real-Life Problems Based on Volume of Liquids,"Calculate the remaining volume of liquid after some is used, using subtraction","[{""item"": ""Estimating and Measuring Volume of Liquids (litres and millilitres)"", ""reason"": ""Real-life addition/subtraction problems about volume require first knowing how to measure and express liquid volumes in litres and millilitres.""}]","[{""item"": ""Convert a daily-life volume situation into a mathematical addition or subtraction problem"", ""reason"": ""Performing the subtraction calculation depends on first having framed the situation as a subtraction problem.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""concept"": ""Addition and subtraction word problems involving capacity (litres)"", ""reason"": ""Real-life volume problems in the target build directly on the earlier practice of solving capacity word problems with addition and subtraction.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Filling_and_Lifting"", ""skill"": ""Calculate the total or remaining capacity by adding or subtracting litre measures"", ""reason"": ""Finding remaining volume after use is a direct continuation of the earlier practice of subtracting litre measures.""}]"
