board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 8,Chapter6_Cubes_And_Cube_Roots,Cubes,Define perfect cube/cube number and classify given numbers as cube numbers or non-cube numbers,[],[],"[{""chapter"": ""Chapter12_Factorisation"", ""concept"": ""Factors of natural numbers and prime factorisation"", ""reason"": ""Derived from skill prerequisite: 'Express natural numbers as products of prime factors' (in Chapter12_Factorisation) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime Factorization"", ""reason"": ""Derived from skill prerequisite: 'Factorize a number into its prime factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""concept"": ""Prime factorisation in exponential form"", ""reason"": ""Derived from skill prerequisite: 'Determine prime factors of a number and express it as a product of powers of prime factors' (in Grade 7/Chapter11_Exponents_And_Powers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""concept"": ""Relation to Number Sequences"", ""reason"": ""Derived from skill prerequisite: 'Predict the sum of the first n odd numbers from the pattern of square numbers' (in Grade 6/Chapter01_Patterns_In_Mathematics) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""Derived from skill prerequisite: 'Determine the pattern of differences between consecutive square numbers' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 8,Chapter6_Cubes_And_Cube_Roots,Cubes,Find the cube of a given number,[],"[""Define perfect cube/cube number and classify given numbers as cube numbers or non-cube numbers""]","[{""chapter"": ""Chapter12_Factorisation"", ""concept"": ""Factors of natural numbers and prime factorisation"", ""reason"": ""Derived from skill prerequisite: 'Express natural numbers as products of prime factors' (in Chapter12_Factorisation) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime Factorization"", ""reason"": ""Derived from skill prerequisite: 'Factorize a number into its prime factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""concept"": ""Prime factorisation in exponential form"", ""reason"": ""Derived from skill prerequisite: 'Determine prime factors of a number and express it as a product of powers of prime factors' (in Grade 7/Chapter11_Exponents_And_Powers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""concept"": ""Relation to Number Sequences"", ""reason"": ""Derived from skill prerequisite: 'Predict the sum of the first n odd numbers from the pattern of square numbers' (in Grade 6/Chapter01_Patterns_In_Mathematics) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""Derived from skill prerequisite: 'Determine the pattern of differences between consecutive square numbers' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 8,Chapter6_Cubes_And_Cube_Roots,Cubes,Observe the pattern of cubes of even numbers and generalize that cubes of even numbers are even,[],"[""Find the cube of a given number""]","[{""chapter"": ""Chapter12_Factorisation"", ""concept"": ""Factors of natural numbers and prime factorisation"", ""reason"": ""Derived from skill prerequisite: 'Express natural numbers as products of prime factors' (in Chapter12_Factorisation) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime Factorization"", ""reason"": ""Derived from skill prerequisite: 'Factorize a number into its prime factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""concept"": ""Prime factorisation in exponential form"", ""reason"": ""Derived from skill prerequisite: 'Determine prime factors of a number and express it as a product of powers of prime factors' (in Grade 7/Chapter11_Exponents_And_Powers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""concept"": ""Relation to Number Sequences"", ""reason"": ""Derived from skill prerequisite: 'Predict the sum of the first n odd numbers from the pattern of square numbers' (in Grade 6/Chapter01_Patterns_In_Mathematics) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""Derived from skill prerequisite: 'Determine the pattern of differences between consecutive square numbers' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 8,Chapter6_Cubes_And_Cube_Roots,Cubes,"Determine the one's digit of a perfect cube by observing the pattern of cubes of numbers with one's digit as 1, 2, 3, 4… etc.",[],"[""Find the cube of a given number""]","[{""chapter"": ""Chapter12_Factorisation"", ""concept"": ""Factors of natural numbers and prime factorisation"", ""reason"": ""Derived from skill prerequisite: 'Express natural numbers as products of prime factors' (in Chapter12_Factorisation) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime Factorization"", ""reason"": ""Derived from skill prerequisite: 'Factorize a number into its prime factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""concept"": ""Prime factorisation in exponential form"", ""reason"": ""Derived from skill prerequisite: 'Determine prime factors of a number and express it as a product of powers of prime factors' (in Grade 7/Chapter11_Exponents_And_Powers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""concept"": ""Relation to Number Sequences"", ""reason"": ""Derived from skill prerequisite: 'Predict the sum of the first n odd numbers from the pattern of square numbers' (in Grade 6/Chapter01_Patterns_In_Mathematics) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""Derived from skill prerequisite: 'Determine the pattern of differences between consecutive square numbers' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 8,Chapter6_Cubes_And_Cube_Roots,Cubes,Add n consecutive odd numbers and calculate the sum equal to n^3,[],"[""Find the cube of a given number""]","[{""chapter"": ""Chapter12_Factorisation"", ""concept"": ""Factors of natural numbers and prime factorisation"", ""reason"": ""Derived from skill prerequisite: 'Express natural numbers as products of prime factors' (in Chapter12_Factorisation) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime Factorization"", ""reason"": ""Derived from skill prerequisite: 'Factorize a number into its prime factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""concept"": ""Prime factorisation in exponential form"", ""reason"": ""Derived from skill prerequisite: 'Determine prime factors of a number and express it as a product of powers of prime factors' (in Grade 7/Chapter11_Exponents_And_Powers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""concept"": ""Relation to Number Sequences"", ""reason"": ""Derived from skill prerequisite: 'Predict the sum of the first n odd numbers from the pattern of square numbers' (in Grade 6/Chapter01_Patterns_In_Mathematics) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""Derived from skill prerequisite: 'Determine the pattern of differences between consecutive square numbers' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""skill"": ""Predict the sum of the first n odd numbers from the pattern of square numbers"", ""reason"": ""This earlier pattern-recognition skill of summing consecutive odd numbers to obtain a perfect power gives the specific technique that is extended here to obtain cubes instead of squares.""}]"
CBSE,Maths,Grade 8,Chapter6_Cubes_And_Cube_Roots,Cubes,Calculate the value of differences between consecutive cubes using the given pattern,[],"[""Find the cube of a given number""]","[{""chapter"": ""Chapter12_Factorisation"", ""concept"": ""Factors of natural numbers and prime factorisation"", ""reason"": ""Derived from skill prerequisite: 'Express natural numbers as products of prime factors' (in Chapter12_Factorisation) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime Factorization"", ""reason"": ""Derived from skill prerequisite: 'Factorize a number into its prime factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""concept"": ""Prime factorisation in exponential form"", ""reason"": ""Derived from skill prerequisite: 'Determine prime factors of a number and express it as a product of powers of prime factors' (in Grade 7/Chapter11_Exponents_And_Powers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""concept"": ""Relation to Number Sequences"", ""reason"": ""Derived from skill prerequisite: 'Predict the sum of the first n odd numbers from the pattern of square numbers' (in Grade 6/Chapter01_Patterns_In_Mathematics) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""Derived from skill prerequisite: 'Determine the pattern of differences between consecutive square numbers' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""skill"": ""Determine the pattern of differences between consecutive square numbers"", ""reason"": ""This earlier skill of finding and analysing the pattern in differences between consecutive perfect powers is the same technique applied here to consecutive cubes.""}]"
CBSE,Maths,Grade 8,Chapter6_Cubes_And_Cube_Roots,Cubes,State and apply the property that each prime factor appears three times in the prime factorisation of a perfect cube,[],"[""Define perfect cube/cube number and classify given numbers as cube numbers or non-cube numbers""]","[{""chapter"": ""Chapter12_Factorisation"", ""concept"": ""Factors of natural numbers and prime factorisation"", ""reason"": ""Derived from skill prerequisite: 'Express natural numbers as products of prime factors' (in Chapter12_Factorisation) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter12_Factorisation"", ""skill"": ""Express natural numbers as products of prime factors"", ""reason"": ""Recognising that each prime factor occurs three times requires already being able to write a number as a product of its prime factors.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime Factorization"", ""reason"": ""Derived from skill prerequisite: 'Factorize a number into its prime factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""concept"": ""Prime factorisation in exponential form"", ""reason"": ""Derived from skill prerequisite: 'Determine prime factors of a number and express it as a product of powers of prime factors' (in Grade 7/Chapter11_Exponents_And_Powers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""concept"": ""Relation to Number Sequences"", ""reason"": ""Derived from skill prerequisite: 'Predict the sum of the first n odd numbers from the pattern of square numbers' (in Grade 6/Chapter01_Patterns_In_Mathematics) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""Derived from skill prerequisite: 'Determine the pattern of differences between consecutive square numbers' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Factorize a number into its prime factors"", ""reason"": ""Recognising that each prime factor occurs three times requires the ability to actually break a number down into its prime factors first.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""skill"": ""Determine prime factors of a number and express it as a product of powers of prime factors"", ""reason"": ""Writing prime factorisation in exponential (power) form is what lets a student see and state that each prime appears exactly three times for a cube.""}]"
CBSE,Maths,Grade 8,Chapter6_Cubes_And_Cube_Roots,Cubes,Apply prime factorization to determine whether a given number is a perfect cube,[],"[""State and apply the property that each prime factor appears three times in the prime factorisation of a perfect cube""]","[{""chapter"": ""Chapter12_Factorisation"", ""concept"": ""Factors of natural numbers and prime factorisation"", ""reason"": ""Derived from skill prerequisite: 'Express natural numbers as products of prime factors' (in Chapter12_Factorisation) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter12_Factorisation"", ""skill"": ""Express natural numbers as products of prime factors"", ""reason"": ""Deciding perfect-cube status via prime factorization presupposes the ability to decompose the number into prime factors in the first place.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime Factorization"", ""reason"": ""Derived from skill prerequisite: 'Factorize a number into its prime factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""concept"": ""Prime factorisation in exponential form"", ""reason"": ""Derived from skill prerequisite: 'Determine prime factors of a number and express it as a product of powers of prime factors' (in Grade 7/Chapter11_Exponents_And_Powers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""concept"": ""Relation to Number Sequences"", ""reason"": ""Derived from skill prerequisite: 'Predict the sum of the first n odd numbers from the pattern of square numbers' (in Grade 6/Chapter01_Patterns_In_Mathematics) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""Derived from skill prerequisite: 'Determine the pattern of differences between consecutive square numbers' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Factorize a number into its prime factors"", ""reason"": ""Checking cube-ness by prime factorisation requires first being able to decompose the number into its prime factors.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""skill"": ""Determine prime factors of a number and express it as a product of powers of prime factors"", ""reason"": ""Expressing prime factors as powers is needed to check whether every prime's exponent is a multiple of three, the test for a perfect cube.""}]"
CBSE,Maths,Grade 8,Chapter6_Cubes_And_Cube_Roots,Cubes,Apply prime factorization on a given number to find the smallest number by which it must be multiplied or divided to make it a perfect cube,[],"[""Apply prime factorization to determine whether a given number is a perfect cube""]","[{""chapter"": ""Chapter12_Factorisation"", ""concept"": ""Factors of natural numbers and prime factorisation"", ""reason"": ""Derived from skill prerequisite: 'Express natural numbers as products of prime factors' (in Chapter12_Factorisation) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter12_Factorisation"", ""skill"": ""Express natural numbers as products of prime factors"", ""reason"": ""Determining the multiplier/divisor needed relies on first obtaining the complete prime factorisation of the number.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime Factorization"", ""reason"": ""Derived from skill prerequisite: 'Factorize a number into its prime factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""concept"": ""Prime factorisation in exponential form"", ""reason"": ""Derived from skill prerequisite: 'Determine prime factors of a number and express it as a product of powers of prime factors' (in Grade 7/Chapter11_Exponents_And_Powers) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter01_Patterns_In_Mathematics"", ""concept"": ""Relation to Number Sequences"", ""reason"": ""Derived from skill prerequisite: 'Predict the sum of the first n odd numbers from the pattern of square numbers' (in Grade 6/Chapter01_Patterns_In_Mathematics) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter07_Can_You_See_The_Pattern"", ""concept"": ""Square Numbers"", ""reason"": ""Derived from skill prerequisite: 'Determine the pattern of differences between consecutive square numbers' (in Grade 5/Chapter07_Can_You_See_The_Pattern) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Factorize a number into its prime factors"", ""reason"": ""Finding the missing factors needed to complete groups of three identical primes depends on first obtaining the full prime factorisation of the number.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""skill"": ""Determine prime factors of a number and express it as a product of powers of prime factors"", ""reason"": ""Seeing the exponents of each prime factor is necessary to determine how many more or fewer copies of a prime are needed to reach a multiple of three.""}]"
CBSE,Maths,Grade 8,Chapter6_Cubes_And_Cube_Roots,Cube Roots,Apply prime factorization method to calculate the cube root of a given number,"[""Cubes""]","[""Apply prime factorization to determine whether a given number is a perfect cube""]","[{""chapter"": ""Chapter12_Factorisation"", ""concept"": ""Factors of natural numbers and prime factorisation"", ""reason"": ""Finding a cube root by the factorisation method requires first knowing how to break a number down into its prime factors.""}]","[{""chapter"": ""Chapter12_Factorisation"", ""skill"": ""Express natural numbers as products of prime factors"", ""reason"": ""The factorisation method for cube roots begins by expressing the number as a product of prime factors, a skill built in the factorisation chapter.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Prime Factorization"", ""reason"": ""Derived from skill prerequisite: 'Factorize a number into its prime factors' (in Grade 6/Chapter05_Prime_Time) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""concept"": ""Prime factorisation in exponential form"", ""reason"": ""Derived from skill prerequisite: 'Determine prime factors of a number and express it as a product of powers of prime factors' (in Grade 7/Chapter11_Exponents_And_Powers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Factorize a number into its prime factors"", ""reason"": ""The prime factorisation method for cube roots begins with decomposing the number into its prime factors, a skill built in this earlier chapter.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""skill"": ""Determine prime factors of a number and express it as a product of powers of prime factors"", ""reason"": ""Grouping identical prime factors and taking one from each group of three to form the cube root relies on expressing the factorisation in power form.""}]"
