board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 8,Chapter9_Mensuration,Adjoint figures (area and perimeter of plane figures),"Calculate the area and perimeter of a circle, square, rectangle and triangle",[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of Composite Figures"", ""reason"": ""A student must already understand that a composite figure's area is found by summing the areas of the known shapes it is divided into before working with adjoint/combined plane figures.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of a Square"", ""reason"": ""Derived from skill prerequisite: 'Deduce and apply the formula to determine the area of a square' (in Grade 6/Chapter06_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of a Rectangle"", ""reason"": ""Derived from skill prerequisite: 'Deduce and apply the formula to determine the area of a rectangle' (in Grade 6/Chapter06_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of a Triangle"", ""reason"": ""Derived from skill prerequisite: 'Calculate the area of a triangle as half the area of the corresponding rectangle' (in Grade 6/Chapter06_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of a circle"", ""reason"": ""Derived from skill prerequisite: 'Develop and apply the formula to find the area of a circle' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Circumference of a circle"", ""reason"": ""Derived from skill prerequisite: 'Calculate the circumference of a circle using direct or indirect methods' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""skill"": ""Deduce and apply the formula to determine the area of a square"", ""reason"": ""Recalculating the area of a square in this chapter requires the square area formula already established in Grade 6.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""skill"": ""Deduce and apply the formula to determine the area of a rectangle"", ""reason"": ""Recalculating the area of a rectangle requires the rectangle area formula already established in Grade 6.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""skill"": ""Calculate the area of a triangle as half the area of the corresponding rectangle"", ""reason"": ""Computing the area of a triangle here relies on the triangle-as-half-rectangle formula learned in Grade 6.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""skill"": ""Develop and apply the formula to find the area of a circle"", ""reason"": ""Computing the area of a circle requires the area formula (πr²) already developed in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""skill"": ""Calculate the circumference of a circle using direct or indirect methods"", ""reason"": ""Computing the perimeter of a circle requires the circumference formula already learned in Grade 7.""}]"
CBSE,Maths,Grade 8,Chapter9_Mensuration,Adjoint figures (area and perimeter of plane figures),Calculate the area and perimeter of adjoining/composite shapes formed by known figures,[],"[""Calculate the area and perimeter of a circle, square, rectangle and triangle""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of Composite Figures"", ""reason"": ""A student must already understand that a composite figure's area is found by summing the areas of the known shapes it is divided into before working with adjoint/combined plane figures.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of a Square"", ""reason"": ""Derived from skill prerequisite: 'Deduce and apply the formula to determine the area of a square' (in Grade 6/Chapter06_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of a Rectangle"", ""reason"": ""Derived from skill prerequisite: 'Deduce and apply the formula to determine the area of a rectangle' (in Grade 6/Chapter06_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of a Triangle"", ""reason"": ""Derived from skill prerequisite: 'Calculate the area of a triangle as half the area of the corresponding rectangle' (in Grade 6/Chapter06_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of a circle"", ""reason"": ""Derived from skill prerequisite: 'Develop and apply the formula to find the area of a circle' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Circumference of a circle"", ""reason"": ""Derived from skill prerequisite: 'Calculate the circumference of a circle using direct or indirect methods' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""skill"": ""Calculate the total area of a composite figure by adding the areas of its component shapes"", ""reason"": ""Calculating the area of adjoining shapes directly builds on the earlier-learned technique of summing component shape areas.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""skill"": ""Split composite figures into rectangles and triangles to find their total area"", ""reason"": ""Breaking a composite shape into known figures to find its area is the same decomposition technique taught in Grade 6.""}]"
CBSE,Maths,Grade 8,Chapter9_Mensuration,Adjoint figures (area and perimeter of plane figures),Apply appropriate area formulae to solve problems involving combined figures,[],"[""Calculate the area and perimeter of adjoining/composite shapes formed by known figures""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of Composite Figures"", ""reason"": ""A student must already understand that a composite figure's area is found by summing the areas of the known shapes it is divided into before working with adjoint/combined plane figures.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of a Square"", ""reason"": ""Derived from skill prerequisite: 'Deduce and apply the formula to determine the area of a square' (in Grade 6/Chapter06_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of a Rectangle"", ""reason"": ""Derived from skill prerequisite: 'Deduce and apply the formula to determine the area of a rectangle' (in Grade 6/Chapter06_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of a Triangle"", ""reason"": ""Derived from skill prerequisite: 'Calculate the area of a triangle as half the area of the corresponding rectangle' (in Grade 6/Chapter06_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of a circle"", ""reason"": ""Derived from skill prerequisite: 'Develop and apply the formula to find the area of a circle' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Circumference of a circle"", ""reason"": ""Derived from skill prerequisite: 'Calculate the circumference of a circle using direct or indirect methods' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""skill"": ""Calculate the total area of a composite figure by adding the areas of its component shapes"", ""reason"": ""Solving combined-figure problems depends on the earlier-learned method of adding areas of known component shapes.""}]"
CBSE,Maths,Grade 8,Chapter9_Mensuration,Area of a rhombus using diagonals,Calculate the area of a rhombus using its diagonals,"[""Adjoint figures (area and perimeter of plane figures)""]",[],"[{""chapter"": ""Chapter3_Understanding_Quadrilaterals"", ""concept"": ""Properties of a Rhombus"", ""reason"": ""The area formula for a rhombus using its diagonals is derived from the fact that its diagonals bisect each other at right angles, a property established in the quadrilaterals chapter.""}]",[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of triangle"", ""reason"": ""Derived from skill prerequisite: 'Develop and apply a formula to determine the area of a triangle as half of the area of a rectangle' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 8,Chapter9_Mensuration,Area of a rhombus using diagonals,Derive the formula for the area of a rhombus by relating it to the area of a triangle,"[""Adjoint figures (area and perimeter of plane figures)""]",[],"[{""chapter"": ""Chapter3_Understanding_Quadrilaterals"", ""concept"": ""Properties of a Rhombus"", ""reason"": ""The area formula for a rhombus using its diagonals is derived from the fact that its diagonals bisect each other at right angles, a property established in the quadrilaterals chapter.""}]","[{""chapter"": ""Chapter3_Understanding_Quadrilaterals"", ""skill"": ""Verify that the diagonals of a rhombus bisect each other at right angles"", ""reason"": ""Deriving the rhombus area formula by splitting it into triangles relies on knowing the diagonals cross at right angles, which is proven in the quadrilaterals chapter.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of triangle"", ""reason"": ""Derived from skill prerequisite: 'Develop and apply a formula to determine the area of a triangle as half of the area of a rectangle' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""skill"": ""Develop and apply a formula to determine the area of a triangle as half of the area of a rectangle"", ""reason"": ""Deriving the rhombus area formula from triangles formed by its diagonals requires already knowing that a triangle's area is half its corresponding rectangle.""}]"
CBSE,Maths,Grade 8,Chapter9_Mensuration,Area of a rhombus using diagonals,Apply the rhombus area formula to solve problems involving unknown diagonal lengths,"[""Adjoint figures (area and perimeter of plane figures)""]","[""Calculate the area of a rhombus using its diagonals""]","[{""chapter"": ""Chapter3_Understanding_Quadrilaterals"", ""concept"": ""Properties of a Rhombus"", ""reason"": ""The area formula for a rhombus using its diagonals is derived from the fact that its diagonals bisect each other at right angles, a property established in the quadrilaterals chapter.""}]",[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of triangle"", ""reason"": ""Derived from skill prerequisite: 'Develop and apply a formula to determine the area of a triangle as half of the area of a rectangle' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 8,Chapter9_Mensuration,Area of Trapezium,"Break down a given trapezium into known figures such as triangles, squares and rectangles","[""Adjoint figures (area and perimeter of plane figures)""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of Composite Figures"", ""reason"": ""Derived from skill prerequisite: 'Split composite figures into rectangles and triangles to find their total area' (in Grade 6/Chapter06_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of a Rectangle"", ""reason"": ""Derived from skill prerequisite: 'Deduce and apply the formula to determine the area of a rectangle' (in Grade 6/Chapter06_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of triangle"", ""reason"": ""Derived from skill prerequisite: 'Develop and apply a formula to determine the area of a triangle as half of the area of a rectangle' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""skill"": ""Split composite figures into rectangles and triangles to find their total area"", ""reason"": ""Decomposing a trapezium into triangles and rectangles uses the same figure-splitting technique introduced in Grade 6.""}]"
CBSE,Maths,Grade 8,Chapter9_Mensuration,Area of Trapezium,Derive the formula for the area of a trapezium using areas of triangles and rectangles,"[""Adjoint figures (area and perimeter of plane figures)""]","[""Break down a given trapezium into known figures such as triangles, squares and rectangles""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of Composite Figures"", ""reason"": ""Derived from skill prerequisite: 'Split composite figures into rectangles and triangles to find their total area' (in Grade 6/Chapter06_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of a Rectangle"", ""reason"": ""Derived from skill prerequisite: 'Deduce and apply the formula to determine the area of a rectangle' (in Grade 6/Chapter06_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of triangle"", ""reason"": ""Derived from skill prerequisite: 'Develop and apply a formula to determine the area of a triangle as half of the area of a rectangle' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""skill"": ""Deduce and apply the formula to determine the area of a rectangle"", ""reason"": ""Deriving the trapezium formula requires already knowing the rectangle area formula used in the derivation.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""skill"": ""Develop and apply a formula to determine the area of a triangle as half of the area of a rectangle"", ""reason"": ""The trapezium area derivation depends on the triangle-area-as-half-rectangle relationship established in Grade 7.""}]"
CBSE,Maths,Grade 8,Chapter9_Mensuration,Area of Trapezium,Calculate the area of a trapezium using the derived formula,"[""Adjoint figures (area and perimeter of plane figures)""]","[""Derive the formula for the area of a trapezium using areas of triangles and rectangles""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of Composite Figures"", ""reason"": ""Derived from skill prerequisite: 'Split composite figures into rectangles and triangles to find their total area' (in Grade 6/Chapter06_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of a Rectangle"", ""reason"": ""Derived from skill prerequisite: 'Deduce and apply the formula to determine the area of a rectangle' (in Grade 6/Chapter06_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of triangle"", ""reason"": ""Derived from skill prerequisite: 'Develop and apply a formula to determine the area of a triangle as half of the area of a rectangle' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 8,Chapter9_Mensuration,Area of a Polygon,Break down a given polygon into known figures in multiple ways,"[""Area of Trapezium""]",[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""concept"": ""Area of Composite Figures"", ""reason"": ""Finding a polygon's area by breaking it into triangles/rectangles relies on the previously learned idea of summing areas of component known shapes.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Perimeter_And_Area"", ""skill"": ""Split composite figures into rectangles and triangles to find their total area"", ""reason"": ""Decomposing a polygon into triangles/rectangles for area calculation uses the same splitting technique taught in Grade 6.""}]"
