board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 9,Chapter11_Reproduction:_How_Life_Continues,Reproduction as a characteristic of living beings,Explain the biological significance of reproduction for continuity of life,[],[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Human_Efforts_and_Challenges"", ""concept"": ""Reproduction and Continuity of Life"", ""reason"": ""Students must already grasp that reproduction sustains species continuity before examining the detailed mechanisms of asexual and sexual reproduction in this chapter.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Human_Efforts_and_Challenges"", ""skill"": ""Explain why reproduction is essential for continuity of life"", ""reason"": ""This skill directly restates and extends the earlier-taught rationale for why reproduction is necessary for species survival.""}]"
CBSE,Science,Grade 9,Chapter11_Reproduction:_How_Life_Continues,Asexual reproduction,Differentiate asexual and sexual modes of reproduction based on number of parents involved,"[{""item"": ""Reproduction as a characteristic of living beings"", ""reason"": ""A student must first grasp that reproduction is a general life process before learning about the specific mode of asexual reproduction.""}]",[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Human_Efforts_and_Challenges"", ""concept"": ""Asexual Reproduction"", ""reason"": ""The basic notion that a single parent can produce offspring without gametes must be established before studying its specific methods like budding and spore formation.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Human_Efforts_and_Challenges"", ""skill"": ""Distinguish between asexual and sexual reproduction"", ""reason"": ""Students must already be able to distinguish the two basic modes of reproduction before refining the distinction based on number of parents.""}]"
CBSE,Science,Grade 9,Chapter11_Reproduction:_How_Life_Continues,Vegetative propagation in plants,Identify examples of natural and artificial vegetative propagation in plants,"[{""item"": ""Asexual reproduction"", ""reason"": ""Vegetative propagation is a specific category of asexual reproduction, so the general concept must be understood first.""}]",[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Human_Efforts_and_Challenges"", ""concept"": ""Vegetative Propagation"", ""reason"": ""Recognising that plant parts other than seeds can grow into new plants is the foundation for learning the specific artificial methods covered here.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Human_Efforts_and_Challenges"", ""skill"": ""Describe examples of vegetative propagation in plants"", ""reason"": ""Being able to identify natural and artificial vegetative propagation examples builds directly on the earlier ability to describe such examples.""}]"
CBSE,Science,Grade 9,Chapter11_Reproduction:_How_Life_Continues,"Methods of vegetative propagation (cutting, grafting, layering, tissue culture)","Demonstrate methods of cutting, grafting and layering in plants","[{""item"": ""Vegetative propagation in plants"", ""reason"": ""Specific techniques can only be understood once the general concept of plant parts regenerating into new plants is known.""}]","[{""item"": ""Identify examples of natural and artificial vegetative propagation in plants"", ""reason"": ""Recognising vegetative propagation examples is needed before demonstrating the specific artificial techniques used for it.""}]","[{""chapter"": ""Chapter03_Tissues_in_Action"", ""concept"": ""Totipotency and plant tissue culture"", ""reason"": ""Tissue culture as a propagation method relies on the concept of totipotency that allows any plant cell to regenerate a whole plant.""}, {""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Cell culture technology"", ""reason"": ""The tissue culture technique used in vegetative propagation is an application of the general cell culture technology concept introduced in the cell chapter.""}]",[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Human_Efforts_and_Challenges"", ""concept"": ""Vegetative Propagation"", ""reason"": ""Derived from skill prerequisite: 'Describe examples of vegetative propagation in plants' (in Grade 8/Chapter13_Human_Efforts_and_Challenges) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Human_Efforts_and_Challenges"", ""skill"": ""Describe examples of vegetative propagation in plants"", ""reason"": ""Knowing general vegetative propagation examples is a base for demonstrating the specific artificial techniques of cutting, grafting and layering.""}]"
CBSE,Science,Grade 9,Chapter11_Reproduction:_How_Life_Continues,"Methods of vegetative propagation (cutting, grafting, layering, tissue culture)",Explain the technique of tissue culture for producing new plants,"[{""item"": ""Vegetative propagation in plants"", ""reason"": ""Specific techniques can only be understood once the general concept of plant parts regenerating into new plants is known.""}]","[{""item"": ""Identify examples of natural and artificial vegetative propagation in plants"", ""reason"": ""Tissue culture is a specific artificial propagation technique, so general awareness of propagation types is needed first.""}]","[{""chapter"": ""Chapter03_Tissues_in_Action"", ""concept"": ""Totipotency and plant tissue culture"", ""reason"": ""Tissue culture as a propagation method relies on the concept of totipotency that allows any plant cell to regenerate a whole plant.""}, {""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Cell culture technology"", ""reason"": ""The tissue culture technique used in vegetative propagation is an application of the general cell culture technology concept introduced in the cell chapter.""}]","[{""chapter"": ""Chapter03_Tissues_in_Action"", ""skill"": ""Apply the concept of totipotency to explain plant regeneration"", ""reason"": ""The tissue culture technique depends on the totipotency principle that any plant cell can regenerate an entire plant.""}, {""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""skill"": ""Explain the concept and applications of cell culture technology"", ""reason"": ""Tissue culture for plant propagation is a specific application of the general cell culture technology procedure taught in the cell chapter.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter13_Human_Efforts_and_Challenges"", ""concept"": ""Vegetative Propagation"", ""reason"": ""Derived from skill prerequisite: 'Describe examples of vegetative propagation in plants' (in Grade 8/Chapter13_Human_Efforts_and_Challenges) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 9,Chapter11_Reproduction:_How_Life_Continues,Budding in yeast and hydra,Explain the process of bud formation and detachment in organisms like Hydra,"[{""item"": ""Asexual reproduction"", ""reason"": ""Budding is an example of asexual reproduction, so the general mode must be understood before its specific manifestation.""}]",[],[],[],[],[]
CBSE,Science,Grade 9,Chapter11_Reproduction:_How_Life_Continues,Spore formation in fungi,Describe the formation and dispersal of spores in organisms like Rhizopus,"[{""item"": ""Asexual reproduction"", ""reason"": ""Spore formation is presented as a specific asexual mechanism, requiring prior grasp of asexual reproduction.""}]",[],[],[],[],[]
CBSE,Science,Grade 9,Chapter11_Reproduction:_How_Life_Continues,Germ theory of disease and cell theory (Louis Pasteur),State the contributions of Louis Pasteur to germ theory and cell theory,[],[],"[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Cell theory"", ""reason"": ""Derived from skill prerequisite: 'State the postulates of the cell theory' (in Chapter02_Cell:_The_Building_Block_of_Life) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""skill"": ""State the postulates of the cell theory"", ""reason"": ""Knowing the postulates of cell theory is necessary to understand and state Pasteur's specific contribution to that theory.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""Cell as the basic unit of life"", ""reason"": ""Understanding Pasteur's contribution to cell theory requires already knowing that the cell is the fundamental unit of life.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""concept"": ""History of discovery of cells and microorganisms (Robert Hooke, Antonie van Leeuwenhoek)"", ""reason"": ""Knowing the earlier historical discoveries of cells and microorganisms gives the context needed to place Pasteur's later contributions to germ and cell theory.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Explain why the cell is considered the basic unit of life"", ""reason"": ""Understanding why the cell is the basic unit of life is required before appreciating Pasteur's contribution to formalising cell theory.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter02_The_Invisible_Living_World:_Beyond_Our_Naked_Eye"", ""skill"": ""Describe the historical discovery of cells by Robert Hooke and microorganisms by Antonie van Leeuwenhoek"", ""reason"": ""Knowing the earlier historical discoveries of cells and microorganisms provides the necessary background to place Pasteur's later contributions in context.""}]"
CBSE,Science,Grade 9,Chapter11_Reproduction:_How_Life_Continues,Mitosis and clones,Explain the role of mitosis in asexual reproduction,"[{""item"": ""Asexual reproduction"", ""reason"": ""Mitosis is explained as the cellular basis underlying asexual reproduction, so the broader concept must come first.""}]",[],"[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Mitosis"", ""reason"": ""Understanding how mitosis produces genetically identical daughter cells is required before explaining how mitosis underlies clone formation in asexual reproduction.""}]","[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""skill"": ""Describe the stages and outcome of mitosis in producing two genetically identical daughter cells"", ""reason"": ""Explaining mitosis's role in asexual reproduction requires already knowing the mechanics and outcome of mitosis itself.""}]",[],[]
CBSE,Science,Grade 9,Chapter11_Reproduction:_How_Life_Continues,Mitosis and clones,Define clones and explain why asexually produced offspring are genetically identical,"[{""item"": ""Asexual reproduction"", ""reason"": ""Mitosis is explained as the cellular basis underlying asexual reproduction, so the broader concept must come first.""}]","[{""item"": ""Explain the role of mitosis in asexual reproduction"", ""reason"": ""Genetic identity of clones is explained by the mitotic mechanism, which must be understood first.""}]","[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""concept"": ""Mitosis"", ""reason"": ""Understanding how mitosis produces genetically identical daughter cells is required before explaining how mitosis underlies clone formation in asexual reproduction.""}]","[{""chapter"": ""Chapter02_Cell:_The_Building_Block_of_Life"", ""skill"": ""Describe the stages and outcome of mitosis in producing two genetically identical daughter cells"", ""reason"": ""Explaining why clones are genetically identical depends on understanding that mitosis produces identical daughter cells.""}]",[],[]
