board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 4,Chapter10_Our_Sky,Changes in the appearance of the sky at different times of day,"Describe changes in the sky during morning, afternoon and night",[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter10_Our_Sky,Changes in the appearance of the sky at different times of day,State two differences between day and night,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter10_Our_Sky,Changes in the appearance of the sky at different times of day,State two differences between the sky in the morning and in the evening,[],"[""Describe changes in the sky during morning, afternoon and night""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter10_Our_Sky,Changes in the appearance of the sky at different times of day,Compare activities of animals during the day and at night,[],"[""Observe and record changes in animal and human activities at different times of day""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter10_Our_Sky,Changes in the appearance of the sky at different times of day,Observe and record changes in animal and human activities at different times of day,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter10_Our_Sky,The Sun as the brightest object in the sky,Identify the Sun as the brightest object visible in the sky,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter10_Our_Sky,Apparent movement of the Sun across the sky,Explain why the Sun appears to move from East to West,"[""The Sun as the brightest object in the sky""]","[""Describe the apparent journey of the Sun across the sky""]","[{""chapter"": ""Chapter02_Exploring_Our_Neighbourhood"", ""concept"": ""Directions (North, South, East, West) and map reading"", ""reason"": ""Understanding what East and West mean as directions is necessary before a student can grasp that the Sun appears to move from East to West.""}]","[{""chapter"": ""Chapter02_Exploring_Our_Neighbourhood"", ""skill"": ""Identify directions (North, South, East, West) on a map"", ""reason"": ""A student must already know the meaning of East and West as directions before they can explain the Sun's apparent motion in those terms.""}]",[],[]
CBSE,Environmental Science,Grade 4,Chapter10_Our_Sky,Apparent movement of the Sun across the sky,Describe the apparent journey of the Sun across the sky,"[""The Sun as the brightest object in the sky""]","[""Identify the Sun as the brightest object visible in the sky""]","[{""chapter"": ""Chapter02_Exploring_Our_Neighbourhood"", ""concept"": ""Directions (North, South, East, West) and map reading"", ""reason"": ""Understanding what East and West mean as directions is necessary before a student can grasp that the Sun appears to move from East to West.""}]",[],[],[]
CBSE,Environmental Science,Grade 4,Chapter10_Our_Sky,Apparent movement of the Sun across the sky,List questions to enquire about the apparent movement of the Sun,"[""The Sun as the brightest object in the sky""]",[],"[{""chapter"": ""Chapter02_Exploring_Our_Neighbourhood"", ""concept"": ""Directions (North, South, East, West) and map reading"", ""reason"": ""Understanding what East and West mean as directions is necessary before a student can grasp that the Sun appears to move from East to West.""}]",[],[],[]
CBSE,Environmental Science,Grade 4,Chapter10_Our_Sky,Shadows and their formation,Explain how shadows are formed,"[""The Sun as the brightest object in the sky""]","[""Identify the Sun as the brightest object visible in the sky""]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter10_Our_Sky,Factors affecting the size and direction of shadows,"Compare the length and direction of shadows in the morning, noon and evening","[""Shadows and their formation""]","[""Explain how shadows are formed""]","[{""chapter"": ""Chapter02_Exploring_Our_Neighbourhood"", ""concept"": ""Directions (North, South, East, West) and map reading"", ""reason"": ""Describing how shadow direction changes requires prior knowledge of cardinal directions to specify and compare those directions.""}]","[{""chapter"": ""Chapter02_Exploring_Our_Neighbourhood"", ""skill"": ""Identify directions (North, South, East, West) on a map"", ""reason"": ""Comparing shadow direction at different times requires the ability to identify and name cardinal directions.""}]",[],[]
CBSE,Environmental Science,Grade 4,Chapter10_Our_Sky,Factors affecting the size and direction of shadows,Predict how a shadow changes when the distance of the light source changes,"[""Shadows and their formation""]","[""Explain how shadows are formed""]","[{""chapter"": ""Chapter02_Exploring_Our_Neighbourhood"", ""concept"": ""Directions (North, South, East, West) and map reading"", ""reason"": ""Describing how shadow direction changes requires prior knowledge of cardinal directions to specify and compare those directions.""}]",[],[],[]
CBSE,Environmental Science,Grade 4,Chapter10_Our_Sky,Factors affecting the size and direction of shadows,Predict how a shadow changes when the direction of the light source changes,"[""Shadows and their formation""]","[""Explain how shadows are formed""]","[{""chapter"": ""Chapter02_Exploring_Our_Neighbourhood"", ""concept"": ""Directions (North, South, East, West) and map reading"", ""reason"": ""Describing how shadow direction changes requires prior knowledge of cardinal directions to specify and compare those directions.""}]",[],[],[]
CBSE,Environmental Science,Grade 4,Chapter10_Our_Sky,Factors affecting the size and direction of shadows,Explain why shadow direction changes between morning and afternoon at the same spot,"[""Shadows and their formation""]","[""Compare the length and direction of shadows in the morning, noon and evening""]","[{""chapter"": ""Chapter02_Exploring_Our_Neighbourhood"", ""concept"": ""Directions (North, South, East, West) and map reading"", ""reason"": ""Describing how shadow direction changes requires prior knowledge of cardinal directions to specify and compare those directions.""}]","[{""chapter"": ""Chapter02_Exploring_Our_Neighbourhood"", ""skill"": ""Identify directions (North, South, East, West) on a map"", ""reason"": ""Explaining the change in shadow direction depends on already understanding what North, South, East, and West mean.""}]",[],[]
