board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 9,Chapter11_Surface_Areas_And_Volumes,Surface Area of a Cuboid and a Cube,Visualize a cube and cuboid in its 2-D form to identify its faces,[],[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Surface Area of Cube, Cuboid and Cylinder"", ""reason"": ""Grade 9 extends the exact cuboid/cube surface area formulas already introduced and applied in the Grade 8 mensuration chapter.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Solid shapes: cube, cuboid, and cylinder"", ""reason"": ""Derived from skill prerequisite: 'Illustrate the 2-D representation of a cube, cuboid, and cylinder' (in Grade 8/Chapter9_Mensuration) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""skill"": ""Illustrate the 2-D representation of a cube, cuboid, and cylinder"", ""reason"": ""The same skill of representing cube/cuboid faces in 2-D was already practised in this Grade 8 chapter.""}]"
CBSE,Maths,Grade 9,Chapter11_Surface_Areas_And_Volumes,Surface Area of a Cuboid and a Cube,Calculate the lateral and total surface area of a cuboid or cube,[],"[""Visualize a cube and cuboid in its 2-D form to identify its faces""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Surface Area of Cube, Cuboid and Cylinder"", ""reason"": ""Grade 9 extends the exact cuboid/cube surface area formulas already introduced and applied in the Grade 8 mensuration chapter.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Solid shapes: cube, cuboid, and cylinder"", ""reason"": ""Derived from skill prerequisite: 'Illustrate the 2-D representation of a cube, cuboid, and cylinder' (in Grade 8/Chapter9_Mensuration) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""skill"": ""Calculate the surface area of a cube, cuboid and cylinder"", ""reason"": ""The exact formulas and procedure for cuboid/cube surface area were already taught and practised in this Grade 8 chapter.""}]"
CBSE,Maths,Grade 9,Chapter11_Surface_Areas_And_Volumes,Surface Area of a Cuboid and a Cube,Determine the cost of painting or covering a given cuboid or cube surface,[],"[""Calculate the lateral and total surface area of a cuboid or cube""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Surface Area of Cube, Cuboid and Cylinder"", ""reason"": ""Grade 9 extends the exact cuboid/cube surface area formulas already introduced and applied in the Grade 8 mensuration chapter.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Solid shapes: cube, cuboid, and cylinder"", ""reason"": ""Derived from skill prerequisite: 'Illustrate the 2-D representation of a cube, cuboid, and cylinder' (in Grade 8/Chapter9_Mensuration) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""skill"": ""Determine the cost of painting or covering the surface of a given solid using its surface area"", ""reason"": ""This exact cost-from-surface-area procedure was already introduced for solids in this Grade 8 chapter.""}]"
CBSE,Maths,Grade 9,Chapter11_Surface_Areas_And_Volumes,Surface Area of a Right Circular Cylinder,Visualize a cylinder in its 2-D form to identify its curved and flat surfaces,"[""Surface Area of a Cuboid and a Cube""]",[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Surface Area of Cube, Cuboid and Cylinder"", ""reason"": ""The cylinder surface area formulas (curved and total) were first derived and applied in this Grade 8 chapter, and Grade 9 builds directly on them.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Right circular cylinder"", ""reason"": ""Recognising the radius, height and axis of a right circular cylinder is needed before its surface area formulas can be applied.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Faces of cube, cuboid, and cylinder"", ""reason"": ""Derived from skill prerequisite: 'Illustrate the 2-D representation of a cuboid, cube and cylinder' (in Grade 8/Chapter9_Mensuration) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Circumference of a circle"", ""reason"": ""Derived from skill prerequisite: 'Calculate the circumference of a circle using direct or indirect methods' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of a circle"", ""reason"": ""Derived from skill prerequisite: 'Develop and apply the formula to find the area of a circle' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""skill"": ""Illustrate the 2-D representation of a cuboid, cube and cylinder"", ""reason"": ""Representing a cylinder's curved and flat surfaces in 2-D was already practised in this Grade 8 chapter.""}]"
CBSE,Maths,Grade 9,Chapter11_Surface_Areas_And_Volumes,Surface Area of a Right Circular Cylinder,Calculate the curved surface area of a right circular cylinder,"[""Surface Area of a Cuboid and a Cube""]","[""Visualize a cylinder in its 2-D form to identify its curved and flat surfaces""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Surface Area of Cube, Cuboid and Cylinder"", ""reason"": ""The cylinder surface area formulas (curved and total) were first derived and applied in this Grade 8 chapter, and Grade 9 builds directly on them.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Right circular cylinder"", ""reason"": ""Recognising the radius, height and axis of a right circular cylinder is needed before its surface area formulas can be applied.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Faces of cube, cuboid, and cylinder"", ""reason"": ""Derived from skill prerequisite: 'Illustrate the 2-D representation of a cuboid, cube and cylinder' (in Grade 8/Chapter9_Mensuration) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Circumference of a circle"", ""reason"": ""Derived from skill prerequisite: 'Calculate the circumference of a circle using direct or indirect methods' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of a circle"", ""reason"": ""Derived from skill prerequisite: 'Develop and apply the formula to find the area of a circle' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""skill"": ""Calculate the surface area of a cube, cuboid and cylinder"", ""reason"": ""This exact cylinder curved surface area formula and procedure was already introduced in this Grade 8 chapter.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""skill"": ""Calculate the circumference of a circle using direct or indirect methods"", ""reason"": ""The curved surface area of a cylinder unwraps into a rectangle whose length is the circle's circumference, so the circumference formula must already be known.""}]"
CBSE,Maths,Grade 9,Chapter11_Surface_Areas_And_Volumes,Surface Area of a Right Circular Cylinder,Calculate the total surface area of a right circular cylinder,"[""Surface Area of a Cuboid and a Cube""]","[""Calculate the curved surface area of a right circular cylinder""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Surface Area of Cube, Cuboid and Cylinder"", ""reason"": ""The cylinder surface area formulas (curved and total) were first derived and applied in this Grade 8 chapter, and Grade 9 builds directly on them.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Right circular cylinder"", ""reason"": ""Recognising the radius, height and axis of a right circular cylinder is needed before its surface area formulas can be applied.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Faces of cube, cuboid, and cylinder"", ""reason"": ""Derived from skill prerequisite: 'Illustrate the 2-D representation of a cuboid, cube and cylinder' (in Grade 8/Chapter9_Mensuration) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Circumference of a circle"", ""reason"": ""Derived from skill prerequisite: 'Calculate the circumference of a circle using direct or indirect methods' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of a circle"", ""reason"": ""Derived from skill prerequisite: 'Develop and apply the formula to find the area of a circle' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""skill"": ""Calculate the surface area of a cube, cuboid and cylinder"", ""reason"": ""This exact cylinder total surface area formula and procedure was already introduced in this Grade 8 chapter.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""skill"": ""Develop and apply the formula to find the area of a circle"", ""reason"": ""The two circular end caps of the cylinder's total surface area require the area-of-a-circle formula.""}]"
CBSE,Maths,Grade 9,Chapter11_Surface_Areas_And_Volumes,Surface Area of a Right Circular Cylinder,Determine the cost of painting or covering a given cylindrical surface,"[""Surface Area of a Cuboid and a Cube""]","[""Calculate the total surface area of a right circular cylinder""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Surface Area of Cube, Cuboid and Cylinder"", ""reason"": ""The cylinder surface area formulas (curved and total) were first derived and applied in this Grade 8 chapter, and Grade 9 builds directly on them.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Right circular cylinder"", ""reason"": ""Recognising the radius, height and axis of a right circular cylinder is needed before its surface area formulas can be applied.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""concept"": ""Faces of cube, cuboid, and cylinder"", ""reason"": ""Derived from skill prerequisite: 'Illustrate the 2-D representation of a cuboid, cube and cylinder' (in Grade 8/Chapter9_Mensuration) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Circumference of a circle"", ""reason"": ""Derived from skill prerequisite: 'Calculate the circumference of a circle using direct or indirect methods' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of a circle"", ""reason"": ""Derived from skill prerequisite: 'Develop and apply the formula to find the area of a circle' (in Grade 7/Chapter9_Perimeter_And_Area) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter9_Mensuration"", ""skill"": ""Determine the cost of painting or covering the surface of a given solid using its surface area"", ""reason"": ""This exact cost-from-surface-area procedure was already introduced for solids including the cylinder in this Grade 8 chapter.""}]"
CBSE,Maths,Grade 9,Chapter11_Surface_Areas_And_Volumes,Right Circular Cone — Definition and Parts,"Define a right circular cone and identify its parts: vertex, height, radius, and slant height",[],[],[],[],[],[]
CBSE,Maths,Grade 9,Chapter11_Surface_Areas_And_Volumes,Right Circular Cone — Definition and Parts,Visualize a right circular cone in its 2-D form to identify its slant surface,[],"[""Define a right circular cone and identify its parts: vertex, height, radius, and slant height""]",[],[],[],[]
CBSE,Maths,Grade 9,Chapter11_Surface_Areas_And_Volumes,Right Circular Cone — Definition and Parts,"Distinguish between the base radius, height, and slant height of a cone",[],"[""Define a right circular cone and identify its parts: vertex, height, radius, and slant height""]",[],[],[],[]
