board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Golconda Fort Construction and Features,Name the king who constructed the Golconda fort and describe the materials brought from different places to build it,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Golconda Fort Construction and Features,"Identify the features which ensured safety of the fort such as arrangements for air, light and water",[],"[""Name the king who constructed the Golconda fort and describe the materials brought from different places to build it""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Golconda Fort Construction and Features,Identify the features of the fort that helped residents to see in adjacent and many directions,[],"[""Identify the features which ensured safety of the fort such as arrangements for air, light and water""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Golconda Fort Construction and Features,Describe the craftsmanship and carvings of the fort and list the tools used for carving,[],"[""Identify the features of the fort that helped residents to see in adjacent and many directions""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Golconda Fort Construction and Features,Explain how the fort's construction and design reflect the time in which it was built,[],"[""Describe the craftsmanship and carvings of the fort and list the tools used for carving""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Wars and Weapons in Earlier Times,State the reasons for wars between kings in earlier times,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Wars and Weapons in Earlier Times,Name the weapons and materials used in wars in earlier times,[],"[""State the reasons for wars between kings in earlier times""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Monuments and Museums as Sources of History,Recognize monuments and museums as a source of knowledge about the past,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Monuments and Museums as Sources of History,Identify various items kept in a museum and explain their significance,[],"[""Recognize monuments and museums as a source of knowledge about the past""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Monuments and Museums as Sources of History,Relate various other sources through which we learn about history,[],"[""Recognize monuments and museums as a source of knowledge about the past""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Maps and Directions,Read a map and find directions to reach a given location,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Maps and Directions,"Identify signs, directions, and locations of different landmarks of a locality on a map",[],"[""Read a map and find directions to reach a given location""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Life in Earlier Times,"Describe the food habits, clothes worn, and recreational activities of people in earlier times",[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Life in Earlier Times,"Create a written, acted, or drawn depiction of life of people in earlier times",[],"[""Describe the food habits, clothes worn, and recreational activities of people in earlier times""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Earth as seen from space,Identify India's location on a globe,[],[],"[{""chapter"": ""Chapter09_Rhythms_of_Nature"", ""concept"": ""Globe as a model of Earth"", ""reason"": ""Understanding that a globe is a scaled representation of Earth's spherical shape is needed to make sense of photographs of the whole Earth taken from space.""}]","[{""chapter"": ""Chapter09_Rhythms_of_Nature"", ""skill"": ""Describe the physical features of a globe including oceans, seas and landmasses"", ""reason"": ""A student must first know how landmasses, oceans and seas are shown on a globe before they can locate a specific country like India on it.""}]",[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Earth as seen from space,Explain why Earth has no visible borders when seen from space,[],"[""Identify India's location on a globe""]","[{""chapter"": ""Chapter09_Rhythms_of_Nature"", ""concept"": ""Globe as a model of Earth"", ""reason"": ""Understanding that a globe is a scaled representation of Earth's spherical shape is needed to make sense of photographs of the whole Earth taken from space.""}]",[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Earth without borders,Analyze how the absence of visible borders on Earth relates to the idea of a shared home,"[""Earth as seen from space""]","[""Explain why Earth has no visible borders when seen from space""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Personal and postal address (DIGIPIN),Identify items in daily life that originated from other countries,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Personal and postal address (DIGIPIN),Explain the purpose and use of DIGIPIN as a form of personal and postal address,[],"[""Identify items in daily life that originated from other countries""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Migration of birds (rosy starlings),Describe the migration pattern of rosy starlings,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Migration of birds (rosy starlings),Explain how migratory birds help farmers,[],"[""Describe the migration pattern of rosy starlings""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Yoga as India's gift to the world,Trace the journey of yoga from India to the world,"[""Journey of sugar from India to the world""]","[""Describe how sugar was first made from sugarcane in India""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Journey of chilli from South America to India,Explain how chilli travelled from South America to India,"[""Yoga as India's gift to the world""]","[""Trace the journey of yoga from India to the world""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Journey of sugar from India to the world,Describe how sugar was first made from sugarcane in India,"[""Journey of chilli from South America to India""]","[""Explain how chilli travelled from South America to India""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Journey of the marigold from Mexico to India,Explain how marigolds travelled from Mexico to India,"[""Yoga as India's gift to the world""]","[""Trace the journey of yoga from India to the world""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Journey of the marigold from Mexico to India,Compare Indian and Mexican cultural use of marigolds,"[""Yoga as India's gift to the world""]","[""Explain how marigolds travelled from Mexico to India""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Journey of Indian cow breeds to Brazil,Describe how Indian cow breeds became important in Brazil,"[""Journey of the marigold from Mexico to India""]","[""Explain how marigolds travelled from Mexico to India""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Trade and cultural exchange between countries,"Trace journeys of plants, animals, and ideas on a map using strings","[""Journey of chilli from South America to India"", ""Journey of sugar from India to the world"", ""Journey of the marigold from Mexico to India"", ""Journey of Indian cow breeds to Brazil"", ""Yoga as India's gift to the world"", ""Personal and postal address (DIGIPIN)""]","[""List examples of foods, spices, and practices exchanged between India and other countries""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Trade and cultural exchange between countries,"List examples of foods, spices, and practices exchanged between India and other countries","[""Journey of chilli from South America to India"", ""Journey of sugar from India to the world"", ""Journey of the marigold from Mexico to India"", ""Journey of Indian cow breeds to Brazil"", ""Yoga as India's gift to the world"", ""Personal and postal address (DIGIPIN)""]","[""Interview family members to find out the origins of food, songs, or customs""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Trade and cultural exchange between countries,Analyse how trade and travel connect people and cultures across the world,"[""Journey of chilli from South America to India"", ""Journey of sugar from India to the world"", ""Journey of the marigold from Mexico to India"", ""Journey of Indian cow breeds to Brazil"", ""Yoga as India's gift to the world"", ""Personal and postal address (DIGIPIN)""]","[""Trace journeys of plants, animals, and ideas on a map using strings""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Trade and cultural exchange between countries,"Interview family members to find out the origins of food, songs, or customs","[""Journey of chilli from South America to India"", ""Journey of sugar from India to the world"", ""Journey of the marigold from Mexico to India"", ""Journey of Indian cow breeds to Brazil"", ""Yoga as India's gift to the world"", ""Personal and postal address (DIGIPIN)""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Web of life and interconnectedness of nature,Explain how living beings and nature depend on one another through examples,"[""Seasons' Journal — observing nature through the year""]","[""Observe and record seasonal changes in plants, animals, weather, water, and human activities""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Vasudhaiva Kutumbakam (the world is one family),Explain the meaning of the phrase 'Vasudhaiva Kutumbakam' and connect it to the idea of global family,"[""Earth without borders"", ""Trade and cultural exchange between countries""]","[""Analyse how trade and travel connect people and cultures across the world""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter10_Earth—Our_Shared_Home,Caring for the Earth and environment,Describe ways to care for the Earth and environment,"[""Web of life and interconnectedness of nature"", ""Earth without borders""]","[""Explain how living beings and nature depend on one another through examples""]",[],[],[],[]
