board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 2,Chapter10_Fun_at_the_Fair,Addition and subtraction of money amounts,Calculate the total money spent using addition of given amounts,"[""Relationship between paise and rupees (100 paise = 1 Rupee)""]",[],"[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtracting 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the difference of two 2-digit numbers using the vertical algorithm with regrouping' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping"", ""reason"": ""Adding up money amounts spent typically involves adding two-digit numbers with regrouping, a computational procedure that must already be mastered.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""concept"": ""Calculating total amount of money"", ""reason"": ""Adding money amounts to reach a total was first introduced with coins and notes here, and is directly extended to bigger amounts in the target chapter.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""concept"": ""Comparing costs and finding shortfall in money"", ""reason"": ""Finding how much more money is needed by comparing cost and available money establishes the subtraction reasoning used with money amounts here.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""skill"": ""Calculate the total amount of money from given coins and notes"", ""reason"": ""The procedure of summing values of coins/notes to find a total money amount is the same one extended here to calculate money spent.""}]"
CBSE,Maths,Grade 2,Chapter10_Fun_at_the_Fair,Addition and subtraction of money amounts,Calculate the money left after spending from a given amount using subtraction,"[""Relationship between paise and rupees (100 paise = 1 Rupee)""]","[""Calculate the total money spent using addition of given amounts""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Adding 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the sum of two 2-digit numbers using the vertical algorithm with regrouping' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Subtracting 2-digit numbers with regrouping (sum up to 99)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the difference of two 2-digit numbers using the vertical algorithm with regrouping' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Calculate the difference of two 2-digit numbers using the vertical algorithm with regrouping"", ""reason"": ""Finding money left over requires subtracting two-digit amounts with regrouping, which must be learned before applying it to money contexts.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""concept"": ""Calculating total amount of money"", ""reason"": ""Adding money amounts to reach a total was first introduced with coins and notes here, and is directly extended to bigger amounts in the target chapter.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""concept"": ""Comparing costs and finding shortfall in money"", ""reason"": ""Finding how much more money is needed by comparing cost and available money establishes the subtraction reasoning used with money amounts here.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""skill"": ""Calculate the additional amount needed to buy an item"", ""reason"": ""The same subtractive comparison between available money and cost, taught earlier for finding shortfall, is reused here to find money left over.""}]"
CBSE,Maths,Grade 2,Chapter10_Fun_at_the_Fair,"Indian currency notes (₹100, ₹200, ₹500)",Identify commonly used Indian currency notes and coins,[],[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""concept"": ""Identification of currency notes (₹10, ₹20, ₹50, ₹100)"", ""reason"": ""Recognising that notes come in distinct denominations was established here and is extended to higher-value notes in the target chapter.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""concept"": ""Identification of coins (₹1, ₹2, ₹5, ₹10)"", ""reason"": ""Derived from skill prerequisite: 'Identify coins of different denominations' (in Grade 1/Chapter 12) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""skill"": ""Identify coins of different denominations"", ""reason"": ""Recognising coins by denomination was first practiced here and is extended to a wider set of coins in the target chapter.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""skill"": ""Identify currency notes of different denominations"", ""reason"": ""Recognising notes by denomination was first practiced here and is extended to higher-value notes in the target chapter.""}]"
CBSE,Maths,Grade 2,Chapter10_Fun_at_the_Fair,"Indian coins and paise (10p, 20p, 25p, 50p)",Calculate how many coins of a given denomination make one rupee,"[""Relationship between paise and rupees (100 paise = 1 Rupee)""]","[""State the relationship between paise and rupees (100 paise = 1 Rupee)""]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""concept"": ""Identification of coins (₹1, ₹2, ₹5, ₹10)"", ""reason"": ""The idea that coins have distinct denominations and values was introduced here, forming the basis for identifying the newer paise-based coins.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""concept"": ""Buying items using coins and notes"", ""reason"": ""Derived from skill prerequisite: 'Determine how many coins or notes are needed to pay for an item' (in Grade 1/Chapter 12) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""skill"": ""Determine how many coins or notes are needed to pay for an item"", ""reason"": ""The same counting-up-to-a-target-value technique used to pay for items is reused here to count coins that together make one rupee.""}]"
CBSE,Maths,Grade 2,Chapter10_Fun_at_the_Fair,Relationship between paise and rupees (100 paise = 1 Rupee),State the relationship between paise and rupees (100 paise = 1 Rupee),[],[],[],[],[],[]
CBSE,Maths,Grade 2,Chapter10_Fun_at_the_Fair,Making combinations of coins and notes to form a given amount,Make different combinations of coins and notes to form a specified amount,"[""Indian currency notes (₹100, ₹200, ₹500)"", ""Indian coins and paise (10p, 20p, 25p, 50p)"", ""Relationship between paise and rupees (100 paise = 1 Rupee)""]","[""Identify commonly used Indian currency notes and coins"", ""Calculate how many coins of a given denomination make one rupee""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Representing amounts using play money (up to Rs. 100)"", ""reason"": ""Derived from skill prerequisite: 'Construct an amount up to Rs. 100 using a combination of notes and coins of same or different denominations' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Construct an amount up to Rs. 100 using a combination of notes and coins of same or different denominations"", ""reason"": ""Forming an amount with a specific set of notes and coins builds directly on the earlier skill of constructing amounts using play money combinations.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""concept"": ""Combinations of coins and notes to make a given amount"", ""reason"": ""The same technique of combining different denominations to total a required amount was first taught here with smaller denominations.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Sum of digits of a number"", ""reason"": ""Derived from skill prerequisite: 'Choose a combination of three numbers to achieve a maximum, minimum, or target sum' (in Grade 1/Chapter 13) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""skill"": ""Form different combinations of coins and notes to make a given amount"", ""reason"": ""This is the identical combination-forming technique, previously practiced with smaller amounts and denominations.""}]"
CBSE,Maths,Grade 2,Chapter10_Fun_at_the_Fair,Making combinations of coins and notes to form a given amount,Identify which combination of values gives the highest possible total,"[""Indian currency notes (₹100, ₹200, ₹500)"", ""Indian coins and paise (10p, 20p, 25p, 50p)"", ""Relationship between paise and rupees (100 paise = 1 Rupee)""]","[""Make different combinations of coins and notes to form a specified amount""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Representing amounts using play money (up to Rs. 100)"", ""reason"": ""Derived from skill prerequisite: 'Construct an amount up to Rs. 100 using a combination of notes and coins of same or different denominations' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""concept"": ""Combinations of coins and notes to make a given amount"", ""reason"": ""The same technique of combining different denominations to total a required amount was first taught here with smaller denominations.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Sum of digits of a number"", ""reason"": ""Derived from skill prerequisite: 'Choose a combination of three numbers to achieve a maximum, minimum, or target sum' (in Grade 1/Chapter 13) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""skill"": ""Choose a combination of three numbers to achieve a maximum, minimum, or target sum"", ""reason"": ""Selecting values from a set to obtain the maximum combined total was practiced here and is applied to money combinations in the target chapter.""}]"
CBSE,Maths,Grade 2,Chapter10_Fun_at_the_Fair,Finding money spent and money left over,Compare the money available with the cost of items to find money left or additional money needed,"[""Addition and subtraction of money amounts""]","[""Calculate the total money spent using addition of given amounts"", ""Calculate the money left after spending from a given amount using subtraction""]","[{""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Real-Life Problems Involving Both Addition and Subtraction of 2-digit Numbers"", ""reason"": ""Derived from skill prerequisite: 'Solve real-life word problems involving both addition and subtraction of 2-digit numbers' (in Chapter7_Ranis_Gift) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter7_Ranis_Gift"", ""skill"": ""Solve real-life word problems involving both addition and subtraction of 2-digit numbers"", ""reason"": ""Deciding whether money is left over or more is needed requires the same reasoning about when to add versus subtract that is developed with generic two-digit real-life problems.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""concept"": ""Comparing costs and finding shortfall in money"", ""reason"": ""Comparing money on hand against the cost of an item to find a shortfall directly underlies the reasoning needed to find money left over after spending.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""concept"": ""Buying items using coins and notes"", ""reason"": ""Derived from skill prerequisite: 'Identify items that can be bought within a given amount' (in Grade 1/Chapter 12) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""skill"": ""Calculate the additional amount needed to buy an item"", ""reason"": ""Comparing available money to an item's cost to determine a shortfall was directly established here.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 12"", ""skill"": ""Identify items that can be bought within a given amount"", ""reason"": ""Judging whether money available covers an item's cost was first practiced here and underlies comparing money left or needed.""}]"
CBSE,Maths,Grade 2,Chapter10_Fun_at_the_Fair,Word problems involving addition and subtraction of money,Solve word problems involving addition of money amounts,"[""Addition and subtraction of money amounts"", ""Finding money spent and money left over""]","[""Calculate the total money spent using addition of given amounts""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Word problems involving addition"", ""reason"": ""Derived from skill prerequisite: 'Solve day-to-day life word problems using addition of two-digit numbers' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Word problems involving subtraction"", ""reason"": ""Derived from skill prerequisite: 'Solve day-to-day life word problems using subtraction of two-digit numbers' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Solving word problems using multiplication and grouping"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving equal groups using multiplication' (in Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Solve day-to-day life word problems using addition of two-digit numbers"", ""reason"": ""Solving money addition word problems relies on the general skill of translating everyday addition situations into two-digit number calculations.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""concept"": ""Repeated Addition of Equal Groups"", ""reason"": ""Derived from skill prerequisite: 'Add equal groups repeatedly to find the total' (in Grade 1/Chapter 11) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 2,Chapter10_Fun_at_the_Fair,Word problems involving addition and subtraction of money,Solve word problems involving subtraction of money amounts,"[""Addition and subtraction of money amounts"", ""Finding money spent and money left over""]","[""Calculate the money left after spending from a given amount using subtraction""]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Word problems involving addition"", ""reason"": ""Derived from skill prerequisite: 'Solve day-to-day life word problems using addition of two-digit numbers' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter6_Decoration_for_Festival"", ""concept"": ""Word problems involving subtraction"", ""reason"": ""Derived from skill prerequisite: 'Solve day-to-day life word problems using subtraction of two-digit numbers' (in Chapter6_Decoration_for_Festival) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Solving word problems using multiplication and grouping"", ""reason"": ""Derived from skill prerequisite: 'Solve word problems involving equal groups using multiplication' (in Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter6_Decoration_for_Festival"", ""skill"": ""Solve day-to-day life word problems using subtraction of two-digit numbers"", ""reason"": ""Solving money subtraction word problems relies on the general skill of translating everyday subtraction situations into two-digit number calculations.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 11"", ""concept"": ""Repeated Addition of Equal Groups"", ""reason"": ""Derived from skill prerequisite: 'Add equal groups repeatedly to find the total' (in Grade 1/Chapter 11) is a prerequisite of a skill under this concept.""}]",[]
