board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 4,Chapter6_The_Junk_Seller,"Length measurement and its related terms (height, width, breadth, depth)","Identify which physical attribute (length, height, breadth, depth) is being measured in a given situation",[],[],[],[],[],[]
CBSE,Maths,Grade 4,Chapter6_The_Junk_Seller,Standard unit of length: metre,Distinguish between metre and centimetre as units of length,"[""Length measurement and its related terms (height, width, breadth, depth)""]","[""Identify which physical attribute (length, height, breadth, depth) is being measured in a given situation""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_Fun_at_the_Class_Party"", ""concept"": ""The metre as a standard unit of length"", ""reason"": ""The target reuses the metre as the standard unit, which was first introduced and established as a fixed standard in this earlier chapter.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Choosing appropriate unit between centimeter and meter"", ""reason"": ""Derived from skill prerequisite: 'Distinguish situations requiring centimeters from those requiring meters' (in Grade 3/Chapter4_Vacation_with_My_Nani_Maa) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""skill"": ""Distinguish situations requiring centimeters from those requiring meters"", ""reason"": ""Deciding when to use centimetre versus metre was already practiced in this earlier chapter and is a direct precursor to distinguishing the two units.""}]"
CBSE,Maths,Grade 4,Chapter6_The_Junk_Seller,"Fractional units of metre (half metre, quarter metre)","Construct ropes or lines of specified lengths (1 m, 5 m, 10 m) using measurement units","[""Standard unit of length: metre""]","[""Distinguish between metre and centimetre as units of length""]","[{""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Halves and quarters"", ""reason"": ""A student must already understand what 'half' and 'quarter' mean as fractional divisions of a whole before applying these fractional ideas to divide a metre into half-metre or quarter-metre units.""}]",[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_Fun_at_the_Class_Party"", ""concept"": ""Half metre and quarter metre"", ""reason"": ""Understanding half and quarter metre as fractional parts of the metre was already introduced here and is directly reused in the target.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter10_Fun_at_the_Class_Party"", ""concept"": ""The metre as a standard unit of length"", ""reason"": ""Derived from skill prerequisite: 'Construct a one-metre long rope using a metre rod and thread' (in Grade 3/Chapter10_Fun_at_the_Class_Party) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_Fun_at_the_Class_Party"", ""skill"": ""Construct a one-metre long rope using a metre rod and thread"", ""reason"": ""Building longer specified-length ropes builds directly on the earlier learned technique of constructing a one-metre rope with a rod and thread.""}]"
CBSE,Maths,Grade 4,Chapter6_The_Junk_Seller,Estimating and comparing lengths,Estimate lengths of objects before measuring and verify using a scale,"[""Length measurement and its related terms (height, width, breadth, depth)"", ""Using a measuring tape/scale to measure objects""]","[""Measure objects and distances using a scale or measuring tape""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Estimating and comparing lengths in cm and m"", ""reason"": ""The practice of estimating a length and comparing it against actual measured values in cm and m was already established in this chapter.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter10_Fun_at_the_Class_Party"", ""concept"": ""Comparing lengths (shortest, longest, longer, shorter)"", ""reason"": ""Derived from skill prerequisite: 'Compare lengths of objects to identify the shortest and longest' (in Grade 3/Chapter10_Fun_at_the_Class_Party) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""skill"": ""Estimate the length of an object in centimeters or meters before measuring"", ""reason"": ""The estimate-then-measure procedure required by the target was already practiced with cm and m in this earlier chapter.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""skill"": ""Verify an estimated length against the actual measured length"", ""reason"": ""Verifying an estimate against a measured value is the exact procedure the target skill extends.""}]"
CBSE,Maths,Grade 4,Chapter6_The_Junk_Seller,Estimating and comparing lengths,Compare lengths of different objects and rank them in increasing or decreasing order,"[""Length measurement and its related terms (height, width, breadth, depth)"", ""Using a measuring tape/scale to measure objects""]","[""Measure objects and distances using a scale or measuring tape""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Estimating and comparing lengths in cm and m"", ""reason"": ""The practice of estimating a length and comparing it against actual measured values in cm and m was already established in this chapter.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter10_Fun_at_the_Class_Party"", ""concept"": ""Comparing lengths (shortest, longest, longer, shorter)"", ""reason"": ""Derived from skill prerequisite: 'Compare lengths of objects to identify the shortest and longest' (in Grade 3/Chapter10_Fun_at_the_Class_Party) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_Fun_at_the_Class_Party"", ""skill"": ""Compare lengths of objects to identify the shortest and longest"", ""reason"": ""Ranking objects by length builds directly on the earlier skill of comparing lengths to find the shortest and longest.""}]"
CBSE,Maths,Grade 4,Chapter6_The_Junk_Seller,Measuring small lengths using centimetres,Calculate the number of smaller units needed to cover a given length,"[""Standard unit of length: metre"", ""Using a measuring tape/scale to measure objects""]","[""Measure objects and distances using a scale or measuring tape""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Standard unit of length - centimeter"", ""reason"": ""Knowing centimetre as a standard length unit and how it is used to measure small lengths was established in this earlier chapter.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""concept"": ""Measuring Length Using Non-standard Units"", ""reason"": ""Derived from skill prerequisite: 'Calculate the length of an object by counting the number of non-standard units required' (in Grade 2/Chapter7_Ranis_Gift) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter7_Ranis_Gift"", ""skill"": ""Calculate the length of an object by counting the number of non-standard units required"", ""reason"": ""Counting how many smaller units cover a length is the same underlying technique previously practiced with non-standard units.""}]"
CBSE,Maths,Grade 4,Chapter6_The_Junk_Seller,Relationship between metre and centimetre (1 m = 100 cm),Convert measurements from metres to centimetres and vice versa,"[""Standard unit of length: metre"", ""Measuring small lengths using centimetres""]","[""Distinguish between metre and centimetre as units of length""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Choosing appropriate unit between centimeter and meter"", ""reason"": ""Understanding when centimetre versus metre is used requires prior familiarity with both units as distinct scales before relating them numerically.""}]",[]
CBSE,Maths,Grade 4,Chapter6_The_Junk_Seller,Relationship between metre and centimetre (1 m = 100 cm),Explain the relationship between metre and centimetre using practical examples,"[""Standard unit of length: metre"", ""Measuring small lengths using centimetres""]","[""Distinguish between metre and centimetre as units of length""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Choosing appropriate unit between centimeter and meter"", ""reason"": ""Understanding when centimetre versus metre is used requires prior familiarity with both units as distinct scales before relating them numerically.""}]",[]
CBSE,Maths,Grade 4,Chapter6_The_Junk_Seller,Using a measuring tape/scale to measure objects,Measure objects and distances using a scale or measuring tape,"[""Standard unit of length: metre""]","[""Distinguish between metre and centimetre as units of length""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Standard unit of length - meter"", ""reason"": ""Derived from skill prerequisite: 'Use a measuring tape to measure the length of familiar objects in meters' (in Grade 3/Chapter4_Vacation_with_My_Nani_Maa) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Standard unit of length - centimeter"", ""reason"": ""Derived from skill prerequisite: 'Use a ruler to measure the length of familiar objects in centimeters' (in Grade 3/Chapter4_Vacation_with_My_Nani_Maa) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""skill"": ""Use a measuring tape to measure the length of familiar objects in meters"", ""reason"": ""Using a measuring tape to measure real objects in metres was already introduced and is directly extended in the target.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""skill"": ""Use a ruler to measure the length of familiar objects in centimeters"", ""reason"": ""Using a ruler to measure objects in centimetres was already introduced and underlies the target's use of a scale.""}]"
CBSE,Maths,Grade 4,Chapter6_The_Junk_Seller,Reading and converting measurements between metres and centimetres,Match measurements expressed in different units (cm and m) that represent the same length,"[""Relationship between metre and centimetre (1 m = 100 cm)"", ""Estimating and comparing lengths"", ""Using a measuring tape/scale to measure objects""]","[""Convert measurements from metres to centimetres and vice versa""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Estimating and comparing lengths in cm and m"", ""reason"": ""Derived from skill prerequisite: 'Verify an estimated length against the actual measured length' (in Grade 3/Chapter4_Vacation_with_My_Nani_Maa) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 4,Chapter6_The_Junk_Seller,Reading and converting measurements between metres and centimetres,Fill and interpret measurement tables showing estimated and actual lengths,"[""Relationship between metre and centimetre (1 m = 100 cm)"", ""Estimating and comparing lengths"", ""Using a measuring tape/scale to measure objects""]","[""Estimate lengths of objects before measuring and verify using a scale"", ""Measure objects and distances using a scale or measuring tape""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""concept"": ""Estimating and comparing lengths in cm and m"", ""reason"": ""Derived from skill prerequisite: 'Verify an estimated length against the actual measured length' (in Grade 3/Chapter4_Vacation_with_My_Nani_Maa) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter4_Vacation_with_My_Nani_Maa"", ""skill"": ""Verify an estimated length against the actual measured length"", ""reason"": ""Recording and interpreting estimated versus actual lengths builds on the earlier practice of verifying estimates against measured values.""}]"
CBSE,Maths,Grade 4,Chapter6_The_Junk_Seller,Number line representation of length units,Locate given lengths on a number line marked in metres and centimetres,"[""Relationship between metre and centimetre (1 m = 100 cm)""]","[""Convert measurements from metres to centimetres and vice versa""]","[{""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Number line representation of numbers"", ""reason"": ""Understanding how a number line represents ordered numeric values is needed before a student can interpret a number line marked with length units like metres and centimetres.""}]","[{""chapter"": ""Chapter04_Thousands_Around_Us"", ""skill"": ""Mark given numbers correctly on a number line"", ""reason"": ""Locating length values on a number line requires the prior skill of accurately placing numeric values at correct positions on a number line.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Locating numbers on a number line"", ""reason"": ""Placing length values on a number line requires the prior skill of locating and interpreting positions on a number line.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Locate given numbers at appropriate positions on a number line"", ""reason"": ""Placing length values at correct positions on a number line requires the earlier-learned skill of locating numbers on a number line.""}]"
CBSE,Maths,Grade 4,Chapter6_The_Junk_Seller,Perimeter as the boundary length of a shape,Identify and calculate the perimeter of simple shapes using a dot grid or scale,"[""Using a measuring tape/scale to measure objects""]","[""Measure objects and distances using a scale or measuring tape""]",[],[],[],[]
CBSE,Maths,Grade 4,Chapter6_The_Junk_Seller,Perimeter as the boundary length of a shape,Draw shapes with a given perimeter,"[""Using a measuring tape/scale to measure objects""]","[""Identify and calculate the perimeter of simple shapes using a dot grid or scale""]",[],[],[],[]
CBSE,Maths,Grade 4,Chapter6_The_Junk_Seller,Measuring and comparing perimeters of different shapes,"Compare perimeters of different shapes to identify the longest, shortest, or equal ones","[""Perimeter as the boundary length of a shape""]","[""Identify and calculate the perimeter of simple shapes using a dot grid or scale""]",[],[],[],[]
CBSE,Maths,Grade 4,Chapter6_The_Junk_Seller,"Using non-standard units (footsteps, ropes, hand span) to estimate length",Use non-standard units such as footsteps or hand spans to estimate length and convert to standard units,"[""Estimating and comparing lengths"", ""Relationship between metre and centimetre (1 m = 100 cm)""]","[""Estimate lengths of objects before measuring and verify using a scale"", ""Convert measurements from metres to centimetres and vice versa""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_Fun_at_the_Class_Party"", ""concept"": ""Informal units of measurement (hand span, footstep, paper string)"", ""reason"": ""The same informal units (hand span, footstep) used for estimation in the target were already introduced and practiced in this earlier chapter.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_Fun_at_the_Class_Party"", ""skill"": ""Identify different ways of measuring length using informal tools such as hand span, footstep, and paper strings"", ""reason"": ""Using hand spans and footsteps as informal measuring tools was already practiced in this earlier chapter and is the basis for the target's estimation step.""}]"
