board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,"Forest trees and flowers (e.g., Palash)",Identify local flowers and their regional names,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,Natural materials used for building houses,Describe traditional materials used for building houses,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Making_Things"", ""concept"": ""Types of houses and materials"", ""reason"": ""Students must already know the basic categories of houses and the range of building materials before learning specifically which natural materials traditional houses use.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Making_Things"", ""concept"": ""Traditional mud houses"", ""reason"": ""Prior exposure to how mud houses are built and why they stay cool underlies the target's deeper look at natural building materials.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Making_Things"", ""skill"": ""Compare different types of houses and the materials used to build them"", ""reason"": ""Comparing house types and materials in Grade 3 gives the baseline vocabulary and observation skill needed to describe traditional building materials in depth.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter11_Making_Things"", ""skill"": ""Describe the features of traditional mud houses"", ""reason"": ""Prior description of mud house features is a specific instance that this target skill extends to natural building materials more generally.""}]"
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,Natural paints and dyes from plants,Explain the process of preparing natural dyes from plant parts,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,Traditional art forms (Gond art),Describe the features and significance of traditional art forms such as Gond art,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,Traditional methods of storing grains and food preservation,Describe traditional methods of storing and preserving grains,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,Traditional methods of storing grains and food preservation,Explain how earthen pots and bamboo baskets help protect stored grains,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,Traditional beekeeping and honey collection practices,Describe traditional practices of beekeeping and honey collection,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,"Medicinal and useful plants (Tulsi, Ajwain, Neem)",Identify medicinal plants and their uses,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter06_Living_in_Harmony"", ""concept"": ""Uses of plants (shade, shelter, wood, fruit, medicine, fibre, fresh air)"", ""reason"": ""Recognising that plants can serve as medicine is a prior general category that this target narrows down to specific medicinal plants like Tulsi, Ajwain and Neem.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""concept"": ""Herbs and grasses"", ""reason"": ""Derived from skill prerequisite: 'Describe the physical features of herbs and grasses such as soft green stems and short height' (in Grade 3/Chapter04_Getting_to_Know_Plants) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter06_Living_in_Harmony"", ""skill"": ""List the uses of plants such as shade, wood, fruit, medicine and fibre"", ""reason"": ""Students must already know that medicine is one category of plant use before they can identify specific medicinal plants and their particular uses.""}]"
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,First-aid and its importance,List items that should be kept in a first-aid box,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,First-aid and its importance,Explain the importance of providing first-aid,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,"Traditional festivals, music, and dance","Describe traditional festivals, dances, and music of a region",[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,Sacred groves and community-protected forests,Explain the concept and importance of sacred groves,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,Rituals and festivals connected to plants and animals,Identify rituals and festivals associated with plants and animals,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,Ways to care for and protect plants and animals,List ways to protect and care for plants and animals,"[{""item"": ""Effects of overusing natural resources"", ""reason"": ""Understanding the harm caused by overuse of resources motivates and informs the specific protective actions that need to be taken.""}]","[{""item"": ""Explain the challenges caused by overusing natural resources"", ""reason"": ""Recognizing why plants and animals are being harmed through overuse of resources is necessary to identify appropriate ways to protect them.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter06_Living_in_Harmony"", ""concept"": ""Caring for animals and plants at home"", ""reason"": ""Basic home-level caring practices for plants and animals are the foundation on which broader protection strategies in the target chapter are built.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter06_Living_in_Harmony"", ""skill"": ""Describe how humans take care of animals and plants"", ""reason"": ""Basic caretaking actions learned earlier form the concrete examples that the target skill expands into a broader list of protection methods.""}]"
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,Use of natural resources in daily life,Identify materials and products obtained from nature for daily use,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Natural and Artificial Things"", ""reason"": ""Distinguishing natural from artificial things is required before students can identify which materials/products used daily come specifically from nature.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Sources of materials"", ""reason"": ""Knowing that common objects trace back to specific natural sources is needed to understand how natural resources are used in daily life.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Things around us and their sources"", ""reason"": ""Derived from skill prerequisite: 'Identify common things around us and describe where they come from' (in Grade 3/Chapter10_This_World_of_Things) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Distinguish between natural and artificial things"", ""reason"": ""The ability to tell natural from artificial things is a direct prerequisite for correctly identifying which daily-use materials are obtained from nature.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Identify common things around us and describe where they come from"", ""reason"": ""Tracing everyday objects to their sources is the specific skill the target builds on to identify nature-derived materials and products.""}]"
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,Effects of overusing natural resources,Explain the challenges caused by overusing natural resources,"[{""item"": ""Use of natural resources in daily life"", ""reason"": ""A student must first know which materials and products come from nature before they can understand the consequences of using too much of them.""}]","[{""item"": ""Identify materials and products obtained from nature for daily use"", ""reason"": ""A student must know what materials are taken from nature before they can reason about the problems caused by taking too much of them.""}]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,Effects of overusing natural resources,"Describe methods to protect the natural environment at home, school, and locality","[{""item"": ""Use of natural resources in daily life"", ""reason"": ""A student must first know which materials and products come from nature before they can understand the consequences of using too much of them.""}]","[{""item"": ""Explain the challenges caused by overusing natural resources"", ""reason"": ""Knowing the specific problems caused by overuse is needed before a student can propose methods to counter and prevent that damage.""}]",[],[],[],[]
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,"Medicinal and useful plants (Tulsi, Ajwain, Neem)",Design a herbal garden using knowledge of local herbs,[],"[{""item"": ""Identify medicinal plants and their uses"", ""reason"": ""A student must first be able to identify medicinal plants and know their uses before they can select and arrange them into a herbal garden design.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter06_Living_in_Harmony"", ""concept"": ""Uses of plants (shade, shelter, wood, fruit, medicine, fibre, fresh air)"", ""reason"": ""Recognising that plants can serve as medicine is a prior general category that this target narrows down to specific medicinal plants like Tulsi, Ajwain and Neem.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""concept"": ""Herbs and grasses"", ""reason"": ""Derived from skill prerequisite: 'Describe the physical features of herbs and grasses such as soft green stems and short height' (in Grade 3/Chapter04_Getting_to_Know_Plants) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter04_Getting_to_Know_Plants"", ""skill"": ""Describe the physical features of herbs and grasses such as soft green stems and short height"", ""reason"": ""Recognising what defines an herb (soft stem, short height) is necessary before students can plan and design a garden specifically composed of local herbs.""}]"
CBSE,Environmental Science,Grade 4,Chapter04_Growing_up_with_Nature,Solar-powered villages and electricity generation,Explain the benefits of solar energy for a village,[],[],[],[],[],[]
