board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter
CBSE,Environmental Science,Grade 3,Chapter12_Taking_Charge_of_Waste,How Waste is Created,Identify everyday activities that create waste,[],[],[],[]
CBSE,Environmental Science,Grade 3,Chapter12_Taking_Charge_of_Waste,How Waste is Created,Describe how nature manages its own waste like leaves and animal waste,[],"[""Identify everyday activities that create waste""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter12_Taking_Charge_of_Waste,Problems Caused by Improper Waste Disposal,Explain the problems caused by improperly disposed waste,"[""How Waste is Created""]","[""Describe how nature manages its own waste like leaves and animal waste""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter12_Taking_Charge_of_Waste,Managing Waste,Describe ways to manage waste effectively,"[""Problems Caused by Improper Waste Disposal""]","[""Explain the problems caused by improperly disposed waste""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter12_Taking_Charge_of_Waste,Managing Waste,List tools used for cleaning at home and school,"[""Problems Caused by Improper Waste Disposal""]",[],[],[]
CBSE,Environmental Science,Grade 3,Chapter12_Taking_Charge_of_Waste,"Reducing, Reusing and Recycling Waste","Distinguish between reducing, reusing and recycling waste","[""Managing Waste""]","[""Describe ways to manage waste effectively""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter12_Taking_Charge_of_Waste,Reducing Waste,Demonstrate ways to reduce waste in daily life,"[""Reducing, Reusing and Recycling Waste""]","[""Distinguish between reducing, reusing and recycling waste""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter12_Taking_Charge_of_Waste,Reducing Waste,Identify plastic items at home and school that could be replaced with safer materials,"[""Reducing, Reusing and Recycling Waste""]","[""Demonstrate ways to reduce waste in daily life""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter12_Taking_Charge_of_Waste,Reducing Waste,Propose methods to reduce waste during events like birthday parties,"[""Reducing, Reusing and Recycling Waste""]","[""Demonstrate ways to reduce waste in daily life""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter12_Taking_Charge_of_Waste,Reusing Waste Materials,Demonstrate reuse of waste materials to create new items,"[""Reducing, Reusing and Recycling Waste""]","[""Distinguish between reducing, reusing and recycling waste""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter12_Taking_Charge_of_Waste,Separating Waste Using Green and Blue Dustbins,Classify waste items into green dustbin and blue dustbin categories,"[""Reducing, Reusing and Recycling Waste""]","[""Distinguish between reducing, reusing and recycling waste""]","[{""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Biodegradable and Non-biodegradable Materials"", ""reason"": ""Green and blue dustbins correspond directly to biodegradable and non-biodegradable waste, so sorting into them requires prior knowledge of this material distinction.""}]","[{""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Explain the concept of biodegradable and non-biodegradable waste materials"", ""reason"": ""Correctly sorting waste into green (biodegradable) and blue (non-biodegradable) bins depends on already being able to identify which category a material falls into.""}]"
CBSE,Environmental Science,Grade 3,Chapter12_Taking_Charge_of_Waste,Composting,Explain the process of composting using biodegradable waste,"[""Separating Waste Using Green and Blue Dustbins""]","[""Classify waste items into green dustbin and blue dustbin categories""]","[{""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Biodegradable and Non-biodegradable Materials"", ""reason"": ""Composting only works on biodegradable waste, so students must first know which materials break down naturally before they can understand the composting process.""}]","[{""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Explain the concept of biodegradable and non-biodegradable waste materials"", ""reason"": ""Understanding composting requires first knowing what makes waste biodegradable so its breakdown into manure can be explained.""}]"
CBSE,Environmental Science,Grade 3,Chapter12_Taking_Charge_of_Waste,Recycling,Explain the concept of recycling using non-biodegradable waste,"[""Separating Waste Using Green and Blue Dustbins""]","[""Classify waste items into green dustbin and blue dustbin categories""]","[{""chapter"": ""Chapter10_This_World_of_Things"", ""concept"": ""Biodegradable and Non-biodegradable Materials"", ""reason"": ""Recycling deals specifically with non-biodegradable materials, so students need to already distinguish these from biodegradable ones to grasp why recycling is necessary.""}]","[{""chapter"": ""Chapter10_This_World_of_Things"", ""skill"": ""Explain the concept of biodegradable and non-biodegradable waste materials"", ""reason"": ""Explaining recycling in terms of non-biodegradable waste requires already being able to identify materials that do not naturally decompose.""}]"
CBSE,Environmental Science,Grade 3,Chapter12_Taking_Charge_of_Waste,Clean Villages and Cities (Zero Waste Models),Describe examples of villages or cities known for good waste management,"[""Managing Waste""]","[""Describe ways to manage waste effectively""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter12_Taking_Charge_of_Waste,National Cleanliness Day,Explain the significance of National Cleanliness Day,"[""Managing Waste""]","[""Describe ways to manage waste effectively""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter12_Taking_Charge_of_Waste,Swachh Bharat Mission,Describe the goals and activities of the Swachh Bharat Mission,"[""National Cleanliness Day""]","[""Explain the significance of National Cleanliness Day""]",[],[]
CBSE,Environmental Science,Grade 3,Chapter12_Taking_Charge_of_Waste,Keeping Surroundings Clean,"Suggest practices to keep home, school and neighbourhood clean","[""Managing Waste""]","[""Describe ways to manage waste effectively""]",[],[]
