board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 4,Chapter09_Equal_Groups,Multiples of numbers,Identify multiples of a given number,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Skip counting forward (in twos, threes, fives, sevens, tens)"", ""reason"": ""Skip-counting sequences are the direct method used to generate and recognize the multiples of a number.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Apply skip counting in twos, threes, fives, sevens, and tens on a number chart"", ""reason"": ""Identifying multiples requires the skip-counting technique to generate a number's sequence of multiples.""}]"
CBSE,Maths,Grade 4,Chapter09_Equal_Groups,Common multiples,Find common multiples of two numbers,"[{""item"": ""Multiples of numbers"", ""reason"": ""Finding numbers that are multiples of two numbers requires first knowing how to identify multiples of a single number.""}]","[{""item"": ""Identify multiples of a given number"", ""reason"": ""Finding common multiples requires first being able to list multiples of each individual number.""}]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""concept"": ""Common multiples through skip counting"", ""reason"": ""This earlier concept already establishes finding numbers common to two skip-counting sequences, which is exactly what common multiples requires.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter3_Fun_with_Numbers"", ""skill"": ""Identify numbers common to two or more skip-counting sequences"", ""reason"": ""This is the exact technique of finding common multiples by overlapping skip-count sequences.""}]"
CBSE,Maths,Grade 4,Chapter09_Equal_Groups,Multiplication as equal groups,Identify the number of equal groups and group size in a given multiplication situation,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Multiplication as equal groups"", ""reason"": ""The target chapter extends this same foundational idea of grouping equal sets that was first introduced earlier.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""skill"": ""Identify the number of groups and the size of each group from a multiplication sentence"", ""reason"": ""This is the same skill of interpreting a multiplication sentence into number of groups and group size, taught earlier.""}]"
CBSE,Maths,Grade 4,Chapter09_Equal_Groups,Multiplication as equal groups,Solve multiplication problems using equal groups strategy,[],"[{""item"": ""Identify the number of equal groups and group size in a given multiplication situation"", ""reason"": ""Solving with the equal groups strategy requires first correctly identifying the number of groups and the group size.""}]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Multiplication as equal groups"", ""reason"": ""The target chapter extends this same foundational idea of grouping equal sets that was first introduced earlier.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""skill"": ""Calculate the total number of objects using equal grouping and multiplication"", ""reason"": ""The equal-groups multiplication strategy was first established here and is extended by the target chapter.""}]"
CBSE,Maths,Grade 4,Chapter09_Equal_Groups,Arrays: rows and columns representation of multiplication,Represent multiplication using arrays of rows and columns,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Multiplication symbol and notation"", ""reason"": ""Derived from skill prerequisite: 'Arrange objects in arrays and record corresponding multiplication facts' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""skill"": ""Arrange objects in arrays and record corresponding multiplication facts"", ""reason"": ""This is the same array-based representation technique introduced earlier for multiplication.""}]"
CBSE,Maths,Grade 4,Chapter09_Equal_Groups,Doubling numbers,Calculate the double of a given number,[],[],[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Half and Double Relationship"", ""reason"": ""Doubling as a concept and its pairing with halving was established in this earlier chapter and underlies the target's doubling concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter8_Fair_Share"", ""skill"": ""Calculate the double of a given number"", ""reason"": ""This exact doubling skill was already taught in Grade 3 and is directly reused and extended in the target chapter.""}]"
CBSE,Maths,Grade 4,Chapter09_Equal_Groups,Patterns in ones digit after doubling and multiplication,Predict the ones digit of a number after doubling or multiplying,"[{""item"": ""Doubling numbers"", ""reason"": ""Predicting the ones digit after doubling requires already knowing how to compute the double of a number.""}, {""item"": ""Multiplication tables and chart patterns"", ""reason"": ""Predicting the ones digit after multiplying relies on recognizing repeating digit patterns seen in multiplication tables.""}]","[{""item"": ""Calculate the double of a given number"", ""reason"": ""Predicting the ones digit after doubling requires first being able to compute the double of a number.""}, {""item"": ""Identify patterns in multiplication tables"", ""reason"": ""Predicting the ones digit after multiplying relies on recognizing digit patterns already noticed in multiplication tables.""}]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter7_Raksha_Bandhan"", ""concept"": ""Patterns in multiplication tables"", ""reason"": ""Recognizing digit patterns within multiplication tables is the basis for predicting ones-digit patterns after doubling or multiplying.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter7_Raksha_Bandhan"", ""skill"": ""Identify patterns in multiplication tables such as last-digit patterns in the times-5 table"", ""reason"": ""Recognizing last-digit patterns in multiplication tables is the precursor skill needed to predict ones digits after multiplying or doubling.""}]"
CBSE,Maths,Grade 4,Chapter09_Equal_Groups,Multiplication tables and chart patterns,Identify patterns in multiplication tables,"[{""item"": ""Multiplication as equal groups"", ""reason"": ""Recognizing patterns in a multiplication chart requires already understanding what multiplication represents as repeated equal groups.""}]","[{""item"": ""Solve multiplication problems using equal groups strategy"", ""reason"": ""Spotting patterns in a multiplication table requires having already computed multiplication facts using the equal groups strategy.""}]","[{""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Number and Letter Patterns"", ""reason"": ""Derived from skill prerequisite: 'Identify the rule connecting successive terms in a number or letter pattern' (in Chapter03_Pattern_Around_Us) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter03_Pattern_Around_Us"", ""skill"": ""Identify the rule connecting successive terms in a number or letter pattern"", ""reason"": ""Spotting patterns in a multiplication table uses the general skill of finding the rule that links consecutive terms in a sequence.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter7_Raksha_Bandhan"", ""concept"": ""Multiplication tables (1 to 10)"", ""reason"": ""Memorized tables from 1 to 10 provide the raw facts students use to notice chart-wide patterns in the target chapter.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Multiplication tables of 2, 3, 5, and 10"", ""reason"": ""Earlier mastery of these four tables provides the foundation before extending to a full multiplication chart.""}, {""grade"": ""Grade 3"", ""chapter"": ""Chapter7_Raksha_Bandhan"", ""concept"": ""Patterns in multiplication tables"", ""reason"": ""Derived from skill prerequisite: 'Identify patterns in multiplication tables such as last-digit patterns in the times-5 table' (in Grade 3/Chapter7_Raksha_Bandhan) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter7_Raksha_Bandhan"", ""skill"": ""Identify patterns in multiplication tables such as last-digit patterns in the times-5 table"", ""reason"": ""This earlier skill of spotting table patterns is directly extended by the target skill.""}]"
CBSE,Maths,Grade 4,Chapter09_Equal_Groups,Even and odd numbers in multiplication,Classify products as even or odd numbers,"[{""item"": ""Multiplication tables and chart patterns"", ""reason"": ""Classifying products as even or odd builds on recognizing patterns already observed in multiplication tables.""}]","[{""item"": ""Identify patterns in multiplication tables"", ""reason"": ""Classifying products as even or odd depends on recognizing the recurring digit/parity patterns found in multiplication tables.""}]","[{""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Even Numbers"", ""reason"": ""Students must already know what makes a number even before they can classify multiplication products as even.""}, {""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Odd Numbers"", ""reason"": ""Students must already know what makes a number odd before they can classify multiplication products as odd.""}, {""chapter"": ""Chapter03_Pattern_Around_Us"", ""concept"": ""Pairing Arrangement to Identify Even and Odd Numbers"", ""reason"": ""Derived from skill prerequisite: 'Distinguish between odd numbers and even numbers with examples' (in Chapter03_Pattern_Around_Us) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter03_Pattern_Around_Us"", ""skill"": ""Distinguish between odd numbers and even numbers with examples"", ""reason"": ""A student must be able to tell whether any given number is even or odd before applying that judgment to multiplication products.""}]",[],[]
CBSE,Maths,Grade 4,Chapter09_Equal_Groups,Multiplying by multiples of 10,Multiply numbers by multiples of 10 using place value strategies,"[{""item"": ""Multiplication as equal groups"", ""reason"": ""Derived from skill prerequisite: 'Solve multiplication problems using equal groups strategy' is a prerequisite of a skill under this concept.""}]","[{""item"": ""Solve multiplication problems using equal groups strategy"", ""reason"": ""Applying place value strategies for multiples of 10 builds on the basic ability to solve multiplication using equal groups.""}]","[{""chapter"": ""Chapter04_Thousands_Around_Us"", ""concept"": ""Indian number system and place value"", ""reason"": ""Multiplying by multiples of 10 using place-value reasoning requires already understanding how digits represent tens, hundreds etc.""}]","[{""chapter"": ""Chapter04_Thousands_Around_Us"", ""skill"": ""Identify the place value of each digit in a number using the Indian number system"", ""reason"": ""This multiplication strategy depends on already knowing what value each digit contributes based on its position.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter7_Raksha_Bandhan"", ""concept"": ""Multiplication with multiples of 10"", ""reason"": ""This chapter already taught extending known multiplication facts to multiples of 10, which the target builds on using place value.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter7_Raksha_Bandhan"", ""skill"": ""Calculate products involving multiples of 10 by extending known multiplication facts"", ""reason"": ""This is the exact precursor technique of extending known multiplication facts to multiples of 10.""}]"
