board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 9,Chapter09_Atomic_Foundations_of_Matter,Law of Conservation of Mass,Apply the Law of Conservation of Mass to determine the mass of elements in a mixture,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Chemical change"", ""reason"": ""Verifying that mass is conserved in a chemical reaction requires already understanding what a chemical change is and that new substances are formed.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Physical change"", ""reason"": ""Demonstrating mass conservation during a physical change relies on already knowing that no new substance is formed in such changes.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Reaction of vinegar and baking soda"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the reaction between vinegar and baking soda to produce carbon dioxide' (in Grade 7/Chapter05_Changes_Around_Us:_Physical_and_Chemical) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 9,Chapter09_Atomic_Foundations_of_Matter,Law of Conservation of Mass,Demonstrate that mass remains unchanged during a physical change such as dissolving salt in water,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Chemical change"", ""reason"": ""Verifying that mass is conserved in a chemical reaction requires already understanding what a chemical change is and that new substances are formed.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Physical change"", ""reason"": ""Demonstrating mass conservation during a physical change relies on already knowing that no new substance is formed in such changes.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Reaction of vinegar and baking soda"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the reaction between vinegar and baking soda to produce carbon dioxide' (in Grade 7/Chapter05_Changes_Around_Us:_Physical_and_Chemical) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""skill"": ""Explain why no new substance is formed in a physical change"", ""reason"": ""Showing that mass is unchanged in a physical change relies on already knowing that no new substance forms during such a change.""}]"
CBSE,Science,Grade 9,Chapter09_Atomic_Foundations_of_Matter,Law of Conservation of Mass,Demonstrate that mass is conserved during a chemical change occurring in a closed system,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Chemical change"", ""reason"": ""Verifying that mass is conserved in a chemical reaction requires already understanding what a chemical change is and that new substances are formed.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Physical change"", ""reason"": ""Demonstrating mass conservation during a physical change relies on already knowing that no new substance is formed in such changes.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Reaction of vinegar and baking soda"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the reaction between vinegar and baking soda to produce carbon dioxide' (in Grade 7/Chapter05_Changes_Around_Us:_Physical_and_Chemical) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""skill"": ""Explain why a new substance is formed in a chemical change"", ""reason"": ""Verifying that mass is conserved despite new substances forming requires already understanding that a chemical change produces new substances.""}]"
CBSE,Science,Grade 9,Chapter09_Atomic_Foundations_of_Matter,Law of Conservation of Mass,Explain why mass appears to change when a gas escapes from an open system during a chemical reaction,[],"[{""item"": ""Demonstrate that mass is conserved during a chemical change occurring in a closed system"", ""reason"": ""Understanding the apparent mass change in an open system requires first knowing that mass is truly conserved when the system is closed.""}]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Chemical change"", ""reason"": ""Verifying that mass is conserved in a chemical reaction requires already understanding what a chemical change is and that new substances are formed.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Physical change"", ""reason"": ""Demonstrating mass conservation during a physical change relies on already knowing that no new substance is formed in such changes.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Reaction of vinegar and baking soda"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the reaction between vinegar and baking soda to produce carbon dioxide' (in Grade 7/Chapter05_Changes_Around_Us:_Physical_and_Chemical) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""skill"": ""Demonstrate the reaction between vinegar and baking soda to produce carbon dioxide"", ""reason"": ""This earlier experiment provides the concrete example of a gas escaping during a reaction that explains the apparent loss of mass.""}]"
CBSE,Science,Grade 9,Chapter09_Atomic_Foundations_of_Matter,Law of Conservation of Mass,Verify the Law of Conservation of Mass quantitatively using given masses of reactants and products,[],"[{""item"": ""Demonstrate that mass is conserved during a chemical change occurring in a closed system"", ""reason"": ""Quantitative verification builds on first establishing conceptually that mass is conserved in a closed system.""}]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Chemical change"", ""reason"": ""Verifying that mass is conserved in a chemical reaction requires already understanding what a chemical change is and that new substances are formed.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Physical change"", ""reason"": ""Demonstrating mass conservation during a physical change relies on already knowing that no new substance is formed in such changes.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter05_Changes_Around_Us:_Physical_and_Chemical"", ""concept"": ""Reaction of vinegar and baking soda"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate the reaction between vinegar and baking soda to produce carbon dioxide' (in Grade 7/Chapter05_Changes_Around_Us:_Physical_and_Chemical) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 9,Chapter09_Atomic_Foundations_of_Matter,Law of Constant Proportions,Apply the law of constant proportions to calculate the mass ratio of atoms in a compound,[],[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Compounds"", ""reason"": ""The law describes a fixed mass ratio of elements within a compound, so students must already understand what a compound is.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""skill"": ""Define a compound as a substance formed by chemical combination of two or more elements"", ""reason"": ""Calculating a fixed mass ratio of elements requires already understanding what a compound is and how elements combine within it.""}]"
CBSE,Science,Grade 9,Chapter09_Atomic_Foundations_of_Matter,Atoms and Molecules - Fundamentals,Correlate the invisibility of atoms with their extremely small size,"[{""item"": ""Dalton's Atomic Theory"", ""reason"": ""The postulates of Dalton's theory establish the existence and indivisibility of atoms, which underlies the basic facts about atoms and molecules covered next.""}]",[],"[{""chapter"": ""Chapter08_Journey_Inside_the_Atom"", ""concept"": ""Symbols of Elements"", ""reason"": ""Derived from skill prerequisite: 'Apply IUPAC rules to write correct chemical symbols of elements' (in Chapter08_Journey_Inside_the_Atom) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""Atoms and Molecules"", ""reason"": ""This target concept builds directly on the earlier introduction of atoms and molecules as the basic particles of matter.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Elements"", ""reason"": ""Understanding elements as substances made of a single type of atom is needed before formalising atomic concepts here.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Molecules of elements"", ""reason"": ""Prior exposure to molecules formed from atoms of the same element underlies the deeper treatment of molecules in this chapter.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""Particulate Nature of Matter"", ""reason"": ""Derived from skill prerequisite: 'Explain the concept of matter being made up of tiny particles' (in Grade 8/Chapter07_Particulate_Nature_of_Matter) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""skill"": ""Explain the concept of matter being made up of tiny particles"", ""reason"": ""This reasoning builds directly on the earlier idea that matter is composed of tiny, individually imperceptible particles.""}]"
CBSE,Science,Grade 9,Chapter09_Atomic_Foundations_of_Matter,Atoms and Molecules - Fundamentals,Determine the number of atoms present in a molecule of an element based on its atomicity,"[{""item"": ""Dalton's Atomic Theory"", ""reason"": ""The postulates of Dalton's theory establish the existence and indivisibility of atoms, which underlies the basic facts about atoms and molecules covered next.""}]",[],"[{""chapter"": ""Chapter08_Journey_Inside_the_Atom"", ""concept"": ""Symbols of Elements"", ""reason"": ""Derived from skill prerequisite: 'Apply IUPAC rules to write correct chemical symbols of elements' (in Chapter08_Journey_Inside_the_Atom) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""Atoms and Molecules"", ""reason"": ""This target concept builds directly on the earlier introduction of atoms and molecules as the basic particles of matter.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Elements"", ""reason"": ""Understanding elements as substances made of a single type of atom is needed before formalising atomic concepts here.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Molecules of elements"", ""reason"": ""Prior exposure to molecules formed from atoms of the same element underlies the deeper treatment of molecules in this chapter.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""Particulate Nature of Matter"", ""reason"": ""Derived from skill prerequisite: 'Explain the concept of matter being made up of tiny particles' (in Grade 8/Chapter07_Particulate_Nature_of_Matter) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""skill"": ""Distinguish molecules of elements from molecules of compounds using examples such as oxygen and ozone"", ""reason"": ""Determining atomicity requires already distinguishing molecules made of the same element's atoms from compound molecules.""}]"
CBSE,Science,Grade 9,Chapter09_Atomic_Foundations_of_Matter,Atoms and Molecules - Fundamentals,List the atomic symbols of commonly known elements as per IUPAC convention,"[{""item"": ""Dalton's Atomic Theory"", ""reason"": ""The postulates of Dalton's theory establish the existence and indivisibility of atoms, which underlies the basic facts about atoms and molecules covered next.""}]",[],"[{""chapter"": ""Chapter08_Journey_Inside_the_Atom"", ""concept"": ""Symbols of Elements"", ""reason"": ""Derived from skill prerequisite: 'Apply IUPAC rules to write correct chemical symbols of elements' (in Chapter08_Journey_Inside_the_Atom) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter08_Journey_Inside_the_Atom"", ""skill"": ""Apply IUPAC rules to write correct chemical symbols of elements"", ""reason"": ""Listing correct IUPAC symbols requires already knowing the IUPAC rules for writing element symbols.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""Atoms and Molecules"", ""reason"": ""This target concept builds directly on the earlier introduction of atoms and molecules as the basic particles of matter.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Elements"", ""reason"": ""Understanding elements as substances made of a single type of atom is needed before formalising atomic concepts here.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Molecules of elements"", ""reason"": ""Prior exposure to molecules formed from atoms of the same element underlies the deeper treatment of molecules in this chapter.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""Particulate Nature of Matter"", ""reason"": ""Derived from skill prerequisite: 'Explain the concept of matter being made up of tiny particles' (in Grade 8/Chapter07_Particulate_Nature_of_Matter) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Science,Grade 9,Chapter09_Atomic_Foundations_of_Matter,Atoms and Molecules - Fundamentals,Recognize that different elements possess different atomic masses,"[{""item"": ""Dalton's Atomic Theory"", ""reason"": ""The postulates of Dalton's theory establish the existence and indivisibility of atoms, which underlies the basic facts about atoms and molecules covered next.""}]",[],"[{""chapter"": ""Chapter08_Journey_Inside_the_Atom"", ""concept"": ""Symbols of Elements"", ""reason"": ""Derived from skill prerequisite: 'Apply IUPAC rules to write correct chemical symbols of elements' (in Chapter08_Journey_Inside_the_Atom) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""Atoms and Molecules"", ""reason"": ""This target concept builds directly on the earlier introduction of atoms and molecules as the basic particles of matter.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Elements"", ""reason"": ""Understanding elements as substances made of a single type of atom is needed before formalising atomic concepts here.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""concept"": ""Molecules of elements"", ""reason"": ""Prior exposure to molecules formed from atoms of the same element underlies the deeper treatment of molecules in this chapter.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter07_Particulate_Nature_of_Matter"", ""concept"": ""Particulate Nature of Matter"", ""reason"": ""Derived from skill prerequisite: 'Explain the concept of matter being made up of tiny particles' (in Grade 8/Chapter07_Particulate_Nature_of_Matter) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter08_Nature_of_Matter:_Elements,_Compounds,_and_Mixtures"", ""skill"": ""Define an element based on its composition of a single type of atom"", ""reason"": ""Recognising that elements have different atomic masses presupposes the concept of an element as a single type of atom.""}]"
