board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 8,Chapter2_Linear_Equations_In_One_Variable,Algebraic expressions and equations,Distinguish between algebraic expressions and algebraic equations,[],[],"[{""chapter"": ""Chapter8_Algebraic_Expressions_And_Identities"", ""concept"": ""Algebraic expressions: terms, variables, constants, and coefficients"", ""reason"": ""Understanding what terms, variables, constants and coefficients are is necessary before an expression can be turned into an equation with an LHS and RHS.""}]","[{""chapter"": ""Chapter8_Algebraic_Expressions_And_Identities"", ""skill"": ""Identify the variables, constants, and coefficients in a given algebraic expression"", ""reason"": ""Recognising the components of an algebraic expression is needed before a student can tell an expression apart from an equation formed by equating two such expressions.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Introduction to algebraic expressions"", ""reason"": ""A student must already know what an algebraic expression is before learning to distinguish it from an equation.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""concept"": ""What is an equation?"", ""reason"": ""Understanding that an equation asserts equality of two expressions is needed before contrasting equations with mere expressions.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Algebraic vs Arithmetic Expressions"", ""reason"": ""Derived from skill prerequisite: 'Distinguish algebraic expressions from arithmetic expressions' (in Grade 7/Chapter10_Algebraic_Expressions) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""skill"": ""Describe what an equation is by identifying its equal sides"", ""reason"": ""Knowing that an equation is defined by an equality between two sides is needed to tell it apart from an expression, which has no equality.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""skill"": ""Distinguish algebraic expressions from arithmetic expressions"", ""reason"": ""Recognising what constitutes an algebraic expression is a prior step to distinguishing expressions from equations.""}]"
CBSE,Maths,Grade 8,Chapter2_Linear_Equations_In_One_Variable,Linear expressions in one variable,Identify whether an expression is linear or non-linear based on the highest power of the variable,"[""Algebraic expressions and equations"", ""Left Hand Side (LHS) and Right Hand Side (RHS) of an equation""]","[""Distinguish between algebraic expressions and algebraic equations""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""concept"": ""Review of variables and expressions"", ""reason"": ""Recognising variables and how expressions are built is required before working with linear expressions in one variable.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""concept"": ""Meaning of base and exponent"", ""reason"": ""Derived from skill prerequisite: 'Identify base and exponent for a given number in exponential form' (in Grade 7/Chapter11_Exponents_And_Powers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""skill"": ""Identify base and exponent for a given number in exponential form"", ""reason"": ""Determining the highest power of a variable requires being able to identify the exponent on a term.""}]"
CBSE,Maths,Grade 8,Chapter2_Linear_Equations_In_One_Variable,Linear expressions in one variable,Distinguish whether a given equation is a linear equation in one variable or not,"[""Algebraic expressions and equations"", ""Left Hand Side (LHS) and Right Hand Side (RHS) of an equation""]","[""Identify whether an expression is linear or non-linear based on the highest power of the variable"", ""Identify the LHS and RHS of a given equation""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""concept"": ""Review of variables and expressions"", ""reason"": ""Recognising variables and how expressions are built is required before working with linear expressions in one variable.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""concept"": ""Meaning of base and exponent"", ""reason"": ""Derived from skill prerequisite: 'Identify base and exponent for a given number in exponential form' (in Grade 7/Chapter11_Exponents_And_Powers) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""skill"": ""Identify base and exponent for a given number in exponential form"", ""reason"": ""Checking that no variable exceeds power one requires being able to read the exponent of each term.""}]"
CBSE,Maths,Grade 8,Chapter2_Linear_Equations_In_One_Variable,Left Hand Side (LHS) and Right Hand Side (RHS) of an equation,Identify the LHS and RHS of a given equation,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""concept"": ""What is an equation?"", ""reason"": ""The idea that an equation has two equal sides, introduced when equations are first defined, underlies naming its LHS and RHS.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""skill"": ""Describe what an equation is by identifying its equal sides"", ""reason"": ""Naming the LHS and RHS presumes the prior understanding that an equation consists of two sides separated by an equality sign.""}]"
CBSE,Maths,Grade 8,Chapter2_Linear_Equations_In_One_Variable,Solutions of an equation,Verify whether a given value is a solution of an equation by substituting it,"[""Algebraic expressions and equations"", ""Left Hand Side (LHS) and Right Hand Side (RHS) of an equation""]","[""Identify the LHS and RHS of a given equation""]","[{""chapter"": ""Chapter8_Algebraic_Expressions_And_Identities"", ""concept"": ""Addition and Subtraction of Algebraic Expressions"", ""reason"": ""Derived from skill prerequisite: 'Calculate the value of a simplified algebraic expression for a given value of the variable' (in Chapter8_Algebraic_Expressions_And_Identities) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter8_Algebraic_Expressions_And_Identities"", ""skill"": ""Calculate the value of a simplified algebraic expression for a given value of the variable"", ""reason"": ""Substituting a value into an equation to test it relies on the prior skill of evaluating an algebraic expression at a given variable value.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""concept"": ""What is an equation?"", ""reason"": ""Derived from skill prerequisite: 'Verify a proposed value of the variable by substituting it back into the equation' (in Grade 7/Chapter4_Simple_Equations) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""concept"": ""Transposing terms across the equality sign"", ""reason"": ""Derived from skill prerequisite: 'Verify the solution obtained by transposition by substituting it back into the original equation' (in Grade 7/Chapter4_Simple_Equations) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""skill"": ""Verify a proposed value of the variable by substituting it back into the equation"", ""reason"": ""This is the same substitution-verification procedure first practised on simple one-variable equations in Grade 7.""}]"
CBSE,Maths,Grade 8,Chapter2_Linear_Equations_In_One_Variable,Solutions of an equation,Check the solution of a linear equation by substituting back into the original equation,"[""Algebraic expressions and equations"", ""Left Hand Side (LHS) and Right Hand Side (RHS) of an equation""]","[""Verify whether a given value is a solution of an equation by substituting it""]","[{""chapter"": ""Chapter8_Algebraic_Expressions_And_Identities"", ""concept"": ""Addition and Subtraction of Algebraic Expressions"", ""reason"": ""Derived from skill prerequisite: 'Calculate the value of a simplified algebraic expression for a given value of the variable' (in Chapter8_Algebraic_Expressions_And_Identities) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter8_Algebraic_Expressions_And_Identities"", ""skill"": ""Calculate the value of a simplified algebraic expression for a given value of the variable"", ""reason"": ""Checking a solution by substitution requires the same numerical evaluation skill practiced on algebraic expressions.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""concept"": ""What is an equation?"", ""reason"": ""Derived from skill prerequisite: 'Verify a proposed value of the variable by substituting it back into the equation' (in Grade 7/Chapter4_Simple_Equations) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""concept"": ""Transposing terms across the equality sign"", ""reason"": ""Derived from skill prerequisite: 'Verify the solution obtained by transposition by substituting it back into the original equation' (in Grade 7/Chapter4_Simple_Equations) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""skill"": ""Verify the solution obtained by transposition by substituting it back into the original equation"", ""reason"": ""Grade 8 checking of solutions extends the same back-substitution verification method introduced with simple equations.""}]"
CBSE,Maths,Grade 8,Chapter2_Linear_Equations_In_One_Variable,Transposition of terms,Transpose terms to the other side of a linear equation,"[""Linear expressions in one variable"", ""Left Hand Side (LHS) and Right Hand Side (RHS) of an equation"", ""Solutions of an equation""]","[""Identify the LHS and RHS of a given equation"", ""Verify whether a given value is a solution of an equation by substituting it""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""concept"": ""Transposing terms across the equality sign"", ""reason"": ""This chapter introduces the rule of moving a term across the equality sign, which Grade 8 extends and applies more generally.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""skill"": ""Solve equations by transposing terms from one side to the other"", ""reason"": ""The transposition technique itself was first taught and practised in this Grade 7 chapter.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""skill"": ""Explain the rule of transposing a term from one side of an equation to the other"", ""reason"": ""Understanding why sign changes occur when transposing is foundational before applying it to more complex Grade 8 equations.""}]"
CBSE,Maths,Grade 8,Chapter2_Linear_Equations_In_One_Variable,Solving equations with variables on both sides,Solve linear equations with variables on both sides using transposition,"[""Transposition of terms"", ""Solutions of an equation""]","[""Transpose terms to the other side of a linear equation""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""concept"": ""Transposing terms across the equality sign"", ""reason"": ""Derived from skill prerequisite: 'Solve equations by transposing terms from one side to the other' (in Grade 7/Chapter4_Simple_Equations) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""skill"": ""Solve equations by transposing terms from one side to the other"", ""reason"": ""Handling variables on both sides is a direct extension of the single-side transposition method already learned.""}]"
CBSE,Maths,Grade 8,Chapter2_Linear_Equations_In_One_Variable,Reducing equations to simpler form using LCM,Solve linear equations involving fractions by multiplying both sides by the LCM of denominators,"[""Solutions of an equation""]","[""Check the solution of a linear equation by substituting back into the original equation""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""concept"": ""Lowest Common Multiple"", ""reason"": ""Clearing fractional equations requires finding the LCM of the denominators, a technique first taught in this chapter.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter05_Prime_Time"", ""skill"": ""Determine the LCM of two or more numbers using common multiples"", ""reason"": ""Multiplying through by the LCM of denominators to clear fractions requires being able to compute the LCM of the given denominators.""}]"
CBSE,Maths,Grade 8,Chapter2_Linear_Equations_In_One_Variable,Simplifying equations by opening brackets and combining like terms,Solve linear equations involving brackets by opening and simplifying expressions,"[""Linear expressions in one variable""]","[""Identify whether an expression is linear or non-linear based on the highest power of the variable""]","[{""chapter"": ""Chapter8_Algebraic_Expressions_And_Identities"", ""concept"": ""Multiplying a monomial by a binomial using the distributive law"", ""reason"": ""Opening brackets in an equation is exactly the distributive-law expansion of a monomial times a binomial taught in that chapter.""}, {""chapter"": ""Chapter8_Algebraic_Expressions_And_Identities"", ""concept"": ""Like terms and unlike terms"", ""reason"": ""Combining like terms after expanding brackets requires already knowing how to identify which terms are alike.""}]","[{""chapter"": ""Chapter8_Algebraic_Expressions_And_Identities"", ""skill"": ""Apply distributive property to obtain the product of a monomial and a binomial"", ""reason"": ""Opening brackets in a linear equation uses the same distributive expansion procedure taught for multiplying a monomial by a binomial.""}, {""chapter"": ""Chapter8_Algebraic_Expressions_And_Identities"", ""skill"": ""Identify like and unlike terms in an algebraic expression"", ""reason"": ""After expanding brackets, simplifying the equation requires recognising and grouping like terms, a skill built in that chapter.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Like and unlike terms"", ""reason"": ""Combining like terms after opening brackets requires being able to recognise which terms are alike.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""concept"": ""Equations with brackets"", ""reason"": ""Grade 7 introduces solving equations that contain brackets, which Grade 8 builds on with more complex bracket simplification.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Addition and Subtraction of Algebraic Expressions"", ""reason"": ""Derived from skill prerequisite: 'Combine like terms to simplify a given algebraic expression' (in Grade 7/Chapter10_Algebraic_Expressions) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter4_Simple_Equations"", ""skill"": ""Solve simple equations involving brackets"", ""reason"": ""This exact procedure of expanding brackets in an equation before solving was introduced in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""skill"": ""Combine like terms to simplify a given algebraic expression"", ""reason"": ""After opening brackets, simplifying the resulting expression requires the ability to combine like terms.""}]"
