board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Adolescence and puberty,Define adolescence as a stage of growth and change,[],[],[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Adolescence and puberty,Identify the age range during which puberty occurs,[],"[""Define adolescence as a stage of growth and change""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Adolescence and puberty,Define puberty and describe its significance,[],"[""Define adolescence as a stage of growth and change""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Stages of human life,Sequence the stages of human life from infancy to old age,"[""Adolescence and puberty""]","[""Define adolescence as a stage of growth and change""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Physical changes during puberty,List the physical changes that occur in boys during puberty,"[""Adolescence and puberty""]",[],[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Physical changes during puberty,List the physical changes that occur in girls during puberty,"[""Adolescence and puberty""]",[],[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Physical changes during puberty,Compare physical changes occurring in boys and girls during puberty,"[""Adolescence and puberty""]","[""List the physical changes that occur in boys during puberty"", ""List the physical changes that occur in girls during puberty""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Physical changes during puberty,Explain the causes of pimples and acne during adolescence,"[""Adolescence and puberty""]",[],[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Secondary sexual characters,Explain the development of secondary sexual characters during puberty,"[""Physical changes during puberty"", ""Role of hormones""]","[""Explain the role of hormones in bringing about changes during puberty""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Secondary sexual characters,Distinguish between secondary sexual characteristics and reproductive changes,"[""Physical changes during puberty"", ""Role of hormones""]","[""Explain the development of secondary sexual characters during puberty"", ""Describe the function of testosterone in male reproductive development"", ""Describe the function of estrogen in female reproductive development""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Role of hormones,Explain the role of hormones in bringing about changes during puberty,"[""Endocrine glands""]",[],[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Role of hormones,Explain how the pituitary gland regulates the secretion of hormones during puberty,"[""Endocrine glands""]","[""Explain the role of hormones in bringing about changes during puberty""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Role of hormones,Describe the function of testosterone in male reproductive development,"[""Endocrine glands""]","[""Explain the role of hormones in bringing about changes during puberty"", ""Identify the endocrine glands responsible for producing hormones during puberty""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Role of hormones,Describe the function of estrogen in female reproductive development,"[""Endocrine glands""]","[""Explain the role of hormones in bringing about changes during puberty"", ""Identify the endocrine glands responsible for producing hormones during puberty""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Endocrine glands,Identify the endocrine glands responsible for producing hormones during puberty,[],[],[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Menstruation and menstrual cycle,Describe the process of menstruation in females,"[""Role of hormones"", ""Sex determination""]",[],[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Menstruation and menstrual cycle,Explain the phases of the menstrual cycle,"[""Role of hormones"", ""Sex determination""]","[""Describe the process of menstruation in females""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Menstruation and menstrual cycle,Relate the onset of menstruation to reproductive maturity in girls,"[""Role of hormones"", ""Sex determination""]","[""Describe the process of menstruation in females"", ""Explain the phases of the menstrual cycle""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Menstruation and menstrual cycle,Explain myths and misconceptions related to menstruation,"[""Role of hormones"", ""Sex determination""]","[""Describe the process of menstruation in females""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Myths and taboos about menstruation,Challenge common myths and taboos surrounding menstruation with scientific reasoning,"[""Menstruation and menstrual cycle""]","[""Explain myths and misconceptions related to menstruation""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Hygiene during adolescence,List hygiene practices to be followed during menstruation,"[""Menstruation and menstrual cycle""]","[""Describe the process of menstruation in females""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Hygiene during adolescence,Explain the importance of maintaining personal hygiene during adolescence,"[""Menstruation and menstrual cycle""]","[""List hygiene practices to be followed during menstruation""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Hygiene during adolescence,Discuss measures for maintaining reproductive health during adolescence,"[""Menstruation and menstrual cycle""]","[""Explain the importance of maintaining personal hygiene during adolescence""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Menstrual hygiene and government schemes,Identify government schemes related to menstrual hygiene,[],[],[],[],[],[]
CBSE,Science,Grade 7,Chapter06_Adolescence:_A_Stage_of_Growth_and_Change,Emotional and psychological changes in adolescence,Describe the emotional changes experienced during adolescence,[],[],[],[],[],[]
