board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 10,Chapter06_Triangles,Similar figures,Differentiate between congruent figures and similar figures,[],[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter8_Triangles"", ""concept"": ""Congruence of Figures"", ""reason"": ""Derived from skill prerequisite: 'Distinguish congruent figures from non-congruent figures using observable features' (in Grade 9/Chapter8_Triangles) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter8_Triangles"", ""skill"": ""Distinguish congruent figures from non-congruent figures using observable features"", ""reason"": ""A student must already be able to recognize congruent figures by their equal shape and size before learning to separate them from figures that are merely similar.""}]"
CBSE,Maths,Grade 10,Chapter06_Triangles,Similar figures,Identify examples of congruent versus similar figures from given shapes,[],"[""Differentiate between congruent figures and similar figures""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter8_Triangles"", ""concept"": ""Congruence of Figures"", ""reason"": ""Derived from skill prerequisite: 'Distinguish congruent figures from non-congruent figures using observable features' (in Grade 9/Chapter8_Triangles) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter8_Triangles"", ""skill"": ""Identify congruent figures by comparing their shape and size"", ""reason"": ""Recognizing congruent figures by comparing shape and size is a prerequisite skill for correctly sorting examples into congruent versus merely similar categories.""}]"
CBSE,Maths,Grade 10,Chapter06_Triangles,Conditions for similarity of polygons,State the conditions required for two polygons to be similar,"[""Similar figures""]",[],[],[],[],[]
CBSE,Maths,Grade 10,Chapter06_Triangles,Conditions for similarity of polygons,Identify whether two given polygons are similar based on corresponding angles and corresponding sides,"[""Similar figures""]","[""State the conditions required for two polygons to be similar""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter06_Triangles,Scale factor (Representative Fraction),Define scale factor and explain its use in maps and blueprints,[],[],[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter11_Direct_And_Inverse_Proportions"", ""concept"": ""Scale of a map and direct proportion"", ""reason"": ""Representative fraction/scale factor is a direct-proportionality constant relating corresponding lengths, a concept already established when studying map scale as direct proportion.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter11_Direct_And_Inverse_Proportions"", ""concept"": ""Direct Proportion"", ""reason"": ""Derived from skill prerequisite: 'Calculate the constant of proportionality relating two directly proportional quantities' (in Grade 8/Chapter11_Direct_And_Inverse_Proportions) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 10,Chapter06_Triangles,Scale factor (Representative Fraction),Calculate the scale factor between two similar figures,[],"[""Define scale factor and explain its use in maps and blueprints""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter11_Direct_And_Inverse_Proportions"", ""concept"": ""Scale of a map and direct proportion"", ""reason"": ""Representative fraction/scale factor is a direct-proportionality constant relating corresponding lengths, a concept already established when studying map scale as direct proportion.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter11_Direct_And_Inverse_Proportions"", ""concept"": ""Direct Proportion"", ""reason"": ""Derived from skill prerequisite: 'Calculate the constant of proportionality relating two directly proportional quantities' (in Grade 8/Chapter11_Direct_And_Inverse_Proportions) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter11_Direct_And_Inverse_Proportions"", ""skill"": ""Calculate the constant of proportionality relating two directly proportional quantities"", ""reason"": ""The scale factor between similar figures is exactly the constant of proportionality between corresponding measurements, a skill already built with direct proportion.""}]"
CBSE,Maths,Grade 10,Chapter06_Triangles,Scale factor (Representative Fraction),Apply scale factor to determine unknown dimensions of a similar figure,[],"[""Calculate the scale factor between two similar figures""]",[],[],"[{""grade"": ""Grade 8"", ""chapter"": ""Chapter11_Direct_And_Inverse_Proportions"", ""concept"": ""Scale of a map and direct proportion"", ""reason"": ""Representative fraction/scale factor is a direct-proportionality constant relating corresponding lengths, a concept already established when studying map scale as direct proportion.""}, {""grade"": ""Grade 8"", ""chapter"": ""Chapter11_Direct_And_Inverse_Proportions"", ""concept"": ""Direct Proportion"", ""reason"": ""Derived from skill prerequisite: 'Calculate the constant of proportionality relating two directly proportional quantities' (in Grade 8/Chapter11_Direct_And_Inverse_Proportions) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 8"", ""chapter"": ""Chapter11_Direct_And_Inverse_Proportions"", ""skill"": ""Solve for a missing value by converting a direct proportion statement into an equation"", ""reason"": ""Finding an unknown dimension using a scale factor is the same procedure as solving a direct-proportion equation for a missing value.""}]"
CBSE,Maths,Grade 10,Chapter06_Triangles,Similarity of triangles,Compute the angles and ratio of sides of triangles,"[""Conditions for similarity of polygons""]",[],[],[],[],[]
CBSE,Maths,Grade 10,Chapter06_Triangles,Similarity of triangles,Determine whether given triangles are similar using angle and side ratio comparisons,"[""Conditions for similarity of polygons""]","[""Compute the angles and ratio of sides of triangles""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter06_Triangles,Basic Proportionality Theorem (Thales Theorem),State the Basic Proportionality Theorem,"[""Similarity of triangles""]",[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter10_Herons_Formula"", ""concept"": ""Area of a triangle using the basic formula (half base times height)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the area of a triangle using the formula Area = ½ × base × height' (in Grade 9/Chapter10_Herons_Formula) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 10,Chapter06_Triangles,Basic Proportionality Theorem (Thales Theorem),Prove the Basic Proportionality Theorem using area of triangles,"[""Similarity of triangles""]","[""State the Basic Proportionality Theorem""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter10_Herons_Formula"", ""concept"": ""Area of a triangle using the basic formula (half base times height)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the area of a triangle using the formula Area = ½ × base × height' (in Grade 9/Chapter10_Herons_Formula) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter10_Herons_Formula"", ""skill"": ""Calculate the area of a triangle using the formula Area = ½ × base × height"", ""reason"": ""The standard proof of the Basic Proportionality Theorem compares areas of triangles with the same height, which requires fluency with the base-height area formula.""}]"
CBSE,Maths,Grade 10,Chapter06_Triangles,Basic Proportionality Theorem (Thales Theorem),Apply the Basic Proportionality Theorem to find unknown lengths in triangles,"[""Similarity of triangles""]","[""State the Basic Proportionality Theorem"", ""Prove the Basic Proportionality Theorem using area of triangles""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter10_Herons_Formula"", ""concept"": ""Area of a triangle using the basic formula (half base times height)"", ""reason"": ""Derived from skill prerequisite: 'Calculate the area of a triangle using the formula Area = ½ × base × height' (in Grade 9/Chapter10_Herons_Formula) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 10,Chapter06_Triangles,Converse of Basic Proportionality Theorem,State the Converse of the Basic Proportionality Theorem,"[""Basic Proportionality Theorem (Thales Theorem)""]",[],[],[],[],[]
CBSE,Maths,Grade 10,Chapter06_Triangles,Converse of Basic Proportionality Theorem,Prove the Converse of the Basic Proportionality Theorem,"[""Basic Proportionality Theorem (Thales Theorem)""]","[""State the Converse of the Basic Proportionality Theorem"", ""Apply the Basic Proportionality Theorem to find unknown lengths in triangles""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter06_Triangles,Converse of Basic Proportionality Theorem,Apply the Converse of the Basic Proportionality Theorem to determine the ratio of sides in a triangle,"[""Basic Proportionality Theorem (Thales Theorem)""]","[""Prove the Converse of the Basic Proportionality Theorem""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter06_Triangles,Converse of Basic Proportionality Theorem,Apply the Converse of the Basic Proportionality Theorem to determine if a line is parallel to a side of a triangle,"[""Basic Proportionality Theorem (Thales Theorem)""]","[""Prove the Converse of the Basic Proportionality Theorem""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter06_Triangles,AAA (Angle-Angle-Angle) similarity criterion,Apply the AAA similarity criterion to establish similarity between two triangles,"[""Similarity of triangles""]","[""Determine whether given triangles are similar using angle and side ratio comparisons""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter8_Triangles"", ""concept"": ""Some More Criteria for Congruence of Triangles"", ""reason"": ""Derived from skill prerequisite: 'Explain why AAA and SSA are not sufficient criteria for congruence of triangles' (in Grade 9/Chapter8_Triangles) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter8_Triangles"", ""skill"": ""Explain why AAA and SSA are not sufficient criteria for congruence of triangles"", ""reason"": ""Students must first understand that AAA does not guarantee congruence in order to correctly grasp that it guarantees only similarity.""}]"
CBSE,Maths,Grade 10,Chapter06_Triangles,AA (Angle-Angle) similarity criterion,Apply the AA similarity criterion to establish similarity between two triangles,"[""Similarity of triangles""]","[""Determine whether given triangles are similar using angle and side ratio comparisons""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter6_Lines_And_Angles"", ""concept"": ""Angle Sum Property of a Triangle"", ""reason"": ""The AA criterion works because two equal angles force the third angle to be equal too, a fact that follows directly from the triangle angle-sum property.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter6_Lines_And_Angles"", ""skill"": ""Calculate an unknown angle of a triangle by applying the angle sum property"", ""reason"": ""The AA criterion's validity depends on the fact that two known equal angles force the third angle to be equal, which relies on the angle sum property skill.""}]"
CBSE,Maths,Grade 10,Chapter06_Triangles,SSS (Side-Side-Side) similarity criterion,Apply the SSS similarity criterion to establish similarity between two triangles,"[""Similarity of triangles""]","[""Determine whether given triangles are similar using angle and side ratio comparisons""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter8_Triangles"", ""concept"": ""Criteria for Congruence of Triangles"", ""reason"": ""The SSS similarity criterion is a direct generalisation of the SSS congruence rule, replacing equal sides with proportional sides, so the congruence version must already be known.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter8_Triangles"", ""skill"": ""State the criteria for congruence of triangles (SAS, ASA, AAS, SSS, RHS) as given in the source"", ""reason"": ""Applying SSS similarity relies on recognizing the analogous SSS congruence structure already learned, but with proportional instead of equal sides.""}]"
