board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 10,Chapter09_Some_Applications_Of_Trigonometry,Line of sight,Identify the line of sight in a given height-and-distance situation,[],[],[],[],[],[]
CBSE,Maths,Grade 10,Chapter09_Some_Applications_Of_Trigonometry,Angle of elevation,Determine the angle of elevation for a given object or observer position,"[""Line of sight"", ""Angle of depression""]",[],[],[],[],[]
CBSE,Maths,Grade 10,Chapter09_Some_Applications_Of_Trigonometry,Angle of depression,Determine the angle of depression for a given object or observer position,"[""Line of sight"", ""Angle of elevation""]",[],[],[],[],[]
CBSE,Maths,Grade 10,Chapter09_Some_Applications_Of_Trigonometry,Line of sight,"Define line of sight, angle of elevation, and angle of depression",[],"[""Identify the line of sight in a given height-and-distance situation""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter09_Some_Applications_Of_Trigonometry,Angle of elevation,Distinguish between angle of elevation and angle of depression with examples,"[""Line of sight"", ""Angle of depression""]","[""Determine the angle of elevation for a given object or observer position"", ""Determine the angle of depression for a given object or observer position""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter09_Some_Applications_Of_Trigonometry,Angle of depression,Distinguish between angle of elevation and angle of depression with examples,"[""Line of sight"", ""Angle of elevation""]","[""Determine the angle of elevation for a given object or observer position"", ""Determine the angle of depression for a given object or observer position""]",[],[],[],[]
CBSE,Maths,Grade 10,Chapter09_Some_Applications_Of_Trigonometry,Heights and distances,Convert a real-life height or distance problem into a right-triangle diagram with labelled angles and sides,"[""Line of sight"", ""Angle of elevation"", ""Angle of depression"", ""Right triangle formation in height and distance problems"", ""Application of trigonometric ratios to real-life problems"", ""Alternate angles in parallel line configurations""]","[""Draw and label a diagram representing a real-life height and distance problem"", ""Identify the line of sight in a given height-and-distance situation"", ""Determine the angle of elevation for a given object or observer position"", ""Determine the angle of depression for a given object or observer position""]","[{""chapter"": ""Chapter08_Introduction_To_Trigonometry"", ""concept"": ""Trigonometric Ratios of Some Specific Angles"", ""reason"": ""Derived from skill prerequisite: 'Calculate the trigonometric ratios of 0°, 30°, 45°, 60° and 90°' (in Chapter08_Introduction_To_Trigonometry) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter08_Introduction_To_Trigonometry"", ""concept"": ""Trigonometric Ratios"", ""reason"": ""Derived from skill prerequisite: 'Define sine, cosine, tangent, cosecant, secant and cotangent of an angle' (in Chapter08_Introduction_To_Trigonometry) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter08_Introduction_To_Trigonometry"", ""skill"": ""Identify the opposite side, adjacent side, and hypotenuse with respect to a given angle in a right triangle"", ""reason"": ""Correctly labelling the diagram's sides relative to the angle of elevation/depression requires already knowing how to identify opposite, adjacent, and hypotenuse.""}]",[],[]
CBSE,Maths,Grade 10,Chapter09_Some_Applications_Of_Trigonometry,Heights and distances,Apply appropriate trigonometric ratios of specific angles to set up an equation for the unknown height or distance,"[""Line of sight"", ""Angle of elevation"", ""Angle of depression"", ""Right triangle formation in height and distance problems"", ""Application of trigonometric ratios to real-life problems"", ""Alternate angles in parallel line configurations""]","[""Convert a real-life height or distance problem into a right-triangle diagram with labelled angles and sides"", ""Identify the appropriate trigonometric ratio (sin, cos, tan, cot) to use in a given height and distance problem""]","[{""chapter"": ""Chapter08_Introduction_To_Trigonometry"", ""concept"": ""Trigonometric Ratios of Some Specific Angles"", ""reason"": ""Derived from skill prerequisite: 'Calculate the trigonometric ratios of 0°, 30°, 45°, 60° and 90°' (in Chapter08_Introduction_To_Trigonometry) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter08_Introduction_To_Trigonometry"", ""concept"": ""Trigonometric Ratios"", ""reason"": ""Derived from skill prerequisite: 'Define sine, cosine, tangent, cosecant, secant and cotangent of an angle' (in Chapter08_Introduction_To_Trigonometry) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter08_Introduction_To_Trigonometry"", ""skill"": ""Calculate the trigonometric ratios of 0°, 30°, 45°, 60° and 90°"", ""reason"": ""Setting up the equation requires knowing the exact numeric values of the trigonometric ratios for the specific angle given in the problem.""}, {""chapter"": ""Chapter08_Introduction_To_Trigonometry"", ""skill"": ""Apply the trigonometric ratios of specific angles to solve problems involving different angles"", ""reason"": ""This is the direct prior skill of using known ratio values in an equation, which the height-distance equation setup builds upon.""}]",[],[]
CBSE,Maths,Grade 10,Chapter09_Some_Applications_Of_Trigonometry,Heights and distances,Calculate the height of an object using the established trigonometric equation,"[""Line of sight"", ""Angle of elevation"", ""Angle of depression"", ""Right triangle formation in height and distance problems"", ""Application of trigonometric ratios to real-life problems"", ""Alternate angles in parallel line configurations""]","[""Apply appropriate trigonometric ratios of specific angles to set up an equation for the unknown height or distance""]","[{""chapter"": ""Chapter08_Introduction_To_Trigonometry"", ""concept"": ""Trigonometric Ratios of Some Specific Angles"", ""reason"": ""Derived from skill prerequisite: 'Calculate the trigonometric ratios of 0°, 30°, 45°, 60° and 90°' (in Chapter08_Introduction_To_Trigonometry) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter08_Introduction_To_Trigonometry"", ""concept"": ""Trigonometric Ratios"", ""reason"": ""Derived from skill prerequisite: 'Define sine, cosine, tangent, cosecant, secant and cotangent of an angle' (in Chapter08_Introduction_To_Trigonometry) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter08_Introduction_To_Trigonometry"", ""skill"": ""Define sine, cosine, tangent, cosecant, secant and cotangent of an angle"", ""reason"": ""Solving the equation for height requires understanding what the ratio (e.g., tan) actually represents in terms of opposite and adjacent sides.""}]",[],[]
CBSE,Maths,Grade 10,Chapter09_Some_Applications_Of_Trigonometry,Heights and distances,Calculate the distance between an object and an observation point using the established trigonometric equation,"[""Line of sight"", ""Angle of elevation"", ""Angle of depression"", ""Right triangle formation in height and distance problems"", ""Application of trigonometric ratios to real-life problems"", ""Alternate angles in parallel line configurations""]","[""Apply appropriate trigonometric ratios of specific angles to set up an equation for the unknown height or distance""]","[{""chapter"": ""Chapter08_Introduction_To_Trigonometry"", ""concept"": ""Trigonometric Ratios of Some Specific Angles"", ""reason"": ""Derived from skill prerequisite: 'Calculate the trigonometric ratios of 0°, 30°, 45°, 60° and 90°' (in Chapter08_Introduction_To_Trigonometry) is a prerequisite of a skill under this concept.""}, {""chapter"": ""Chapter08_Introduction_To_Trigonometry"", ""concept"": ""Trigonometric Ratios"", ""reason"": ""Derived from skill prerequisite: 'Define sine, cosine, tangent, cosecant, secant and cotangent of an angle' (in Chapter08_Introduction_To_Trigonometry) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter08_Introduction_To_Trigonometry"", ""skill"": ""Define sine, cosine, tangent, cosecant, secant and cotangent of an angle"", ""reason"": ""Solving for distance from the trigonometric equation requires understanding the ratio's definition in terms of sides of the right triangle.""}]",[],[]
