board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 3,Chapter1_Whats_in_a_Name,Symmetrical geometric patterns using a dot grid,Identify symmetrical patterns on a dot grid,[],[],[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Symmetric and mirror image recognition"", ""reason"": ""Recognising that a mirror image is an exact reflected match of a figure is the basic idea a student must already grasp before identifying or constructing symmetrical dot-grid patterns.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 9"", ""concept"": ""Patterns using shapes and objects"", ""reason"": ""Derived from skill prerequisite: 'Complete missing elements in a shape or object pattern' (in Grade 1/Chapter 9) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""skill"": ""Identify the mirror image of a given shape or picture"", ""reason"": ""Spotting a symmetrical pattern requires the same reflective-matching judgement already practised when identifying mirror images.""}]"
CBSE,Maths,Grade 3,Chapter1_Whats_in_a_Name,Symmetrical geometric patterns using a dot grid,Construct a symmetrical geometric pattern on a dot grid,[],"[{""item"": ""Identify symmetrical patterns on a dot grid"", ""reason"": ""A student must be able to recognize the mirror structure first so they can place matching parts correctly when constructing the full pattern.""}]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Symmetric and mirror image recognition"", ""reason"": ""Recognising that a mirror image is an exact reflected match of a figure is the basic idea a student must already grasp before identifying or constructing symmetrical dot-grid patterns.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 9"", ""concept"": ""Patterns using shapes and objects"", ""reason"": ""Derived from skill prerequisite: 'Complete missing elements in a shape or object pattern' (in Grade 1/Chapter 9) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""skill"": ""Identify the mirror image of a given shape or picture"", ""reason"": ""Constructing a symmetrical pattern requires understanding what a mirrored/reflected image looks like, which this earlier skill establishes.""}]"
CBSE,Maths,Grade 3,Chapter1_Whats_in_a_Name,Symmetrical geometric patterns using a dot grid,Complete a partially drawn symmetrical pattern on a dot grid,[],"[{""item"": ""Identify symmetrical patterns on a dot grid"", ""reason"": ""Filling in the missing parts requires knowing where the pattern should mirror across the line of symmetry.""}]",[],[],"[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""concept"": ""Symmetric and mirror image recognition"", ""reason"": ""Recognising that a mirror image is an exact reflected match of a figure is the basic idea a student must already grasp before identifying or constructing symmetrical dot-grid patterns.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 9"", ""concept"": ""Patterns using shapes and objects"", ""reason"": ""Derived from skill prerequisite: 'Complete missing elements in a shape or object pattern' (in Grade 1/Chapter 9) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 1"", ""chapter"": ""Chapter 13"", ""skill"": ""Identify the mirror image of a given shape or picture"", ""reason"": ""Completing the missing half of a symmetrical figure depends on already being able to judge what a correct mirror image looks like.""}, {""grade"": ""Grade 1"", ""chapter"": ""Chapter 9"", ""skill"": ""Complete missing elements in a shape or object pattern"", ""reason"": ""Filling in the missing part of a partially drawn pattern relies on the previously learned skill of completing missing elements in a pattern.""}]"
CBSE,Maths,Grade 3,Chapter1_Whats_in_a_Name,2D shapes: identification and construction,Identify 2D shapes by paper folding,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Basic 2D shapes: circle, rectangle, triangle, square"", ""reason"": ""Students need to already recognise the basic named 2D shapes before they can identify and construct these same shapes on a dot grid.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Origami and folding shapes"", ""reason"": ""Derived from skill prerequisite: 'Predict the shape obtained by folding a square sheet of paper' (in Grade 2/Chapter4_Shadow_Story) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter5_Playing_with_Lines"", ""concept"": ""Recognising shapes with straight and curved lines"", ""reason"": ""Derived from skill prerequisite: 'Draw a simple shape or figure using only straight lines and a different shape using only curved lines' (in Grade 2/Chapter5_Playing_with_Lines) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""skill"": ""Predict the shape obtained by folding a square sheet of paper"", ""reason"": ""Identifying a 2D shape produced by paper folding relies on the earlier practice of predicting the shape that results from folding paper.""}]"
CBSE,Maths,Grade 3,Chapter1_Whats_in_a_Name,2D shapes: identification and construction,Construct 2D shapes by paper cutting on a dot grid,[],"[{""item"": ""Identify 2D shapes by paper folding"", ""reason"": ""To cut a shape accurately on a dot grid, a student first needs to recognize the shape structure and symmetry that folding reveals.""}]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Basic 2D shapes: circle, rectangle, triangle, square"", ""reason"": ""Students need to already recognise the basic named 2D shapes before they can identify and construct these same shapes on a dot grid.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Origami and folding shapes"", ""reason"": ""Derived from skill prerequisite: 'Predict the shape obtained by folding a square sheet of paper' (in Grade 2/Chapter4_Shadow_Story) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter5_Playing_with_Lines"", ""concept"": ""Recognising shapes with straight and curved lines"", ""reason"": ""Derived from skill prerequisite: 'Draw a simple shape or figure using only straight lines and a different shape using only curved lines' (in Grade 2/Chapter5_Playing_with_Lines) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 3,Chapter1_Whats_in_a_Name,2D shapes: identification and construction,Construct 2D shapes using straight lines,[],"[{""item"": ""Construct 2D shapes by paper cutting on a dot grid"", ""reason"": ""Drawing a shape with straight lines depends on already understanding how the same shape is formed from connected edges and vertices.""}]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Basic 2D shapes: circle, rectangle, triangle, square"", ""reason"": ""Students need to already recognise the basic named 2D shapes before they can identify and construct these same shapes on a dot grid.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Origami and folding shapes"", ""reason"": ""Derived from skill prerequisite: 'Predict the shape obtained by folding a square sheet of paper' (in Grade 2/Chapter4_Shadow_Story) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter5_Playing_with_Lines"", ""concept"": ""Recognising shapes with straight and curved lines"", ""reason"": ""Derived from skill prerequisite: 'Draw a simple shape or figure using only straight lines and a different shape using only curved lines' (in Grade 2/Chapter5_Playing_with_Lines) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter5_Playing_with_Lines"", ""skill"": ""Draw a simple shape or figure using only straight lines and a different shape using only curved lines"", ""reason"": ""Drawing a 2D shape using straight lines requires the previously learned ability to construct figures using straight lines.""}]"
CBSE,Maths,Grade 3,Chapter1_Whats_in_a_Name,"2D shapes: description by sides, corners and diagonals",Identify the number of sides of a given 2D shape,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Properties of shapes: corners, edges, and sides"", ""reason"": ""Describing a shape by its sides and corners builds directly on the earlier introduction of these same shape properties.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""skill"": ""Compare shapes based on their number of sides"", ""reason"": ""Counting the sides of a shape builds on the earlier practice of comparing shapes by their number of sides.""}]"
CBSE,Maths,Grade 3,Chapter1_Whats_in_a_Name,"2D shapes: description by sides, corners and diagonals",Identify the number of corners of a given 2D shape,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Properties of shapes: corners, edges, and sides"", ""reason"": ""Describing a shape by its sides and corners builds directly on the earlier introduction of these same shape properties.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""skill"": ""Count the number of corners and edges of 2D shapes"", ""reason"": ""Counting the corners of a shape directly extends the earlier practised skill of counting corners and edges of 2D shapes.""}]"
CBSE,Maths,Grade 3,Chapter1_Whats_in_a_Name,"2D shapes: description by sides, corners and diagonals",Determine the number of diagonals in a given 2D shape,[],[],[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Properties of shapes: corners, edges, and sides"", ""reason"": ""Describing a shape by its sides and corners builds directly on the earlier introduction of these same shape properties.""}]",[]
CBSE,Maths,Grade 3,Chapter1_Whats_in_a_Name,"2D shapes: description by sides, corners and diagonals","Describe a 2D shape using its sides, corners and diagonals",[],"[{""item"": ""Identify the number of sides of a given 2D shape"", ""reason"": ""A full description of a shape needs the learner to count its edges accurately before they can state its properties.""}, {""item"": ""Identify the number of corners of a given 2D shape"", ""reason"": ""A full description of a shape needs the learner to count its vertices accurately before they can state its properties.""}, {""item"": ""Determine the number of diagonals in a given 2D shape"", ""reason"": ""Describing a shape by diagonals requires first being able to identify and count those diagonals correctly.""}]",[],[],"[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""concept"": ""Properties of shapes: corners, edges, and sides"", ""reason"": ""Describing a shape by its sides and corners builds directly on the earlier introduction of these same shape properties.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter4_Shadow_Story"", ""skill"": ""Count the number of corners and edges of 2D shapes"", ""reason"": ""Describing a shape by its sides and corners requires the previously learned ability to count these features on 2D shapes.""}]"
