board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 10,Chapter11_Areas_Related_To_Cricles,Sector of a circle (minor and major sector),Define sector and distinguish between minor and major sectors of a circle,[],[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter9_Circles"", ""concept"": ""Circles and its Related Terms: A Review"", ""reason"": ""A sector is defined as the region bounded by two radii and an arc, so the student must already know what an arc and radius of a circle are.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter9_Circles"", ""skill"": ""Define radius, chord, diameter, segment, arc, interior and exterior of a circle"", ""reason"": ""Defining a sector requires already knowing what an arc and a radius of a circle are, which were defined in this earlier chapter.""}]"
CBSE,Maths,Grade 10,Chapter11_Areas_Related_To_Cricles,Segment of a circle (minor and major segment),Define segment and distinguish between minor and major segments of a circle,[],[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter9_Circles"", ""concept"": ""Circles and its Related Terms: A Review"", ""reason"": ""A segment is defined as the region bounded by a chord and an arc, which requires already knowing the terms chord, arc and segment.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter9_Circles"", ""skill"": ""Define radius, chord, diameter, segment, arc, interior and exterior of a circle"", ""reason"": ""Defining a segment requires already knowing what a chord and an arc of a circle are, which were defined in this earlier chapter.""}]"
CBSE,Maths,Grade 10,Chapter11_Areas_Related_To_Cricles,Angle of a sector,Identify the angle subtended by a sector at the centre of the circle,"[""Sector of a circle (minor and major sector)"", ""Area of a sector formula"", ""Length of an arc of a sector formula""]",[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter9_Circles"", ""concept"": ""Angle subtended by a chord at the centre"", ""reason"": ""The angle of a sector is the central angle between two radii, the same idea as the angle a chord/arc subtends at the centre studied earlier.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter9_Circles"", ""skill"": ""Define the angle subtended by a chord at the centre of a circle"", ""reason"": ""Recognising the sector's central angle relies on the earlier concept of an angle formed at the centre by radii/chords of a circle.""}]"
CBSE,Maths,Grade 10,Chapter11_Areas_Related_To_Cricles,Angle of a sector,Calculate the angle of a sector given the arc length or area of the sector,"[""Sector of a circle (minor and major sector)"", ""Area of a sector formula"", ""Length of an arc of a sector formula""]","[""Identify the angle subtended by a sector at the centre of the circle"", ""State the formula for the area of a sector given radius and angle in degrees"", ""State the formula for the length of an arc given radius and angle in degrees""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter9_Circles"", ""concept"": ""Angle subtended by a chord at the centre"", ""reason"": ""The angle of a sector is the central angle between two radii, the same idea as the angle a chord/arc subtends at the centre studied earlier.""}]",[]
CBSE,Maths,Grade 10,Chapter11_Areas_Related_To_Cricles,Angle of a sector,Apply the angle of a sector to determine whether the sector is minor or major,"[""Sector of a circle (minor and major sector)"", ""Area of a sector formula"", ""Length of an arc of a sector formula""]","[""Identify the angle subtended by a sector at the centre of the circle""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter9_Circles"", ""concept"": ""Angle subtended by a chord at the centre"", ""reason"": ""The angle of a sector is the central angle between two radii, the same idea as the angle a chord/arc subtends at the centre studied earlier.""}]",[]
CBSE,Maths,Grade 10,Chapter11_Areas_Related_To_Cricles,Area of a sector formula,State the formula for the area of a sector given radius and angle in degrees,"[""Angle of a sector""]",[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of a circle"", ""reason"": ""The sector area formula is derived as a proportional fraction (angle/360) of the full circle's area formula πr².""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""skill"": ""Develop and apply the formula to find the area of a circle"", ""reason"": ""The sector area formula is built directly from the full circle area formula scaled by the angle fraction, so the circle area formula must already be known.""}]"
CBSE,Maths,Grade 10,Chapter11_Areas_Related_To_Cricles,Area of a sector formula,Identify the correct formula for the area of a sector from given options,"[""Angle of a sector""]","[""State the formula for the area of a sector given radius and angle in degrees""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of a circle"", ""reason"": ""The sector area formula is derived as a proportional fraction (angle/360) of the full circle's area formula πr².""}]",[]
CBSE,Maths,Grade 10,Chapter11_Areas_Related_To_Cricles,Area of a sector formula,Calculate the area of a sector of a circle given its radius and central angle,"[""Angle of a sector""]","[""State the formula for the area of a sector given radius and angle in degrees""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Area of a circle"", ""reason"": ""The sector area formula is derived as a proportional fraction (angle/360) of the full circle's area formula πr².""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""skill"": ""Develop and apply the formula to find the area of a circle"", ""reason"": ""Computing a sector's area requires substituting into the circle area formula scaled by the central angle, which depends on already knowing that formula.""}]"
CBSE,Maths,Grade 10,Chapter11_Areas_Related_To_Cricles,Length of an arc of a sector formula,State the formula for the length of an arc given radius and angle in degrees,"[""Angle of a sector""]",[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Circumference of a circle"", ""reason"": ""The arc length formula is derived as a proportional fraction (angle/360) of the full circle's circumference formula.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""skill"": ""Calculate the circumference of a circle using direct or indirect methods"", ""reason"": ""The arc length formula is derived as a fraction of the circle's circumference, which requires the circumference formula as a base.""}]"
CBSE,Maths,Grade 10,Chapter11_Areas_Related_To_Cricles,Length of an arc of a sector formula,Calculate the length of an arc of a sector given its radius and central angle,"[""Angle of a sector""]","[""State the formula for the length of an arc given radius and angle in degrees""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""concept"": ""Circumference of a circle"", ""reason"": ""The arc length formula is derived as a proportional fraction (angle/360) of the full circle's circumference formula.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter9_Perimeter_And_Area"", ""skill"": ""Calculate the circumference of a circle using direct or indirect methods"", ""reason"": ""Finding an arc length numerically requires applying the circle's circumference formula scaled by the given central angle.""}]"
