board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 5,Chapter04_Parts_Nd_A_Wholes,Fractions as Equal Parts of a Whole,Identify whether a shape or object is divided into equal parts,[],[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Checking if shapes are divided into equal parts"", ""reason"": ""Recognising that a whole must be split into equal-sized parts before a fraction can be named is the exact judgement introduced in this Grade 4 concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Halves and quarters"", ""reason"": ""Derived from skill prerequisite: 'Divide shapes into equal parts such as halves and quarters' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Writing fractions using symbols"", ""reason"": ""Derived from skill prerequisite: 'Write fractions using correct symbols and notation' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Identifying fractions from shaded/coloured pictures"", ""reason"": ""Derived from skill prerequisite: 'Identify the fraction represented by a coloured or shaded part of a diagram' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""skill"": ""Determine whether a shape has been divided into equal parts"", ""reason"": ""This is the identical judgement skill taught a year earlier, which Grade 5 assumes as already mastered.""}]"
CBSE,Maths,Grade 5,Chapter04_Parts_Nd_A_Wholes,Fractions as Equal Parts of a Whole,"Divide rectangles, circles, triangles, and squares into equal parts in different ways",[],"[""Identify whether a shape or object is divided into equal parts""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Checking if shapes are divided into equal parts"", ""reason"": ""Recognising that a whole must be split into equal-sized parts before a fraction can be named is the exact judgement introduced in this Grade 4 concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Halves and quarters"", ""reason"": ""Derived from skill prerequisite: 'Divide shapes into equal parts such as halves and quarters' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Writing fractions using symbols"", ""reason"": ""Derived from skill prerequisite: 'Write fractions using correct symbols and notation' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Identifying fractions from shaded/coloured pictures"", ""reason"": ""Derived from skill prerequisite: 'Identify the fraction represented by a coloured or shaded part of a diagram' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""skill"": ""Divide shapes into equal parts such as halves and quarters"", ""reason"": ""Grade 4 practice folding/cutting shapes into halves and quarters is the direct precursor to dividing varied shapes into any number of equal parts.""}]"
CBSE,Maths,Grade 5,Chapter04_Parts_Nd_A_Wholes,Fractions as Equal Parts of a Whole,Express parts of a whole as fractions using correct notation,[],"[""Identify whether a shape or object is divided into equal parts""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Checking if shapes are divided into equal parts"", ""reason"": ""Recognising that a whole must be split into equal-sized parts before a fraction can be named is the exact judgement introduced in this Grade 4 concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Halves and quarters"", ""reason"": ""Derived from skill prerequisite: 'Divide shapes into equal parts such as halves and quarters' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Writing fractions using symbols"", ""reason"": ""Derived from skill prerequisite: 'Write fractions using correct symbols and notation' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Identifying fractions from shaded/coloured pictures"", ""reason"": ""Derived from skill prerequisite: 'Identify the fraction represented by a coloured or shaded part of a diagram' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""skill"": ""Write fractions using correct symbols and notation"", ""reason"": ""The numerator-denominator writing convention was already established in this Grade 4 skill.""}]"
CBSE,Maths,Grade 5,Chapter04_Parts_Nd_A_Wholes,Fractions as Equal Parts of a Whole,Identify what fraction of a shape is coloured or uncoloured,[],"[""Express parts of a whole as fractions using correct notation""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Checking if shapes are divided into equal parts"", ""reason"": ""Recognising that a whole must be split into equal-sized parts before a fraction can be named is the exact judgement introduced in this Grade 4 concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Halves and quarters"", ""reason"": ""Derived from skill prerequisite: 'Divide shapes into equal parts such as halves and quarters' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Writing fractions using symbols"", ""reason"": ""Derived from skill prerequisite: 'Write fractions using correct symbols and notation' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Identifying fractions from shaded/coloured pictures"", ""reason"": ""Derived from skill prerequisite: 'Identify the fraction represented by a coloured or shaded part of a diagram' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""skill"": ""Identify the fraction represented by a coloured or shaded part of a diagram"", ""reason"": ""This is the same reading-a-shaded-diagram skill practiced a year earlier.""}]"
CBSE,Maths,Grade 5,Chapter04_Parts_Nd_A_Wholes,Unit Fractions,"Identify unit fractions such as one-half, one-third, one-fourth, one-fifth, one-sixth, and one-eighth","[""Fractions as Equal Parts of a Whole""]",[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Halves and quarters"", ""reason"": ""Understanding halves and quarters as single equal parts of a whole is the foundational case that is generalised to all unit fractions in Grade 5.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""skill"": ""Identify halves and quarters of an object"", ""reason"": ""Recognising halves and quarters as single equal parts is the foundational case extended to identifying all unit fractions.""}]"
CBSE,Maths,Grade 5,Chapter04_Parts_Nd_A_Wholes,Unit Fractions,Represent a given unit fraction by shading a diagram,"[""Fractions as Equal Parts of a Whole""]","[""Identify unit fractions such as one-half, one-third, one-fourth, one-fifth, one-sixth, and one-eighth""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Halves and quarters"", ""reason"": ""Understanding halves and quarters as single equal parts of a whole is the foundational case that is generalised to all unit fractions in Grade 5.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""skill"": ""Shade a given fraction of a whole shape to show a half or a quarter"", ""reason"": ""Shading halves and quarters of a shape in Grade 4 is the direct precursor to shading any given unit fraction.""}]"
CBSE,Maths,Grade 5,Chapter04_Parts_Nd_A_Wholes,Unit Fractions,Write a unit fraction in correct numerator-denominator notation,"[""Fractions as Equal Parts of a Whole""]","[""Identify unit fractions such as one-half, one-third, one-fourth, one-fifth, one-sixth, and one-eighth""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Halves and quarters"", ""reason"": ""Understanding halves and quarters as single equal parts of a whole is the foundational case that is generalised to all unit fractions in Grade 5.""}]",[]
CBSE,Maths,Grade 5,Chapter04_Parts_Nd_A_Wholes,Non-Unit Fractions,Identify non-unit fractions such as two-fifths and three-fourths,"[""Unit Fractions""]",[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Identifying fractions from shaded/coloured pictures"", ""reason"": ""Reading multi-part shaded regions as fractions in Grade 4 is the skill extended to naming non-unit fractions like two-fifths in Grade 5.""}]",[]
CBSE,Maths,Grade 5,Chapter04_Parts_Nd_A_Wholes,Non-Unit Fractions,Represent a given non-unit fraction by shading a diagram,"[""Unit Fractions""]","[""Represent a given unit fraction by shading a diagram""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Identifying fractions from shaded/coloured pictures"", ""reason"": ""Reading multi-part shaded regions as fractions in Grade 4 is the skill extended to naming non-unit fractions like two-fifths in Grade 5.""}]",[]
CBSE,Maths,Grade 5,Chapter04_Parts_Nd_A_Wholes,Non-Unit Fractions,Distinguish a non-unit fraction from a unit fraction of the same whole,"[""Unit Fractions""]","[""Identify unit fractions such as one-half, one-third, one-fourth, one-fifth, one-sixth, and one-eighth"", ""Identify non-unit fractions such as two-fifths and three-fourths""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Identifying fractions from shaded/coloured pictures"", ""reason"": ""Reading multi-part shaded regions as fractions in Grade 4 is the skill extended to naming non-unit fractions like two-fifths in Grade 5.""}]",[]
