board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 6,Chapter07_Fractions,Concept of Fraction,Identify a fraction as a part of a whole in a given situation,[],[],[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Parts_Nd_A_Wholes"", ""concept"": ""Fractions as Equal Parts of a Whole"", ""reason"": ""The Grade 6 formal definition of a fraction builds directly on the equal-parts-of-a-whole understanding already established in this Grade 5 chapter.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Fractions as parts of a whole in real-life contexts (garden, dosa, sweets, ribbons)"", ""reason"": ""Derived from skill prerequisite: 'Identify fractional parts of a whole in real-life objects such as a garden, dosa, sweets or ribbons' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Parts_Nd_A_Wholes"", ""concept"": ""Calculating the Whole from a Fractional Part"", ""reason"": ""Derived from skill prerequisite: 'Apply reverse reasoning to calculate the total from a known fractional part' (in Grade 5/Chapter04_Parts_Nd_A_Wholes) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""skill"": ""Identify fractional parts of a whole in real-life objects such as a garden, dosa, sweets or ribbons"", ""reason"": ""Recognising a fraction as a part of a whole in Grade 6 contexts builds directly on this earlier practice of identifying fractional parts of real-life wholes.""}]"
CBSE,Maths,Grade 6,Chapter07_Fractions,Concept of Fraction,Determine the fraction representing a given part of a whole,[],"[""Identify a fraction as a part of a whole in a given situation""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Parts_Nd_A_Wholes"", ""concept"": ""Fractions as Equal Parts of a Whole"", ""reason"": ""The Grade 6 formal definition of a fraction builds directly on the equal-parts-of-a-whole understanding already established in this Grade 5 chapter.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Fractions as parts of a whole in real-life contexts (garden, dosa, sweets, ribbons)"", ""reason"": ""Derived from skill prerequisite: 'Identify fractional parts of a whole in real-life objects such as a garden, dosa, sweets or ribbons' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Parts_Nd_A_Wholes"", ""concept"": ""Calculating the Whole from a Fractional Part"", ""reason"": ""Derived from skill prerequisite: 'Apply reverse reasoning to calculate the total from a known fractional part' (in Grade 5/Chapter04_Parts_Nd_A_Wholes) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 6,Chapter07_Fractions,Concept of Fraction,Explain the meaning of representing a number as a part of the whole,[],[],[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Parts_Nd_A_Wholes"", ""concept"": ""Fractions as Equal Parts of a Whole"", ""reason"": ""The Grade 6 formal definition of a fraction builds directly on the equal-parts-of-a-whole understanding already established in this Grade 5 chapter.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Fractions as parts of a whole in real-life contexts (garden, dosa, sweets, ribbons)"", ""reason"": ""Derived from skill prerequisite: 'Identify fractional parts of a whole in real-life objects such as a garden, dosa, sweets or ribbons' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Parts_Nd_A_Wholes"", ""concept"": ""Calculating the Whole from a Fractional Part"", ""reason"": ""Derived from skill prerequisite: 'Apply reverse reasoning to calculate the total from a known fractional part' (in Grade 5/Chapter04_Parts_Nd_A_Wholes) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 6,Chapter07_Fractions,Concept of Fraction,Determine the part and whole represented by a fraction,[],"[""Determine the fraction representing a given part of a whole""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Parts_Nd_A_Wholes"", ""concept"": ""Fractions as Equal Parts of a Whole"", ""reason"": ""The Grade 6 formal definition of a fraction builds directly on the equal-parts-of-a-whole understanding already established in this Grade 5 chapter.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Fractions as parts of a whole in real-life contexts (garden, dosa, sweets, ribbons)"", ""reason"": ""Derived from skill prerequisite: 'Identify fractional parts of a whole in real-life objects such as a garden, dosa, sweets or ribbons' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Parts_Nd_A_Wholes"", ""concept"": ""Calculating the Whole from a Fractional Part"", ""reason"": ""Derived from skill prerequisite: 'Apply reverse reasoning to calculate the total from a known fractional part' (in Grade 5/Chapter04_Parts_Nd_A_Wholes) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter04_Parts_Nd_A_Wholes"", ""skill"": ""Apply reverse reasoning to calculate the total from a known fractional part"", ""reason"": ""Determining the whole from a given fractional part uses the same reverse-reasoning procedure already taught in this Grade 5 skill.""}]"
CBSE,Maths,Grade 6,Chapter07_Fractions,Fractional Units and Equal Shares,Explain the concept of equivalent fractions using fraction walls and equal sharing,"[""Concept of Fraction""]","[""Explain the meaning of representing a number as a part of the whole""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Equal Sharing"", ""reason"": ""Understanding fractional units as equal shares of a whole depends on the equal-sharing concept introduced with concrete objects in this chapter.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Sharing and dividing objects into equal parts"", ""reason"": ""Defining a fractional unit requires the prior skill of dividing a whole or collection into equal parts.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Relationship between grouping and sharing"", ""reason"": ""Derived from skill prerequisite: 'Explain the connection between making equal groups and sharing equally' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Equivalent fractions through paper folding"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate through folding that two differently named fractions represent the same amount' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""skill"": ""Demonstrate through folding that two differently named fractions represent the same amount"", ""reason"": ""Explaining equivalent fractions with visual models builds on the earlier folding-based demonstration that different fractions can represent the same amount.""}]"
CBSE,Maths,Grade 6,Chapter07_Fractions,Fractional Units and Equal Shares,"Write division facts, addition facts, and multiplication facts corresponding to equal sharing situations","[""Concept of Fraction""]","[""Explain the concept of equivalent fractions using fraction walls and equal sharing""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Equal Sharing"", ""reason"": ""Understanding fractional units as equal shares of a whole depends on the equal-sharing concept introduced with concrete objects in this chapter.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Sharing and dividing objects into equal parts"", ""reason"": ""Defining a fractional unit requires the prior skill of dividing a whole or collection into equal parts.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Relationship between grouping and sharing"", ""reason"": ""Derived from skill prerequisite: 'Explain the connection between making equal groups and sharing equally' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Equivalent fractions through paper folding"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate through folding that two differently named fractions represent the same amount' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""skill"": ""Explain the connection between making equal groups and sharing equally"", ""reason"": ""Writing the arithmetic facts for an equal-sharing situation depends on the earlier understanding that grouping and sharing are related operations.""}]"
CBSE,Maths,Grade 6,Chapter07_Fractions,Fractional Units and Equal Shares,Compare fractional units and explain why a larger denominator gives a smaller fractional unit,"[""Concept of Fraction""]","[""Explain the concept of equivalent fractions using fraction walls and equal sharing""]",[],[],"[{""grade"": ""Grade 3"", ""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Equal Sharing"", ""reason"": ""Understanding fractional units as equal shares of a whole depends on the equal-sharing concept introduced with concrete objects in this chapter.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Sharing and dividing objects into equal parts"", ""reason"": ""Defining a fractional unit requires the prior skill of dividing a whole or collection into equal parts.""}, {""grade"": ""Grade 2"", ""chapter"": ""Chapter8_Grouping_and_Sharing"", ""concept"": ""Relationship between grouping and sharing"", ""reason"": ""Derived from skill prerequisite: 'Explain the connection between making equal groups and sharing equally' (in Grade 2/Chapter8_Grouping_and_Sharing) is a prerequisite of a skill under this concept.""}, {""grade"": ""Grade 4"", ""chapter"": ""Chapter05_Sharing_and_Measuring"", ""concept"": ""Equivalent fractions through paper folding"", ""reason"": ""Derived from skill prerequisite: 'Demonstrate through folding that two differently named fractions represent the same amount' (in Grade 4/Chapter05_Sharing_and_Measuring) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 6,Chapter07_Fractions,Measuring Using Fractional Units,Apply fractional units to measure lengths and quantities that fall between two whole numbers,"[""Concept of Fraction"", ""Fractional Units and Equal Shares""]","[""Compare fractional units and explain why a larger denominator gives a smaller fractional unit""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Fractional units of metre (half metre, quarter metre)"", ""reason"": ""Measuring quantities between whole numbers with fractional units directly extends the earlier use of half-metre and quarter-metre units for measurement.""}]",[]
CBSE,Maths,Grade 6,Chapter07_Fractions,Measuring Using Fractional Units,Determine how many fractional units make up a given measured quantity,"[""Concept of Fraction"", ""Fractional Units and Equal Shares""]","[""Apply fractional units to measure lengths and quantities that fall between two whole numbers""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter06_Measuring_Length"", ""concept"": ""Fractional units of metre (half metre, quarter metre)"", ""reason"": ""Measuring quantities between whole numbers with fractional units directly extends the earlier use of half-metre and quarter-metre units for measurement.""}]",[]
CBSE,Maths,Grade 6,Chapter07_Fractions,Fraction on the Number Line,Draw equal parts between whole numbers to mark fractions,"[""Concept of Fraction""]","[""Identify a fraction as a part of a whole in a given situation""]","[{""chapter"": ""Chapter03_Number_Play"", ""concept"": ""The Number Line"", ""reason"": ""Placing fractions on a number line requires first understanding what a number line is and how whole numbers are positioned on it.""}, {""chapter"": ""Chapter03_Number_Play"", ""concept"": ""Placing Numbers on the Number Line"", ""reason"": ""Derived from skill prerequisite: 'Identify and label numbers marked on a number line' (in Chapter03_Number_Play) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter03_Number_Play"", ""skill"": ""Construct a number line using unit distance"", ""reason"": ""Dividing the space between whole numbers into equal parts to mark fractions requires knowing how to construct a number line with uniform unit distances first.""}]","[{""grade"": ""Grade 3"", ""chapter"": ""Chapter8_Fair_Share"", ""concept"": ""Number Line for Half and Double"", ""reason"": ""Placing general fractions on a number line builds on the earlier specific practice of locating half of a number on a number line.""}]",[]
