board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 8,Chapter8_Algebraic_Expressions_And_Identities,"Algebraic expressions: terms, variables, constants, and coefficients",Count the number of terms in a given algebraic expression,[],[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Terms of an expression"", ""reason"": ""Grade 8 identification of terms in more complex expressions builds directly on the Grade 7 concept of what a term is.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Variables and constants"", ""reason"": ""Distinguishing variables from constants in Grade 8 expressions requires the definitions first established in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Coefficients"", ""reason"": ""Identifying coefficients in Grade 8 expressions relies on the coefficient concept introduced in Grade 7.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""skill"": ""Identify the terms of a given algebraic expression"", ""reason"": ""Counting terms depends on first being able to pick out each individual term, a skill taught in Grade 7.""}]"
CBSE,Maths,Grade 8,Chapter8_Algebraic_Expressions_And_Identities,"Algebraic expressions: terms, variables, constants, and coefficients","Identify the variables, constants, and coefficients in a given algebraic expression",[],"[""Count the number of terms in a given algebraic expression""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Terms of an expression"", ""reason"": ""Grade 8 identification of terms in more complex expressions builds directly on the Grade 7 concept of what a term is.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Variables and constants"", ""reason"": ""Distinguishing variables from constants in Grade 8 expressions requires the definitions first established in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Coefficients"", ""reason"": ""Identifying coefficients in Grade 8 expressions relies on the coefficient concept introduced in Grade 7.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""skill"": ""Identify the variables in a given algebraic expression"", ""reason"": ""Recognising variables in more complex Grade 8 expressions builds on the variable-identification skill from Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""skill"": ""Identify the constants in a given algebraic expression"", ""reason"": ""Recognising constants in expressions requires the constant-identification skill first practised in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""skill"": ""Identify the numerical coefficient of a term in an expression"", ""reason"": ""Identifying coefficients in Grade 8 expressions extends the coefficient-finding skill first taught in Grade 7.""}]"
CBSE,Maths,Grade 8,Chapter8_Algebraic_Expressions_And_Identities,"Monomials, Binomials and Polynomials","Identify monomials, binomials, trinomials, and polynomials from given algebraic expressions","[""Algebraic expressions: terms, variables, constants, and coefficients""]","[""Identify the variables, constants, and coefficients in a given algebraic expression""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Monomials, binomials, trinomials and polynomials"", ""reason"": ""Grade 8 classification of expressions by number of terms directly extends the classification scheme first taught in Grade 7.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""skill"": ""Distinguish between monomials, binomials, trinomials and polynomials based on the number of terms"", ""reason"": ""Sorting expressions by term count in Grade 8 relies on the classification skill already established in Grade 7.""}]"
CBSE,Maths,Grade 8,Chapter8_Algebraic_Expressions_And_Identities,"Monomials, Binomials and Polynomials","Classify a given algebraic expression as monomial, binomial, trinomial or polynomial","[""Algebraic expressions: terms, variables, constants, and coefficients""]","[""Identify monomials, binomials, trinomials, and polynomials from given algebraic expressions""]",[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Monomials, binomials, trinomials and polynomials"", ""reason"": ""Grade 8 classification of expressions by number of terms directly extends the classification scheme first taught in Grade 7.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""skill"": ""Classify a given algebraic expression as monomial, binomial, trinomial or polynomial"", ""reason"": ""This exact classification skill was first developed in Grade 7 and is directly reused when classifying more complex Grade 8 expressions.""}]"
CBSE,Maths,Grade 8,Chapter8_Algebraic_Expressions_And_Identities,Like terms and unlike terms,Identify like and unlike terms in an algebraic expression,"[""Algebraic expressions: terms, variables, constants, and coefficients""]",[],[],[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Like and unlike terms"", ""reason"": ""Recognising like and unlike terms in Grade 8 addition/subtraction of expressions requires the distinction already established in Grade 7.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""skill"": ""Classify terms as like terms or unlike terms"", ""reason"": ""Distinguishing like from unlike terms in Grade 8 combining operations builds on the classification skill taught in Grade 7.""}]"
CBSE,Maths,Grade 8,Chapter8_Algebraic_Expressions_And_Identities,Addition and Subtraction of Algebraic Expressions,Add two or more algebraic expressions by combining like terms,"[""Like terms and unlike terms""]","[""Identify like and unlike terms in an algebraic expression""]","[{""chapter"": ""Chapter1_Rational_Numbers"", ""concept"": ""Introduction to Rational Numbers"", ""reason"": ""Derived from skill prerequisite: 'Define the additive and multiplicative inverse of rational numbers' (in Chapter1_Rational_Numbers) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Addition and Subtraction of Algebraic Expressions"", ""reason"": ""Grade 8 addition and subtraction of expressions extends the same combining-like-terms procedure first taught in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Finding value of an expression"", ""reason"": ""Derived from skill prerequisite: 'Calculate the value of an algebraic expression for given variable values' (in Grade 7/Chapter10_Algebraic_Expressions) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""skill"": ""Calculate the sum of two or more algebraic expressions"", ""reason"": ""Adding algebraic expressions in Grade 8 extends the same summing procedure first practised in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""skill"": ""Combine like terms to simplify a given algebraic expression"", ""reason"": ""Combining like terms during addition requires the like-term-combining technique already taught in Grade 7.""}]"
CBSE,Maths,Grade 8,Chapter8_Algebraic_Expressions_And_Identities,Addition and Subtraction of Algebraic Expressions,Subtract one algebraic expression from another using additive inverse,"[""Like terms and unlike terms""]","[""Add two or more algebraic expressions by combining like terms""]","[{""chapter"": ""Chapter1_Rational_Numbers"", ""concept"": ""Introduction to Rational Numbers"", ""reason"": ""Derived from skill prerequisite: 'Define the additive and multiplicative inverse of rational numbers' (in Chapter1_Rational_Numbers) is a prerequisite of a skill under this concept.""}]","[{""chapter"": ""Chapter1_Rational_Numbers"", ""skill"": ""Define the additive and multiplicative inverse of rational numbers"", ""reason"": ""Subtracting by adding the additive inverse requires already understanding what an additive inverse is, as introduced with rational numbers.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Addition and Subtraction of Algebraic Expressions"", ""reason"": ""Grade 8 addition and subtraction of expressions extends the same combining-like-terms procedure first taught in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Finding value of an expression"", ""reason"": ""Derived from skill prerequisite: 'Calculate the value of an algebraic expression for given variable values' (in Grade 7/Chapter10_Algebraic_Expressions) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""skill"": ""Calculate the difference between two given algebraic expressions"", ""reason"": ""Subtracting expressions in Grade 8 extends the difference-finding procedure first taught in Grade 7.""}]"
CBSE,Maths,Grade 8,Chapter8_Algebraic_Expressions_And_Identities,Addition and Subtraction of Algebraic Expressions,Calculate the value of a simplified algebraic expression for a given value of the variable,"[""Like terms and unlike terms""]","[""Subtract one algebraic expression from another using additive inverse""]","[{""chapter"": ""Chapter1_Rational_Numbers"", ""concept"": ""Introduction to Rational Numbers"", ""reason"": ""Derived from skill prerequisite: 'Define the additive and multiplicative inverse of rational numbers' (in Chapter1_Rational_Numbers) is a prerequisite of a skill under this concept.""}]",[],"[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Addition and Subtraction of Algebraic Expressions"", ""reason"": ""Grade 8 addition and subtraction of expressions extends the same combining-like-terms procedure first taught in Grade 7.""}, {""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""concept"": ""Finding value of an expression"", ""reason"": ""Derived from skill prerequisite: 'Calculate the value of an algebraic expression for given variable values' (in Grade 7/Chapter10_Algebraic_Expressions) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter10_Algebraic_Expressions"", ""skill"": ""Calculate the value of an algebraic expression for given variable values"", ""reason"": ""Evaluating expressions after simplification in Grade 8 relies on the substitution skill already developed in Grade 7.""}]"
CBSE,Maths,Grade 8,Chapter8_Algebraic_Expressions_And_Identities,Multiplication of two monomials,Apply rules of exponents to multiply a monomial by a monomial,"[""Algebraic expressions: terms, variables, constants, and coefficients""]","[""Identify the variables, constants, and coefficients in a given algebraic expression""]","[{""chapter"": ""Chapter10_Exponents_And_Powers"", ""concept"": ""Laws of Exponents"", ""reason"": ""Multiplying monomials with the same base variable requires adding their exponents according to the laws of exponents.""}]","[{""chapter"": ""Chapter10_Exponents_And_Powers"", ""skill"": ""Apply laws of exponents to simplify a given expression"", ""reason"": ""Multiplying monomials by adding exponents of like variables directly uses the previously learned laws of exponents.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""concept"": ""Multiplying powers with the same base"", ""reason"": ""Multiplying monomials requires adding exponents of the same base, a rule established in the Grade 7 exponents chapter.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""skill"": ""Calculate the result of multiplying powers with the same base using exponent laws"", ""reason"": ""Multiplying monomials requires adding exponents of like bases, exactly the exponent law established in Grade 7.""}]"
CBSE,Maths,Grade 8,Chapter8_Algebraic_Expressions_And_Identities,Multiplication of three or more monomials,Extend multiplication to obtain the product of more than two monomials,"[""Multiplication of two monomials""]","[""Apply rules of exponents to multiply a monomial by a monomial""]","[{""chapter"": ""Chapter10_Exponents_And_Powers"", ""concept"": ""Laws of Exponents"", ""reason"": ""Combining the exponents of the same variable across three or more monomials relies on the laws of exponents.""}]","[{""chapter"": ""Chapter10_Exponents_And_Powers"", ""skill"": ""Apply laws of exponents to simplify a given expression"", ""reason"": ""Extending exponent addition across several monomials depends on already knowing how to apply the laws of exponents.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""concept"": ""Multiplying powers with the same base"", ""reason"": ""Extending monomial multiplication to three or more factors still relies on the same-base exponent addition rule from Grade 7.""}]","[{""grade"": ""Grade 7"", ""chapter"": ""Chapter11_Exponents_And_Powers"", ""skill"": ""Calculate the result of multiplying powers with the same base using exponent laws"", ""reason"": ""Multiplying several monomials still relies on repeatedly applying the same-base exponent addition rule from Grade 7.""}]"
