board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 7,Chapter09_Life_Processes_in_Animals,Life processes in living beings,List the basic life processes essential for survival in living beings,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""concept"": ""Characteristics of living organisms"", ""reason"": ""The life processes taught here are direct elaborations of the basic characteristics of living things (nutrition, respiration, excretion, growth, movement, reproduction) first introduced in Grade 6.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""concept"": ""Differences between living and non-living things"", ""reason"": ""Derived from skill prerequisite: 'List the characteristics of living beings that distinguish them from non-living things' (in Grade 6/Chapter10_Living_Creatures_Exploring_Their_Characteristics) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""skill"": ""List the characteristics of living beings that distinguish them from non-living things"", ""reason"": ""The list of life processes builds directly on the earlier list of characteristics that define living beings.""}]"
CBSE,Science,Grade 7,Chapter09_Life_Processes_in_Animals,Modes of feeding in animals,Classify animals based on their modes of feeding,"[""Life processes in living beings""]","[""List the basic life processes essential for survival in living beings""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""concept"": ""Nutrition in living beings"", ""reason"": ""Classifying how animals feed requires the prior understanding that nutrition is a life process essential for survival.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""skill"": ""Explain the importance of nutrition for living organisms"", ""reason"": ""Classifying feeding modes requires the prior understanding of why nutrition is essential for organisms.""}]"
CBSE,Science,Grade 7,Chapter09_Life_Processes_in_Animals,Modes of Acquiring Food,"Identify the different modes by which amoeba, herbivores and carnivores acquire food","[""Modes of feeding in animals""]","[""Classify animals based on their modes of feeding""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""concept"": ""Nutrition in living beings"", ""reason"": ""Understanding why organisms need food (nutrition as a life process) is foundational before studying the specific modes by which they acquire it.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_Living_Creatures_Exploring_Their_Characteristics"", ""skill"": ""Explain the importance of nutrition for living organisms"", ""reason"": ""Identifying specific food-acquiring modes builds on the earlier established need for nutrition in living organisms.""}]"
CBSE,Science,Grade 7,Chapter09_Life_Processes_in_Animals,Digestive system comparison in grass-eating animals and humans,Compare the features of digestive system of grass-eating animals with those of humans,"[""Human Digestive System"", ""Digestion in ruminants""]","[""Illustrate the human digestive system with a labelled diagram"", ""Describe the process of rumination and cellulose digestion in ruminant animals""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter09_Life_Processes_in_Animals,Human Digestive System,Illustrate the human digestive system with a labelled diagram,"[""Life processes in living beings""]","[""List the basic life processes essential for survival in living beings""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter03_The_Mystery_of_Food"", ""concept"": ""Digestion of Food"", ""reason"": ""Grade 5 introduces the basic overview of digestion and the organs involved, which this chapter expands into a detailed system with functions of each part.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter03_The_Mystery_of_Food"", ""skill"": ""Describe the major steps in the digestion process and the organs involved"", ""reason"": ""Knowing the sequence of digestive organs from Grade 5 is required before producing a detailed labelled diagram in this chapter.""}]"
CBSE,Science,Grade 7,Chapter09_Life_Processes_in_Animals,Human Digestive System,Explain the function of each part of the human digestive system,"[""Life processes in living beings""]","[""Illustrate the human digestive system with a labelled diagram""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter03_The_Mystery_of_Food"", ""concept"": ""Digestion of Food"", ""reason"": ""Grade 5 introduces the basic overview of digestion and the organs involved, which this chapter expands into a detailed system with functions of each part.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter03_The_Mystery_of_Food"", ""skill"": ""Describe the major steps in the digestion process and the organs involved"", ""reason"": ""The Grade 5 overview of digestive organs provides the base list of parts whose functions are explained in greater depth here.""}]"
CBSE,Science,Grade 7,Chapter09_Life_Processes_in_Animals,Mechanical digestion in the mouth,Distinguish between mechanical and chemical digestion in the mouth,"[""Human Digestive System""]","[""Explain the function of each part of the human digestive system""]",[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter03_The_Mystery_of_Food"", ""concept"": ""Teeth and chewing"", ""reason"": ""Knowing the types of teeth and their chewing function is needed to understand how food is mechanically broken down in the mouth.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter03_The_Mystery_of_Food"", ""skill"": ""Explain the role of chewing and saliva in digestion"", ""reason"": ""Distinguishing mechanical from chemical digestion in the mouth builds on the earlier basic knowledge that chewing and saliva both act on food there.""}]"
CBSE,Science,Grade 7,Chapter09_Life_Processes_in_Animals,Oesophagus and movement of food (peristalsis),Describe the process of peristalsis in moving food through the oesophagus,"[""Human Digestive System""]","[""Explain the function of each part of the human digestive system""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter09_Life_Processes_in_Animals,Digestion in the stomach,Explain the role of gastric juices in digestion of food in the stomach,"[""Mechanical digestion in the mouth"", ""Oesophagus and movement of food (peristalsis)""]","[""Distinguish between mechanical and chemical digestion in the mouth"", ""Describe the process of peristalsis in moving food through the oesophagus""]",[],[],[],[]
CBSE,Science,Grade 7,Chapter09_Life_Processes_in_Animals,Digestion in the small intestine,"Describe the digestion of carbohydrates, proteins and fats in the small intestine","[""Digestion in the stomach"", ""Role of liver and bile in digestion"", ""Role of pancreas and pancreatic juice""]","[""Explain the role of gastric juices in digestion of food in the stomach"", ""Explain the role of liver and bile in digestion of fats"", ""Explain the role of pancreas and pancreatic juice in digestion""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter03_To_A_Healthy_Body"", ""concept"": ""Nutrients and their classification"", ""reason"": ""Derived from skill prerequisite: 'Classify nutrients into carbohydrates, fats, proteins, vitamins and minerals' (in Grade 6/Chapter03_To_A_Healthy_Body) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter03_To_A_Healthy_Body"", ""skill"": ""Classify nutrients into carbohydrates, fats, proteins, vitamins and minerals"", ""reason"": ""Knowing what carbohydrates, proteins and fats are, as classified in Grade 6, is required before learning how each is broken down in the small intestine.""}]"
