board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Environmental Science,Grade 5,Chapter08_Clothes—How_Things_are_Made,"Weaving in nature (baya weaver bird, tailorbird)",Identify examples of weaving found in nature,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter08_Clothes—How_Things_are_Made,Weaving as a process of making fabric,Explain the process of weaving threads into fabric,"[""Weaving in nature (baya weaver bird, tailorbird)""]","[""Identify examples of weaving found in nature""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter08_Clothes—How_Things_are_Made,Traditions of weaving in India,Describe traditional handloom weaving practices in India,"[""Handloom fabric and looms""]","[""Describe how handloom fabric is made using a loom""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter08_Clothes—How_Things_are_Made,Handloom fabric and looms,Describe how handloom fabric is made using a loom,"[""Weaving as a process of making fabric""]","[""Explain the process of weaving threads into fabric""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter08_Clothes—How_Things_are_Made,Thread making and spinning,Demonstrate the process of spinning cotton into thread,"[""Natural fibres (cotton, silk, wool, linen, bamboo)""]","[""Distinguish between natural and synthetic fibres""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter08_Clothes—How_Things_are_Made,"Natural fibres (cotton, silk, wool, linen, bamboo)",Distinguish between natural and synthetic fibres,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter08_Clothes—How_Things_are_Made,"Synthetic fibres (nylon, rayon, polyester, terylene)",Classify fabrics based on their fibre source (natural or synthetic),[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter08_Clothes—How_Things_are_Made,Life cycle of the silkworm,Describe the life cycle of a silkworm,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter08_Clothes—How_Things_are_Made,Life cycle of the silkworm,Sequence the stages in the life cycle of a moth,[],[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter08_Clothes—How_Things_are_Made,Stitching with needle and thread,Explain why individual threads are important in weaving and stitching,"[""Thread making and spinning""]","[""Demonstrate the process of spinning cotton into thread""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter08_Clothes—How_Things_are_Made,Running stitch technique,Demonstrate how to perform a basic running stitch,"[""Stitching with needle and thread""]","[""Explain why individual threads are important in weaving and stitching""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter08_Clothes—How_Things_are_Made,Running stitch technique,Apply the running stitch to join two pieces of cloth,"[""Stitching with needle and thread""]","[""Demonstrate how to perform a basic running stitch""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter08_Clothes—How_Things_are_Made,Traditional embroideries of India,Identify different traditional embroidery styles and their regions of origin,"[""Running stitch technique""]","[""Apply the running stitch to join two pieces of cloth""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter08_Clothes—How_Things_are_Made,Recycling and reusing old clothes,Explain the importance of recycling and reusing old clothes,"[""Cloth material properties""]",[],[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter08_Clothes—How_Things_are_Made,Cultural and economic importance of handloom weaving,Describe the cultural and economic significance of handloom weaving in India,"[""Traditions of weaving in India""]","[""Describe traditional handloom weaving practices in India""]",[],[],[],[]
CBSE,Environmental Science,Grade 5,Chapter08_Clothes—How_Things_are_Made,Cloth material properties,Compare the properties of different cloth materials through observation,[],[],[],[],[],[]
