board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 10,Chapter04_Carbon_And_Its_Compounds,Bonding in carbon compounds (covalent bonding),Explain why carbon forms covalent bonds based on its electronic configuration,"[""Electronic configuration and valence electrons of carbon""]","[""State the electronic configuration and number of valence electrons of a carbon atom""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Covalent Bonding"", ""reason"": ""The target concept extends the general covalent bonding concept (electron sharing between atoms) already introduced for simple molecules to carbon's specific case.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter08_Journey_Inside_the_Atom"", ""concept"": ""Distribution of Electrons in Orbits"", ""reason"": ""Derived from skill prerequisite: 'Determine the number of valence electrons for a given element' (in Grade 9/Chapter08_Journey_Inside_the_Atom) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""skill"": ""Explain the formation of a covalent bond by sharing of electrons in molecules of elements such as hydrogen, chlorine and oxygen"", ""reason"": ""Explaining carbon's covalent bonding relies on the general mechanism of electron-sharing bond formation established for simpler elements earlier.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter08_Journey_Inside_the_Atom"", ""skill"": ""Determine the number of valence electrons for a given element"", ""reason"": ""Explaining why carbon needs to share electrons requires first being able to determine its number of valence electrons, a skill taught earlier.""}]"
CBSE,Science,Grade 10,Chapter04_Carbon_And_Its_Compounds,Bonding in carbon compounds (covalent bonding),Draw the electron dot structure of simple carbon compounds like methane and ethane,"[""Electronic configuration and valence electrons of carbon""]","[""State the electronic configuration and number of valence electrons of a carbon atom""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""concept"": ""Covalent Bonding"", ""reason"": ""The target concept extends the general covalent bonding concept (electron sharing between atoms) already introduced for simple molecules to carbon's specific case.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter08_Journey_Inside_the_Atom"", ""concept"": ""Distribution of Electrons in Orbits"", ""reason"": ""Derived from skill prerequisite: 'Determine the number of valence electrons for a given element' (in Grade 9/Chapter08_Journey_Inside_the_Atom) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter09_Atomic_Foundations_of_Matter"", ""skill"": ""Draw electron-sharing diagrams for the formation of covalent molecules such as water, carbon dioxide, hydrogen sulfide and ammonia"", ""reason"": ""Drawing electron dot structures for methane and ethane directly applies the electron-sharing diagram technique already practiced on other covalent molecules.""}]"
CBSE,Science,Grade 10,Chapter04_Carbon_And_Its_Compounds,Electronic configuration and valence electrons of carbon,State the electronic configuration and number of valence electrons of a carbon atom,[],[],[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter08_Journey_Inside_the_Atom"", ""concept"": ""Electronic Configuration of First Eighteen Elements"", ""reason"": ""Determining carbon's electronic configuration requires the general shell-filling scheme for elements up to atomic number 18 taught earlier.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter08_Journey_Inside_the_Atom"", ""concept"": ""Bohr-Bury Rules"", ""reason"": ""Distributing carbon's electrons into shells requires applying the Bohr-Bury rules established in the earlier chapter.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter08_Journey_Inside_the_Atom"", ""concept"": ""Distribution of Electrons in Orbits"", ""reason"": ""Derived from skill prerequisite: 'Determine the number of valence electrons for a given element' (in Grade 9/Chapter08_Journey_Inside_the_Atom) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter08_Journey_Inside_the_Atom"", ""skill"": ""Apply Bohr-Bury rules to distribute electrons into different orbits of an atom"", ""reason"": ""Writing carbon's electron configuration requires applying the shell-distribution rules taught in the earlier chapter.""}, {""grade"": ""Grade 9"", ""chapter"": ""Chapter08_Journey_Inside_the_Atom"", ""skill"": ""Determine the number of valence electrons for a given element"", ""reason"": ""Stating carbon's valence electron count directly reuses the previously taught method for finding valence electrons of any element.""}]"
CBSE,Science,Grade 10,Chapter04_Carbon_And_Its_Compounds,Versatile nature of carbon (catenation),Illustrate the ability of carbon to form long chains using catenation,"[""Bonding in carbon compounds (covalent bonding)""]","[""Explain why carbon forms covalent bonds based on its electronic configuration""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter04_Carbon_And_Its_Compounds,Versatile nature of carbon (tetravalency),Explain the significance of tetravalency of carbon in forming diverse compounds,"[""Electronic configuration and valence electrons of carbon""]","[""State the electronic configuration and number of valence electrons of a carbon atom""]",[],[],"[{""grade"": ""Grade 9"", ""chapter"": ""Chapter08_Journey_Inside_the_Atom"", ""concept"": ""Valency"", ""reason"": ""Understanding why carbon is tetravalent depends on the general concept of valency derived from an element's electron configuration, taught earlier.""}]","[{""grade"": ""Grade 9"", ""chapter"": ""Chapter08_Journey_Inside_the_Atom"", ""skill"": ""Determine the valency of an element from its electronic configuration"", ""reason"": ""Explaining carbon's tetravalency depends on the earlier-taught procedure for deriving an element's valency from its electronic configuration.""}]"
CBSE,Science,Grade 10,Chapter04_Carbon_And_Its_Compounds,Saturated hydrocarbons (alkanes),Draw structures of alkanes showing single covalent bonds between carbon atoms,"[""Single, double and triple covalent bonds"", ""Versatile nature of carbon (tetravalency)""]","[""Explain the significance of tetravalency of carbon in forming diverse compounds""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter04_Carbon_And_Its_Compounds,Unsaturated hydrocarbons (alkenes and alkynes),Draw structures of alkenes and alkynes showing double and triple bonds,"[""Single, double and triple covalent bonds"", ""Versatile nature of carbon (tetravalency)""]","[""Explain the significance of tetravalency of carbon in forming diverse compounds""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter04_Carbon_And_Its_Compounds,"Single, double and triple covalent bonds","Classify a carbon compound as alkane, alkene, or alkyne based on the type of bond present","[""Saturated hydrocarbons (alkanes)"", ""Unsaturated hydrocarbons (alkenes and alkynes)""]","[""Draw structures of alkanes showing single covalent bonds between carbon atoms"", ""Draw structures of alkenes and alkynes showing double and triple bonds""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter04_Carbon_And_Its_Compounds,Saturated vs unsaturated carbon compounds,Classify a given carbon compound as saturated or unsaturated based on its bonding,"[""Single, double and triple covalent bonds""]","[""Classify a carbon compound as alkane, alkene, or alkyne based on the type of bond present""]",[],[],[],[]
CBSE,Science,Grade 10,Chapter04_Carbon_And_Its_Compounds,Combustion of carbon compounds,Observe the burning of a carbon compound in oxygen to classify it as saturated or unsaturated,"[""Saturated vs unsaturated carbon compounds"", ""Chemical properties of carbon compounds (combustion)""]","[""Classify a given carbon compound as saturated or unsaturated based on its bonding""]",[],[],[],[]
