board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Setting up of an equation,Identify variables and constants needed to represent a real-life situation,"[""Review of variables and expressions""]",[],[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Setting up of an equation,Combine numbers and variables with operations to express a real-life situation as a simple linear equation,"[""Review of variables and expressions""]","[""Identify variables and constants needed to represent a real-life situation""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Setting up of an equation,Apply appropriate mathematical operations to translate daily life situations into equations,"[""Review of variables and expressions""]","[""Identify variables and constants needed to represent a real-life situation"", ""Combine numbers and variables with operations to express a real-life situation as a simple linear equation""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Review of variables and expressions,Convert a given equation written in symbols into a statement expressed in words,[],[],[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Review of variables and expressions,Convert a statement given in words into an equation using symbols,[],"[""Convert a given equation written in symbols into a statement expressed in words""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,What is an equation?,Describe what an equation is by identifying its equal sides,"[""Review of variables and expressions""]",[],[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,What is an equation?,Distinguish an equation from an inequality,"[""Review of variables and expressions""]","[""Describe what an equation is by identifying its equal sides""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,What is an equation?,Apply the trial and error method to determine the solution of a simple equation,"[""Review of variables and expressions""]","[""Describe what an equation is by identifying its equal sides"", ""Verify a proposed value of the variable by substituting it back into the equation""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,What is an equation?,Verify a proposed value of the variable by substituting it back into the equation,"[""Review of variables and expressions""]",[],[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Mind reader game,Translate the steps of the mind reader game into an algebraic expression,"[""Setting up of an equation"", ""What is an equation?""]","[""Identify variables and constants needed to represent a real-life situation"", ""Combine numbers and variables with operations to express a real-life situation as a simple linear equation""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Mind reader game,Predict the unknown number from a given operation-result condition,"[""Setting up of an equation"", ""What is an equation?""]","[""Translate the steps of the mind reader game into an algebraic expression""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Mind reader game,Explain how the mind reader game demonstrates the working of a simple equation,"[""Setting up of an equation"", ""What is an equation?""]","[""Translate the steps of the mind reader game into an algebraic expression"", ""Describe what an equation is by identifying its equal sides""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,More equations,Explain the first step required to separate the variable while solving an equation,"[""What is an equation?""]","[""Describe what an equation is by identifying its equal sides""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,More equations,Devise a strategy to isolate the variable in a given simple equation,"[""What is an equation?""]","[""Explain the first step required to separate the variable while solving an equation""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,More equations,Solve one-step equations by adding or subtracting the same number on both sides,"[""What is an equation?""]","[""Explain the first step required to separate the variable while solving an equation""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,More equations,Solve one-step equations by multiplying or dividing both sides by the same non-zero number,"[""What is an equation?""]","[""Explain the first step required to separate the variable while solving an equation""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,More equations,Calculate the value of the variable for equations involving multiple operations,"[""What is an equation?""]","[""Solve one-step equations by adding or subtracting the same number on both sides"", ""Solve one-step equations by multiplying or dividing both sides by the same non-zero number""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Writing statements in equation form,Identify the mathematical operations implied by words in a given statement,"[""Review of variables and expressions""]","[""Convert a given equation written in symbols into a statement expressed in words""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Writing statements in equation form,Convert a verbal statement into a simple algebraic equation,"[""Review of variables and expressions""]","[""Identify the mathematical operations implied by words in a given statement""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Writing statements in equation form,Verify that the equation formed correctly represents the given statement,"[""Review of variables and expressions""]","[""Convert a verbal statement into a simple algebraic equation""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Converting equations into statement form,Identify the operations and variable represented in a given equation,"[""Review of variables and expressions"", ""What is an equation?""]","[""Describe what an equation is by identifying its equal sides""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Converting equations into statement form,Convert a given equation into an equivalent statement expressed in words,"[""Review of variables and expressions"", ""What is an equation?""]","[""Identify the operations and variable represented in a given equation""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Converting equations into statement form,Compare multiple word statements that can represent the same equation,"[""Review of variables and expressions"", ""What is an equation?""]","[""Convert a given equation into an equivalent statement expressed in words""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Equations from practical situations,Identify the unknown quantity in a practical situation and assign it a variable,"[""Setting up of an equation"", ""What is an equation?"", ""More equations""]","[""Identify variables and constants needed to represent a real-life situation""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Equations from practical situations,Formulate a simple equation to represent a given practical situation,"[""Setting up of an equation"", ""What is an equation?"", ""More equations""]","[""Identify the unknown quantity in a practical situation and assign it a variable"", ""Combine numbers and variables with operations to express a real-life situation as a simple linear equation""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Equations from practical situations,Solve the formulated equation to obtain the value of the unknown,"[""Setting up of an equation"", ""What is an equation?"", ""More equations""]","[""Formulate a simple equation to represent a given practical situation"", ""Calculate the value of the variable for equations involving multiple operations""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Transposing terms across the equality sign,Explain the rule of transposing a term from one side of an equation to the other,"[""More equations"", ""What is an equation?""]","[""Solve one-step equations by adding or subtracting the same number on both sides""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Additive inverse of a number"", ""reason"": ""Transposing a term across the equality sign is equivalent to adding its additive inverse to both sides, so the term's sign changes when it moves.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Converting subtraction into addition using inverses"", ""reason"": ""Derived from skill prerequisite: 'Convert a subtraction expression into an equivalent addition expression using inverses' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Determine the additive inverse of a given integer"", ""reason"": ""Explaining why a transposed term's sign flips requires understanding that moving it is the same as adding its additive inverse to both sides.""}]"
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Transposing terms across the equality sign,Solve equations by transposing terms from one side to the other,"[""More equations"", ""What is an equation?""]","[""Explain the rule of transposing a term from one side of an equation to the other""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Additive inverse of a number"", ""reason"": ""Transposing a term across the equality sign is equivalent to adding its additive inverse to both sides, so the term's sign changes when it moves.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Converting subtraction into addition using inverses"", ""reason"": ""Derived from skill prerequisite: 'Convert a subtraction expression into an equivalent addition expression using inverses' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Convert a subtraction expression into an equivalent addition expression using inverses"", ""reason"": ""Transposing a subtracted term to the other side means rewriting it as an added inverse term, the exact conversion practised with integers.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""skill"": ""Convert an addition expression into an equivalent subtraction expression using inverses"", ""reason"": ""Transposing an added term to the other side means rewriting it as a subtracted inverse term, the exact conversion practised with integers.""}]"
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Transposing terms across the equality sign,Verify the solution obtained by transposition by substituting it back into the original equation,"[""More equations"", ""What is an equation?""]","[""Solve equations by transposing terms from one side to the other"", ""Verify a proposed value of the variable by substituting it back into the equation""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Additive inverse of a number"", ""reason"": ""Transposing a term across the equality sign is equivalent to adding its additive inverse to both sides, so the term's sign changes when it moves.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter10_The_Other_Side_Of_Zero"", ""concept"": ""Converting subtraction into addition using inverses"", ""reason"": ""Derived from skill prerequisite: 'Convert a subtraction expression into an equivalent addition expression using inverses' (in Grade 6/Chapter10_The_Other_Side_Of_Zero) is a prerequisite of a skill under this concept.""}]",[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Equations with brackets,Identify the terms inside brackets that need to be simplified before solving,"[""More equations"", ""What is an equation?""]","[""Solve one-step equations by adding or subtracting the same number on both sides""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter03_Number_Play"", ""concept"": ""Using Brackets"", ""reason"": ""Solving an equation that contains brackets first requires knowing the order-of-operations rules for simplifying bracketed arithmetic expressions.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter03_Number_Play"", ""skill"": ""Apply the use of brackets to simplify an arithmetic expression"", ""reason"": ""Recognising and simplifying the bracketed part of an equation directly reuses the arithmetic skill of simplifying expressions containing brackets.""}]"
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Equations with brackets,Solve simple equations involving brackets,"[""More equations"", ""What is an equation?""]","[""Identify the terms inside brackets that need to be simplified before solving"", ""Calculate the value of the variable for equations involving multiple operations""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter03_Number_Play"", ""concept"": ""Using Brackets"", ""reason"": ""Solving an equation that contains brackets first requires knowing the order-of-operations rules for simplifying bracketed arithmetic expressions.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter03_Number_Play"", ""skill"": ""Solve numerical problems quickly and without confusion using brackets"", ""reason"": ""Solving an equation with brackets depends on the prior skill of correctly applying bracket removal rules in numerical expressions before isolating the variable.""}]"
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Equations with brackets,Verify the solution of an equation involving brackets by substitution,"[""More equations"", ""What is an equation?""]","[""Solve simple equations involving brackets"", ""Verify a proposed value of the variable by substituting it back into the equation""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter03_Number_Play"", ""concept"": ""Using Brackets"", ""reason"": ""Solving an equation that contains brackets first requires knowing the order-of-operations rules for simplifying bracketed arithmetic expressions.""}]",[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Applications of simple equations to practical solutions,Translate a word problem or puzzle from a familiar context into a simple equation,"[""Setting up of an equation"", ""What is an equation?"", ""More equations"", ""Equations from practical situations"", ""Transposing terms across the equality sign"", ""Equations with brackets""]","[""Formulate a simple equation to represent a given practical situation""]",[],[],[],[]
CBSE,Maths,Grade 7,Chapter4_Simple_Equations,Applications of simple equations to practical solutions,Translate a word problem or puzzle from an unfamiliar context into a simple equation,"[""Setting up of an equation"", ""What is an equation?"", ""More equations"", ""Equations from practical situations"", ""Transposing terms across the equality sign"", ""Equations with brackets""]","[""Formulate a simple equation to represent a given practical situation""]",[],[],[],[]
