board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 8,Chapter07_Particulate_Nature_of_Matter,States of Matter,"Differentiate between solid, liquid and gas states based on particle arrangement","[""Particulate Nature of Matter"", ""Characteristics of Particles - Movement of Particles"", ""Characteristics of Particles - Force of Attraction""]","[""Explain the concept of matter being made up of tiny particles"", ""Describe the continuous motion of particles in matter"", ""Explain how force of attraction between particles varies across solids, liquids and gases""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Properties of solids, liquids and gases (shape, flow, spreading)"", ""reason"": ""Students must already recognise the macroscopic shape, flow and spreading behaviour of solids, liquids and gases before they can be taught the particle-level explanation for these states.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""skill"": ""Distinguish between solid, liquid and gaseous states based on shape, flow and spreading behaviour"", ""reason"": ""Students must already be able to distinguish the three states by their macroscopic behaviour before learning to explain that distinction through particle arrangement.""}]"
CBSE,Science,Grade 8,Chapter07_Particulate_Nature_of_Matter,Particulate Nature of Matter,Explain the concept of matter being made up of tiny particles,[],[],[],[],[],[]
CBSE,Science,Grade 8,Chapter07_Particulate_Nature_of_Matter,Characteristics of Particles - Space Between Particles,Illustrate the presence of space between particles of matter using diffusion examples,"[""Particulate Nature of Matter"", ""Characteristics of Particles - Movement of Particles""]","[""Explain the concept of matter being made up of tiny particles"", ""Describe the continuous motion of particles in matter""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter07_Particulate_Nature_of_Matter,Characteristics of Particles - Movement of Particles,Describe the continuous motion of particles in matter,"[""Particulate Nature of Matter""]","[""Explain the concept of matter being made up of tiny particles""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter07_Particulate_Nature_of_Matter,Characteristics of Particles - Force of Attraction,"Explain how force of attraction between particles varies across solids, liquids and gases","[""Particulate Nature of Matter""]","[""Explain the concept of matter being made up of tiny particles""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter07_Particulate_Nature_of_Matter,Diffusion,Demonstrate the process of diffusion through everyday examples like spreading of smell,"[""Characteristics of Particles - Space Between Particles"", ""Characteristics of Particles - Movement of Particles""]","[""Illustrate the presence of space between particles of matter using diffusion examples"", ""Describe the continuous motion of particles in matter""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter07_Particulate_Nature_of_Matter,Diffusion in Gases,Explain why diffusion occurs faster in gases compared to liquids and solids,"[""Diffusion"", ""Characteristics of Particles - Space Between Particles"", ""Characteristics of Particles - Movement of Particles"", ""Characteristics of Particles - Force of Attraction""]","[""Demonstrate the process of diffusion through everyday examples like spreading of smell"", ""Explain how force of attraction between particles varies across solids, liquids and gases"", ""Describe the continuous motion of particles in matter""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter07_Particulate_Nature_of_Matter,Density and Particle Arrangement,Relate the density of a substance to the closeness of arrangement of its particles,"[""Particulate Nature of Matter"", ""Characteristics of Particles - Space Between Particles""]","[""Explain the concept of matter being made up of tiny particles"", ""Illustrate the presence of space between particles of matter using diffusion examples""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Materials_Around_Us"", ""concept"": ""Mass as a property of matter"", ""reason"": ""Relating density to particle closeness requires already understanding mass as a measurable property of matter.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Materials_Around_Us"", ""concept"": ""Volume and space occupied by matter"", ""reason"": ""Density depends on the relationship between mass and the volume (space) a substance occupies, a concept established in this earlier chapter.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Materials_Around_Us"", ""skill"": ""Explain the concept of volume as the space occupied by matter"", ""reason"": ""Relating density to particle closeness requires the earlier understanding of volume as the space matter occupies, since density compares mass to that space.""}]"
CBSE,Science,Grade 8,Chapter07_Particulate_Nature_of_Matter,Compressibility,"Compare the compressibility of solids, liquids and gases based on particle spacing","[""Characteristics of Particles - Space Between Particles"", ""States of Matter""]","[""Illustrate the presence of space between particles of matter using diffusion examples"", ""Differentiate between solid, liquid and gas states based on particle arrangement""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter07_Particulate_Nature_of_Matter,Change of State,Describe the process of change of state of matter on heating or cooling,"[""Characteristics of Particles - Movement of Particles"", ""Effect of Temperature on Particle Motion""]","[""Describe the continuous motion of particles in matter"", ""Explain how increasing temperature increases the kinetic energy of particles""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Melting and freezing"", ""reason"": ""The macroscopic idea that heating and cooling water causes it to change state was already established and is generalised here to matter using particle theory.""}, {""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""concept"": ""Ice and water as forms of the same substance"", ""reason"": ""Derived from skill prerequisite: 'Describe how water changes state on heating or cooling' (in Grade 6/Chapter08_A_Journey_Through_States_Of_Water) is a prerequisite of a skill under this concept.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter08_A_Journey_Through_States_Of_Water"", ""skill"": ""Describe how water changes state on heating or cooling"", ""reason"": ""This target skill generalises to matter the same heating/cooling state-change reasoning already learned specifically for water.""}]"
