board,subject,grade,chapter,concept,skill,prereq_concepts_L1_same_chapter,prereq_skills_L1_same_chapter,prereq_concepts_L2_cross_chapter,prereq_skills_L2_cross_chapter,prereq_concepts_L3_prior_grade,prereq_skills_L3_prior_grade
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Force as push or pull,Classify common actions involving motion of an object as push or pull,[],[],[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Force as push or pull,Explain that two objects must interact for a force to occur,[],"[""Classify common actions involving motion of an object as push or pull""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Force as an interaction between two or more objects,Analyse everyday situations to identify the type of force involved,"[""Force as push or pull""]","[""Explain that two objects must interact for a force to occur""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,SI unit of force (newton),Identify the newton as the unit used to express the magnitude of a given force value,[],[],[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Muscular force,Identify examples of muscular force in daily life,[],[],[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Magnetic force,Describe the working of magnetic force between magnets,[],[],[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Exploring_Magnets"", ""concept"": ""Interaction between magnetic poles"", ""reason"": ""Understanding how magnetic poles attract and repel each other is the foundational experience needed before describing magnetic force as one of the basic force types in this chapter.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter04_Exploring_Magnets"", ""skill"": ""Analyze the outcome of placing two magnets together to conclude the attraction and repulsion property of magnets"", ""reason"": ""This earlier hands-on conclusion about attraction and repulsion between magnets is the direct experiential basis for describing how magnetic force operates.""}]"
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Electrostatic force and static charges,Explain how objects acquire static electric charge,[],[],[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Like and unlike charges - attraction and repulsion,Distinguish between attraction and repulsion caused by like and unlike charges,"[""Electrostatic force and static charges""]",[],[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Gravitational force,Explain the cause and direction of gravitational force,[],[],[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Vertical motion under gravity,Describe the motion of an object thrown vertically upwards and downwards,"[""Gravitational force""]","[""Explain the cause and direction of gravitational force""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Weight and its measurement,Define weight and state its SI unit,"[""Gravitational force"", ""SI unit of force (newton)""]","[""Explain the cause and direction of gravitational force"", ""Identify the newton as the unit used to express the magnitude of a given force value""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Spring balance and its use,Measure weight of objects using a spring balance,"[""Weight and its measurement""]","[""Define weight and state its SI unit""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Spring balance and its use,Calculate the smallest measurable value (least count) of a spring balance,"[""Weight and its measurement""]","[""Measure weight of objects using a spring balance""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Difference between mass and weight,Distinguish between mass and weight,"[""Weight and its measurement""]","[""Define weight and state its SI unit""]",[],[],"[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Materials_Around_Us"", ""concept"": ""Mass as a property of matter"", ""reason"": ""Grasping mass as an intrinsic property of matter measured with a balance is necessary before contrasting it with weight, which changes with gravitational pull.""}]","[{""grade"": ""Grade 6"", ""chapter"": ""Chapter06_Materials_Around_Us"", ""skill"": ""Measure and compare the mass of different materials using a balance"", ""reason"": ""Experience measuring mass with a balance establishes what mass actually represents, which is essential before contrasting it with weight measured by a spring balance.""}]"
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Variation of weight on different planets/Moon,Compare the weight of an object on Earth and other planets/Moon,"[""Weight and its measurement""]","[""Define weight and state its SI unit""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Floating and sinking of objects,Explain why objects float or sink in a liquid,[],[],[],[],"[{""grade"": ""Grade 5"", ""chapter"": ""Chapter01_Water—The_Essence_of_Life"", ""concept"": ""Floating and Sinking of Objects in Water"", ""reason"": ""The qualitative experience of observing which objects float or sink in water forms the basis for the deeper force-based explanation given in this chapter.""}]","[{""grade"": ""Grade 5"", ""chapter"": ""Chapter01_Water—The_Essence_of_Life"", ""skill"": ""Explain the reason for floating and sinking of different objects"", ""reason"": ""This earlier reasoning about why objects float or sink is directly extended and formalised in terms of forces in the target skill.""}]"
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Buoyant force / upthrust,Identify the buoyant force acting on an object submerged in a liquid,"[""Floating and sinking of objects""]",[],[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter07_How_Things_Work"", ""concept"": ""Effect of weight on floating and sinking"", ""reason"": ""Recognising that an object's weight affects whether it floats or sinks provides the conceptual groundwork for introducing an upward buoyant force that balances weight.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter07_How_Things_Work"", ""skill"": ""Explain the role of weight in floating and sinking of objects"", ""reason"": ""Understanding how an object's weight interacts with floating/sinking behaviour is needed before identifying the opposing upward buoyant force acting on it.""}]"
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Archimedes' Principle,Apply Archimedes' Principle to determine floating or sinking of an object,"[""Buoyant force / upthrust"", ""Floating and sinking of objects""]","[""Identify the buoyant force acting on an object submerged in a liquid"", ""Explain why objects float or sink in a liquid""]",[],[],"[{""grade"": ""Grade 4"", ""chapter"": ""Chapter07_How_Things_Work"", ""concept"": ""Effect of shape on floating and sinking"", ""reason"": ""Awareness that an object's shape (and hence the volume of liquid it can displace) affects floating behaviour is a necessary precursor to the volume-displacement reasoning of Archimedes' Principle.""}]","[{""grade"": ""Grade 4"", ""chapter"": ""Chapter07_How_Things_Work"", ""skill"": ""Explain the role of shape in floating and sinking of objects"", ""reason"": ""Recognising how an object's shape affects floating and sinking is a precursor to reasoning about the volume of liquid displaced, which underlies Archimedes' Principle.""}]"
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Combination of forces,Analyse the motion of an object when forces act in the same and opposite directions,"[""Force as an interaction between two or more objects""]",[],[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Combination of forces,Calculate the resultant of two forces acting on an object in the same and opposite directions,"[""Force as an interaction between two or more objects""]","[""Analyse the motion of an object when forces act in the same and opposite directions""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Pressure exerted by liquids,Explain the direction in which pressure is applied by a liquid inside a container,"[""Pressure and area relationship""]","[""Derive the formula for pressure in terms of force and area""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Pressure exerted by liquids,Describe how liquid pressure acts on the walls of a container,"[""Pressure and area relationship""]","[""Explain the direction in which pressure is applied by a liquid inside a container""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Atmospheric pressure,Demonstrate the atmospheric pressure exerted by the air column above a given area,"[""Pressure and area relationship""]","[""Derive the formula for pressure in terms of force and area""]",[],[],[],[]
CBSE,Science,Grade 8,Chapter05_Exploring_Forces,Atmospheric pressure,Calculate the atmospheric pressure exerted by the air column above a given area,"[""Pressure and area relationship""]","[""Demonstrate the atmospheric pressure exerted by the air column above a given area"", ""Derive the formula for pressure in terms of force and area""]",[],[],[],[]
